	Rhodotorula_mucilaginosa_TFCN_25-331D-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000185	TFCN25331D1_012521-T1	DBVPG3775_001020-T1
GF00000186	TFCN25331D1_005468-T1	DBVPG3775_007561-T1
GF00000187	TFCN25331D1_008874-T1	DBVPG3775_002858-T1
GF00000188	TFCN25331D1_008619-T1	DBVPG3775_001667-T1
GF00000189	TFCN25331D1_006100-T1	DBVPG3775_004721-T1
GF00000190	TFCN25331D1_013264-T1	DBVPG3775_006014-T1
GF00000191	TFCN25331D1_009035-T1	DBVPG3775_000591-T1
GF00000192	TFCN25331D1_010040-T1	DBVPG3775_007270-T1
GF00000193	TFCN25331D1_000078-T1	DBVPG3775_007063-T1
GF00000194	TFCN25331D1_013026-T1	DBVPG3775_007442-T1
GF00000195	TFCN25331D1_002844-T1	DBVPG3775_004230-T1
GF00000196	TFCN25331D1_000673-T1	DBVPG3775_001393-T1
GF00000197	TFCN25331D1_004097-T1	DBVPG3775_003741-T1
GF00000198	TFCN25331D1_000485-T1	DBVPG3775_001329-T1
GF00000199	TFCN25331D1_000614-T1	DBVPG3775_001452-T1
GF00000200	TFCN25331D1_005645-T1	DBVPG3775_004520-T1
GF00000201	TFCN25331D1_012974-T1	DBVPG3775_001743-T1
GF00000202	TFCN25331D1_000836-T1	DBVPG3775_001961-T1
GF00000203	TFCN25331D1_011649-T1	DBVPG3775_003302-T1
GF00000204	TFCN25331D1_004945-T1	DBVPG3775_005109-T1
GF00000205	TFCN25331D1_010529-T1	DBVPG3775_007483-T1
GF00000206	TFCN25331D1_002898-T1	DBVPG3775_000814-T1
GF00000207	TFCN25331D1_012878-T1	DBVPG3775_003066-T1
GF00000208	TFCN25331D1_003282-T1	DBVPG3775_005857-T1
GF00000209	TFCN25331D1_012449-T1	DBVPG3775_007454-T1
GF00000210	TFCN25331D1_002431-T1	DBVPG3775_004335-T1
GF00000211	TFCN25331D1_002466-T1	DBVPG3775_004097-T1
GF00000212	TFCN25331D1_013521-T1	DBVPG3775_003143-T1
GF00000213	TFCN25331D1_012831-T1	DBVPG3775_003306-T1
GF00000214	TFCN25331D1_006281-T1	DBVPG3775_002291-T1
GF00000215	TFCN25331D1_006559-T1	DBVPG3775_000680-T1
GF00000216	TFCN25331D1_003908-T1	DBVPG3775_001993-T1
GF00000217	TFCN25331D1_010555-T1	DBVPG3775_003503-T1
GF00000218	TFCN25331D1_008897-T1	DBVPG3775_005645-T1
GF00000219	TFCN25331D1_006458-T1	DBVPG3775_006643-T1
GF00000220	TFCN25331D1_003876-T1	DBVPG3775_002024-T1
GF00000221	TFCN25331D1_010541-T1	DBVPG3775_007520-T1
GF00000222	TFCN25331D1_013152-T1	DBVPG3775_001832-T1
GF00000223	TFCN25331D1_011108-T1	DBVPG3775_002596-T1
GF00000224	TFCN25331D1_007941-T1	DBVPG3775_002706-T1
GF00000225	TFCN25331D1_007627-T1	DBVPG3775_005742-T1
GF00000226	TFCN25331D1_005396-T1	DBVPG3775_002755-T1
GF00000227	TFCN25331D1_007754-T1	DBVPG3775_006611-T1
GF00000228	TFCN25331D1_006544-T1	DBVPG3775_000695-T1
GF00000229	TFCN25331D1_006507-T1	DBVPG3775_000730-T1
GF00000230	TFCN25331D1_006591-T1	DBVPG3775_000649-T1
GF00000231	TFCN25331D1_011602-T1	DBVPG3775_003422-T1
GF00000232	TFCN25331D1_006880-T1	DBVPG3775_000514-T1
GF00000233	TFCN25331D1_007365-T1	DBVPG3775_006896-T1
GF00000234	TFCN25331D1_011633-T1	DBVPG3775_003607-T1
GF00000235	TFCN25331D1_012466-T1	DBVPG3775_002745-T1
GF00000236	TFCN25331D1_001065-T1	DBVPG3775_007395-T1
GF00000237	TFCN25331D1_000406-T1	DBVPG3775_001230-T1
GF00000238	TFCN25331D1_007467-T1	DBVPG3775_000475-T1
GF00000239	TFCN25331D1_008178-T1	DBVPG3775_001049-T1
GF00000240	TFCN25331D1_000268-T1	DBVPG3775_001088-T1
GF00000241	TFCN25331D1_005772-T1	DBVPG3775_001117-T1
GF00000242	TFCN25331D1_000433-T1	DBVPG3775_001264-T1
GF00000243	TFCN25331D1_008061-T1	DBVPG3775_001297-T1
GF00000244	TFCN25331D1_008982-T1	DBVPG3775_001535-T1
GF00000245	TFCN25331D1_007716-T1	DBVPG3775_001529-T1
GF00000246	TFCN25331D1_000651-T1	DBVPG3775_001414-T1
GF00000247	TFCN25331D1_002543-T1	DBVPG3775_006913-T1
GF00000248	TFCN25331D1_000695-T1	DBVPG3775_001377-T1
GF00000249	TFCN25331D1_000762-T1	DBVPG3775_005578-T1
GF00000250	TFCN25331D1_003749-T1	DBVPG3775_002196-T1
GF00000251	TFCN25331D1_007581-T1	DBVPG3775_005791-T1
GF00000252	TFCN25331D1_011332-T1	DBVPG3775_004253-T1
GF00000253	TFCN25331D1_008554-T1	DBVPG3775_006594-T1
GF00000254	TFCN25331D1_002999-T1	DBVPG3775_003677-T1
GF00000255	TFCN25331D1_012873-T1	DBVPG3775_003071-T1
GF00000256	TFCN25331D1_003645-T1	DBVPG3775_002301-T1
GF00000257	TFCN25331D1_001638-T1	DBVPG3775_003051-T1
GF00000258	TFCN25331D1_004911-T1	DBVPG3775_005145-T1
GF00000259	TFCN25331D1_002008-T1	DBVPG3775_002522-T1
GF00000260	TFCN25331D1_002130-T1	DBVPG3775_002405-T1
GF00000261	TFCN25331D1_008103-T1	DBVPG3775_005952-T1
GF00000262	TFCN25331D1_002352-T1	DBVPG3775_005531-T1
GF00000263	TFCN25331D1_002355-T1	DBVPG3775_005534-T1
GF00000264	TFCN25331D1_010114-T1	DBVPG3775_004311-T1
GF00000265	TFCN25331D1_010241-T1	DBVPG3775_005215-T1
GF00000266	TFCN25331D1_008946-T1	DBVPG3775_003965-T1
GF00000267	TFCN25331D1_005933-T1	DBVPG3775_006039-T1
GF00000268	TFCN25331D1_005887-T1	DBVPG3775_006397-T1
GF00000269	TFCN25331D1_010859-T1	DBVPG3775_004544-T1
GF00000270	TFCN25331D1_011425-T1	DBVPG3775_004387-T1
GF00000271	TFCN25331D1_003421-T1	DBVPG3775_005884-T1
GF00000272	TFCN25331D1_004446-T1	DBVPG3775_006573-T1
GF00000273	TFCN25331D1_012795-T1	DBVPG3775_003964-T1
GF00000274	TFCN25331D1_003189-T1	DBVPG3775_003466-T1
GF00000275	TFCN25331D1_003779-T1	DBVPG3775_002159-T1
GF00000276	TFCN25331D1_010482-T1	DBVPG3775_000249-T1
GF00000277	TFCN25331D1_006439-T1	DBVPG3775_007517-T1
GF00000278	TFCN25331D1_003543-T1	DBVPG3775_006418-T1
GF00000279	TFCN25331D1_007410-T1	DBVPG3775_006264-T1
GF00000280	TFCN25331D1_003689-T1	DBVPG3775_002256-T1
GF00000281	TFCN25331D1_011980-T1	DBVPG3775_002157-T1
GF00000282	TFCN25331D1_005329-T1	DBVPG3775_004459-T1
GF00000283	TFCN25331D1_008309-T1	DBVPG3775_000593-T1
GF00000284	TFCN25331D1_009329-T1	DBVPG3775_000155-T1
GF00000285	TFCN25331D1_010679-T1	DBVPG3775_006814-T1
GF00000286	TFCN25331D1_006051-T1	DBVPG3775_004711-T1
GF00000287	TFCN25331D1_007784-T1	DBVPG3775_007522-T1
GF00000288	TFCN25331D1_009142-T1	DBVPG3775_004735-T1
GF00000289	TFCN25331D1_013605-T1	DBVPG3775_003643-T1
GF00000290	TFCN25331D1_006504-T1	DBVPG3775_000733-T1
GF00000291	TFCN25331D1_011683-T1	DBVPG3775_002585-T1
GF00000292	TFCN25331D1_010355-T1	DBVPG3775_004633-T1
GF00000293	TFCN25331D1_010466-T1	DBVPG3775_000234-T1
GF00000294	TFCN25331D1_009193-T1	DBVPG3775_003215-T1
GF00000295	TFCN25331D1_011241-T1	DBVPG3775_005915-T1
GF00000296	TFCN25331D1_009723-T1	DBVPG3775_002575-T1
GF00000297	TFCN25331D1_009550-T1	DBVPG3775_001623-T1
GF00000298	TFCN25331D1_012468-T1	DBVPG3775_002749-T1
GF00000299	TFCN25331D1_008451-T1	DBVPG3775_005888-T1
GF00000300	TFCN25331D1_000004-T1	DBVPG3775_002625-T1
GF00000301	TFCN25331D1_011538-T1	DBVPG3775_005967-T1
GF00000302	TFCN25331D1_000015-T1	DBVPG3775_007188-T1
GF00000303	TFCN25331D1_007023-T1	DBVPG3775_006176-T1
GF00000304	TFCN25331D1_009989-T1	DBVPG3775_007079-T1
GF00000305	TFCN25331D1_005241-T1	DBVPG3775_002694-T1
GF00000306	TFCN25331D1_002717-T1	DBVPG3775_007059-T1
GF00000307	TFCN25331D1_002720-T1	DBVPG3775_007056-T1
GF00000308	TFCN25331D1_000094-T1	DBVPG3775_004116-T1
GF00000309	TFCN25331D1_009832-T1	DBVPG3775_006421-T1
GF00000310	TFCN25331D1_000100-T1	DBVPG3775_004122-T1
GF00000311	TFCN25331D1_006456-T1	DBVPG3775_003267-T1
GF00000312	TFCN25331D1_005213-T1	DBVPG3775_002667-T1
GF00000313	TFCN25331D1_013229-T1	DBVPG3775_001806-T1
GF00000314	TFCN25331D1_002781-T1	DBVPG3775_004167-T1
GF00000315	TFCN25331D1_002769-T1	DBVPG3775_004155-T1
GF00000316	TFCN25331D1_008288-T1	DBVPG3775_000577-T1
GF00000317	TFCN25331D1_000756-T1	DBVPG3775_005572-T1
GF00000318	TFCN25331D1_012272-T1	DBVPG3775_006802-T1
GF00000319	TFCN25331D1_007624-T1	DBVPG3775_005745-T1
GF00000320	TFCN25331D1_005938-T1	DBVPG3775_001059-T1
GF00000321	TFCN25331D1_004321-T1	DBVPG3775_007135-T1
GF00000322	TFCN25331D1_011048-T1	DBVPG3775_000208-T1
GF00000323	TFCN25331D1_007113-T1	DBVPG3775_005491-T1
GF00000324	TFCN25331D1_007296-T1	DBVPG3775_005847-T1
GF00000325	TFCN25331D1_009591-T1	DBVPG3775_005426-T1
GF00000326	TFCN25331D1_001141-T1	DBVPG3775_000953-T1
GF00000327	TFCN25331D1_004795-T1	DBVPG3775_004888-T1
GF00000328	TFCN25331D1_012435-T1	DBVPG3775_007359-T1
GF00000329	TFCN25331D1_012821-T1	DBVPG3775_003315-T1
GF00000330	TFCN25331D1_013400-T1	DBVPG3775_002165-T1
GF00000331	TFCN25331D1_008574-T1	DBVPG3775_001728-T1
GF00000332	TFCN25331D1_003894-T1	DBVPG3775_002006-T1
GF00000333	TFCN25331D1_000426-T1	DBVPG3775_001255-T1
GF00000334	TFCN25331D1_008096-T1	DBVPG3775_001256-T1
GF00000335	TFCN25331D1_008062-T1	DBVPG3775_001296-T1
GF00000336	TFCN25331D1_012146-T1	DBVPG3775_000120-T1
GF00000337	TFCN25331D1_000478-T1	DBVPG3775_001321-T1
GF00000338	TFCN25331D1_010967-T1	DBVPG3775_006684-T1
GF00000339	TFCN25331D1_008251-T1	DBVPG3775_000508-T1
GF00000340	TFCN25331D1_005031-T1	DBVPG3775_001554-T1
GF00000341	TFCN25331D1_006806-T1	DBVPG3775_006493-T1
GF00000342	TFCN25331D1_000740-T1	DBVPG3775_005556-T1
GF00000343	TFCN25331D1_011818-T1	DBVPG3775_002690-T1
GF00000344	TFCN25331D1_003628-T1	DBVPG3775_006277-T1
GF00000345	TFCN25331D1_003337-T1	DBVPG3775_000257-T1
GF00000346	TFCN25331D1_007747-T1	DBVPG3775_001454-T1
GF00000347	TFCN25331D1_013017-T1	DBVPG3775_007433-T1
GF00000348	TFCN25331D1_003102-T1	DBVPG3775_002978-T1
GF00000349	TFCN25331D1_011001-T1	DBVPG3775_003282-T1
GF00000350	TFCN25331D1_000686-T1	DBVPG3775_001380-T1
GF00000351	TFCN25331D1_000689-T1	DBVPG3775_001376-T1
GF00000352	TFCN25331D1_006761-T1	DBVPG3775_001367-T1
GF00000353	TFCN25331D1_009763-T1	DBVPG3775_006459-T1
GF00000354	TFCN25331D1_000804-T1	DBVPG3775_005621-T1
GF00000355	TFCN25331D1_008119-T1	DBVPG3775_005969-T1
GF00000356	TFCN25331D1_000818-T1	DBVPG3775_005633-T1
GF00000357	TFCN25331D1_000821-T1	DBVPG3775_003156-T1
GF00000358	TFCN25331D1_000826-T1	DBVPG3775_007344-T1
GF00000359	TFCN25331D1_013796-T1	DBVPG3775_000693-T1
GF00000360	TFCN25331D1_001011-T1	DBVPG3775_004887-T1
GF00000361	TFCN25331D1_002218-T1	DBVPG3775_005323-T1
GF00000362	TFCN25331D1_008738-T1	DBVPG3775_001813-T1
GF00000363	TFCN25331D1_000892-T1	DBVPG3775_003902-T1
GF00000364	TFCN25331D1_000899-T1	DBVPG3775_003895-T1
GF00000365	TFCN25331D1_004001-T1	DBVPG3775_000105-T1
GF00000366	TFCN25331D1_012318-T1	DBVPG3775_006523-T1
GF00000367	TFCN25331D1_010436-T1	DBVPG3775_000400-T1
GF00000368	TFCN25331D1_000936-T1	DBVPG3775_003856-T1
GF00000369	TFCN25331D1_004856-T1	DBVPG3775_007410-T1
GF00000370	TFCN25331D1_000953-T1	DBVPG3775_004831-T1
GF00000371	TFCN25331D1_000956-T1	DBVPG3775_004832-T1
GF00000372	TFCN25331D1_012020-T1	DBVPG3775_007364-T1
GF00000373	TFCN25331D1_000973-T1	DBVPG3775_004847-T1
GF00000374	TFCN25331D1_007190-T1	DBVPG3775_003755-T1
GF00000375	TFCN25331D1_012523-T1	DBVPG3775_007371-T1
GF00000376	TFCN25331D1_004989-T1	DBVPG3775_005065-T1
GF00000377	TFCN25331D1_009603-T1	DBVPG3775_000282-T1
GF00000378	TFCN25331D1_004836-T1	DBVPG3775_004931-T1
GF00000379	TFCN25331D1_006307-T1	DBVPG3775_002266-T1
GF00000380	TFCN25331D1_004868-T1	DBVPG3775_007398-T1
GF00000381	TFCN25331D1_001070-T1	DBVPG3775_007400-T1
GF00000382	TFCN25331D1_010368-T1	DBVPG3775_004646-T1
GF00000383	TFCN25331D1_001532-T1	DBVPG3775_003224-T1
GF00000384	TFCN25331D1_001120-T1	DBVPG3775_002379-T1
GF00000385	TFCN25331D1_001128-T1	DBVPG3775_000966-T1
GF00000386	TFCN25331D1_009136-T1	DBVPG3775_004741-T1
GF00000387	TFCN25331D1_001221-T1	DBVPG3775_000876-T1
GF00000388	TFCN25331D1_010215-T1	DBVPG3775_003407-T1
GF00000389	TFCN25331D1_001161-T1	DBVPG3775_000908-T1
GF00000390	TFCN25331D1_004452-T1	DBVPG3775_002992-T1
GF00000391	TFCN25331D1_003727-T1	DBVPG3775_002216-T1
GF00000392	TFCN25331D1_004497-T1	DBVPG3775_003688-T1
GF00000393	TFCN25331D1_001455-T1	DBVPG3775_000900-T1
GF00000394	TFCN25331D1_013512-T1	DBVPG3775_000675-T1
GF00000395	TFCN25331D1_001219-T1	DBVPG3775_000878-T1
GF00000396	TFCN25331D1_007316-T1	DBVPG3775_007207-T1
