	Rhodotorula_mucilaginosa_TFCN_17-337P-5.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000011	TFCN17337P5_001030-T1, TFCN17337P5_002982-T1, TFCN17337P5_014613-T1, TFCN17337P5_004083-T1, TFCN17337P5_000237-T1, TFCN17337P5_006735-T1, TFCN17337P5_005756-T1, TFCN17337P5_002878-T1, TFCN17337P5_014274-T1, TFCN17337P5_010595-T1, TFCN17337P5_008893-T1, TFCN17337P5_003578-T1, TFCN17337P5_009629-T1, TFCN17337P5_011833-T1, TFCN17337P5_004927-T1, TFCN17337P5_005463-T1, TFCN17337P5_004381-T1, TFCN17337P5_001620-T1, TFCN17337P5_003743-T1, TFCN17337P5_002026-T1, TFCN17337P5_009343-T1, TFCN17337P5_001804-T1, TFCN17337P5_012866-T1, TFCN17337P5_013936-T1	DBVPG3775_000746-T1, DBVPG3775_000867-T1, DBVPG3775_001752-T1, DBVPG3775_002017-T1, DBVPG3775_002532-T1, DBVPG3775_003035-T1, DBVPG3775_003309-T1, DBVPG3775_003781-T1, DBVPG3775_004455-T1, DBVPG3775_004768-T1, DBVPG3775_005244-T1, DBVPG3775_005784-T1
GF00000012	TFCN17337P5_000750-T1, TFCN17337P5_006621-T1, TFCN17337P5_009509-T1, TFCN17337P5_014388-T1, TFCN17337P5_006622-T1, TFCN17337P5_013356-T1, TFCN17337P5_007419-T1, TFCN17337P5_007420-T1, TFCN17337P5_004969-T1, TFCN17337P5_006460-T1, TFCN17337P5_002293-T1, TFCN17337P5_004968-T1, TFCN17337P5_008295-T1, TFCN17337P5_000845-T1, TFCN17337P5_011711-T1, TFCN17337P5_012816-T1, TFCN17337P5_013357-T1, TFCN17337P5_007878-T1, TFCN17337P5_012702-T1, TFCN17337P5_006921-T1, TFCN17337P5_009943-T1, TFCN17337P5_007421-T1	DBVPG3775_000020-T1, DBVPG3775_001365-T1, DBVPG3775_003582-T1, DBVPG3775_003583-T1, DBVPG3775_005271-T1, DBVPG3775_005521-T1, DBVPG3775_005883-T1, DBVPG3775_006205-T1, DBVPG3775_006206-T1, DBVPG3775_006207-T1, DBVPG3775_006585-T1, DBVPG3775_007174-T1
GF00000013	TFCN17337P5_000487-T1, TFCN17337P5_009310-T1, TFCN17337P5_013985-T1, TFCN17337P5_006638-T1, TFCN17337P5_006044-T1, TFCN17337P5_014068-T1, TFCN17337P5_007184-T1, TFCN17337P5_008727-T1, TFCN17337P5_009273-T1, TFCN17337P5_003475-T1, TFCN17337P5_003933-T1, TFCN17337P5_005037-T1, TFCN17337P5_004343-T1, TFCN17337P5_005426-T1, TFCN17337P5_011572-T1, TFCN17337P5_008601-T1, TFCN17337P5_005352-T1, TFCN17337P5_009656-T1, TFCN17337P5_011401-T1, TFCN17337P5_005730-T1, TFCN17337P5_008600-T1	DBVPG3775_000220-T1, DBVPG3775_002880-T1, DBVPG3775_003138-T1, DBVPG3775_003600-T1, DBVPG3775_003743-T1, DBVPG3775_004518-T1, DBVPG3775_006430-T1, DBVPG3775_006795-T1, DBVPG3775_006844-T1, DBVPG3775_006854-T1, DBVPG3775_007229-T1
GF00000014	TFCN17337P5_001113-T1, TFCN17337P5_007574-T1, TFCN17337P5_005825-T1, TFCN17337P5_010101-T1, TFCN17337P5_003928-T1, TFCN17337P5_005040-T1, TFCN17337P5_003368-T1, TFCN17337P5_002074-T1, TFCN17337P5_001647-T1, TFCN17337P5_010824-T1, TFCN17337P5_008669-T1, TFCN17337P5_003774-T1, TFCN17337P5_007869-T1, TFCN17337P5_012522-T1, TFCN17337P5_007570-T1, TFCN17337P5_001117-T1, TFCN17337P5_001994-T1, TFCN17337P5_009560-T1, TFCN17337P5_011677-T1, TFCN17337P5_006550-T1, TFCN17337P5_005866-T1	DBVPG3775_000011-T1, DBVPG3775_002242-T1, DBVPG3775_002284-T1, DBVPG3775_002987-T1, DBVPG3775_003133-T1, DBVPG3775_004425-T1, DBVPG3775_006042-T1, DBVPG3775_006046-T1, DBVPG3775_006709-T1, DBVPG3775_007551-T1
GF00000015	TFCN17337P5_002701-T1, TFCN17337P5_004279-T1, TFCN17337P5_011529-T1, TFCN17337P5_002926-T1, TFCN17337P5_005501-T1, TFCN17337P5_008368-T1, TFCN17337P5_007807-T1, TFCN17337P5_008407-T1, TFCN17337P5_012899-T1, TFCN17337P5_011899-T1, TFCN17337P5_004437-T1, TFCN17337P5_013521-T1, TFCN17337P5_007392-T1, TFCN17337P5_008524-T1, TFCN17337P5_013469-T1, TFCN17337P5_008522-T1, TFCN17337P5_013471-T1, TFCN17337P5_008523-T1, TFCN17337P5_013470-T1, TFCN17337P5_014514-T1	DBVPG3775_000902-T1, DBVPG3775_001968-T1, DBVPG3775_001969-T1, DBVPG3775_002547-T1, DBVPG3775_002548-T1, DBVPG3775_002549-T1, DBVPG3775_002633-T1, DBVPG3775_003491-T1, DBVPG3775_003530-T1, DBVPG3775_007393-T1
GF00000016	TFCN17337P5_000953-T1, TFCN17337P5_003055-T1, TFCN17337P5_007305-T1, TFCN17337P5_007339-T1, TFCN17337P5_014633-T1, TFCN17337P5_007379-T1, TFCN17337P5_001026-T1, TFCN17337P5_007286-T1, TFCN17337P5_007524-T1, TFCN17337P5_002986-T1, TFCN17337P5_014490-T1, TFCN17337P5_007383-T1, TFCN17337P5_003420-T1, TFCN17337P5_002128-T1, TFCN17337P5_002023-T1, TFCN17337P5_009340-T1, TFCN17337P5_003421-T1, TFCN17337P5_002127-T1, TFCN17337P5_007287-T1, TFCN17337P5_007525-T1	DBVPG3775_000922-T1, DBVPG3775_000926-T1, DBVPG3775_000959-T1, DBVPG3775_000979-T1, DBVPG3775_002364-T1, DBVPG3775_002438-T1, DBVPG3775_002935-T1, DBVPG3775_002936-T1, DBVPG3775_003039-T1
GF00000017	TFCN17337P5_002005-T1, TFCN17337P5_007215-T1, TFCN17337P5_012829-T1, TFCN17337P5_006902-T1, TFCN17337P5_009939-T1, TFCN17337P5_006917-T1, TFCN17337P5_010187-T1, TFCN17337P5_012408-T1, TFCN17337P5_006415-T1, TFCN17337P5_014616-T1, TFCN17337P5_011312-T1, TFCN17337P5_007727-T1, TFCN17337P5_010938-T1, TFCN17337P5_007741-T1, TFCN17337P5_010940-T1, TFCN17337P5_007728-T1, TFCN17337P5_010939-T1, TFCN17337P5_010941-T1, TFCN17337P5_008911-T1, TFCN17337P5_010612-T1	DBVPG3775_000527-T1, DBVPG3775_003328-T1, DBVPG3775_003329-T1, DBVPG3775_003330-T1, DBVPG3775_003331-T1, DBVPG3775_004277-T1, DBVPG3775_005887-T1, DBVPG3775_005902-T1, DBVPG3775_006341-T1
GF00000018	TFCN17337P5_000635-T1, TFCN17337P5_011220-T1, TFCN17337P5_010324-T1, TFCN17337P5_013717-T1, TFCN17337P5_007825-T1, TFCN17337P5_008386-T1, TFCN17337P5_005399-T1, TFCN17337P5_006339-T1, TFCN17337P5_010239-T1, TFCN17337P5_002885-T1, TFCN17337P5_009849-T1, TFCN17337P5_000638-T1, TFCN17337P5_007620-T1, TFCN17337P5_012111-T1, TFCN17337P5_013258-T1, TFCN17337P5_005928-T1, TFCN17337P5_014584-T1, TFCN17337P5_011217-T1, TFCN17337P5_014583-T1	DBVPG3775_000070-T1, DBVPG3775_000073-T1, DBVPG3775_000646-T1, DBVPG3775_002010-T1, DBVPG3775_003512-T1, DBVPG3775_004564-T1, DBVPG3775_005564-T1, DBVPG3775_006246-T1, DBVPG3775_007111-T1
GF00000019	TFCN17337P5_008166-T1, TFCN17337P5_009007-T1, TFCN17337P5_011560-T1, TFCN17337P5_008116-T1, TFCN17337P5_005613-T1, TFCN17337P5_006731-T1, TFCN17337P5_001699-T1, TFCN17337P5_005752-T1, TFCN17337P5_006730-T1, TFCN17337P5_003831-T1, TFCN17337P5_012317-T1, TFCN17337P5_012318-T1, TFCN17337P5_011912-T1, TFCN17337P5_013066-T1, TFCN17337P5_013018-T1, TFCN17337P5_008800-T1, TFCN17337P5_004888-T1	DBVPG3775_001546-T1, DBVPG3775_004369-T1, DBVPG3775_005206-T1, DBVPG3775_005788-T1, DBVPG3775_006461-T1, DBVPG3775_006604-T1, DBVPG3775_006605-T1, DBVPG3775_007217-T1, DBVPG3775_007366-T1, DBVPG3775_007367-T1, DBVPG3775_007368-T1
GF00000020	TFCN17337P5_000386-T1, TFCN17337P5_001408-T1, TFCN17337P5_000387-T1, TFCN17337P5_012755-T1, TFCN17337P5_005896-T1, TFCN17337P5_009678-T1, TFCN17337P5_005330-T1, TFCN17337P5_009701-T1, TFCN17337P5_010533-T1, TFCN17337P5_013180-T1, TFCN17337P5_014151-T1, TFCN17337P5_008980-T1, TFCN17337P5_008141-T1, TFCN17337P5_004051-T1, TFCN17337P5_004116-T1, TFCN17337P5_007606-T1, TFCN17337P5_012094-T1, TFCN17337P5_005329-T1, TFCN17337P5_012753-T1	DBVPG3775_000677-T1, DBVPG3775_001251-T1, DBVPG3775_001509-T1, DBVPG3775_001719-T1, DBVPG3775_004497-T1, DBVPG3775_005432-T1, DBVPG3775_006228-T1
GF00000021	TFCN17337P5_000768-T1, TFCN17337P5_014378-T1, TFCN17337P5_008039-T1, TFCN17337P5_010394-T1, TFCN17337P5_003688-T1, TFCN17337P5_006821-T1, TFCN17337P5_007512-T1, TFCN17337P5_007279-T1, TFCN17337P5_006688-T1, TFCN17337P5_006687-T1, TFCN17337P5_007280-T1, TFCN17337P5_006305-T1, TFCN17337P5_007513-T1, TFCN17337P5_001565-T1, TFCN17337P5_005252-T1, TFCN17337P5_003687-T1, TFCN17337P5_007281-T1	DBVPG3775_000990-T1, DBVPG3775_000991-T1, DBVPG3775_001797-T1, DBVPG3775_001798-T1, DBVPG3775_005455-T1, DBVPG3775_005693-T1, DBVPG3775_005995-T1, DBVPG3775_005996-T1, DBVPG3775_006335-T1
GF00000022	TFCN17337P5_000921-T1, TFCN17337P5_003088-T1, TFCN17337P5_006227-T1, TFCN17337P5_010774-T1, TFCN17337P5_011564-T1, TFCN17337P5_008119-T1, TFCN17337P5_012090-T1, TFCN17337P5_008853-T1, TFCN17337P5_009572-T1, TFCN17337P5_011503-T1, TFCN17337P5_010055-T1, TFCN17337P5_013192-T1, TFCN17337P5_003087-T1, TFCN17337P5_005574-T1, TFCN17337P5_011083-T1, TFCN17337P5_014528-T1, TFCN17337P5_009119-T1	DBVPG3775_001464-T1, DBVPG3775_001893-T1, DBVPG3775_002118-T1, DBVPG3775_002468-T1, DBVPG3775_003247-T1, DBVPG3775_004801-T1, DBVPG3775_006805-T1, DBVPG3775_007221-T1
GF00000023	TFCN17337P5_013723-T1, TFCN17337P5_010317-T1, TFCN17337P5_000305-T1, TFCN17337P5_001492-T1, TFCN17337P5_008012-T1, TFCN17337P5_003660-T1, TFCN17337P5_009166-T1, TFCN17337P5_003441-T1, TFCN17337P5_009235-T1, TFCN17337P5_008915-T1, TFCN17337P5_000416-T1, TFCN17337P5_000715-T1, TFCN17337P5_003876-T1, TFCN17337P5_005090-T1, TFCN17337P5_008535-T1, TFCN17337P5_009809-T1	DBVPG3775_001167-T1, DBVPG3775_001288-T1, DBVPG3775_001825-T1, DBVPG3775_002916-T1, DBVPG3775_003081-T1, DBVPG3775_005306-T1, DBVPG3775_005571-T1, DBVPG3775_006977-T1
GF00000024	TFCN17337P5_000155-T1, TFCN17337P5_001236-T1, TFCN17337P5_009182-T1, TFCN17337P5_003315-T1, TFCN17337P5_012777-T1, TFCN17337P5_000640-T1, TFCN17337P5_007843-T1, TFCN17337P5_014089-T1, TFCN17337P5_013388-T1, TFCN17337P5_009476-T1, TFCN17337P5_010214-T1, TFCN17337P5_003166-T1, TFCN17337P5_013858-T1, TFCN17337P5_013815-T1, TFCN17337P5_004931-T1, TFCN17337P5_011829-T1	DBVPG3775_000068-T1, DBVPG3775_003889-T1, DBVPG3775_004041-T1, DBVPG3775_004212-T1, DBVPG3775_005248-T1, DBVPG3775_006550-T1, DBVPG3775_007311-T1, DBVPG3775_007478-T1
