	Rhodotorula_mucilaginosa_DBVPG_3857.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000038	DBVPG3857_000169-T1	DBVPG3775_002328-T1
GF00000039	DBVPG3857_011502-T1	DBVPG3775_000357-T1
GF00000040	DBVPG3857_005115-T1	DBVPG3775_005599-T1
GF00000041	DBVPG3857_009546-T1	DBVPG3775_003313-T1
GF00000042	DBVPG3857_007675-T1	DBVPG3775_001370-T1
GF00000043	DBVPG3857_012625-T1	DBVPG3775_002869-T1
GF00000044	DBVPG3857_014258-T1	DBVPG3775_004293-T1
GF00000045	DBVPG3857_008834-T1	DBVPG3775_004622-T1
GF00000046	DBVPG3857_013632-T1	DBVPG3775_003326-T1
GF00000047	DBVPG3857_000060-T1	DBVPG3775_002206-T1
GF00000048	DBVPG3857_004409-T1	DBVPG3775_005960-T1
GF00000049	DBVPG3857_001455-T1	DBVPG3775_000170-T1
GF00000050	DBVPG3857_005575-T1	DBVPG3775_000026-T1
GF00000051	DBVPG3857_003711-T1	DBVPG3775_003520-T1
GF00000052	DBVPG3857_006322-T1	DBVPG3775_001902-T1
GF00000053	DBVPG3857_000046-T1	DBVPG3775_007424-T1
GF00000054	DBVPG3857_013677-T1	DBVPG3775_006341-T1
GF00000055	DBVPG3857_007374-T1	DBVPG3775_005080-T1
GF00000056	DBVPG3857_011341-T1	DBVPG3775_006241-T1
GF00000057	DBVPG3857_007236-T1	DBVPG3775_002941-T1
GF00000058	DBVPG3857_008030-T1	DBVPG3775_007158-T1
GF00000059	DBVPG3857_011450-T1	DBVPG3775_002043-T1
GF00000060	DBVPG3857_004269-T1	DBVPG3775_001251-T1
GF00000061	DBVPG3857_013673-T1	DBVPG3775_006345-T1
GF00000062	DBVPG3857_000059-T1	DBVPG3775_002218-T1
GF00000063	DBVPG3857_000446-T1	DBVPG3775_000467-T1
GF00000064	DBVPG3857_006823-T1	DBVPG3775_004521-T1
GF00000065	DBVPG3857_011305-T1	DBVPG3775_000993-T1
GF00000066	DBVPG3857_008498-T1	DBVPG3775_005295-T1
GF00000067	DBVPG3857_007101-T1	DBVPG3775_005166-T1
GF00000068	DBVPG3857_012170-T1	DBVPG3775_001018-T1
GF00000069	DBVPG3857_006240-T1	DBVPG3775_001451-T1
GF00000070	DBVPG3857_002924-T1	DBVPG3775_001993-T1
GF00000071	DBVPG3857_006626-T1	DBVPG3775_002336-T1
GF00000072	DBVPG3857_006764-T1	DBVPG3775_002338-T1
GF00000073	DBVPG3857_000888-T1	DBVPG3775_001088-T1
GF00000074	DBVPG3857_003745-T1	DBVPG3775_006818-T1
GF00000075	DBVPG3857_012042-T1	DBVPG3775_005163-T1
GF00000076	DBVPG3857_006599-T1	DBVPG3775_000966-T1
GF00000077	DBVPG3857_000439-T1	DBVPG3775_000475-T1
GF00000078	DBVPG3857_000524-T1	DBVPG3775_004080-T1
GF00000079	DBVPG3857_009584-T1	DBVPG3775_002579-T1
GF00000080	DBVPG3857_001251-T1	DBVPG3775_004181-T1
GF00000081	DBVPG3857_006586-T1	DBVPG3775_004808-T1
GF00000082	DBVPG3857_005754-T1	DBVPG3775_003881-T1
GF00000083	DBVPG3857_002110-T1	DBVPG3775_007241-T1
GF00000084	DBVPG3857_011058-T1	DBVPG3775_004717-T1
GF00000085	DBVPG3857_003434-T1	DBVPG3775_002745-T1
GF00000086	DBVPG3857_008561-T1	DBVPG3775_004376-T1
GF00000087	DBVPG3857_013220-T1	DBVPG3775_003273-T1
GF00000088	DBVPG3857_009072-T1	DBVPG3775_003251-T1
GF00000089	DBVPG3857_011048-T1	DBVPG3775_002177-T1
GF00000090	DBVPG3857_001715-T1	DBVPG3775_006959-T1
GF00000091	DBVPG3857_014763-T1	DBVPG3775_002226-T1
GF00000092	DBVPG3857_000097-T1	DBVPG3775_002257-T1
GF00000093	DBVPG3857_000135-T1	DBVPG3775_003686-T1
GF00000094	DBVPG3857_000166-T1	DBVPG3775_002326-T1
GF00000095	DBVPG3857_003481-T1	DBVPG3775_005324-T1
GF00000096	DBVPG3857_002843-T1	DBVPG3775_004520-T1
GF00000097	DBVPG3857_009562-T1	DBVPG3775_003328-T1
GF00000098	DBVPG3857_011604-T1	DBVPG3775_000562-T1
GF00000099	DBVPG3857_011056-T1	DBVPG3775_003172-T1
GF00000100	DBVPG3857_011924-T1	DBVPG3775_006948-T1
GF00000101	DBVPG3857_000910-T1	DBVPG3775_001065-T1
GF00000102	DBVPG3857_012763-T1	DBVPG3775_004339-T1
GF00000103	DBVPG3857_007470-T1	DBVPG3775_000082-T1
GF00000104	DBVPG3857_010290-T1	DBVPG3775_003792-T1
GF00000105	DBVPG3857_004894-T1	DBVPG3775_003841-T1
GF00000106	DBVPG3857_003287-T1	DBVPG3775_003742-T1
GF00000107	DBVPG3857_005480-T1	DBVPG3775_001677-T1
GF00000108	DBVPG3857_001910-T1	DBVPG3775_005033-T1
GF00000109	DBVPG3857_002345-T1	DBVPG3775_000842-T1
GF00000110	DBVPG3857_014213-T1	DBVPG3775_001549-T1
GF00000111	DBVPG3857_004754-T1	DBVPG3775_003741-T1
GF00000112	DBVPG3857_008786-T1	DBVPG3775_007105-T1
GF00000113	DBVPG3857_012243-T1	DBVPG3775_002526-T1
GF00000114	DBVPG3857_010283-T1	DBVPG3775_003785-T1
GF00000115	DBVPG3857_006393-T1	DBVPG3775_000368-T1
GF00000116	DBVPG3857_010292-T1	DBVPG3775_003794-T1
GF00000117	DBVPG3857_010878-T1	DBVPG3775_003280-T1
GF00000118	DBVPG3857_007056-T1	DBVPG3775_005157-T1
GF00000119	DBVPG3857_013837-T1	DBVPG3775_006015-T1
GF00000120	DBVPG3857_005857-T1	DBVPG3775_006133-T1
GF00000121	DBVPG3857_000728-T1	DBVPG3775_007088-T1
GF00000122	DBVPG3857_000350-T1	DBVPG3775_006210-T1
GF00000123	DBVPG3857_006915-T1	DBVPG3775_005915-T1
GF00000124	DBVPG3857_012789-T1	DBVPG3775_007575-T1
GF00000125	DBVPG3857_004740-T1	DBVPG3775_001230-T1
GF00000126	DBVPG3857_005714-T1	DBVPG3775_000153-T1
GF00000127	DBVPG3857_004353-T1	DBVPG3775_003411-T1
GF00000128	DBVPG3857_011918-T1	DBVPG3775_006954-T1
GF00000129	DBVPG3857_003441-T1	DBVPG3775_002749-T1
GF00000130	DBVPG3857_014343-T1	DBVPG3775_000376-T1
GF00000131	DBVPG3857_013920-T1	DBVPG3775_003673-T1
GF00000132	DBVPG3857_008235-T1	DBVPG3775_007270-T1
GF00000133	DBVPG3857_000022-T1	DBVPG3775_002180-T1
GF00000134	DBVPG3857_006290-T1	DBVPG3775_000814-T1
GF00000135	DBVPG3857_000756-T1	DBVPG3775_007063-T1
GF00000136	DBVPG3857_009691-T1	DBVPG3775_001795-T1
GF00000137	DBVPG3857_000357-T1	DBVPG3775_006220-T1
GF00000138	DBVPG3857_009289-T1	DBVPG3775_002083-T1
GF00000139	DBVPG3857_004977-T1	DBVPG3775_006076-T1
GF00000140	DBVPG3857_009122-T1	DBVPG3775_000439-T1
GF00000141	DBVPG3857_007614-T1	DBVPG3775_001962-T1
GF00000142	DBVPG3857_004249-T1	DBVPG3775_003607-T1
GF00000143	DBVPG3857_007150-T1	DBVPG3775_005572-T1
GF00000144	DBVPG3857_004844-T1	DBVPG3775_004880-T1
GF00000145	DBVPG3857_002280-T1	DBVPG3775_003709-T1
GF00000146	DBVPG3857_001816-T1	DBVPG3775_001719-T1
GF00000147	DBVPG3857_007052-T1	DBVPG3775_006418-T1
GF00000148	DBVPG3857_009997-T1	DBVPG3775_006643-T1
GF00000149	DBVPG3857_014624-T1	DBVPG3775_007226-T1
GF00000150	DBVPG3857_012093-T1	DBVPG3775_001020-T1
GF00000151	DBVPG3857_004618-T1	DBVPG3775_001377-T1
GF00000152	DBVPG3857_011156-T1	DBVPG3775_007423-T1
GF00000153	DBVPG3857_005758-T1	DBVPG3775_003877-T1
GF00000154	DBVPG3857_010676-T1	DBVPG3775_002435-T1
GF00000155	DBVPG3857_003376-T1	DBVPG3775_004308-T1
GF00000156	DBVPG3857_011497-T1	DBVPG3775_000399-T1
GF00000157	DBVPG3857_011316-T1	DBVPG3775_003422-T1
GF00000158	DBVPG3857_004995-T1	DBVPG3775_006388-T1
GF00000159	DBVPG3857_004381-T1	DBVPG3775_006673-T1
GF00000160	DBVPG3857_005361-T1	DBVPG3775_006014-T1
GF00000161	DBVPG3857_010000-T1	DBVPG3775_006662-T1
GF00000162	DBVPG3857_006510-T1	DBVPG3775_001517-T1
GF00000163	DBVPG3857_012163-T1	DBVPG3775_001025-T1
GF00000164	DBVPG3857_008889-T1	DBVPG3775_002596-T1
GF00000165	DBVPG3857_001653-T1	DBVPG3775_004865-T1
GF00000166	DBVPG3857_001315-T1	DBVPG3775_002271-T1
GF00000167	DBVPG3857_000132-T1	DBVPG3775_002291-T1
GF00000168	DBVPG3857_014310-T1	DBVPG3775_006584-T1
GF00000169	DBVPG3857_007035-T1	DBVPG3775_006421-T1
GF00000170	DBVPG3857_000464-T1	DBVPG3775_000449-T1
GF00000171	DBVPG3857_001905-T1	DBVPG3775_005038-T1
GF00000172	DBVPG3857_011388-T1	DBVPG3775_004097-T1
GF00000173	DBVPG3857_000543-T1	DBVPG3775_004061-T1
GF00000174	DBVPG3857_000623-T1	DBVPG3775_006031-T1
GF00000175	DBVPG3857_013316-T1	DBVPG3775_005942-T1
GF00000176	DBVPG3857_011575-T1	DBVPG3775_003865-T1
GF00000177	DBVPG3857_003686-T1	DBVPG3775_004642-T1
GF00000178	DBVPG3857_008626-T1	DBVPG3775_001140-T1
GF00000179	DBVPG3857_007258-T1	DBVPG3775_002965-T1
GF00000180	DBVPG3857_012293-T1	DBVPG3775_005546-T1
GF00000181	DBVPG3857_002467-T1	DBVPG3775_005082-T1
GF00000182	DBVPG3857_010946-T1	DBVPG3775_006624-T1
GF00000183	DBVPG3857_002494-T1	DBVPG3775_005109-T1
GF00000184	DBVPG3857_007194-T1	DBVPG3775_005771-T1
GF00000185	DBVPG3857_008128-T1	DBVPG3775_000312-T1
GF00000186	DBVPG3857_013450-T1	DBVPG3775_001671-T1
GF00000187	DBVPG3857_012709-T1	DBVPG3775_007442-T1
GF00000188	DBVPG3857_003580-T1	DBVPG3775_000395-T1
GF00000189	DBVPG3857_004214-T1	DBVPG3775_003643-T1
GF00000190	DBVPG3857_001544-T1	DBVPG3775_000258-T1
GF00000191	DBVPG3857_004642-T1	DBVPG3775_004760-T1
GF00000192	DBVPG3857_004478-T1	DBVPG3775_000632-T1
GF00000193	DBVPG3857_009534-T1	DBVPG3775_003302-T1
GF00000194	DBVPG3857_012755-T1	DBVPG3775_004335-T1
GF00000195	DBVPG3857_001768-T1	DBVPG3775_006416-T1
GF00000196	DBVPG3857_001794-T1	DBVPG3775_001743-T1
GF00000197	DBVPG3857_013451-T1	DBVPG3775_001670-T1
GF00000198	DBVPG3857_011272-T1	DBVPG3775_004731-T1
GF00000199	DBVPG3857_011531-T1	DBVPG3775_003229-T1
GF00000200	DBVPG3857_014072-T1	DBVPG3775_001832-T1
GF00000201	DBVPG3857_002403-T1	DBVPG3775_003072-T1
GF00000202	DBVPG3857_006798-T1	DBVPG3775_004545-T1
GF00000203	DBVPG3857_002555-T1	DBVPG3775_004711-T1
GF00000204	DBVPG3857_013916-T1	DBVPG3775_003677-T1
GF00000205	DBVPG3857_002638-T1	DBVPG3775_001266-T1
GF00000206	DBVPG3857_002690-T1	DBVPG3775_001329-T1
GF00000207	DBVPG3857_005291-T1	DBVPG3775_003134-T1
GF00000208	DBVPG3857_007428-T1	DBVPG3775_007483-T1
GF00000209	DBVPG3857_005529-T1	DBVPG3775_002488-T1
GF00000210	DBVPG3857_007407-T1	DBVPG3775_006611-T1
GF00000211	DBVPG3857_007021-T1	DBVPG3775_006438-T1
GF00000212	DBVPG3857_002957-T1	DBVPG3775_001961-T1
GF00000213	DBVPG3857_003036-T1	DBVPG3775_002677-T1
GF00000214	DBVPG3857_004509-T1	DBVPG3775_002756-T1
GF00000215	DBVPG3857_005803-T1	DBVPG3775_002751-T1
GF00000216	DBVPG3857_003492-T1	DBVPG3775_005314-T1
GF00000217	DBVPG3857_004138-T1	DBVPG3775_003496-T1
GF00000218	DBVPG3857_006241-T1	DBVPG3775_001452-T1
GF00000219	DBVPG3857_005158-T1	DBVPG3775_005626-T1
GF00000220	DBVPG3857_004312-T1	DBVPG3775_004544-T1
GF00000221	DBVPG3857_011271-T1	DBVPG3775_000695-T1
GF00000222	DBVPG3857_008270-T1	DBVPG3775_006806-T1
GF00000223	DBVPG3857_011261-T1	DBVPG3775_004721-T1
GF00000224	DBVPG3857_005256-T1	DBVPG3775_003098-T1
GF00000225	DBVPG3857_006460-T1	DBVPG3775_002145-T1
GF00000226	DBVPG3857_013375-T1	DBVPG3775_000271-T1
GF00000227	DBVPG3857_012952-T1	DBVPG3775_002706-T1
GF00000228	DBVPG3857_009649-T1	DBVPG3775_005383-T1
GF00000229	DBVPG3857_001361-T1	DBVPG3775_002224-T1
GF00000230	DBVPG3857_012377-T1	DBVPG3775_000431-T1
GF00000231	DBVPG3857_000781-T1	DBVPG3775_001192-T1
GF00000232	DBVPG3857_000936-T1	DBVPG3775_002840-T1
GF00000233	DBVPG3857_001201-T1	DBVPG3775_004230-T1
GF00000234	DBVPG3857_002425-T1	DBVPG3775_003051-T1
GF00000235	DBVPG3857_001534-T1	DBVPG3775_000249-T1
GF00000236	DBVPG3857_010452-T1	DBVPG3775_004253-T1
GF00000237	DBVPG3857_001878-T1	DBVPG3775_001830-T1
GF00000238	DBVPG3857_007225-T1	DBVPG3775_002930-T1
GF00000239	DBVPG3857_010990-T1	DBVPG3775_004963-T1
GF00000240	DBVPG3857_003202-T1	DBVPG3775_000775-T1
GF00000241	DBVPG3857_004831-T1	DBVPG3775_005791-T1
GF00000242	DBVPG3857_003417-T1	DBVPG3775_002723-T1
GF00000243	DBVPG3857_014489-T1	DBVPG3775_003066-T1
GF00000244	DBVPG3857_004333-T1	DBVPG3775_004566-T1
GF00000245	DBVPG3857_005180-T1	DBVPG3775_001813-T1
GF00000246	DBVPG3857_002975-T1	DBVPG3775_001991-T1
GF00000247	DBVPG3857_012098-T1	DBVPG3775_002882-T1
GF00000248	DBVPG3857_010060-T1	DBVPG3775_006357-T1
GF00000249	DBVPG3857_009076-T1	DBVPG3775_003255-T1
GF00000250	DBVPG3857_003801-T1	DBVPG3775_003601-T1
GF00000251	DBVPG3857_004058-T1	DBVPG3775_005534-T1
GF00000252	DBVPG3857_009257-T1	DBVPG3775_004502-T1
GF00000253	DBVPG3857_013843-T1	DBVPG3775_006021-T1
GF00000254	DBVPG3857_007002-T1	DBVPG3775_006456-T1
GF00000255	DBVPG3857_013859-T1	DBVPG3775_001819-T1
GF00000256	DBVPG3857_005262-T1	DBVPG3775_003104-T1
GF00000257	DBVPG3857_013929-T1	DBVPG3775_004342-T1
GF00000258	DBVPG3857_009538-T1	DBVPG3775_003306-T1
GF00000259	DBVPG3857_010177-T1	DBVPG3775_006303-T1
GF00000260	DBVPG3857_012591-T1	DBVPG3775_007277-T1
GF00000261	DBVPG3857_008894-T1	DBVPG3775_003523-T1
GF00000262	DBVPG3857_012205-T1	DBVPG3775_006859-T1
GF00000263	DBVPG3857_015135-T1	DBVPG3775_003080-T1
GF00000264	DBVPG3857_014858-T1	DBVPG3775_002159-T1
GF00000265	DBVPG3857_006478-T1	DBVPG3775_006325-T1
GF00000266	DBVPG3857_000462-T1	DBVPG3775_000451-T1
GF00000267	DBVPG3857_000773-T1	DBVPG3775_004118-T1
GF00000268	DBVPG3857_000760-T1	DBVPG3775_007059-T1
GF00000269	DBVPG3857_000715-T1	DBVPG3775_005884-T1
GF00000270	DBVPG3857_011524-T1	DBVPG3775_003223-T1
GF00000271	DBVPG3857_000404-T1	DBVPG3775_000514-T1
GF00000272	DBVPG3857_010394-T1	DBVPG3775_005842-T1
GF00000273	DBVPG3857_011901-T1	DBVPG3775_004019-T1
GF00000274	DBVPG3857_000631-T1	DBVPG3775_005145-T1
GF00000275	DBVPG3857_004365-T1	DBVPG3775_003267-T1
GF00000276	DBVPG3857_000855-T1	DBVPG3775_001117-T1
GF00000277	DBVPG3857_005653-T1	DBVPG3775_000208-T1
GF00000278	DBVPG3857_008277-T1	DBVPG3775_006799-T1
GF00000279	DBVPG3857_000938-T1	DBVPG3775_002838-T1
GF00000280	DBVPG3857_001017-T1	DBVPG3775_005645-T1
GF00000281	DBVPG3857_001030-T1	DBVPG3775_007285-T1
GF00000282	DBVPG3857_001105-T1	DBVPG3775_000094-T1
GF00000283	DBVPG3857_004788-T1	DBVPG3775_005745-T1
GF00000284	DBVPG3857_007574-T1	DBVPG3775_001049-T1
GF00000285	DBVPG3857_004163-T1	DBVPG3775_003471-T1
GF00000286	DBVPG3857_008307-T1	DBVPG3775_007400-T1
GF00000287	DBVPG3857_011162-T1	DBVPG3775_006594-T1
GF00000288	DBVPG3857_004837-T1	DBVPG3775_004887-T1
GF00000289	DBVPG3857_010157-T1	DBVPG3775_004876-T1
GF00000290	DBVPG3857_002232-T1	DBVPG3775_003755-T1
GF00000291	DBVPG3857_007206-T1	DBVPG3775_005742-T1
GF00000292	DBVPG3857_002101-T1	DBVPG3775_007250-T1
GF00000293	DBVPG3857_002142-T1	DBVPG3775_003215-T1
GF00000294	DBVPG3857_005050-T1	DBVPG3775_001535-T1
GF00000295	DBVPG3857_002469-T1	DBVPG3775_005084-T1
GF00000296	DBVPG3857_002482-T1	DBVPG3775_005097-T1
GF00000297	DBVPG3857_002528-T1	DBVPG3775_005721-T1
GF00000298	DBVPG3857_002636-T1	DBVPG3775_001264-T1
GF00000299	DBVPG3857_002663-T1	DBVPG3775_001296-T1
GF00000300	DBVPG3857_005078-T1	DBVPG3775_003965-T1
GF00000301	DBVPG3857_009264-T1	DBVPG3775_007454-T1
GF00000302	DBVPG3857_013583-T1	DBVPG3775_006439-T1
GF00000303	DBVPG3857_005334-T1	DBVPG3775_006576-T1
GF00000304	DBVPG3857_009529-T1	DBVPG3775_003362-T1
GF00000305	DBVPG3857_004168-T1	DBVPG3775_003466-T1
GF00000306	DBVPG3857_013111-T1	DBVPG3775_002405-T1
GF00000307	DBVPG3857_003216-T1	DBVPG3775_002427-T1
GF00000308	DBVPG3857_003411-T1	DBVPG3775_002716-T1
GF00000309	DBVPG3857_003503-T1	DBVPG3775_001887-T1
GF00000310	DBVPG3857_008379-T1	DBVPG3775_002056-T1
GF00000311	DBVPG3857_003575-T1	DBVPG3775_000400-T1
GF00000312	DBVPG3857_003627-T1	DBVPG3775_000345-T1
GF00000313	DBVPG3857_004131-T1	DBVPG3775_003503-T1
GF00000314	DBVPG3857_003724-T1	DBVPG3775_006842-T1
GF00000315	DBVPG3857_003752-T1	DBVPG3775_006896-T1
GF00000316	DBVPG3857_014205-T1	DBVPG3775_004633-T1
GF00000317	DBVPG3857_005134-T1	DBVPG3775_005603-T1
GF00000318	DBVPG3857_005166-T1	DBVPG3775_005633-T1
GF00000319	DBVPG3857_012408-T1	DBVPG3775_007344-T1
GF00000320	DBVPG3857_012291-T1	DBVPG3775_005544-T1
GF00000321	DBVPG3857_012288-T1	DBVPG3775_005541-T1
GF00000322	DBVPG3857_004349-T1	DBVPG3775_003407-T1
GF00000323	DBVPG3857_011456-T1	DBVPG3775_002037-T1
GF00000324	DBVPG3857_013615-T1	DBVPG3775_002610-T1
GF00000325	DBVPG3857_004461-T1	DBVPG3775_000649-T1
GF00000326	DBVPG3857_007240-T1	DBVPG3775_007022-T1
GF00000327	DBVPG3857_013075-T1	DBVPG3775_004754-T1
GF00000328	DBVPG3857_004924-T1	DBVPG3775_007548-T1
GF00000329	DBVPG3857_004928-T1	DBVPG3775_007517-T1
GF00000330	DBVPG3857_006664-T1	DBVPG3775_006573-T1
GF00000331	DBVPG3857_006009-T1	DBVPG3775_001529-T1
GF00000332	DBVPG3857_006149-T1	DBVPG3775_001607-T1
GF00000333	DBVPG3857_009588-T1	DBVPG3775_002575-T1
GF00000334	DBVPG3857_006709-T1	DBVPG3775_004488-T1
GF00000335	DBVPG3857_009578-T1	DBVPG3775_002585-T1
GF00000336	DBVPG3857_007131-T1	DBVPG3775_000733-T1
GF00000337	DBVPG3857_007219-T1	DBVPG3775_002925-T1
GF00000338	DBVPG3857_007501-T1	DBVPG3775_002522-T1
GF00000339	DBVPG3857_008929-T1	DBVPG3775_005857-T1
GF00000340	DBVPG3857_008266-T1	DBVPG3775_006810-T1
GF00000341	DBVPG3857_009327-T1	DBVPG3775_000605-T1
GF00000342	DBVPG3857_009330-T1	DBVPG3775_000608-T1
GF00000343	DBVPG3857_009482-T1	DBVPG3775_006499-T1
GF00000344	DBVPG3857_013086-T1	DBVPG3775_004741-T1
GF00000345	DBVPG3857_013679-T1	DBVPG3775_004737-T1
GF00000346	DBVPG3857_012769-T1	DBVPG3775_004347-T1
GF00000347	DBVPG3857_000004-T1	DBVPG3775_002157-T1
GF00000348	DBVPG3857_002281-T1	DBVPG3775_003708-T1
GF00000349	DBVPG3857_000009-T1	DBVPG3775_002165-T1
GF00000350	DBVPG3857_000030-T1	DBVPG3775_002188-T1
GF00000351	DBVPG3857_008809-T1	DBVPG3775_006283-T1
GF00000352	DBVPG3857_000032-T1	DBVPG3775_002196-T1
GF00000353	DBVPG3857_004846-T1	DBVPG3775_004878-T1
GF00000354	DBVPG3857_010298-T1	DBVPG3775_003800-T1
GF00000355	DBVPG3857_000057-T1	DBVPG3775_002216-T1
GF00000356	DBVPG3857_000105-T1	DBVPG3775_002266-T1
GF00000357	DBVPG3857_001305-T1	DBVPG3775_002281-T1
GF00000358	DBVPG3857_001290-T1	DBVPG3775_002296-T1
GF00000359	DBVPG3857_010616-T1	DBVPG3775_002947-T1
GF00000360	DBVPG3857_006608-T1	DBVPG3775_004784-T1
GF00000361	DBVPG3857_002061-T1	DBVPG3775_000818-T1
GF00000362	DBVPG3857_000772-T1	DBVPG3775_004116-T1
GF00000363	DBVPG3857_000219-T1	DBVPG3775_007056-T1
GF00000364	DBVPG3857_003053-T1	DBVPG3775_002694-T1
GF00000365	DBVPG3857_000739-T1	DBVPG3775_007079-T1
GF00000366	DBVPG3857_003648-T1	DBVPG3775_005877-T1
GF00000367	DBVPG3857_000711-T1	DBVPG3775_005888-T1
GF00000368	DBVPG3857_000709-T1	DBVPG3775_002625-T1
GF00000369	DBVPG3857_006422-T1	DBVPG3775_003358-T1
GF00000370	DBVPG3857_005408-T1	DBVPG3775_005967-T1
GF00000371	DBVPG3857_000548-T1	DBVPG3775_004056-T1
GF00000372	DBVPG3857_000284-T1	DBVPG3775_007189-T1
GF00000373	DBVPG3857_000320-T1	DBVPG3775_006176-T1
GF00000374	DBVPG3857_008301-T1	DBVPG3775_007395-T1
GF00000375	DBVPG3857_010920-T1	DBVPG3775_004659-T1
GF00000376	DBVPG3857_005498-T1	DBVPG3775_002458-T1
GF00000377	DBVPG3857_000500-T1	DBVPG3775_007537-T1
GF00000378	DBVPG3857_011808-T1	DBVPG3775_004275-T1
GF00000379	DBVPG3857_014655-T1	DBVPG3775_000546-T1
GF00000380	DBVPG3857_010494-T1	DBVPG3775_000543-T1
GF00000381	DBVPG3857_004326-T1	DBVPG3775_004558-T1
GF00000382	DBVPG3857_010788-T1	DBVPG3775_000508-T1
GF00000383	DBVPG3857_000416-T1	DBVPG3775_000500-T1
GF00000384	DBVPG3857_002355-T1	DBVPG3775_000832-T1
GF00000385	DBVPG3857_013856-T1	DBVPG3775_001816-T1
GF00000386	DBVPG3857_003025-T1	DBVPG3775_002667-T1
GF00000387	DBVPG3857_010535-T1	DBVPG3775_004072-T1
GF00000388	DBVPG3857_007881-T1	DBVPG3775_007010-T1
GF00000389	DBVPG3857_000565-T1	DBVPG3775_004039-T1
GF00000390	DBVPG3857_000569-T1	DBVPG3775_004034-T1
GF00000391	DBVPG3857_000574-T1	DBVPG3775_004029-T1
GF00000392	DBVPG3857_013769-T1	DBVPG3775_004294-T1
GF00000393	DBVPG3857_011693-T1	DBVPG3775_005129-T1
GF00000394	DBVPG3857_000654-T1	DBVPG3775_005945-T1
GF00000395	DBVPG3857_007030-T1	DBVPG3775_005938-T1
GF00000396	DBVPG3857_000702-T1	DBVPG3775_005897-T1
GF00000397	DBVPG3857_001808-T1	DBVPG3775_001728-T1
GF00000398	DBVPG3857_009548-T1	DBVPG3775_003315-T1
GF00000399	DBVPG3857_009254-T1	DBVPG3775_007359-T1
GF00000400	DBVPG3857_004836-T1	DBVPG3775_004888-T1
GF00000401	DBVPG3857_011026-T1	DBVPG3775_000953-T1
GF00000402	DBVPG3857_008736-T1	DBVPG3775_005426-T1
GF00000403	DBVPG3857_010399-T1	DBVPG3775_005847-T1
GF00000404	DBVPG3857_004102-T1	DBVPG3775_005491-T1
GF00000405	DBVPG3857_012612-T1	DBVPG3775_005039-T1
GF00000406	DBVPG3857_007442-T1	DBVPG3775_007554-T1
GF00000407	DBVPG3857_013133-T1	DBVPG3775_007135-T1
GF00000408	DBVPG3857_008776-T1	DBVPG3775_001059-T1
