	Rhodotorula_mucilaginosa_TFCN_17-0-2E390-2.cds.fa
GF00000011	TFCN1702E3902_000113-T1, TFCN1702E3902_002962-T1, TFCN1702E3902_010466-T1, TFCN1702E3902_009043-T1, TFCN1702E3902_009712-T1, TFCN1702E3902_009483-T1, TFCN1702E3902_001583-T1, TFCN1702E3902_001956-T1, TFCN1702E3902_000532-T1, TFCN1702E3902_010760-T1, TFCN1702E3902_008918-T1, TFCN1702E3902_011178-T1, TFCN1702E3902_009370-T1, TFCN1702E3902_005926-T1, TFCN1702E3902_000313-T1, TFCN1702E3902_012376-T1
GF00000012	TFCN1702E3902_009439-T1, TFCN1702E3902_005034-T1, TFCN1702E3902_010536-T1, TFCN1702E3902_007718-T1, TFCN1702E3902_005357-T1, TFCN1702E3902_009614-T1, TFCN1702E3902_007416-T1, TFCN1702E3902_005052-T1, TFCN1702E3902_000055-T1, TFCN1702E3902_002904-T1, TFCN1702E3902_007576-T1, TFCN1702E3902_011140-T1, TFCN1702E3902_007577-T1, TFCN1702E3902_012520-T1
GF00000013	TFCN1702E3902_003677-T1, TFCN1702E3902_009786-T1, TFCN1702E3902_009639-T1, TFCN1702E3902_001391-T1, TFCN1702E3902_007187-T1, TFCN1702E3902_007505-T1, TFCN1702E3902_010778-T1, TFCN1702E3902_010779-T1, TFCN1702E3902_011952-T1, TFCN1702E3902_007506-T1, TFCN1702E3902_012722-T1, TFCN1702E3902_011951-T1
GF00000014	TFCN1702E3902_003330-T1, TFCN1702E3902_006308-T1, TFCN1702E3902_006686-T1, TFCN1702E3902_008393-T1, TFCN1702E3902_008568-T1, TFCN1702E3902_003334-T1, TFCN1702E3902_006691-T1, TFCN1702E3902_000300-T1, TFCN1702E3902_010225-T1, TFCN1702E3902_010671-T1, TFCN1702E3902_007886-T1, TFCN1702E3902_003180-T1
GF00000015	TFCN1702E3902_007683-T1, TFCN1702E3902_005041-T1, TFCN1702E3902_011181-T1, TFCN1702E3902_008915-T1, TFCN1702E3902_007319-T1, TFCN1702E3902_007405-T1, TFCN1702E3902_007684-T1, TFCN1702E3902_011832-T1, TFCN1702E3902_004306-T1, TFCN1702E3902_006801-T1, TFCN1702E3902_012014-T1, TFCN1702E3902_011502-T1
GF00000016	TFCN1702E3902_004458-T1, TFCN1702E3902_009534-T1, TFCN1702E3902_000073-T1, TFCN1702E3902_002920-T1, TFCN1702E3902_002022-T1, TFCN1702E3902_000072-T1, TFCN1702E3902_000213-T1, TFCN1702E3902_002919-T1, TFCN1702E3902_010008-T1, TFCN1702E3902_000211-T1, TFCN1702E3902_010006-T1, TFCN1702E3902_009535-T1
GF00000017	TFCN1702E3902_010618-T1, TFCN1702E3902_011198-T1, TFCN1702E3902_001801-T1, TFCN1702E3902_000520-T1, TFCN1702E3902_003062-T1, TFCN1702E3902_009820-T1, TFCN1702E3902_013007-T1, TFCN1702E3902_008796-T1, TFCN1702E3902_011031-T1, TFCN1702E3902_011199-T1, TFCN1702E3902_012948-T1, TFCN1702E3902_012945-T1
GF00000018	TFCN1702E3902_005639-T1, TFCN1702E3902_005550-T1, TFCN1702E3902_005543-T1, TFCN1702E3902_005542-T1, TFCN1702E3902_005638-T1, TFCN1702E3902_005557-T1, TFCN1702E3902_005646-T1, TFCN1702E3902_005637-T1, TFCN1702E3902_005558-T1, TFCN1702E3902_005559-T1, TFCN1702E3902_005647-T1, TFCN1702E3902_005544-T1
GF00000019	TFCN1702E3902_001212-T1, TFCN1702E3902_004703-T1, TFCN1702E3902_012317-T1, TFCN1702E3902_000733-T1, TFCN1702E3902_012316-T1, TFCN1702E3902_010147-T1, TFCN1702E3902_012318-T1, TFCN1702E3902_009142-T1, TFCN1702E3902_009140-T1, TFCN1702E3902_009141-T1, TFCN1702E3902_010148-T1
GF00000020	TFCN1702E3902_007218-T1, TFCN1702E3902_012774-T1, TFCN1702E3902_004988-T1, TFCN1702E3902_007783-T1, TFCN1702E3902_012471-T1, TFCN1702E3902_001208-T1, TFCN1702E3902_000737-T1, TFCN1702E3902_000352-T1, TFCN1702E3902_010553-T1, TFCN1702E3902_010874-T1, TFCN1702E3902_012505-T1
GF00000021	TFCN1702E3902_002821-T1, TFCN1702E3902_003844-T1, TFCN1702E3902_002259-T1, TFCN1702E3902_003432-T1, TFCN1702E3902_007921-T1, TFCN1702E3902_011792-T1, TFCN1702E3902_004513-T1, TFCN1702E3902_000974-T1, TFCN1702E3902_004400-T1, TFCN1702E3902_009114-T1, TFCN1702E3902_007037-T1
GF00000022	TFCN1702E3902_004293-T1, TFCN1702E3902_004284-T1, TFCN1702E3902_004247-T1, TFCN1702E3902_004290-T1, TFCN1702E3902_004237-T1, TFCN1702E3902_004959-T1, TFCN1702E3902_004960-T1, TFCN1702E3902_007809-T1, TFCN1702E3902_004307-T1, TFCN1702E3902_004201-T1, TFCN1702E3902_004308-T1
GF00000023	TFCN1702E3902_010000-T1, TFCN1702E3902_000251-T1, TFCN1702E3902_006260-T1, TFCN1702E3902_000219-T1, TFCN1702E3902_000218-T1, TFCN1702E3902_010001-T1, TFCN1702E3902_009987-T1, TFCN1702E3902_010347-T1, TFCN1702E3902_011959-T1, TFCN1702E3902_000250-T1, TFCN1702E3902_006259-T1
GF00000024	TFCN1702E3902_001071-T1, TFCN1702E3902_010621-T1, TFCN1702E3902_011863-T1, TFCN1702E3902_005302-T1, TFCN1702E3902_000538-T1, TFCN1702E3902_010766-T1, TFCN1702E3902_007514-T1, TFCN1702E3902_005962-T1, TFCN1702E3902_010836-T1, TFCN1702E3902_008238-T1
GF00000025	TFCN1702E3902_008833-T1, TFCN1702E3902_009007-T1, TFCN1702E3902_012340-T1, TFCN1702E3902_009942-T1, TFCN1702E3902_003618-T1, TFCN1702E3902_005848-T1, TFCN1702E3902_012582-T1, TFCN1702E3902_008832-T1, TFCN1702E3902_001709-T1, TFCN1702E3902_001708-T1
GF00000026	TFCN1702E3902_011325-T1, TFCN1702E3902_000598-T1, TFCN1702E3902_001231-T1, TFCN1702E3902_000599-T1, TFCN1702E3902_005890-T1, TFCN1702E3902_011355-T1, TFCN1702E3902_001125-T1, TFCN1702E3902_000823-T1, TFCN1702E3902_011326-T1, TFCN1702E3902_000723-T1
GF00000027	TFCN1702E3902_010507-T1, TFCN1702E3902_002819-T1, TFCN1702E3902_008620-T1, TFCN1702E3902_011694-T1, TFCN1702E3902_012898-T1, TFCN1702E3902_011693-T1, TFCN1702E3902_010506-T1, TFCN1702E3902_010505-T1, TFCN1702E3902_003289-T1, TFCN1702E3902_003288-T1
GF00000028	TFCN1702E3902_006191-T1, TFCN1702E3902_007002-T1, TFCN1702E3902_000558-T1, TFCN1702E3902_009642-T1, TFCN1702E3902_011107-T1, TFCN1702E3902_000582-T1, TFCN1702E3902_011080-T1, TFCN1702E3902_000556-T1, TFCN1702E3902_009644-T1, TFCN1702E3902_010782-T1
GF00000029	TFCN1702E3902_008369-T1, TFCN1702E3902_008593-T1, TFCN1702E3902_011428-T1, TFCN1702E3902_001275-T1, TFCN1702E3902_008193-T1, TFCN1702E3902_007943-T1, TFCN1702E3902_000672-T1, TFCN1702E3902_001978-T1, TFCN1702E3902_001606-T1, TFCN1702E3902_004174-T1
GF00000030	TFCN1702E3902_004234-T1, TFCN1702E3902_011878-T1, TFCN1702E3902_009993-T1, TFCN1702E3902_000226-T1, TFCN1702E3902_004065-T1, TFCN1702E3902_003814-T1, TFCN1702E3902_010635-T1, TFCN1702E3902_007774-T1, TFCN1702E3902_004997-T1
GF00000031	TFCN1702E3902_006407-T1, TFCN1702E3902_009267-T1, TFCN1702E3902_000284-T1, TFCN1702E3902_006292-T1, TFCN1702E3902_012234-T1, TFCN1702E3902_007903-T1, TFCN1702E3902_002723-T1, TFCN1702E3902_012983-T1, TFCN1702E3902_008348-T1
GF00000032	TFCN1702E3902_000776-T1, TFCN1702E3902_001169-T1, TFCN1702E3902_011173-T1, TFCN1702E3902_010104-T1, TFCN1702E3902_012926-T1, TFCN1702E3902_012951-T1, TFCN1702E3902_010109-T1, TFCN1702E3902_013037-T1, TFCN1702E3902_012928-T1
GF00000033	TFCN1702E3902_006642-T1, TFCN1702E3902_009389-T1, TFCN1702E3902_005908-T1, TFCN1702E3902_006581-T1, TFCN1702E3902_006641-T1, TFCN1702E3902_011684-T1, TFCN1702E3902_012620-T1, TFCN1702E3902_009027-T1, TFCN1702E3902_006971-T1
GF00000034	TFCN1702E3902_004612-T1, TFCN1702E3902_004597-T1, TFCN1702E3902_012252-T1, TFCN1702E3902_004601-T1, TFCN1702E3902_004619-T1, TFCN1702E3902_004596-T1, TFCN1702E3902_012080-T1, TFCN1702E3902_012081-T1, TFCN1702E3902_012085-T1
GF00000035	TFCN1702E3902_002182-T1, TFCN1702E3902_004133-T1, TFCN1702E3902_000253-T1, TFCN1702E3902_009076-T1, TFCN1702E3902_004475-T1, TFCN1702E3902_009562-T1, TFCN1702E3902_005429-T1, TFCN1702E3902_006037-T1, TFCN1702E3902_002573-T1
GF00000036	TFCN1702E3902_007362-T1, TFCN1702E3902_007647-T1, TFCN1702E3902_007363-T1, TFCN1702E3902_007334-T1, TFCN1702E3902_004584-T1, TFCN1702E3902_007335-T1, TFCN1702E3902_007195-T1, TFCN1702E3902_007669-T1, TFCN1702E3902_007670-T1
GF00000037	TFCN1702E3902_000860-T1, TFCN1702E3902_006670-T1, TFCN1702E3902_010662-T1, TFCN1702E3902_006015-T1, TFCN1702E3902_005412-T1, TFCN1702E3902_010235-T1, TFCN1702E3902_006669-T1, TFCN1702E3902_000116-T1, TFCN1702E3902_002965-T1
GF00000038	TFCN1702E3902_012836-T1, TFCN1702E3902_001040-T1, TFCN1702E3902_006830-T1, TFCN1702E3902_004862-T1, TFCN1702E3902_006374-T1, TFCN1702E3902_003232-T1, TFCN1702E3902_005654-T1, TFCN1702E3902_009063-T1, TFCN1702E3902_005564-T1
GF00000039	TFCN1702E3902_006262-T1, TFCN1702E3902_006171-T1, TFCN1702E3902_004779-T1, TFCN1702E3902_000255-T1, TFCN1702E3902_007583-T1, TFCN1702E3902_012978-T1, TFCN1702E3902_000254-T1, TFCN1702E3902_013043-T1
GF00000040	TFCN1702E3902_006997-T1, TFCN1702E3902_007326-T1, TFCN1702E3902_004412-T1, TFCN1702E3902_000986-T1, TFCN1702E3902_012307-T1, TFCN1702E3902_011004-T1, TFCN1702E3902_011003-T1, TFCN1702E3902_000987-T1
GF00000041	TFCN1702E3902_001292-T1, TFCN1702E3902_000660-T1, TFCN1702E3902_010523-T1, TFCN1702E3902_007730-T1, TFCN1702E3902_008480-T1, TFCN1702E3902_004644-T1, TFCN1702E3902_005373-T1, TFCN1702E3902_007561-T1
GF00000042	TFCN1702E3902_000383-T1, TFCN1702E3902_000372-T1, TFCN1702E3902_000391-T1, TFCN1702E3902_000382-T1, TFCN1702E3902_012479-T1, TFCN1702E3902_011141-T1, TFCN1702E3902_000392-T1, TFCN1702E3902_000371-T1
GF00000043	TFCN1702E3902_008425-T1, TFCN1702E3902_007544-T1, TFCN1702E3902_012260-T1, TFCN1702E3902_010411-T1, TFCN1702E3902_011597-T1, TFCN1702E3902_008437-T1, TFCN1702E3902_008420-T1, TFCN1702E3902_008426-T1
GF00000044	TFCN1702E3902_010455-T1, TFCN1702E3902_010074-T1, TFCN1702E3902_012157-T1, TFCN1702E3902_010453-T1, TFCN1702E3902_010463-T1, TFCN1702E3902_010072-T1, TFCN1702E3902_010456-T1, TFCN1702E3902_010073-T1
GF00000045	TFCN1702E3902_006187-T1, TFCN1702E3902_006998-T1, TFCN1702E3902_002812-T1, TFCN1702E3902_003294-T1, TFCN1702E3902_009882-T1, TFCN1702E3902_008077-T1, TFCN1702E3902_002110-T1, TFCN1702E3902_009168-T1
GF00000046	TFCN1702E3902_007522-T1, TFCN1702E3902_005309-T1, TFCN1702E3902_004818-T1, TFCN1702E3902_006873-T1, TFCN1702E3902_011810-T1, TFCN1702E3902_010304-T1, TFCN1702E3902_001937-T1, TFCN1702E3902_001563-T1
GF00000047	TFCN1702E3902_001143-T1, TFCN1702E3902_003024-T1, TFCN1702E3902_000177-T1, TFCN1702E3902_004990-T1, TFCN1702E3902_000805-T1, TFCN1702E3902_007781-T1, TFCN1702E3902_002250-T1, TFCN1702E3902_000804-T1
GF00000048	TFCN1702E3902_009804-T1, TFCN1702E3902_003045-T1, TFCN1702E3902_012158-T1, TFCN1702E3902_010462-T1, TFCN1702E3902_002065-T1, TFCN1702E3902_008122-T1, TFCN1702E3902_003989-T1, TFCN1702E3902_003739-T1
GF00000049	TFCN1702E3902_003983-T1, TFCN1702E3902_003732-T1, TFCN1702E3902_003954-T1, TFCN1702E3902_003705-T1, TFCN1702E3902_003704-T1, TFCN1702E3902_003982-T1, TFCN1702E3902_003955-T1, TFCN1702E3902_003703-T1
GF00000050	TFCN1702E3902_002399-T1, TFCN1702E3902_006824-T1, TFCN1702E3902_004868-T1, TFCN1702E3902_009279-T1, TFCN1702E3902_007457-T1, TFCN1702E3902_001343-T1, TFCN1702E3902_004387-T1, TFCN1702E3902_000960-T1
GF00000051	TFCN1702E3902_001156-T1, TFCN1702E3902_000790-T1, TFCN1702E3902_000639-T1, TFCN1702E3902_003867-T1, TFCN1702E3902_002825-T1, TFCN1702E3902_002284-T1, TFCN1702E3902_003285-T1, TFCN1702E3902_002282-T1
GF00000052	TFCN1702E3902_005901-T1, TFCN1702E3902_006586-T1, TFCN1702E3902_006588-T1, TFCN1702E3902_012384-T1, TFCN1702E3902_005935-T1, TFCN1702E3902_005936-T1, TFCN1702E3902_005903-T1
GF00000053	TFCN1702E3902_012040-T1, TFCN1702E3902_011990-T1, TFCN1702E3902_007104-T1, TFCN1702E3902_007105-T1, TFCN1702E3902_012039-T1, TFCN1702E3902_007100-T1, TFCN1702E3902_007101-T1
GF00000054	TFCN1702E3902_001279-T1, TFCN1702E3902_000668-T1, TFCN1702E3902_001280-T1, TFCN1702E3902_005548-T1, TFCN1702E3902_004691-T1, TFCN1702E3902_000667-T1, TFCN1702E3902_010160-T1
GF00000055	TFCN1702E3902_007747-T1, TFCN1702E3902_012169-T1, TFCN1702E3902_007746-T1, TFCN1702E3902_007768-T1, TFCN1702E3902_005003-T1, TFCN1702E3902_010828-T1, TFCN1702E3902_008228-T1
GF00000056	TFCN1702E3902_001533-T1, TFCN1702E3902_001904-T1, TFCN1702E3902_001906-T1, TFCN1702E3902_005488-T1, TFCN1702E3902_004801-T1, TFCN1702E3902_001540-T1, TFCN1702E3902_001914-T1
GF00000057	TFCN1702E3902_002416-T1, TFCN1702E3902_009296-T1, TFCN1702E3902_009257-T1, TFCN1702E3902_005785-T1, TFCN1702E3902_006395-T1, TFCN1702E3902_009256-T1, TFCN1702E3902_006396-T1
GF00000058	TFCN1702E3902_012048-T1, TFCN1702E3902_008148-T1, TFCN1702E3902_010357-T1, TFCN1702E3902_012049-T1, TFCN1702E3902_010358-T1, TFCN1702E3902_010326-T1, TFCN1702E3902_010325-T1
GF00000059	TFCN1702E3902_000364-T1, TFCN1702E3902_000365-T1, TFCN1702E3902_012484-T1, TFCN1702E3902_001107-T1, TFCN1702E3902_012483-T1, TFCN1702E3902_000842-T1, TFCN1702E3902_000841-T1
GF00000060	TFCN1702E3902_012579-T1, TFCN1702E3902_005846-T1, TFCN1702E3902_000027-T1, TFCN1702E3902_000028-T1, TFCN1702E3902_012781-T1, TFCN1702E3902_012580-T1, TFCN1702E3902_012782-T1
GF00000061	TFCN1702E3902_000384-T1, TFCN1702E3902_000381-T1, TFCN1702E3902_000369-T1, TFCN1702E3902_000370-T1, TFCN1702E3902_000390-T1, TFCN1702E3902_000389-T1, TFCN1702E3902_012739-T1
GF00000062	TFCN1702E3902_008867-T1, TFCN1702E3902_011625-T1, TFCN1702E3902_013049-T1, TFCN1702E3902_013015-T1, TFCN1702E3902_013003-T1, TFCN1702E3902_013047-T1, TFCN1702E3902_011283-T1
GF00000063	TFCN1702E3902_009485-T1, TFCN1702E3902_011552-T1, TFCN1702E3902_011551-T1, TFCN1702E3902_009925-T1, TFCN1702E3902_003633-T1, TFCN1702E3902_010989-T1, TFCN1702E3902_009519-T1
GF00000064	TFCN1702E3902_006198-T1, TFCN1702E3902_007009-T1, TFCN1702E3902_012930-T1, TFCN1702E3902_004915-T1, TFCN1702E3902_012931-T1, TFCN1702E3902_004916-T1
GF00000065	TFCN1702E3902_010069-T1, TFCN1702E3902_010460-T1, TFCN1702E3902_008335-T1, TFCN1702E3902_008334-T1, TFCN1702E3902_012160-T1, TFCN1702E3902_006493-T1
GF00000066	TFCN1702E3902_008556-T1, TFCN1702E3902_012537-T1, TFCN1702E3902_005807-T1, TFCN1702E3902_010929-T1, TFCN1702E3902_008532-T1, TFCN1702E3902_012536-T1
GF00000067	TFCN1702E3902_010819-T1, TFCN1702E3902_008218-T1, TFCN1702E3902_001986-T1, TFCN1702E3902_008222-T1, TFCN1702E3902_001614-T1, TFCN1702E3902_010823-T1
GF00000068	TFCN1702E3902_003351-T1, TFCN1702E3902_006708-T1, TFCN1702E3902_008896-T1, TFCN1702E3902_007962-T1, TFCN1702E3902_007629-T1, TFCN1702E3902_004726-T1
GF00000069	TFCN1702E3902_008879-T1, TFCN1702E3902_011534-T1, TFCN1702E3902_008890-T1, TFCN1702E3902_011546-T1, TFCN1702E3902_011535-T1, TFCN1702E3902_011536-T1
GF00000070	TFCN1702E3902_000979-T1, TFCN1702E3902_004404-T1, TFCN1702E3902_008418-T1, TFCN1702E3902_009966-T1, TFCN1702E3902_002375-T1, TFCN1702E3902_004405-T1
GF00000071	TFCN1702E3902_012041-T1, TFCN1702E3902_012952-T1, TFCN1702E3902_007103-T1, TFCN1702E3902_008613-T1, TFCN1702E3902_011707-T1, TFCN1702E3902_012009-T1
GF00000072	TFCN1702E3902_009011-T1, TFCN1702E3902_008823-T1, TFCN1702E3902_002554-T1, TFCN1702E3902_010406-T1, TFCN1702E3902_006089-T1, TFCN1702E3902_007542-T1
GF00000073	TFCN1702E3902_001822-T1, TFCN1702E3902_000498-T1, TFCN1702E3902_000499-T1, TFCN1702E3902_003700-T1, TFCN1702E3902_003952-T1, TFCN1702E3902_003953-T1
GF00000074	TFCN1702E3902_006646-T1, TFCN1702E3902_009386-T1, TFCN1702E3902_009385-T1, TFCN1702E3902_006645-T1, TFCN1702E3902_009383-T1, TFCN1702E3902_009384-T1
GF00000075	TFCN1702E3902_008209-T1, TFCN1702E3902_012960-T1, TFCN1702E3902_008207-T1, TFCN1702E3902_008205-T1, TFCN1702E3902_013053-T1, TFCN1702E3902_012961-T1
GF00000076	TFCN1702E3902_007409-T1, TFCN1702E3902_008920-T1, TFCN1702E3902_012442-T1, TFCN1702E3902_005046-T1, TFCN1702E3902_012441-T1, TFCN1702E3902_005045-T1
GF00000077	TFCN1702E3902_012154-T1, TFCN1702E3902_010468-T1, TFCN1702E3902_006531-T1, TFCN1702E3902_011397-T1, TFCN1702E3902_009422-T1, TFCN1702E3902_009725-T1
GF00000078	TFCN1702E3902_001378-T1, TFCN1702E3902_007493-T1, TFCN1702E3902_002468-T1, TFCN1702E3902_003753-T1, TFCN1702E3902_011220-T1, TFCN1702E3902_004001-T1
GF00000079	TFCN1702E3902_003392-T1, TFCN1702E3902_007080-T1, TFCN1702E3902_004470-T1, TFCN1702E3902_009071-T1, TFCN1702E3902_006878-T1, TFCN1702E3902_004813-T1
GF00000080	TFCN1702E3902_003419-T1, TFCN1702E3902_006298-T1, TFCN1702E3902_000290-T1, TFCN1702E3902_007042-T1, TFCN1702E3902_007050-T1, TFCN1702E3902_007049-T1
GF00000081	TFCN1702E3902_009766-T1, TFCN1702E3902_003657-T1, TFCN1702E3902_002911-T1, TFCN1702E3902_000065-T1, TFCN1702E3902_005038-T1, TFCN1702E3902_007402-T1
GF00000082	TFCN1702E3902_004853-T1, TFCN1702E3902_006837-T1, TFCN1702E3902_012032-T1, TFCN1702E3902_007113-T1, TFCN1702E3902_006062-T1, TFCN1702E3902_005459-T1
GF00000083	TFCN1702E3902_007757-T1, TFCN1702E3902_003552-T1, TFCN1702E3902_001509-T1, TFCN1702E3902_007756-T1, TFCN1702E3902_001490-T1, TFCN1702E3902_001510-T1
GF00000084	TFCN1702E3902_003161-T1, TFCN1702E3902_005223-T1, TFCN1702E3902_005222-T1, TFCN1702E3902_003162-T1, TFCN1702E3902_003805-T1, TFCN1702E3902_004056-T1
