	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa
GF00000011	CHIFNET13H1268_000527-T1, CHIFNET13H1268_010987-T1, CHIFNET13H1268_007808-T1, CHIFNET13H1268_009678-T1, CHIFNET13H1268_008210-T1, CHIFNET13H1268_007302-T1, CHIFNET13H1268_011270-T1, CHIFNET13H1268_002591-T1, CHIFNET13H1268_003111-T1, CHIFNET13H1268_000877-T1, CHIFNET13H1268_002510-T1, CHIFNET13H1268_011735-T1, CHIFNET13H1268_010419-T1, CHIFNET13H1268_012383-T1, CHIFNET13H1268_014461-T1, CHIFNET13H1268_014462-T1
GF00000012	CHIFNET13H1268_003129-T1, CHIFNET13H1268_008536-T1, CHIFNET13H1268_000859-T1, CHIFNET13H1268_010363-T1, CHIFNET13H1268_005490-T1, CHIFNET13H1268_010075-T1, CHIFNET13H1268_005413-T1, CHIFNET13H1268_003179-T1, CHIFNET13H1268_002028-T1, CHIFNET13H1268_013578-T1, CHIFNET13H1268_000206-T1, CHIFNET13H1268_005744-T1, CHIFNET13H1268_005074-T1, CHIFNET13H1268_002971-T1, CHIFNET13H1268_003126-T1, CHIFNET13H1268_000862-T1
GF00000013	CHIFNET13H1268_012121-T1, CHIFNET13H1268_004403-T1, CHIFNET13H1268_009140-T1, CHIFNET13H1268_006700-T1, CHIFNET13H1268_011557-T1, CHIFNET13H1268_011770-T1, CHIFNET13H1268_002306-T1, CHIFNET13H1268_003494-T1, CHIFNET13H1268_013752-T1, CHIFNET13H1268_013782-T1, CHIFNET13H1268_002268-T1, CHIFNET13H1268_008324-T1, CHIFNET13H1268_000561-T1, CHIFNET13H1268_001504-T1, CHIFNET13H1268_005225-T1, CHIFNET13H1268_003410-T1
GF00000014	CHIFNET13H1268_004501-T1, CHIFNET13H1268_012016-T1, CHIFNET13H1268_002192-T1, CHIFNET13H1268_000072-T1, CHIFNET13H1268_006950-T1, CHIFNET13H1268_010194-T1, CHIFNET13H1268_005825-T1, CHIFNET13H1268_009169-T1, CHIFNET13H1268_014626-T1, CHIFNET13H1268_014554-T1, CHIFNET13H1268_008382-T1, CHIFNET13H1268_013547-T1, CHIFNET13H1268_006493-T1, CHIFNET13H1268_006222-T1, CHIFNET13H1268_004210-T1, CHIFNET13H1268_013076-T1
GF00000015	CHIFNET13H1268_012845-T1, CHIFNET13H1268_006468-T1, CHIFNET13H1268_003250-T1, CHIFNET13H1268_012081-T1, CHIFNET13H1268_005378-T1, CHIFNET13H1268_007744-T1, CHIFNET13H1268_007696-T1, CHIFNET13H1268_006725-T1, CHIFNET13H1268_009167-T1, CHIFNET13H1268_007695-T1, CHIFNET13H1268_009443-T1, CHIFNET13H1268_007745-T1, CHIFNET13H1268_006724-T1, CHIFNET13H1268_009166-T1, CHIFNET13H1268_006467-T1
GF00000016	CHIFNET13H1268_012175-T1, CHIFNET13H1268_005168-T1, CHIFNET13H1268_011228-T1, CHIFNET13H1268_002962-T1, CHIFNET13H1268_002280-T1, CHIFNET13H1268_002964-T1, CHIFNET13H1268_008544-T1, CHIFNET13H1268_011227-T1, CHIFNET13H1268_008546-T1, CHIFNET13H1268_005871-T1, CHIFNET13H1268_005872-T1, CHIFNET13H1268_003484-T1, CHIFNET13H1268_005870-T1, CHIFNET13H1268_005873-T1, CHIFNET13H1268_003485-T1
GF00000017	CHIFNET13H1268_001936-T1, CHIFNET13H1268_006747-T1, CHIFNET13H1268_004557-T1, CHIFNET13H1268_012008-T1, CHIFNET13H1268_004493-T1, CHIFNET13H1268_006402-T1, CHIFNET13H1268_004427-T1, CHIFNET13H1268_000390-T1, CHIFNET13H1268_008636-T1, CHIFNET13H1268_004829-T1, CHIFNET13H1268_009732-T1, CHIFNET13H1268_002113-T1, CHIFNET13H1268_001672-T1, CHIFNET13H1268_009256-T1
GF00000018	CHIFNET13H1268_003057-T1, CHIFNET13H1268_010111-T1, CHIFNET13H1268_009186-T1, CHIFNET13H1268_010534-T1, CHIFNET13H1268_005553-T1, CHIFNET13H1268_010485-T1, CHIFNET13H1268_001877-T1, CHIFNET13H1268_012444-T1, CHIFNET13H1268_004317-T1, CHIFNET13H1268_000447-T1, CHIFNET13H1268_005558-T1, CHIFNET13H1268_010490-T1, CHIFNET13H1268_007085-T1, CHIFNET13H1268_005175-T1
GF00000019	CHIFNET13H1268_005264-T1, CHIFNET13H1268_001466-T1, CHIFNET13H1268_003163-T1, CHIFNET13H1268_013614-T1, CHIFNET13H1268_000078-T1, CHIFNET13H1268_014052-T1, CHIFNET13H1268_012988-T1, CHIFNET13H1268_001701-T1, CHIFNET13H1268_007914-T1, CHIFNET13H1268_005734-T1, CHIFNET13H1268_005064-T1, CHIFNET13H1268_015003-T1, CHIFNET13H1268_004217-T1
GF00000020	CHIFNET13H1268_012783-T1, CHIFNET13H1268_006049-T1, CHIFNET13H1268_006453-T1, CHIFNET13H1268_007682-T1, CHIFNET13H1268_005975-T1, CHIFNET13H1268_004990-T1, CHIFNET13H1268_005362-T1, CHIFNET13H1268_008432-T1, CHIFNET13H1268_005893-T1, CHIFNET13H1268_003232-T1, CHIFNET13H1268_005899-T1, CHIFNET13H1268_014725-T1, CHIFNET13H1268_014236-T1
GF00000021	CHIFNET13H1268_012774-T1, CHIFNET13H1268_012160-T1, CHIFNET13H1268_004592-T1, CHIFNET13H1268_006036-T1, CHIFNET13H1268_008820-T1, CHIFNET13H1268_005030-T1, CHIFNET13H1268_000608-T1, CHIFNET13H1268_006048-T1, CHIFNET13H1268_012779-T1, CHIFNET13H1268_012782-T1, CHIFNET13H1268_006041-T1, CHIFNET13H1268_011812-T1, CHIFNET13H1268_015026-T1
GF00000022	CHIFNET13H1268_012834-T1, CHIFNET13H1268_007365-T1, CHIFNET13H1268_000219-T1, CHIFNET13H1268_010375-T1, CHIFNET13H1268_010372-T1, CHIFNET13H1268_000215-T1, CHIFNET13H1268_006612-T1, CHIFNET13H1268_010377-T1, CHIFNET13H1268_000102-T1, CHIFNET13H1268_007364-T1, CHIFNET13H1268_013165-T1, CHIFNET13H1268_000221-T1, CHIFNET13H1268_007363-T1
GF00000023	CHIFNET13H1268_003338-T1, CHIFNET13H1268_003353-T1, CHIFNET13H1268_002378-T1, CHIFNET13H1268_003337-T1, CHIFNET13H1268_003339-T1, CHIFNET13H1268_002379-T1, CHIFNET13H1268_002368-T1, CHIFNET13H1268_002370-T1, CHIFNET13H1268_003354-T1, CHIFNET13H1268_006791-T1, CHIFNET13H1268_002369-T1, CHIFNET13H1268_003352-T1, CHIFNET13H1268_006792-T1
GF00000024	CHIFNET13H1268_014138-T1, CHIFNET13H1268_014787-T1, CHIFNET13H1268_011105-T1, CHIFNET13H1268_011821-T1, CHIFNET13H1268_010645-T1, CHIFNET13H1268_001028-T1, CHIFNET13H1268_007330-T1, CHIFNET13H1268_007352-T1, CHIFNET13H1268_000244-T1, CHIFNET13H1268_002731-T1, CHIFNET13H1268_006277-T1, CHIFNET13H1268_010007-T1
GF00000025	CHIFNET13H1268_001914-T1, CHIFNET13H1268_000412-T1, CHIFNET13H1268_005106-T1, CHIFNET13H1268_005775-T1, CHIFNET13H1268_009580-T1, CHIFNET13H1268_014800-T1, CHIFNET13H1268_013043-T1, CHIFNET13H1268_015054-T1, CHIFNET13H1268_011860-T1, CHIFNET13H1268_014801-T1, CHIFNET13H1268_008910-T1, CHIFNET13H1268_014941-T1
GF00000026	CHIFNET13H1268_013071-T1, CHIFNET13H1268_014446-T1, CHIFNET13H1268_013073-T1, CHIFNET13H1268_014447-T1, CHIFNET13H1268_010197-T1, CHIFNET13H1268_010204-T1, CHIFNET13H1268_013072-T1, CHIFNET13H1268_010205-T1, CHIFNET13H1268_014445-T1, CHIFNET13H1268_013070-T1, CHIFNET13H1268_010208-T1, CHIFNET13H1268_014442-T1
GF00000027	CHIFNET13H1268_006306-T1, CHIFNET13H1268_002760-T1, CHIFNET13H1268_007877-T1, CHIFNET13H1268_007879-T1, CHIFNET13H1268_004134-T1, CHIFNET13H1268_002637-T1, CHIFNET13H1268_009644-T1, CHIFNET13H1268_004135-T1, CHIFNET13H1268_007878-T1, CHIFNET13H1268_004136-T1, CHIFNET13H1268_008970-T1, CHIFNET13H1268_008767-T1
GF00000028	CHIFNET13H1268_009354-T1, CHIFNET13H1268_000706-T1, CHIFNET13H1268_009536-T1, CHIFNET13H1268_002847-T1, CHIFNET13H1268_003810-T1, CHIFNET13H1268_003009-T1, CHIFNET13H1268_008196-T1, CHIFNET13H1268_009663-T1, CHIFNET13H1268_000705-T1, CHIFNET13H1268_005187-T1, CHIFNET13H1268_005186-T1, CHIFNET13H1268_000704-T1
GF00000029	CHIFNET13H1268_000666-T1, CHIFNET13H1268_012816-T1, CHIFNET13H1268_004847-T1, CHIFNET13H1268_008618-T1, CHIFNET13H1268_014579-T1, CHIFNET13H1268_004394-T1, CHIFNET13H1268_012112-T1, CHIFNET13H1268_008496-T1, CHIFNET13H1268_012898-T1, CHIFNET13H1268_008855-T1, CHIFNET13H1268_010258-T1, CHIFNET13H1268_003920-T1
GF00000030	CHIFNET13H1268_009357-T1, CHIFNET13H1268_003007-T1, CHIFNET13H1268_008537-T1, CHIFNET13H1268_002970-T1, CHIFNET13H1268_008538-T1, CHIFNET13H1268_002969-T1, CHIFNET13H1268_010732-T1, CHIFNET13H1268_010591-T1, CHIFNET13H1268_009358-T1, CHIFNET13H1268_003006-T1, CHIFNET13H1268_002985-T1, CHIFNET13H1268_002984-T1
GF00000031	CHIFNET13H1268_003085-T1, CHIFNET13H1268_002484-T1, CHIFNET13H1268_013200-T1, CHIFNET13H1268_002804-T1, CHIFNET13H1268_012094-T1, CHIFNET13H1268_007763-T1, CHIFNET13H1268_005018-T1, CHIFNET13H1268_010252-T1, CHIFNET13H1268_002216-T1, CHIFNET13H1268_003544-T1, CHIFNET13H1268_008832-T1, CHIFNET13H1268_011710-T1
GF00000032	CHIFNET13H1268_006273-T1, CHIFNET13H1268_014279-T1, CHIFNET13H1268_001174-T1, CHIFNET13H1268_011878-T1, CHIFNET13H1268_001089-T1, CHIFNET13H1268_001086-T1, CHIFNET13H1268_011880-T1, CHIFNET13H1268_001087-T1, CHIFNET13H1268_011879-T1, CHIFNET13H1268_002735-T1, CHIFNET13H1268_002736-T1
GF00000033	CHIFNET13H1268_003847-T1, CHIFNET13H1268_000741-T1, CHIFNET13H1268_000740-T1, CHIFNET13H1268_003843-T1, CHIFNET13H1268_003848-T1, CHIFNET13H1268_000739-T1, CHIFNET13H1268_003846-T1, CHIFNET13H1268_003842-T1, CHIFNET13H1268_003844-T1, CHIFNET13H1268_003845-T1, CHIFNET13H1268_000738-T1
GF00000034	CHIFNET13H1268_012246-T1, CHIFNET13H1268_011354-T1, CHIFNET13H1268_012247-T1, CHIFNET13H1268_012244-T1, CHIFNET13H1268_008268-T1, CHIFNET13H1268_012245-T1, CHIFNET13H1268_004075-T1, CHIFNET13H1268_003913-T1, CHIFNET13H1268_003914-T1, CHIFNET13H1268_010264-T1, CHIFNET13H1268_011355-T1
GF00000035	CHIFNET13H1268_007889-T1, CHIFNET13H1268_004125-T1, CHIFNET13H1268_004118-T1, CHIFNET13H1268_004122-T1, CHIFNET13H1268_001600-T1, CHIFNET13H1268_012555-T1, CHIFNET13H1268_004123-T1, CHIFNET13H1268_004117-T1, CHIFNET13H1268_007893-T1, CHIFNET13H1268_004116-T1, CHIFNET13H1268_004124-T1
GF00000036	CHIFNET13H1268_000059-T1, CHIFNET13H1268_004196-T1, CHIFNET13H1268_001304-T1, CHIFNET13H1268_001750-T1, CHIFNET13H1268_012278-T1, CHIFNET13H1268_011454-T1, CHIFNET13H1268_011700-T1, CHIFNET13H1268_002474-T1, CHIFNET13H1268_002469-T1, CHIFNET13H1268_006551-T1, CHIFNET13H1268_012038-T1
GF00000037	CHIFNET13H1268_002090-T1, CHIFNET13H1268_009719-T1, CHIFNET13H1268_002104-T1, CHIFNET13H1268_009841-T1, CHIFNET13H1268_009715-T1, CHIFNET13H1268_009733-T1, CHIFNET13H1268_009701-T1, CHIFNET13H1268_009718-T1, CHIFNET13H1268_009702-T1, CHIFNET13H1268_009734-T1
GF00000038	CHIFNET13H1268_001509-T1, CHIFNET13H1268_012888-T1, CHIFNET13H1268_008426-T1, CHIFNET13H1268_004996-T1, CHIFNET13H1268_009286-T1, CHIFNET13H1268_005220-T1, CHIFNET13H1268_008179-T1, CHIFNET13H1268_011811-T1, CHIFNET13H1268_008584-T1, CHIFNET13H1268_005219-T1
GF00000039	CHIFNET13H1268_009809-T1, CHIFNET13H1268_007831-T1, CHIFNET13H1268_005138-T1, CHIFNET13H1268_003905-T1, CHIFNET13H1268_005139-T1, CHIFNET13H1268_010394-T1, CHIFNET13H1268_010272-T1, CHIFNET13H1268_007094-T1, CHIFNET13H1268_007830-T1, CHIFNET13H1268_009808-T1
GF00000040	CHIFNET13H1268_012372-T1, CHIFNET13H1268_010403-T1, CHIFNET13H1268_007791-T1, CHIFNET13H1268_007822-T1, CHIFNET13H1268_005784-T1, CHIFNET13H1268_012371-T1, CHIFNET13H1268_013267-T1, CHIFNET13H1268_013131-T1, CHIFNET13H1268_007821-T1, CHIFNET13H1268_006656-T1
GF00000041	CHIFNET13H1268_013668-T1, CHIFNET13H1268_001118-T1, CHIFNET13H1268_004404-T1, CHIFNET13H1268_009960-T1, CHIFNET13H1268_009044-T1, CHIFNET13H1268_009899-T1, CHIFNET13H1268_009807-T1, CHIFNET13H1268_012122-T1, CHIFNET13H1268_000001-T1, CHIFNET13H1268_009810-T1
GF00000042	CHIFNET13H1268_006099-T1, CHIFNET13H1268_006102-T1, CHIFNET13H1268_012411-T1, CHIFNET13H1268_012410-T1, CHIFNET13H1268_006100-T1, CHIFNET13H1268_012414-T1, CHIFNET13H1268_006101-T1, CHIFNET13H1268_012413-T1, CHIFNET13H1268_006103-T1, CHIFNET13H1268_012412-T1
GF00000043	CHIFNET13H1268_001939-T1, CHIFNET13H1268_000387-T1, CHIFNET13H1268_009877-T1, CHIFNET13H1268_002053-T1, CHIFNET13H1268_001695-T1, CHIFNET13H1268_009277-T1, CHIFNET13H1268_003269-T1, CHIFNET13H1268_005325-T1, CHIFNET13H1268_002943-T1, CHIFNET13H1268_008564-T1
GF00000044	CHIFNET13H1268_009802-T1, CHIFNET13H1268_009894-T1, CHIFNET13H1268_000152-T1, CHIFNET13H1268_013709-T1, CHIFNET13H1268_000097-T1, CHIFNET13H1268_009576-T1, CHIFNET13H1268_004152-T1, CHIFNET13H1268_005910-T1, CHIFNET13H1268_007861-T1, CHIFNET13H1268_013711-T1
GF00000045	CHIFNET13H1268_007270-T1, CHIFNET13H1268_010756-T1, CHIFNET13H1268_010752-T1, CHIFNET13H1268_007271-T1, CHIFNET13H1268_010755-T1, CHIFNET13H1268_007272-T1, CHIFNET13H1268_007276-T1, CHIFNET13H1268_010754-T1, CHIFNET13H1268_007275-T1
GF00000046	CHIFNET13H1268_001026-T1, CHIFNET13H1268_010647-T1, CHIFNET13H1268_002657-T1, CHIFNET13H1268_014864-T1, CHIFNET13H1268_014873-T1, CHIFNET13H1268_009624-T1, CHIFNET13H1268_009625-T1, CHIFNET13H1268_015056-T1, CHIFNET13H1268_009623-T1
GF00000047	CHIFNET13H1268_014824-T1, CHIFNET13H1268_010524-T1, CHIFNET13H1268_009197-T1, CHIFNET13H1268_008489-T1, CHIFNET13H1268_013006-T1, CHIFNET13H1268_013925-T1, CHIFNET13H1268_013305-T1, CHIFNET13H1268_008481-T1, CHIFNET13H1268_008480-T1
GF00000048	CHIFNET13H1268_013256-T1, CHIFNET13H1268_009115-T1, CHIFNET13H1268_009136-T1, CHIFNET13H1268_006687-T1, CHIFNET13H1268_006676-T1, CHIFNET13H1268_006668-T1, CHIFNET13H1268_009126-T1, CHIFNET13H1268_009127-T1, CHIFNET13H1268_006695-T1
GF00000049	CHIFNET13H1268_000434-T1, CHIFNET13H1268_009292-T1, CHIFNET13H1268_005577-T1, CHIFNET13H1268_005822-T1, CHIFNET13H1268_006947-T1, CHIFNET13H1268_001889-T1, CHIFNET13H1268_015047-T1, CHIFNET13H1268_008172-T1, CHIFNET13H1268_012123-T1
GF00000050	CHIFNET13H1268_002526-T1, CHIFNET13H1268_002491-T1, CHIFNET13H1268_002492-T1, CHIFNET13H1268_002525-T1, CHIFNET13H1268_010814-T1, CHIFNET13H1268_011717-T1, CHIFNET13H1268_010812-T1, CHIFNET13H1268_010813-T1, CHIFNET13H1268_011718-T1
GF00000051	CHIFNET13H1268_013069-T1, CHIFNET13H1268_012318-T1, CHIFNET13H1268_010198-T1, CHIFNET13H1268_001286-T1, CHIFNET13H1268_001729-T1, CHIFNET13H1268_012353-T1, CHIFNET13H1268_010805-T1, CHIFNET13H1268_002533-T1, CHIFNET13H1268_002534-T1
GF00000052	CHIFNET13H1268_000254-T1, CHIFNET13H1268_007339-T1, CHIFNET13H1268_000223-T1, CHIFNET13H1268_000216-T1, CHIFNET13H1268_010379-T1, CHIFNET13H1268_000222-T1, CHIFNET13H1268_010378-T1, CHIFNET13H1268_010373-T1, CHIFNET13H1268_000217-T1
GF00000053	CHIFNET13H1268_008003-T1, CHIFNET13H1268_011214-T1, CHIFNET13H1268_011215-T1, CHIFNET13H1268_008008-T1, CHIFNET13H1268_011209-T1, CHIFNET13H1268_004861-T1, CHIFNET13H1268_008603-T1, CHIFNET13H1268_011211-T1, CHIFNET13H1268_011210-T1
GF00000054	CHIFNET13H1268_007603-T1, CHIFNET13H1268_011893-T1, CHIFNET13H1268_012043-T1, CHIFNET13H1268_012044-T1, CHIFNET13H1268_011892-T1, CHIFNET13H1268_012042-T1, CHIFNET13H1268_007602-T1, CHIFNET13H1268_007405-T1, CHIFNET13H1268_011894-T1
GF00000055	CHIFNET13H1268_009487-T1, CHIFNET13H1268_008294-T1, CHIFNET13H1268_011610-T1, CHIFNET13H1268_008295-T1, CHIFNET13H1268_014980-T1, CHIFNET13H1268_014979-T1, CHIFNET13H1268_002472-T1, CHIFNET13H1268_015021-T1
GF00000056	CHIFNET13H1268_007033-T1, CHIFNET13H1268_010995-T1, CHIFNET13H1268_014033-T1, CHIFNET13H1268_007034-T1, CHIFNET13H1268_014031-T1, CHIFNET13H1268_007035-T1, CHIFNET13H1268_014032-T1, CHIFNET13H1268_014034-T1
GF00000057	CHIFNET13H1268_011734-T1, CHIFNET13H1268_002509-T1, CHIFNET13H1268_008241-T1, CHIFNET13H1268_014190-T1, CHIFNET13H1268_013710-T1, CHIFNET13H1268_000153-T1, CHIFNET13H1268_007152-T1, CHIFNET13H1268_012419-T1
GF00000058	CHIFNET13H1268_001938-T1, CHIFNET13H1268_000388-T1, CHIFNET13H1268_005881-T1, CHIFNET13H1268_004973-T1, CHIFNET13H1268_008450-T1, CHIFNET13H1268_005906-T1, CHIFNET13H1268_014891-T1, CHIFNET13H1268_015079-T1
GF00000059	CHIFNET13H1268_003173-T1, CHIFNET13H1268_013623-T1, CHIFNET13H1268_004543-T1, CHIFNET13H1268_006762-T1, CHIFNET13H1268_012003-T1, CHIFNET13H1268_011404-T1, CHIFNET13H1268_002170-T1, CHIFNET13H1268_006199-T1
GF00000060	CHIFNET13H1268_001411-T1, CHIFNET13H1268_014394-T1, CHIFNET13H1268_014398-T1, CHIFNET13H1268_001413-T1, CHIFNET13H1268_014397-T1, CHIFNET13H1268_014396-T1, CHIFNET13H1268_001412-T1, CHIFNET13H1268_001410-T1
GF00000061	CHIFNET13H1268_013488-T1, CHIFNET13H1268_011977-T1, CHIFNET13H1268_014942-T1, CHIFNET13H1268_000348-T1, CHIFNET13H1268_009582-T1, CHIFNET13H1268_010140-T1, CHIFNET13H1268_011752-T1, CHIFNET13H1268_009581-T1
