	Rhodotorula_mucilaginosa_TFCN_25-0-2E334-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000011	TFCN2502E3341_000151-T1, TFCN2502E3341_008391-T1, TFCN2502E3341_012879-T1, TFCN2502E3341_003894-T1, TFCN2502E3341_008257-T1, TFCN2502E3341_014319-T1, TFCN2502E3341_014330-T1, TFCN2502E3341_006273-T1, TFCN2502E3341_010396-T1, TFCN2502E3341_001307-T1, TFCN2502E3341_009476-T1, TFCN2502E3341_010886-T1, TFCN2502E3341_002775-T1, TFCN2502E3341_006755-T1, TFCN2502E3341_012096-T1, TFCN2502E3341_000783-T1, TFCN2502E3341_008092-T1, TFCN2502E3341_009642-T1, TFCN2502E3341_000261-T1, TFCN2502E3341_013078-T1, TFCN2502E3341_011736-T1, TFCN2502E3341_011246-T1	DBVPG3775_000780-T1, DBVPG3775_001312-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_002394-T1, DBVPG3775_003365-T1, DBVPG3775_004031-T1, DBVPG3775_004148-T1, DBVPG3775_004951-T1, DBVPG3775_005480-T1, DBVPG3775_005529-T1
GF00000012	TFCN2502E3341_000402-T1, TFCN2502E3341_005273-T1, TFCN2502E3341_005039-T1, TFCN2502E3341_005303-T1, TFCN2502E3341_003756-T1, TFCN2502E3341_001777-T1, TFCN2502E3341_005944-T1, TFCN2502E3341_013424-T1, TFCN2502E3341_008378-T1, TFCN2502E3341_003760-T1, TFCN2502E3341_001782-T1, TFCN2502E3341_002562-T1, TFCN2502E3341_004544-T1, TFCN2502E3341_006608-T1, TFCN2502E3341_011202-T1, TFCN2502E3341_006211-T1, TFCN2502E3341_009981-T1, TFCN2502E3341_002062-T1, TFCN2502E3341_007407-T1, TFCN2502E3341_002519-T1, TFCN2502E3341_004503-T1	DBVPG3775_000011-T1, DBVPG3775_002242-T1, DBVPG3775_002284-T1, DBVPG3775_002987-T1, DBVPG3775_003133-T1, DBVPG3775_004425-T1, DBVPG3775_006042-T1, DBVPG3775_006046-T1, DBVPG3775_006709-T1, DBVPG3775_007551-T1
GF00000013	TFCN2502E3341_000947-T1, TFCN2502E3341_004630-T1, TFCN2502E3341_001937-T1, TFCN2502E3341_008058-T1, TFCN2502E3341_008721-T1, TFCN2502E3341_014412-T1, TFCN2502E3341_010540-T1, TFCN2502E3341_011150-T1, TFCN2502E3341_007334-T1, TFCN2502E3341_014413-T1, TFCN2502E3341_004913-T1, TFCN2502E3341_001163-T1, TFCN2502E3341_012325-T1, TFCN2502E3341_009317-T1, TFCN2502E3341_011452-T1, TFCN2502E3341_014736-T1, TFCN2502E3341_007119-T1, TFCN2502E3341_004912-T1, TFCN2502E3341_007120-T1, TFCN2502E3341_013519-T1	DBVPG3775_001546-T1, DBVPG3775_004369-T1, DBVPG3775_005206-T1, DBVPG3775_005788-T1, DBVPG3775_006461-T1, DBVPG3775_006604-T1, DBVPG3775_006605-T1, DBVPG3775_007217-T1, DBVPG3775_007366-T1, DBVPG3775_007367-T1, DBVPG3775_007368-T1
GF00000014	TFCN2502E3341_001255-T1, TFCN2502E3341_005702-T1, TFCN2502E3341_003674-T1, TFCN2502E3341_011464-T1, TFCN2502E3341_013605-T1, TFCN2502E3341_005650-T1, TFCN2502E3341_004228-T1, TFCN2502E3341_002340-T1, TFCN2502E3341_014465-T1, TFCN2502E3341_011946-T1, TFCN2502E3341_005308-T1, TFCN2502E3341_008381-T1, TFCN2502E3341_003457-T1, TFCN2502E3341_003558-T1, TFCN2502E3341_001475-T1, TFCN2502E3341_004039-T1, TFCN2502E3341_002277-T1, TFCN2502E3341_006655-T1, TFCN2502E3341_008594-T1, TFCN2502E3341_014799-T1	DBVPG3775_000220-T1, DBVPG3775_002880-T1, DBVPG3775_003138-T1, DBVPG3775_003600-T1, DBVPG3775_003743-T1, DBVPG3775_004518-T1, DBVPG3775_006430-T1, DBVPG3775_006795-T1, DBVPG3775_006844-T1, DBVPG3775_006854-T1, DBVPG3775_007229-T1
GF00000015	TFCN2502E3341_001574-T1, TFCN2502E3341_005904-T1, TFCN2502E3341_007079-T1, TFCN2502E3341_007077-T1, TFCN2502E3341_013474-T1, TFCN2502E3341_007080-T1, TFCN2502E3341_013473-T1, TFCN2502E3341_013472-T1, TFCN2502E3341_002907-T1, TFCN2502E3341_008822-T1, TFCN2502E3341_012858-T1, TFCN2502E3341_014684-T1, TFCN2502E3341_007004-T1, TFCN2502E3341_009263-T1, TFCN2502E3341_001661-T1, TFCN2502E3341_006291-T1, TFCN2502E3341_003791-T1, TFCN2502E3341_002085-T1, TFCN2502E3341_003344-T1, TFCN2502E3341_003345-T1	DBVPG3775_000902-T1, DBVPG3775_001968-T1, DBVPG3775_001969-T1, DBVPG3775_002547-T1, DBVPG3775_002548-T1, DBVPG3775_002549-T1, DBVPG3775_002633-T1, DBVPG3775_003491-T1, DBVPG3775_003530-T1, DBVPG3775_007393-T1
GF00000016	TFCN2502E3341_000634-T1, TFCN2502E3341_007657-T1, TFCN2502E3341_008806-T1, TFCN2502E3341_007169-T1, TFCN2502E3341_009245-T1, TFCN2502E3341_007022-T1, TFCN2502E3341_009881-T1, TFCN2502E3341_002805-T1, TFCN2502E3341_012914-T1, TFCN2502E3341_002294-T1, TFCN2502E3341_002127-T1, TFCN2502E3341_009682-T1, TFCN2502E3341_012975-T1, TFCN2502E3341_003208-T1, TFCN2502E3341_006121-T1, TFCN2502E3341_007660-T1, TFCN2502E3341_014206-T1, TFCN2502E3341_014708-T1, TFCN2502E3341_002293-T1, TFCN2502E3341_008803-T1	DBVPG3775_000070-T1, DBVPG3775_000073-T1, DBVPG3775_000646-T1, DBVPG3775_002010-T1, DBVPG3775_003512-T1, DBVPG3775_004564-T1, DBVPG3775_005564-T1, DBVPG3775_006246-T1, DBVPG3775_007111-T1
GF00000017	TFCN2502E3341_013873-T1, TFCN2502E3341_009407-T1, TFCN2502E3341_001588-T1, TFCN2502E3341_005894-T1, TFCN2502E3341_004828-T1, TFCN2502E3341_009530-T1, TFCN2502E3341_013144-T1, TFCN2502E3341_013290-T1, TFCN2502E3341_001633-T1, TFCN2502E3341_005850-T1, TFCN2502E3341_005890-T1, TFCN2502E3341_001592-T1, TFCN2502E3341_012639-T1, TFCN2502E3341_008751-T1, TFCN2502E3341_012656-T1, TFCN2502E3341_007602-T1, TFCN2502E3341_004827-T1, TFCN2502E3341_009529-T1, TFCN2502E3341_007603-T1, TFCN2502E3341_008750-T1	DBVPG3775_000922-T1, DBVPG3775_000926-T1, DBVPG3775_000959-T1, DBVPG3775_000979-T1, DBVPG3775_002364-T1, DBVPG3775_002438-T1, DBVPG3775_002935-T1, DBVPG3775_002936-T1, DBVPG3775_003039-T1
GF00000018	TFCN2502E3341_007835-T1, TFCN2502E3341_006464-T1, TFCN2502E3341_001493-T1, TFCN2502E3341_001492-T1, TFCN2502E3341_014105-T1, TFCN2502E3341_000680-T1, TFCN2502E3341_009818-T1, TFCN2502E3341_014305-T1, TFCN2502E3341_005953-T1, TFCN2502E3341_012994-T1, TFCN2502E3341_014145-T1, TFCN2502E3341_010880-T1, TFCN2502E3341_010387-T1, TFCN2502E3341_012993-T1, TFCN2502E3341_006498-T1, TFCN2502E3341_006499-T1, TFCN2502E3341_012685-T1, TFCN2502E3341_004417-T1	DBVPG3775_000020-T1, DBVPG3775_001365-T1, DBVPG3775_003582-T1, DBVPG3775_003583-T1, DBVPG3775_005521-T1, DBVPG3775_005883-T1, DBVPG3775_006206-T1, DBVPG3775_006207-T1, DBVPG3775_006585-T1, DBVPG3775_007174-T1
GF00000019	TFCN2502E3341_001702-T1, TFCN2502E3341_003277-T1, TFCN2502E3341_003636-T1, TFCN2502E3341_006956-T1, TFCN2502E3341_002284-T1, TFCN2502E3341_004032-T1, TFCN2502E3341_009148-T1, TFCN2502E3341_008976-T1, TFCN2502E3341_002162-T1, TFCN2502E3341_010260-T1, TFCN2502E3341_009989-T1, TFCN2502E3341_006157-T1, TFCN2502E3341_001746-T1, TFCN2502E3341_011358-T1, TFCN2502E3341_006500-T1, TFCN2502E3341_012995-T1, TFCN2502E3341_008098-T1, TFCN2502E3341_009636-T1	DBVPG3775_000227-T1, DBVPG3775_000339-T1, DBVPG3775_002045-T1, DBVPG3775_004659-T1, DBVPG3775_004856-T1, DBVPG3775_004903-T1, DBVPG3775_004957-T1, DBVPG3775_005006-T1, DBVPG3775_006208-T1
GF00000020	TFCN2502E3341_002163-T1, TFCN2502E3341_010261-T1, TFCN2502E3341_003482-T1, TFCN2502E3341_003536-T1, TFCN2502E3341_012011-T1, TFCN2502E3341_003986-T1, TFCN2502E3341_010716-T1, TFCN2502E3341_007138-T1, TFCN2502E3341_007797-T1, TFCN2502E3341_004408-T1, TFCN2502E3341_002985-T1, TFCN2502E3341_002984-T1, TFCN2502E3341_014786-T1, TFCN2502E3341_014768-T1, TFCN2502E3341_014827-T1, TFCN2502E3341_014807-T1	DBVPG3775_000444-T1, DBVPG3775_002046-T1, DBVPG3775_002710-T1, DBVPG3775_003767-T1, DBVPG3775_005609-T1, DBVPG3775_007165-T1, DBVPG3775_007574-T1, DBVPG3775_007580-T1, DBVPG3775_007598-T1
GF00000021	TFCN2502E3341_003143-T1, TFCN2502E3341_013743-T1, TFCN2502E3341_008872-T1, TFCN2502E3341_011333-T1, TFCN2502E3341_011146-T1, TFCN2502E3341_008912-T1, TFCN2502E3341_010537-T1, TFCN2502E3341_005187-T1, TFCN2502E3341_006666-T1, TFCN2502E3341_008581-T1, TFCN2502E3341_013268-T1, TFCN2502E3341_008123-T1, TFCN2502E3341_013744-T1, TFCN2502E3341_003864-T1, TFCN2502E3341_004749-T1, TFCN2502E3341_005971-T1, TFCN2502E3341_005519-T1	DBVPG3775_001464-T1, DBVPG3775_001893-T1, DBVPG3775_002118-T1, DBVPG3775_002468-T1, DBVPG3775_003247-T1, DBVPG3775_004801-T1, DBVPG3775_006805-T1, DBVPG3775_007221-T1
GF00000022	TFCN2502E3341_000088-T1, TFCN2502E3341_008204-T1, TFCN2502E3341_013691-T1, TFCN2502E3341_004162-T1, TFCN2502E3341_008801-T1, TFCN2502E3341_007662-T1, TFCN2502E3341_012317-T1, TFCN2502E3341_005919-T1, TFCN2502E3341_013069-T1, TFCN2502E3341_000271-T1, TFCN2502E3341_009384-T1, TFCN2502E3341_010507-T1, TFCN2502E3341_013710-T1, TFCN2502E3341_001799-T1, TFCN2502E3341_000904-T1, TFCN2502E3341_004586-T1	DBVPG3775_000068-T1, DBVPG3775_003889-T1, DBVPG3775_004041-T1, DBVPG3775_004212-T1, DBVPG3775_005248-T1, DBVPG3775_006550-T1, DBVPG3775_007311-T1, DBVPG3775_007478-T1
GF00000023	TFCN2502E3341_000837-T1, TFCN2502E3341_006875-T1, TFCN2502E3341_003175-T1, TFCN2502E3341_004207-T1, TFCN2502E3341_002363-T1, TFCN2502E3341_014247-T1, TFCN2502E3341_008298-T1, TFCN2502E3341_013954-T1, TFCN2502E3341_008621-T1, TFCN2502E3341_008651-T1, TFCN2502E3341_006874-T1, TFCN2502E3341_009648-T1, TFCN2502E3341_013367-T1, TFCN2502E3341_006135-T1, TFCN2502E3341_003060-T1, TFCN2502E3341_004982-T1, TFCN2502E3341_009650-T1	DBVPG3775_000677-T1, DBVPG3775_001251-T1, DBVPG3775_001509-T1, DBVPG3775_001719-T1, DBVPG3775_004497-T1, DBVPG3775_005432-T1, DBVPG3775_006228-T1
GF00000024	TFCN2502E3341_000747-T1, TFCN2502E3341_005494-T1, TFCN2502E3341_005493-T1, TFCN2502E3341_012161-T1, TFCN2502E3341_000749-T1, TFCN2502E3341_001033-T1, TFCN2502E3341_001032-T1, TFCN2502E3341_000748-T1, TFCN2502E3341_009214-T1, TFCN2502E3341_007604-T1, TFCN2502E3341_007605-T1, TFCN2502E3341_008749-T1, TFCN2502E3341_009134-T1, TFCN2502E3341_008748-T1, TFCN2502E3341_008836-T1	DBVPG3775_000976-T1, DBVPG3775_000977-T1, DBVPG3775_000978-T1, DBVPG3775_001426-T1, DBVPG3775_001427-T1, DBVPG3775_002210-T1, DBVPG3775_002618-T1, DBVPG3775_007152-T1
