	Rhodotorula_mucilaginosa_TFCN_25-331D-1.cds.fa
GF00000011	TFCN25331D1_009944-T1, TFCN25331D1_000748-T1, TFCN25331D1_004032-T1, TFCN25331D1_005952-T1, TFCN25331D1_012209-T1, TFCN25331D1_003236-T1, TFCN25331D1_007242-T1, TFCN25331D1_007969-T1, TFCN25331D1_003600-T1, TFCN25331D1_012643-T1, TFCN25331D1_013697-T1, TFCN25331D1_013685-T1, TFCN25331D1_003891-T1, TFCN25331D1_010838-T1, TFCN25331D1_010839-T1
GF00000012	TFCN25331D1_011446-T1, TFCN25331D1_008330-T1, TFCN25331D1_007584-T1, TFCN25331D1_005648-T1, TFCN25331D1_009531-T1, TFCN25331D1_012246-T1, TFCN25331D1_009765-T1, TFCN25331D1_012950-T1, TFCN25331D1_008329-T1, TFCN25331D1_012018-T1, TFCN25331D1_007759-T1, TFCN25331D1_012442-T1, TFCN25331D1_007760-T1, TFCN25331D1_012444-T1, TFCN25331D1_012443-T1
GF00000013	TFCN25331D1_002871-T1, TFCN25331D1_005642-T1, TFCN25331D1_010346-T1, TFCN25331D1_012335-T1, TFCN25331D1_007213-T1, TFCN25331D1_005583-T1, TFCN25331D1_012900-T1, TFCN25331D1_013275-T1, TFCN25331D1_009025-T1, TFCN25331D1_008315-T1, TFCN25331D1_010353-T1, TFCN25331D1_000785-T1, TFCN25331D1_010521-T1, TFCN25331D1_000786-T1
GF00000014	TFCN25331D1_009534-T1, TFCN25331D1_012250-T1, TFCN25331D1_000602-T1, TFCN25331D1_011516-T1, TFCN25331D1_002938-T1, TFCN25331D1_003792-T1, TFCN25331D1_013048-T1, TFCN25331D1_010603-T1, TFCN25331D1_012269-T1, TFCN25331D1_010390-T1, TFCN25331D1_006129-T1, TFCN25331D1_001849-T1, TFCN25331D1_011823-T1, TFCN25331D1_002066-T1
GF00000015	TFCN25331D1_013009-T1, TFCN25331D1_005477-T1, TFCN25331D1_007617-T1, TFCN25331D1_008352-T1, TFCN25331D1_004523-T1, TFCN25331D1_006616-T1, TFCN25331D1_008894-T1, TFCN25331D1_004236-T1, TFCN25331D1_009926-T1, TFCN25331D1_004050-T1, TFCN25331D1_004700-T1, TFCN25331D1_004317-T1, TFCN25331D1_004621-T1
GF00000016	TFCN25331D1_005279-T1, TFCN25331D1_011564-T1, TFCN25331D1_001104-T1, TFCN25331D1_008723-T1, TFCN25331D1_005107-T1, TFCN25331D1_006017-T1, TFCN25331D1_007077-T1, TFCN25331D1_002290-T1, TFCN25331D1_008002-T1, TFCN25331D1_008145-T1, TFCN25331D1_001535-T1, TFCN25331D1_001534-T1, TFCN25331D1_008144-T1
GF00000017	TFCN25331D1_001468-T1, TFCN25331D1_001171-T1, TFCN25331D1_001295-T1, TFCN25331D1_000528-T1, TFCN25331D1_000527-T1, TFCN25331D1_007707-T1, TFCN25331D1_001362-T1, TFCN25331D1_006399-T1, TFCN25331D1_010748-T1, TFCN25331D1_007708-T1, TFCN25331D1_000525-T1, TFCN25331D1_007709-T1, TFCN25331D1_000526-T1
GF00000018	TFCN25331D1_009347-T1, TFCN25331D1_011221-T1, TFCN25331D1_004851-T1, TFCN25331D1_004343-T1, TFCN25331D1_002093-T1, TFCN25331D1_001875-T1, TFCN25331D1_001124-T1, TFCN25331D1_009037-T1, TFCN25331D1_004598-T1, TFCN25331D1_005265-T1, TFCN25331D1_008302-T1, TFCN25331D1_001521-T1, TFCN25331D1_001084-T1
GF00000019	TFCN25331D1_011672-T1, TFCN25331D1_012811-T1, TFCN25331D1_007271-T1, TFCN25331D1_005937-T1, TFCN25331D1_011817-T1, TFCN25331D1_000596-T1, TFCN25331D1_003266-T1, TFCN25331D1_007954-T1, TFCN25331D1_001577-T1, TFCN25331D1_006193-T1, TFCN25331D1_011901-T1, TFCN25331D1_008993-T1
GF00000020	TFCN25331D1_005641-T1, TFCN25331D1_010345-T1, TFCN25331D1_011551-T1, TFCN25331D1_008130-T1, TFCN25331D1_007661-T1, TFCN25331D1_007745-T1, TFCN25331D1_005999-T1, TFCN25331D1_003002-T1, TFCN25331D1_008020-T1, TFCN25331D1_005661-T1, TFCN25331D1_012168-T1, TFCN25331D1_013341-T1
GF00000021	TFCN25331D1_009618-T1, TFCN25331D1_003377-T1, TFCN25331D1_004372-T1, TFCN25331D1_002750-T1, TFCN25331D1_003025-T1, TFCN25331D1_000115-T1, TFCN25331D1_010098-T1, TFCN25331D1_002395-T1, TFCN25331D1_008276-T1, TFCN25331D1_012767-T1, TFCN25331D1_004969-T1, TFCN25331D1_001681-T1
GF00000022	TFCN25331D1_010005-T1, TFCN25331D1_007054-T1, TFCN25331D1_003856-T1, TFCN25331D1_001023-T1, TFCN25331D1_011068-T1, TFCN25331D1_007498-T1, TFCN25331D1_009657-T1, TFCN25331D1_003417-T1, TFCN25331D1_004808-T1, TFCN25331D1_006630-T1, TFCN25331D1_004541-T1
GF00000023	TFCN25331D1_011790-T1, TFCN25331D1_009320-T1, TFCN25331D1_003806-T1, TFCN25331D1_002502-T1, TFCN25331D1_009251-T1, TFCN25331D1_012325-T1, TFCN25331D1_010925-T1, TFCN25331D1_009246-T1, TFCN25331D1_003428-T1, TFCN25331D1_013300-T1, TFCN25331D1_002507-T1
GF00000024	TFCN25331D1_007592-T1, TFCN25331D1_007452-T1, TFCN25331D1_004984-T1, TFCN25331D1_007591-T1, TFCN25331D1_003464-T1, TFCN25331D1_001668-T1, TFCN25331D1_007593-T1, TFCN25331D1_007453-T1, TFCN25331D1_013308-T1, TFCN25331D1_003463-T1, TFCN25331D1_003462-T1
GF00000025	TFCN25331D1_011426-T1, TFCN25331D1_008182-T1, TFCN25331D1_000233-T1, TFCN25331D1_005297-T1, TFCN25331D1_011449-T1, TFCN25331D1_005345-T1, TFCN25331D1_000234-T1, TFCN25331D1_011448-T1, TFCN25331D1_011429-T1, TFCN25331D1_011447-T1, TFCN25331D1_011420-T1
GF00000026	TFCN25331D1_001457-T1, TFCN25331D1_001195-T1, TFCN25331D1_005179-T1, TFCN25331D1_012692-T1, TFCN25331D1_009750-T1, TFCN25331D1_009752-T1, TFCN25331D1_009751-T1, TFCN25331D1_012690-T1, TFCN25331D1_011079-T1, TFCN25331D1_012691-T1
GF00000027	TFCN25331D1_010826-T1, TFCN25331D1_012255-T1, TFCN25331D1_001242-T1, TFCN25331D1_001411-T1, TFCN25331D1_013737-T1, TFCN25331D1_013758-T1, TFCN25331D1_001412-T1, TFCN25331D1_010821-T1, TFCN25331D1_013858-T1, TFCN25331D1_013735-T1
GF00000028	TFCN25331D1_011598-T1, TFCN25331D1_002752-T1, TFCN25331D1_003593-T1, TFCN25331D1_012646-T1, TFCN25331D1_012645-T1, TFCN25331D1_011597-T1, TFCN25331D1_011596-T1, TFCN25331D1_000117-T1, TFCN25331D1_013706-T1, TFCN25331D1_000118-T1
GF00000029	TFCN25331D1_000615-T1, TFCN25331D1_002558-T1, TFCN25331D1_010250-T1, TFCN25331D1_009144-T1, TFCN25331D1_006073-T1, TFCN25331D1_013837-T1, TFCN25331D1_012227-T1, TFCN25331D1_007324-T1, TFCN25331D1_006796-T1, TFCN25331D1_013827-T1
GF00000030	TFCN25331D1_006930-T1, TFCN25331D1_007459-T1, TFCN25331D1_000574-T1, TFCN25331D1_012134-T1, TFCN25331D1_009580-T1, TFCN25331D1_000545-T1, TFCN25331D1_010163-T1, TFCN25331D1_012107-T1, TFCN25331D1_000576-T1, TFCN25331D1_009578-T1
GF00000031	TFCN25331D1_010445-T1, TFCN25331D1_003435-T1, TFCN25331D1_002981-T1, TFCN25331D1_001936-T1, TFCN25331D1_002147-T1, TFCN25331D1_002982-T1, TFCN25331D1_003898-T1, TFCN25331D1_003900-T1, TFCN25331D1_003901-T1
GF00000032	TFCN25331D1_011692-T1, TFCN25331D1_002762-T1, TFCN25331D1_000125-T1, TFCN25331D1_007865-T1, TFCN25331D1_000941-T1, TFCN25331D1_006935-T1, TFCN25331D1_007454-T1, TFCN25331D1_009721-T1, TFCN25331D1_007451-T1
GF00000033	TFCN25331D1_004055-T1, TFCN25331D1_007067-T1, TFCN25331D1_008256-T1, TFCN25331D1_013065-T1, TFCN25331D1_003824-T1, TFCN25331D1_010016-T1, TFCN25331D1_013805-T1, TFCN25331D1_011196-T1, TFCN25331D1_010015-T1
GF00000034	TFCN25331D1_005591-T1, TFCN25331D1_007220-T1, TFCN25331D1_007147-T1, TFCN25331D1_008049-T1, TFCN25331D1_000472-T1, TFCN25331D1_002362-T1, TFCN25331D1_004953-T1, TFCN25331D1_001696-T1, TFCN25331D1_002361-T1
GF00000035	TFCN25331D1_001396-T1, TFCN25331D1_001257-T1, TFCN25331D1_012006-T1, TFCN25331D1_004396-T1, TFCN25331D1_003054-T1, TFCN25331D1_000111-T1, TFCN25331D1_002745-T1, TFCN25331D1_001094-T1, TFCN25331D1_003052-T1
GF00000036	TFCN25331D1_004604-T1, TFCN25331D1_004636-T1, TFCN25331D1_004605-T1, TFCN25331D1_004336-T1, TFCN25331D1_004334-T1, TFCN25331D1_004302-T1, TFCN25331D1_004301-T1, TFCN25331D1_004635-T1, TFCN25331D1_004335-T1
GF00000037	TFCN25331D1_004643-T1, TFCN25331D1_013053-T1, TFCN25331D1_011520-T1, TFCN25331D1_010269-T1, TFCN25331D1_002540-T1, TFCN25331D1_000894-T1, TFCN25331D1_007815-T1, TFCN25331D1_004293-T1, TFCN25331D1_004294-T1
GF00000038	TFCN25331D1_000768-T1, TFCN25331D1_000769-T1, TFCN25331D1_000780-T1, TFCN25331D1_000779-T1, TFCN25331D1_000767-T1, TFCN25331D1_000758-T1, TFCN25331D1_000759-T1, TFCN25331D1_013272-T1, TFCN25331D1_012197-T1
GF00000039	TFCN25331D1_003723-T1, TFCN25331D1_003739-T1, TFCN25331D1_003724-T1, TFCN25331D1_006351-T1, TFCN25331D1_003738-T1, TFCN25331D1_006361-T1, TFCN25331D1_003737-T1, TFCN25331D1_006360-T1, TFCN25331D1_006352-T1
GF00000040	TFCN25331D1_011522-T1, TFCN25331D1_011023-T1, TFCN25331D1_005466-T1, TFCN25331D1_005463-T1, TFCN25331D1_013056-T1, TFCN25331D1_005464-T1, TFCN25331D1_003176-T1, TFCN25331D1_005465-T1
GF00000041	TFCN25331D1_008525-T1, TFCN25331D1_011365-T1, TFCN25331D1_012912-T1, TFCN25331D1_008526-T1, TFCN25331D1_011399-T1, TFCN25331D1_012913-T1, TFCN25331D1_011400-T1, TFCN25331D1_011364-T1
GF00000042	TFCN25331D1_011174-T1, TFCN25331D1_011166-T1, TFCN25331D1_003554-T1, TFCN25331D1_011165-T1, TFCN25331D1_003565-T1, TFCN25331D1_003564-T1, TFCN25331D1_003556-T1, TFCN25331D1_003555-T1
GF00000043	TFCN25331D1_001789-T1, TFCN25331D1_002004-T1, TFCN25331D1_001791-T1, TFCN25331D1_002006-T1, TFCN25331D1_004476-T1, TFCN25331D1_005514-T1, TFCN25331D1_001798-T1, TFCN25331D1_002016-T1
GF00000044	TFCN25331D1_010304-T1, TFCN25331D1_006562-T1, TFCN25331D1_012058-T1, TFCN25331D1_010167-T1, TFCN25331D1_009584-T1, TFCN25331D1_000422-T1, TFCN25331D1_008101-T1, TFCN25331D1_012056-T1
GF00000045	TFCN25331D1_005055-T1, TFCN25331D1_005077-T1, TFCN25331D1_005076-T1, TFCN25331D1_005066-T1, TFCN25331D1_008751-T1, TFCN25331D1_010715-T1, TFCN25331D1_005067-T1, TFCN25331D1_005050-T1
GF00000046	TFCN25331D1_003855-T1, TFCN25331D1_007435-T1, TFCN25331D1_006952-T1, TFCN25331D1_007945-T1, TFCN25331D1_013785-T1, TFCN25331D1_013789-T1, TFCN25331D1_013680-T1, TFCN25331D1_013821-T1
GF00000047	TFCN25331D1_007963-T1, TFCN25331D1_005946-T1, TFCN25331D1_005533-T1, TFCN25331D1_007164-T1, TFCN25331D1_012576-T1, TFCN25331D1_011341-T1, TFCN25331D1_002044-T1, TFCN25331D1_001826-T1
GF00000048	TFCN25331D1_003892-T1, TFCN25331D1_003858-T1, TFCN25331D1_003893-T1, TFCN25331D1_003878-T1, TFCN25331D1_011389-T1, TFCN25331D1_012864-T1, TFCN25331D1_003859-T1, TFCN25331D1_000851-T1
GF00000049	TFCN25331D1_008965-T1, TFCN25331D1_009439-T1, TFCN25331D1_010840-T1, TFCN25331D1_010168-T1, TFCN25331D1_006447-T1, TFCN25331D1_013421-T1, TFCN25331D1_009586-T1, TFCN25331D1_009585-T1
GF00000050	TFCN25331D1_002872-T1, TFCN25331D1_008216-T1, TFCN25331D1_001381-T1, TFCN25331D1_001274-T1, TFCN25331D1_000267-T1, TFCN25331D1_012755-T1, TFCN25331D1_000266-T1, TFCN25331D1_001273-T1
GF00000051	TFCN25331D1_007634-T1, TFCN25331D1_007635-T1, TFCN25331D1_007602-T1, TFCN25331D1_008367-T1, TFCN25331D1_005037-T1, TFCN25331D1_006554-T1, TFCN25331D1_007603-T1, TFCN25331D1_008343-T1
GF00000052	TFCN25331D1_011530-T1, TFCN25331D1_011020-T1, TFCN25331D1_011519-T1, TFCN25331D1_011526-T1, TFCN25331D1_011527-T1, TFCN25331D1_013051-T1, TFCN25331D1_011019-T1, TFCN25331D1_013052-T1
GF00000053	TFCN25331D1_011005-T1, TFCN25331D1_011006-T1, TFCN25331D1_011007-T1, TFCN25331D1_011773-T1, TFCN25331D1_011768-T1, TFCN25331D1_011772-T1, TFCN25331D1_011769-T1, TFCN25331D1_011771-T1
GF00000054	TFCN25331D1_006255-T1, TFCN25331D1_009230-T1, TFCN25331D1_011864-T1, TFCN25331D1_013502-T1, TFCN25331D1_007419-T1, TFCN25331D1_008395-T1, TFCN25331D1_013455-T1, TFCN25331D1_012623-T1
GF00000055	TFCN25331D1_006160-T1, TFCN25331D1_001610-T1, TFCN25331D1_007210-T1, TFCN25331D1_005580-T1, TFCN25331D1_007029-T1, TFCN25331D1_000057-T1, TFCN25331D1_006345-T1, TFCN25331D1_003718-T1
GF00000056	TFCN25331D1_005450-T1, TFCN25331D1_008826-T1, TFCN25331D1_010352-T1, TFCN25331D1_012429-T1, TFCN25331D1_002397-T1, TFCN25331D1_011846-T1, TFCN25331D1_013814-T1
GF00000057	TFCN25331D1_001676-T1, TFCN25331D1_004974-T1, TFCN25331D1_008777-T1, TFCN25331D1_003145-T1, TFCN25331D1_010891-T1, TFCN25331D1_004976-T1, TFCN25331D1_004975-T1
GF00000058	TFCN25331D1_013263-T1, TFCN25331D1_008158-T1, TFCN25331D1_008157-T1, TFCN25331D1_008230-T1, TFCN25331D1_000280-T1, TFCN25331D1_011891-T1, TFCN25331D1_009003-T1
GF00000059	TFCN25331D1_000575-T1, TFCN25331D1_008807-T1, TFCN25331D1_004318-T1, TFCN25331D1_004620-T1, TFCN25331D1_012133-T1, TFCN25331D1_009380-T1, TFCN25331D1_012717-T1
GF00000060	TFCN25331D1_013759-T1, TFCN25331D1_003585-T1, TFCN25331D1_011169-T1, TFCN25331D1_012662-T1, TFCN25331D1_003559-T1, TFCN25331D1_013760-T1, TFCN25331D1_011195-T1
GF00000061	TFCN25331D1_008388-T1, TFCN25331D1_011857-T1, TFCN25331D1_008387-T1, TFCN25331D1_011859-T1, TFCN25331D1_008390-T1, TFCN25331D1_008389-T1, TFCN25331D1_011858-T1
GF00000062	TFCN25331D1_000639-T1, TFCN25331D1_006707-T1, TFCN25331D1_004339-T1, TFCN25331D1_000638-T1, TFCN25331D1_006706-T1, TFCN25331D1_004602-T1, TFCN25331D1_004603-T1
GF00000063	TFCN25331D1_001526-T1, TFCN25331D1_001118-T1, TFCN25331D1_003733-T1, TFCN25331D1_001119-T1, TFCN25331D1_005164-T1, TFCN25331D1_001527-T1, TFCN25331D1_011093-T1
GF00000064	TFCN25331D1_000788-T1, TFCN25331D1_000787-T1, TFCN25331D1_013277-T1, TFCN25331D1_001315-T1, TFCN25331D1_001339-T1, TFCN25331D1_001338-T1, TFCN25331D1_013276-T1
GF00000065	TFCN25331D1_011032-T1, TFCN25331D1_011031-T1, TFCN25331D1_011034-T1, TFCN25331D1_011030-T1, TFCN25331D1_011035-T1, TFCN25331D1_007531-T1, TFCN25331D1_007532-T1
GF00000066	TFCN25331D1_010938-T1, TFCN25331D1_012313-T1, TFCN25331D1_004562-T1, TFCN25331D1_006653-T1, TFCN25331D1_002525-T1, TFCN25331D1_012401-T1, TFCN25331D1_002935-T1
GF00000067	TFCN25331D1_007566-T1, TFCN25331D1_003955-T1, TFCN25331D1_012436-T1, TFCN25331D1_012024-T1, TFCN25331D1_012446-T1, TFCN25331D1_012028-T1, TFCN25331D1_012447-T1
GF00000068	TFCN25331D1_003475-T1, TFCN25331D1_010437-T1, TFCN25331D1_003474-T1, TFCN25331D1_010449-T1, TFCN25331D1_003439-T1, TFCN25331D1_003440-T1, TFCN25331D1_010450-T1
GF00000069	TFCN25331D1_001268-T1, TFCN25331D1_010852-T1, TFCN25331D1_001386-T1, TFCN25331D1_010853-T1, TFCN25331D1_006432-T1, TFCN25331D1_013424-T1, TFCN25331D1_010716-T1
GF00000070	TFCN25331D1_009035-T1, TFCN25331D1_008308-T1, TFCN25331D1_009034-T1, TFCN25331D1_008307-T1, TFCN25331D1_008306-T1, TFCN25331D1_008305-T1, TFCN25331D1_008304-T1
GF00000071	TFCN25331D1_006090-T1, TFCN25331D1_009123-T1, TFCN25331D1_009110-T1, TFCN25331D1_009122-T1, TFCN25331D1_006101-T1, TFCN25331D1_009124-T1, TFCN25331D1_009125-T1
GF00000072	TFCN25331D1_013166-T1, TFCN25331D1_008786-T1, TFCN25331D1_003631-T1, TFCN25331D1_012547-T1, TFCN25331D1_008797-T1, TFCN25331D1_008780-T1, TFCN25331D1_008785-T1
GF00000073	TFCN25331D1_013826-T1, TFCN25331D1_008617-T1, TFCN25331D1_005798-T1, TFCN25331D1_005776-T1, TFCN25331D1_012381-T1, TFCN25331D1_008618-T1, TFCN25331D1_013856-T1
GF00000074	TFCN25331D1_005878-T1, TFCN25331D1_002632-T1, TFCN25331D1_013663-T1, TFCN25331D1_003186-T1, TFCN25331D1_003184-T1, TFCN25331D1_003183-T1
GF00000075	TFCN25331D1_003897-T1, TFCN25331D1_013198-T1, TFCN25331D1_005430-T1, TFCN25331D1_003432-T1, TFCN25331D1_010442-T1, TFCN25331D1_002897-T1
GF00000076	TFCN25331D1_001148-T1, TFCN25331D1_001497-T1, TFCN25331D1_011324-T1, TFCN25331D1_012592-T1, TFCN25331D1_013615-T1, TFCN25331D1_011323-T1
GF00000077	TFCN25331D1_002483-T1, TFCN25331D1_009271-T1, TFCN25331D1_003325-T1, TFCN25331D1_009511-T1, TFCN25331D1_007891-T1, TFCN25331D1_005201-T1
GF00000078	TFCN25331D1_005333-T1, TFCN25331D1_012827-T1, TFCN25331D1_003884-T1, TFCN25331D1_004211-T1, TFCN25331D1_004725-T1, TFCN25331D1_011657-T1
GF00000079	TFCN25331D1_003541-T1, TFCN25331D1_009826-T1, TFCN25331D1_008539-T1, TFCN25331D1_012374-T1, TFCN25331D1_005804-T1, TFCN25331D1_011349-T1
GF00000080	TFCN25331D1_013047-T1, TFCN25331D1_011515-T1, TFCN25331D1_003220-T1, TFCN25331D1_010560-T1, TFCN25331D1_010364-T1, TFCN25331D1_010510-T1
GF00000081	TFCN25331D1_011881-T1, TFCN25331D1_009015-T1, TFCN25331D1_001884-T1, TFCN25331D1_009011-T1, TFCN25331D1_011885-T1, TFCN25331D1_002102-T1
GF00000082	TFCN25331D1_010014-T1, TFCN25331D1_010013-T1, TFCN25331D1_007066-T1, TFCN25331D1_007063-T1, TFCN25331D1_007064-T1, TFCN25331D1_007065-T1
GF00000083	TFCN25331D1_002643-T1, TFCN25331D1_006057-T1, TFCN25331D1_009162-T1, TFCN25331D1_005867-T1, TFCN25331D1_006253-T1, TFCN25331D1_005866-T1
GF00000084	TFCN25331D1_004177-T1, TFCN25331D1_000290-T1, TFCN25331D1_008241-T1, TFCN25331D1_000291-T1, TFCN25331D1_008242-T1, TFCN25331D1_000314-T1
GF00000085	TFCN25331D1_001004-T1, TFCN25331D1_004787-T1, TFCN25331D1_005613-T1, TFCN25331D1_007798-T1, TFCN25331D1_013818-T1, TFCN25331D1_007797-T1
GF00000086	TFCN25331D1_011690-T1, TFCN25331D1_009719-T1, TFCN25331D1_008170-T1, TFCN25331D1_000221-T1, TFCN25331D1_002893-T1, TFCN25331D1_003011-T1
GF00000087	TFCN25331D1_013154-T1, TFCN25331D1_005051-T1, TFCN25331D1_010710-T1, TFCN25331D1_010711-T1, TFCN25331D1_005068-T1, TFCN25331D1_005069-T1
GF00000088	TFCN25331D1_005571-T1, TFCN25331D1_007201-T1, TFCN25331D1_003546-T1, TFCN25331D1_011157-T1, TFCN25331D1_006601-T1, TFCN25331D1_004509-T1
GF00000089	TFCN25331D1_010881-T1, TFCN25331D1_003136-T1, TFCN25331D1_001752-T1, TFCN25331D1_004903-T1, TFCN25331D1_010240-T1, TFCN25331D1_002568-T1
GF00000090	TFCN25331D1_006597-T1, TFCN25331D1_004505-T1, TFCN25331D1_007432-T1, TFCN25331D1_006955-T1, TFCN25331D1_007431-T1, TFCN25331D1_006956-T1
GF00000091	TFCN25331D1_003422-T1, TFCN25331D1_009662-T1, TFCN25331D1_012090-T1, TFCN25331D1_002437-T1, TFCN25331D1_007159-T1, TFCN25331D1_005528-T1
