	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00000107	4	4	8	1.0	multi-copy
GF00000108	2	5	7	1.0	multi-copy
GF00000109	3	4	7	1.0	multi-copy
GF00000110	4	3	7	1.0	multi-copy
GF00000111	3	4	7	1.0	multi-copy
GF00000112	4	3	7	1.0	multi-copy
GF00000113	3	4	7	1.0	multi-copy
GF00000114	3	4	7	1.0	multi-copy
GF00000115	4	3	7	1.0	multi-copy
GF00000116	3	4	7	1.0	multi-copy
GF00000117	4	3	7	1.0	multi-copy
GF00000118	4	3	7	1.0	multi-copy
GF00000119	4	3	7	1.0	multi-copy
GF00000120	3	4	7	1.0	multi-copy
GF00000121	3	4	7	1.0	multi-copy
GF00000122	3	4	7	1.0	multi-copy
GF00000123	3	4	7	1.0	multi-copy
GF00000124	3	4	7	1.0	multi-copy
GF00000125	3	3	6	1.0	multi-copy
GF00000126	3	3	6	1.0	multi-copy
GF00000127	3	3	6	1.0	multi-copy
GF00000128	3	3	6	1.0	multi-copy
GF00000129	2	4	6	1.0	multi-copy
GF00000130	3	3	6	1.0	multi-copy
GF00000131	3	3	6	1.0	multi-copy
GF00000132	3	3	6	1.0	multi-copy
GF00000133	3	3	6	1.0	multi-copy
GF00000134	3	3	6	1.0	multi-copy
GF00000135	3	3	6	1.0	multi-copy
GF00000136	3	3	6	1.0	multi-copy
GF00000137	3	3	6	1.0	multi-copy
GF00000138	3	3	6	1.0	multi-copy
GF00000139	3	3	6	1.0	multi-copy
GF00000140	3	3	6	1.0	multi-copy
GF00000141	3	3	6	1.0	multi-copy
GF00000142	3	3	6	1.0	multi-copy
GF00000143	3	3	6	1.0	multi-copy
GF00000144	3	3	6	1.0	multi-copy
GF00000145	3	3	6	1.0	multi-copy
GF00000146	3	3	6	1.0	multi-copy
GF00000147	3	3	6	1.0	multi-copy
GF00000148	3	3	6	1.0	multi-copy
GF00000149	3	3	6	1.0	multi-copy
GF00000150	3	3	6	1.0	multi-copy
GF00000151	2	4	6	1.0	multi-copy
GF00000152	3	3	6	1.0	multi-copy
GF00000153	3	3	6	1.0	multi-copy
GF00000154	3	3	6	1.0	multi-copy
GF00000155	3	3	6	1.0	multi-copy
GF00000156	3	3	6	1.0	multi-copy
GF00000157	3	3	6	1.0	multi-copy
GF00000158	3	3	6	1.0	multi-copy
GF00000159	3	3	6	1.0	multi-copy
GF00000160	3	3	6	1.0	multi-copy
GF00000161	3	3	6	1.0	multi-copy
GF00000162	3	3	6	1.0	multi-copy
GF00000163	3	3	6	1.0	multi-copy
GF00000164	3	3	6	1.0	multi-copy
GF00000165	3	3	6	1.0	multi-copy
GF00000166	3	3	6	1.0	multi-copy
GF00000167	3	3	6	1.0	multi-copy
GF00000168	3	3	6	1.0	multi-copy
GF00000169	3	3	6	1.0	multi-copy
GF00000170	3	3	6	1.0	multi-copy
GF00000171	3	3	6	1.0	multi-copy
GF00000172	3	3	6	1.0	multi-copy
GF00000173	3	3	6	1.0	multi-copy
GF00000174	3	3	6	1.0	multi-copy
GF00000175	3	3	6	1.0	multi-copy
GF00000176	3	3	6	1.0	multi-copy
GF00000177	3	3	6	1.0	multi-copy
GF00000178	3	3	6	1.0	multi-copy
GF00000179	3	3	6	1.0	multi-copy
GF00000180	3	3	6	1.0	multi-copy
GF00000181	3	3	6	1.0	multi-copy
GF00000182	3	3	6	1.0	multi-copy
GF00000183	3	3	6	1.0	multi-copy
GF00000184	3	3	6	1.0	multi-copy
GF00000185	3	3	6	1.0	multi-copy
GF00000186	3	3	6	1.0	multi-copy
GF00000187	3	3	6	1.0	multi-copy
GF00000188	3	3	6	1.0	multi-copy
GF00000189	3	3	6	1.0	multi-copy
GF00000190	3	3	6	1.0	multi-copy
GF00000191	3	3	6	1.0	multi-copy
GF00000192	3	3	6	1.0	multi-copy
GF00000193	3	3	6	1.0	multi-copy
GF00000194	3	3	6	1.0	multi-copy
GF00000195	3	3	6	1.0	multi-copy
GF00000196	3	3	6	1.0	multi-copy
GF00000197	3	3	6	1.0	multi-copy
GF00000198	3	3	6	1.0	multi-copy
GF00000199	3	3	6	1.0	multi-copy
GF00000200	3	3	6	1.0	multi-copy
GF00000201	1	5	6	1.0	multi-copy
GF00000202	2	3	5	1.0	multi-copy
GF00000203	3	2	5	1.0	multi-copy
GF00000204	3	2	5	1.0	multi-copy
GF00000205	2	3	5	1.0	multi-copy
GF00000206	2	3	5	1.0	multi-copy
GF00000207	2	3	5	1.0	multi-copy
GF00000208	2	3	5	1.0	multi-copy
GF00000209	3	2	5	1.0	multi-copy
GF00000210	2	3	5	1.0	multi-copy
GF00000211	2	3	5	1.0	multi-copy
GF00000212	2	3	5	1.0	multi-copy
GF00000213	2	3	5	1.0	multi-copy
GF00000214	2	3	5	1.0	multi-copy
GF00000215	2	3	5	1.0	multi-copy
GF00000216	2	3	5	1.0	multi-copy
GF00000217	3	2	5	1.0	multi-copy
GF00000218	3	2	5	1.0	multi-copy
GF00000219	3	2	5	1.0	multi-copy
GF00000220	3	2	5	1.0	multi-copy
GF00000221	3	2	5	1.0	multi-copy
GF00000222	2	3	5	1.0	multi-copy
GF00000223	2	3	5	1.0	multi-copy
GF00000224	3	2	5	1.0	multi-copy
GF00000225	2	3	5	1.0	multi-copy
GF00000226	2	3	5	1.0	multi-copy
GF00000227	3	2	5	1.0	multi-copy
GF00000228	2	3	5	1.0	multi-copy
GF00000229	2	3	5	1.0	multi-copy
GF00000230	3	2	5	1.0	multi-copy
GF00000231	2	3	5	1.0	multi-copy
GF00000232	3	2	5	1.0	multi-copy
GF00000233	2	3	5	1.0	multi-copy
GF00000234	3	2	5	1.0	multi-copy
GF00000235	3	2	5	1.0	multi-copy
GF00000236	2	3	5	1.0	multi-copy
GF00000237	3	2	5	1.0	multi-copy
GF00000238	4	1	5	1.0	multi-copy
GF00000239	2	3	5	1.0	multi-copy
GF00000240	3	2	5	1.0	multi-copy
GF00000241	3	2	5	1.0	multi-copy
GF00000242	1	4	5	1.0	multi-copy
GF00000243	2	3	5	1.0	multi-copy
GF00000244	3	2	5	1.0	multi-copy
GF00000245	2	3	5	1.0	multi-copy
GF00000246	2	3	5	1.0	multi-copy
GF00000247	2	3	5	1.0	multi-copy
GF00000248	2	3	5	1.0	multi-copy
GF00000249	2	3	5	1.0	multi-copy
GF00000250	2	3	5	1.0	multi-copy
GF00000251	2	3	5	1.0	multi-copy
GF00000252	2	3	5	1.0	multi-copy
GF00000253	2	3	5	1.0	multi-copy
GF00000254	2	3	5	1.0	multi-copy
GF00000255	2	3	5	1.0	multi-copy
GF00000256	2	3	5	1.0	multi-copy
GF00000257	2	3	5	1.0	multi-copy
GF00000258	3	2	5	1.0	multi-copy
GF00000259	2	3	5	1.0	multi-copy
GF00000260	2	3	5	1.0	multi-copy
GF00000261	3	2	5	1.0	multi-copy
GF00000262	2	3	5	1.0	multi-copy
GF00000263	4	1	5	1.0	multi-copy
GF00000264	3	2	5	1.0	multi-copy
GF00000265	2	3	5	1.0	multi-copy
GF00000266	2	2	4	1.0	multi-copy
GF00000267	2	2	4	1.0	multi-copy
GF00000268	2	2	4	1.0	multi-copy
GF00000269	2	2	4	1.0	multi-copy
GF00000270	2	2	4	1.0	multi-copy
GF00000271	2	2	4	1.0	multi-copy
GF00000272	2	2	4	1.0	multi-copy
GF00000273	2	2	4	1.0	multi-copy
GF00000274	2	2	4	1.0	multi-copy
GF00000275	2	2	4	1.0	multi-copy
GF00000276	2	2	4	1.0	multi-copy
GF00000277	1	3	4	1.0	multi-copy
GF00000278	2	2	4	1.0	multi-copy
GF00000279	2	2	4	1.0	multi-copy
GF00000280	2	2	4	1.0	multi-copy
GF00000281	2	2	4	1.0	multi-copy
GF00000282	2	2	4	1.0	multi-copy
GF00000283	2	2	4	1.0	multi-copy
GF00000284	2	2	4	1.0	multi-copy
GF00000285	2	2	4	1.0	multi-copy
GF00000286	2	2	4	1.0	multi-copy
GF00000287	2	2	4	1.0	multi-copy
GF00000288	2	2	4	1.0	multi-copy
GF00000289	2	2	4	1.0	multi-copy
GF00000290	2	2	4	1.0	multi-copy
GF00000291	2	2	4	1.0	multi-copy
GF00000292	2	2	4	1.0	multi-copy
GF00000293	2	2	4	1.0	multi-copy
GF00000294	2	2	4	1.0	multi-copy
GF00000295	2	2	4	1.0	multi-copy
GF00000296	2	2	4	1.0	multi-copy
GF00000297	2	2	4	1.0	multi-copy
GF00000298	2	2	4	1.0	multi-copy
GF00000299	2	2	4	1.0	multi-copy
GF00000300	2	2	4	1.0	multi-copy
GF00000301	2	2	4	1.0	multi-copy
GF00000302	2	2	4	1.0	multi-copy
GF00000303	2	2	4	1.0	multi-copy
GF00000304	2	2	4	1.0	multi-copy
GF00000305	2	2	4	1.0	multi-copy
GF00000306	2	2	4	1.0	multi-copy
GF00000307	2	2	4	1.0	multi-copy
GF00000308	2	2	4	1.0	multi-copy
GF00000309	2	2	4	1.0	multi-copy
GF00000310	2	2	4	1.0	multi-copy
GF00000311	2	2	4	1.0	multi-copy
GF00000312	2	2	4	1.0	multi-copy
GF00000313	2	2	4	1.0	multi-copy
GF00000314	2	2	4	1.0	multi-copy
GF00000315	2	2	4	1.0	multi-copy
GF00000316	2	2	4	1.0	multi-copy
GF00000317	2	2	4	1.0	multi-copy
GF00000318	2	2	4	1.0	multi-copy
GF00000319	2	2	4	1.0	multi-copy
GF00000320	2	2	4	1.0	multi-copy
GF00000321	2	2	4	1.0	multi-copy
GF00000322	2	2	4	1.0	multi-copy
GF00000323	2	2	4	1.0	multi-copy
GF00000324	2	2	4	1.0	multi-copy
GF00000325	2	2	4	1.0	multi-copy
GF00000326	2	2	4	1.0	multi-copy
GF00000327	2	2	4	1.0	multi-copy
GF00000328	2	2	4	1.0	multi-copy
GF00000329	2	2	4	1.0	multi-copy
GF00000330	2	2	4	1.0	multi-copy
GF00000331	2	2	4	1.0	multi-copy
GF00000332	2	2	4	1.0	multi-copy
GF00000333	2	2	4	1.0	multi-copy
GF00000334	2	2	4	1.0	multi-copy
GF00000335	2	2	4	1.0	multi-copy
GF00000336	2	2	4	1.0	multi-copy
GF00000337	2	2	4	1.0	multi-copy
GF00000338	2	2	4	1.0	multi-copy
GF00000339	2	2	4	1.0	multi-copy
GF00000340	2	2	4	1.0	multi-copy
GF00000341	2	2	4	1.0	multi-copy
GF00000342	2	2	4	1.0	multi-copy
GF00000343	2	2	4	1.0	multi-copy
GF00000344	2	2	4	1.0	multi-copy
GF00000345	2	2	4	1.0	multi-copy
GF00000346	2	2	4	1.0	multi-copy
GF00000347	2	2	4	1.0	multi-copy
GF00000348	2	2	4	1.0	multi-copy
GF00000349	2	2	4	1.0	multi-copy
GF00000350	2	2	4	1.0	multi-copy
GF00000351	2	2	4	1.0	multi-copy
GF00000352	2	2	4	1.0	multi-copy
GF00000353	2	2	4	1.0	multi-copy
GF00000354	2	2	4	1.0	multi-copy
GF00000355	2	2	4	1.0	multi-copy
GF00000356	2	2	4	1.0	multi-copy
GF00000357	2	2	4	1.0	multi-copy
GF00000358	2	2	4	1.0	multi-copy
GF00000359	2	2	4	1.0	multi-copy
GF00000360	2	2	4	1.0	multi-copy
GF00000361	2	2	4	1.0	multi-copy
GF00000362	2	2	4	1.0	multi-copy
GF00000363	2	2	4	1.0	multi-copy
GF00000364	2	2	4	1.0	multi-copy
GF00000365	2	2	4	1.0	multi-copy
GF00000366	2	2	4	1.0	multi-copy
GF00000367	2	2	4	1.0	multi-copy
GF00000368	2	2	4	1.0	multi-copy
GF00000369	2	2	4	1.0	multi-copy
GF00000370	2	2	4	1.0	multi-copy
GF00000371	2	2	4	1.0	multi-copy
GF00000372	2	2	4	1.0	multi-copy
GF00000373	2	2	4	1.0	multi-copy
GF00000374	2	2	4	1.0	multi-copy
GF00000375	2	2	4	1.0	multi-copy
GF00000376	2	2	4	1.0	multi-copy
GF00000377	2	2	4	1.0	multi-copy
GF00000378	2	2	4	1.0	multi-copy
GF00000379	2	2	4	1.0	multi-copy
GF00000380	2	2	4	1.0	multi-copy
GF00000381	2	2	4	1.0	multi-copy
GF00000382	2	2	4	1.0	multi-copy
GF00000383	2	2	4	1.0	multi-copy
GF00000384	2	2	4	1.0	multi-copy
GF00000385	2	2	4	1.0	multi-copy
GF00000386	2	2	4	1.0	multi-copy
GF00000387	2	2	4	1.0	multi-copy
GF00000388	2	2	4	1.0	multi-copy
GF00000389	1	3	4	1.0	multi-copy
GF00000390	2	2	4	1.0	multi-copy
GF00000391	2	2	4	1.0	multi-copy
GF00000392	2	2	4	1.0	multi-copy
GF00000393	2	2	4	1.0	multi-copy
GF00000394	2	2	4	1.0	multi-copy
GF00000395	2	2	4	1.0	multi-copy
GF00000396	2	2	4	1.0	multi-copy
GF00000397	2	2	4	1.0	multi-copy
GF00000398	2	2	4	1.0	multi-copy
GF00000399	2	2	4	1.0	multi-copy
GF00000400	2	2	4	1.0	multi-copy
GF00000401	2	2	4	1.0	multi-copy
GF00000402	2	2	4	1.0	multi-copy
GF00000403	2	2	4	1.0	multi-copy
GF00000404	2	2	4	1.0	multi-copy
GF00000405	2	2	4	1.0	multi-copy
GF00000406	2	2	4	1.0	multi-copy
GF00000407	2	2	4	1.0	multi-copy
GF00000408	2	2	4	1.0	multi-copy
GF00000409	2	2	4	1.0	multi-copy
GF00000410	2	2	4	1.0	multi-copy
GF00000411	2	2	4	1.0	multi-copy
GF00000412	2	2	4	1.0	multi-copy
GF00000413	2	2	4	1.0	multi-copy
GF00000414	2	2	4	1.0	multi-copy
GF00000415	2	2	4	1.0	multi-copy
GF00000416	2	2	4	1.0	multi-copy
GF00000417	2	2	4	1.0	multi-copy
GF00000418	2	2	4	1.0	multi-copy
GF00000419	2	2	4	1.0	multi-copy
GF00000420	2	2	4	1.0	multi-copy
GF00000421	2	2	4	1.0	multi-copy
GF00000422	2	2	4	1.0	multi-copy
GF00000423	2	2	4	1.0	multi-copy
GF00000424	2	2	4	1.0	multi-copy
GF00000425	2	2	4	1.0	multi-copy
GF00000426	2	2	4	1.0	multi-copy
GF00000427	2	2	4	1.0	multi-copy
GF00000428	2	2	4	1.0	multi-copy
GF00000429	2	2	4	1.0	multi-copy
GF00000430	2	2	4	1.0	multi-copy
GF00000431	2	2	4	1.0	multi-copy
GF00000432	2	2	4	1.0	multi-copy
GF00000433	2	2	4	1.0	multi-copy
GF00000434	2	2	4	1.0	multi-copy
GF00000435	2	2	4	1.0	multi-copy
GF00000436	2	2	4	1.0	multi-copy
GF00000437	2	2	4	1.0	multi-copy
GF00000438	2	2	4	1.0	multi-copy
GF00000439	2	2	4	1.0	multi-copy
GF00000440	2	2	4	1.0	multi-copy
GF00000441	2	2	4	1.0	multi-copy
GF00000442	2	2	4	1.0	multi-copy
GF00000443	2	2	4	1.0	multi-copy
GF00000444	2	2	4	1.0	multi-copy
GF00000445	2	2	4	1.0	multi-copy
GF00000446	2	2	4	1.0	multi-copy
GF00000447	2	2	4	1.0	multi-copy
GF00000448	2	2	4	1.0	multi-copy
GF00000449	2	2	4	1.0	multi-copy
GF00000450	2	2	4	1.0	multi-copy
GF00000451	2	2	4	1.0	multi-copy
GF00000452	1	3	4	1.0	multi-copy
GF00000453	2	2	4	1.0	multi-copy
GF00000454	2	2	4	1.0	multi-copy
GF00000455	2	2	4	1.0	multi-copy
GF00000456	2	2	4	1.0	multi-copy
GF00000457	2	2	4	1.0	multi-copy
GF00000458	2	2	4	1.0	multi-copy
GF00000459	2	2	4	1.0	multi-copy
GF00000460	2	2	4	1.0	multi-copy
GF00000461	2	2	4	1.0	multi-copy
GF00000462	2	2	4	1.0	multi-copy
GF00000463	2	2	4	1.0	multi-copy
GF00000464	2	2	4	1.0	multi-copy
GF00000465	2	2	4	1.0	multi-copy
GF00000466	2	2	4	1.0	multi-copy
GF00000467	2	2	4	1.0	multi-copy
GF00000468	2	2	4	1.0	multi-copy
GF00000469	2	2	4	1.0	multi-copy
GF00000470	2	2	4	1.0	multi-copy
GF00000471	2	2	4	1.0	multi-copy
GF00000472	2	2	4	1.0	multi-copy
GF00000473	2	2	4	1.0	multi-copy
GF00000474	2	2	4	1.0	multi-copy
GF00000475	2	2	4	1.0	multi-copy
GF00000476	2	2	4	1.0	multi-copy
GF00000477	2	2	4	1.0	multi-copy
GF00000478	2	2	4	1.0	multi-copy
GF00000479	2	2	4	1.0	multi-copy
GF00000480	2	2	4	1.0	multi-copy
GF00000481	2	2	4	1.0	multi-copy
GF00000482	2	2	4	1.0	multi-copy
GF00000483	2	2	4	1.0	multi-copy
GF00000484	2	2	4	1.0	multi-copy
GF00000485	2	2	4	1.0	multi-copy
GF00000486	2	2	4	1.0	multi-copy
GF00000487	2	2	4	1.0	multi-copy
GF00000488	2	2	4	1.0	multi-copy
GF00000489	2	2	4	1.0	multi-copy
GF00000490	2	2	4	1.0	multi-copy
GF00000491	2	2	4	1.0	multi-copy
GF00000492	2	2	4	1.0	multi-copy
GF00000493	2	2	4	1.0	multi-copy
GF00000494	2	2	4	1.0	multi-copy
GF00000495	2	2	4	1.0	multi-copy
GF00000496	2	2	4	1.0	multi-copy
GF00000497	2	2	4	1.0	multi-copy
GF00000498	2	2	4	1.0	multi-copy
GF00000499	2	2	4	1.0	multi-copy
GF00000500	2	2	4	1.0	multi-copy
GF00000501	2	2	4	1.0	multi-copy
GF00000502	2	2	4	1.0	multi-copy
GF00000503	2	2	4	1.0	multi-copy
GF00000504	2	2	4	1.0	multi-copy
GF00000505	2	2	4	1.0	multi-copy
GF00000506	2	2	4	1.0	multi-copy
GF00000507	2	2	4	1.0	multi-copy
GF00000508	2	2	4	1.0	multi-copy
GF00000509	2	2	4	1.0	multi-copy
GF00000510	2	2	4	1.0	multi-copy
GF00000511	2	2	4	1.0	multi-copy
GF00000512	2	2	4	1.0	multi-copy
GF00000513	2	2	4	1.0	multi-copy
GF00000514	2	2	4	1.0	multi-copy
GF00000515	2	2	4	1.0	multi-copy
GF00000516	2	2	4	1.0	multi-copy
GF00000517	2	2	4	1.0	multi-copy
GF00000518	2	2	4	1.0	multi-copy
GF00000519	2	2	4	1.0	multi-copy
GF00000520	2	2	4	1.0	multi-copy
GF00000521	2	2	4	1.0	multi-copy
GF00000522	2	2	4	1.0	multi-copy
GF00000523	2	2	4	1.0	multi-copy
GF00000524	2	2	4	1.0	multi-copy
GF00000525	2	2	4	1.0	multi-copy
GF00000526	2	2	4	1.0	multi-copy
GF00000527	2	2	4	1.0	multi-copy
GF00000528	2	2	4	1.0	multi-copy
GF00000529	2	2	4	1.0	multi-copy
GF00000530	2	2	4	1.0	multi-copy
GF00000531	2	2	4	1.0	multi-copy
GF00000532	2	2	4	1.0	multi-copy
GF00000533	2	2	4	1.0	multi-copy
GF00000534	2	2	4	1.0	multi-copy
GF00000535	2	2	4	1.0	multi-copy
GF00000536	2	2	4	1.0	multi-copy
GF00000537	2	2	4	1.0	multi-copy
GF00000538	2	2	4	1.0	multi-copy
GF00000539	2	2	4	1.0	multi-copy
GF00000540	2	2	4	1.0	multi-copy
GF00000541	2	2	4	1.0	multi-copy
GF00000542	2	2	4	1.0	multi-copy
GF00000543	2	2	4	1.0	multi-copy
GF00000544	2	2	4	1.0	multi-copy
GF00000545	2	2	4	1.0	multi-copy
GF00000546	2	2	4	1.0	multi-copy
GF00000547	2	2	4	1.0	multi-copy
GF00000548	2	2	4	1.0	multi-copy
GF00000549	2	2	4	1.0	multi-copy
GF00000550	2	2	4	1.0	multi-copy
GF00000551	2	2	4	1.0	multi-copy
GF00000552	2	2	4	1.0	multi-copy
GF00000553	2	2	4	1.0	multi-copy
GF00000554	2	2	4	1.0	multi-copy
GF00000555	2	2	4	1.0	multi-copy
GF00000556	2	2	4	1.0	multi-copy
GF00000557	2	2	4	1.0	multi-copy
GF00000558	2	2	4	1.0	multi-copy
GF00000559	2	2	4	1.0	multi-copy
GF00000560	2	2	4	1.0	multi-copy
GF00000561	2	2	4	1.0	multi-copy
GF00000562	2	2	4	1.0	multi-copy
GF00000563	2	2	4	1.0	multi-copy
GF00000564	2	2	4	1.0	multi-copy
GF00000565	2	2	4	1.0	multi-copy
GF00000566	2	2	4	1.0	multi-copy
GF00000567	2	2	4	1.0	multi-copy
GF00000568	2	2	4	1.0	multi-copy
GF00000569	2	2	4	1.0	multi-copy
GF00000570	2	2	4	1.0	multi-copy
GF00000571	2	2	4	1.0	multi-copy
GF00000572	2	2	4	1.0	multi-copy
GF00000573	2	2	4	1.0	multi-copy
GF00000574	2	2	4	1.0	multi-copy
GF00000575	2	2	4	1.0	multi-copy
GF00000576	2	2	4	1.0	multi-copy
GF00000577	2	2	4	1.0	multi-copy
GF00000578	2	2	4	1.0	multi-copy
GF00000579	2	2	4	1.0	multi-copy
GF00000580	2	2	4	1.0	multi-copy
GF00000581	2	2	4	1.0	multi-copy
GF00000582	2	2	4	1.0	multi-copy
GF00000583	2	2	4	1.0	multi-copy
GF00000584	2	2	4	1.0	multi-copy
GF00000585	2	2	4	1.0	multi-copy
GF00000586	2	2	4	1.0	multi-copy
GF00000587	2	2	4	1.0	multi-copy
GF00000588	2	2	4	1.0	multi-copy
GF00000589	2	2	4	1.0	multi-copy
GF00000590	2	2	4	1.0	multi-copy
GF00000591	2	2	4	1.0	multi-copy
GF00000592	2	2	4	1.0	multi-copy
GF00000593	2	2	4	1.0	multi-copy
GF00000594	2	2	4	1.0	multi-copy
GF00000595	2	2	4	1.0	multi-copy
GF00000596	2	2	4	1.0	multi-copy
GF00000597	2	2	4	1.0	multi-copy
GF00000598	2	2	4	1.0	multi-copy
GF00000599	2	2	4	1.0	multi-copy
GF00000600	2	2	4	1.0	multi-copy
GF00000601	2	2	4	1.0	multi-copy
GF00000602	2	2	4	1.0	multi-copy
GF00000603	2	2	4	1.0	multi-copy
GF00000604	2	2	4	1.0	multi-copy
GF00000605	2	2	4	1.0	multi-copy
GF00000606	2	2	4	1.0	multi-copy
GF00000607	2	2	4	1.0	multi-copy
GF00000608	2	2	4	1.0	multi-copy
GF00000609	2	2	4	1.0	multi-copy
GF00000610	2	2	4	1.0	multi-copy
GF00000611	2	2	4	1.0	multi-copy
GF00000612	2	2	4	1.0	multi-copy
GF00000613	2	2	4	1.0	multi-copy
GF00000614	2	2	4	1.0	multi-copy
GF00000615	2	2	4	1.0	multi-copy
GF00000616	2	2	4	1.0	multi-copy
GF00000617	2	2	4	1.0	multi-copy
GF00000618	2	2	4	1.0	multi-copy
GF00000619	2	2	4	1.0	multi-copy
GF00000620	2	2	4	1.0	multi-copy
GF00000621	2	2	4	1.0	multi-copy
GF00000622	1	3	4	1.0	multi-copy
GF00000623	2	2	4	1.0	multi-copy
GF00000624	3	1	4	1.0	multi-copy
GF00000625	1	3	4	1.0	multi-copy
GF00000626	1	3	4	1.0	multi-copy
GF00000627	3	1	4	1.0	multi-copy
GF00000628	1	3	4	1.0	multi-copy
