	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000083	TFCN17291Y1_007062-T1	DBVPG3775_000026-T1
GF00000084	TFCN17291Y1_002310-T1	DBVPG3775_006948-T1
GF00000085	TFCN17291Y1_007508-T1	DBVPG3775_005603-T1
GF00000086	TFCN17291Y1_012067-T1	DBVPG3775_006818-T1
GF00000087	TFCN17291Y1_003552-T1	DBVPG3775_000842-T1
GF00000088	TFCN17291Y1_000060-T1	DBVPG3775_002226-T1
GF00000089	TFCN17291Y1_001389-T1	DBVPG3775_003792-T1
GF00000090	TFCN17291Y1_008661-T1	DBVPG3775_000368-T1
GF00000091	TFCN17291Y1_000272-T1	DBVPG3775_004080-T1
GF00000092	TFCN17291Y1_000637-T1	DBVPG3775_003172-T1
GF00000093	TFCN17291Y1_003899-T1	DBVPG3775_002257-T1
GF00000094	TFCN17291Y1_003503-T1	DBVPG3775_000792-T1
GF00000095	TFCN17291Y1_006850-T1	DBVPG3775_003767-T1
GF00000096	TFCN17291Y1_011718-T1	DBVPG3775_002526-T1
GF00000097	TFCN17291Y1_006827-T1	DBVPG3775_003794-T1
GF00000098	TFCN17291Y1_002878-T1	DBVPG3775_004880-T1
GF00000099	TFCN17291Y1_008152-T1	DBVPG3775_002579-T1
GF00000100	TFCN17291Y1_004762-T1	DBVPG3775_001677-T1
GF00000101	TFCN17291Y1_010463-T1	DBVPG3775_002338-T1
GF00000102	TFCN17291Y1_010425-T1	DBVPG3775_000613-T1
GF00000103	TFCN17291Y1_002533-T1	DBVPG3775_002218-T1
GF00000104	TFCN17291Y1_008094-T1	DBVPG3775_006650-T1
GF00000105	TFCN17291Y1_006779-T1	DBVPG3775_003411-T1
GF00000106	TFCN17291Y1_009744-T1	DBVPG3775_003266-T1
GF00000107	TFCN17291Y1_011373-T1	DBVPG3775_001255-T1
GF00000108	TFCN17291Y1_007448-T1	DBVPG3775_001719-T1
GF00000109	TFCN17291Y1_000997-T1	DBVPG3775_006076-T1
GF00000110	TFCN17291Y1_001204-T1	DBVPG3775_000794-T1
GF00000111	TFCN17291Y1_008262-T1	DBVPG3775_006485-T1
GF00000112	TFCN17291Y1_004337-T1	DBVPG3775_004544-T1
GF00000113	TFCN17291Y1_008124-T1	DBVPG3775_004520-T1
GF00000114	TFCN17291Y1_010857-T1	DBVPG3775_006363-T1
GF00000115	TFCN17291Y1_011853-T1	DBVPG3775_004502-T1
GF00000116	TFCN17291Y1_012090-T1	DBVPG3775_004634-T1
GF00000117	TFCN17291Y1_010853-T1	DBVPG3775_006357-T1
GF00000118	TFCN17291Y1_002660-T1	DBVPG3775_005157-T1
GF00000119	TFCN17291Y1_011294-T1	DBVPG3775_004252-T1
GF00000120	TFCN17291Y1_007623-T1	DBVPG3775_004760-T1
GF00000121	TFCN17291Y1_004994-T1	DBVPG3775_004549-T1
GF00000122	TFCN17291Y1_009877-T1	DBVPG3775_005690-T1
GF00000123	TFCN17291Y1_009084-T1	DBVPG3775_001404-T1
GF00000124	TFCN17291Y1_010908-T1	DBVPG3775_002706-T1
GF00000125	TFCN17291Y1_005031-T1	DBVPG3775_006210-T1
GF00000126	TFCN17291Y1_005921-T1	DBVPG3775_005753-T1
GF00000127	TFCN17291Y1_009160-T1	DBVPG3775_002741-T1
GF00000128	TFCN17291Y1_011368-T1	DBVPG3775_004545-T1
GF00000129	TFCN17291Y1_007616-T1	DBVPG3775_001752-T1
GF00000130	TFCN17291Y1_000554-T1	DBVPG3775_004097-T1
GF00000131	TFCN17291Y1_000509-T1	DBVPG3775_000153-T1
GF00000132	TFCN17291Y1_012632-T1	DBVPG3775_007575-T1
GF00000133	TFCN17291Y1_004468-T1	DBVPG3775_003544-T1
GF00000134	TFCN17291Y1_011435-T1	DBVPG3775_000721-T1
GF00000135	TFCN17291Y1_001347-T1	DBVPG3775_003741-T1
GF00000136	TFCN17291Y1_004734-T1	DBVPG3775_006420-T1
GF00000137	TFCN17291Y1_008232-T1	DBVPG3775_006016-T1
GF00000138	TFCN17291Y1_001035-T1	DBVPG3775_001962-T1
GF00000139	TFCN17291Y1_004593-T1	DBVPG3775_003877-T1
GF00000140	TFCN17291Y1_001215-T1	DBVPG3775_000818-T1
GF00000141	TFCN17291Y1_009310-T1	DBVPG3775_006133-T1
GF00000142	TFCN17291Y1_004220-T1	DBVPG3775_004731-T1
GF00000143	TFCN17291Y1_005292-T1	DBVPG3775_004181-T1
GF00000144	TFCN17291Y1_005249-T1	DBVPG3775_004227-T1
GF00000145	TFCN17291Y1_008947-T1	DBVPG3775_006959-T1
GF00000146	TFCN17291Y1_004710-T1	DBVPG3775_006961-T1
GF00000147	TFCN17291Y1_004521-T1	DBVPG3775_003607-T1
GF00000148	TFCN17291Y1_004964-T1	DBVPG3775_004515-T1
GF00000149	TFCN17291Y1_010389-T1	DBVPG3775_001376-T1
GF00000150	TFCN17291Y1_008865-T1	DBVPG3775_000399-T1
GF00000151	TFCN17291Y1_006481-T1	DBVPG3775_007379-T1
GF00000152	TFCN17291Y1_010578-T1	DBVPG3775_003633-T1
GF00000153	TFCN17291Y1_008416-T1	DBVPG3775_006388-T1
GF00000154	TFCN17291Y1_012742-T1	DBVPG3775_003273-T1
GF00000155	TFCN17291Y1_000120-T1	DBVPG3775_002336-T1
GF00000156	TFCN17291Y1_004970-T1	DBVPG3775_004521-T1
GF00000157	TFCN17291Y1_007193-T1	DBVPG3775_003742-T1
GF00000158	TFCN17291Y1_008315-T1	DBVPG3775_005082-T1
GF00000159	TFCN17291Y1_000801-T1	DBVPG3775_005109-T1
GF00000160	TFCN17291Y1_005614-T1	DBVPG3775_006031-T1
GF00000161	TFCN17291Y1_009873-T1	DBVPG3775_005696-T1
GF00000162	TFCN17291Y1_000346-T1	DBVPG3775_004301-T1
GF00000163	TFCN17291Y1_003912-T1	DBVPG3775_002271-T1
GF00000164	TFCN17291Y1_009653-T1	DBVPG3775_005546-T1
GF00000165	TFCN17291Y1_004005-T1	DBVPG3775_001671-T1
GF00000166	TFCN17291Y1_002194-T1	DBVPG3775_000562-T1
GF00000167	TFCN17291Y1_012137-T1	DBVPG3775_001832-T1
GF00000168	TFCN17291Y1_000838-T1	DBVPG3775_001329-T1
GF00000169	TFCN17291Y1_004443-T1	DBVPG3775_004424-T1
GF00000170	TFCN17291Y1_001452-T1	DBVPG3775_001266-T1
GF00000171	TFCN17291Y1_008102-T1	DBVPG3775_001104-T1
GF00000172	TFCN17291Y1_001819-T1	DBVPG3775_002965-T1
GF00000173	TFCN17291Y1_001085-T1	DBVPG3775_002458-T1
GF00000174	TFCN17291Y1_003526-T1	DBVPG3775_000814-T1
GF00000175	TFCN17291Y1_009005-T1	DBVPG3775_007483-T1
GF00000176	TFCN17291Y1_010717-T1	DBVPG3775_001993-T1
GF00000177	TFCN17291Y1_005413-T1	DBVPG3775_001452-T1
GF00000178	TFCN17291Y1_008773-T1	DBVPG3775_003229-T1
GF00000179	TFCN17291Y1_012706-T1	DBVPG3775_005884-T1
GF00000180	TFCN17291Y1_002054-T1	DBVPG3775_002947-T1
GF00000181	TFCN17291Y1_008653-T1	DBVPG3775_002917-T1
GF00000182	TFCN17291Y1_002092-T1	DBVPG3775_003496-T1
GF00000183	TFCN17291Y1_007480-T1	DBVPG3775_006806-T1
GF00000184	TFCN17291Y1_003929-T1	DBVPG3775_002291-T1
GF00000185	TFCN17291Y1_010474-T1	DBVPG3775_002326-T1
GF00000186	TFCN17291Y1_006434-T1	DBVPG3775_005873-T1
GF00000187	TFCN17291Y1_008071-T1	DBVPG3775_006673-T1
GF00000188	TFCN17291Y1_002176-T1	DBVPG3775_001902-T1
GF00000189	TFCN17291Y1_004259-T1	DBVPG3775_001961-T1
GF00000190	TFCN17291Y1_008974-T1	DBVPG3775_007442-T1
GF00000191	TFCN17291Y1_010439-T1	DBVPG3775_000632-T1
GF00000192	TFCN17291Y1_011415-T1	DBVPG3775_006594-T1
GF00000193	TFCN17291Y1_004721-T1	DBVPG3775_006416-T1
GF00000194	TFCN17291Y1_003393-T1	DBVPG3775_000695-T1
GF00000195	TFCN17291Y1_011800-T1	DBVPG3775_001830-T1
GF00000196	TFCN17291Y1_010196-T1	DBVPG3775_005668-T1
GF00000197	TFCN17291Y1_004371-T1	DBVPG3775_001020-T1
GF00000198	TFCN17291Y1_005514-T1	DBVPG3775_000021-T1
GF00000199	TFCN17291Y1_004566-T1	DBVPG3775_004721-T1
GF00000200	TFCN17291Y1_004576-T1	DBVPG3775_004754-T1
GF00000201	TFCN17291Y1_007654-T1	DBVPG3775_004722-T1
GF00000202	TFCN17291Y1_005148-T1	DBVPG3775_000312-T1
GF00000203	TFCN17291Y1_012817-T1	DBVPG3775_006662-T1
GF00000204	TFCN17291Y1_007230-T1	DBVPG3775_001795-T1
GF00000205	TFCN17291Y1_008131-T1	DBVPG3775_006611-T1
GF00000206	TFCN17291Y1_008759-T1	DBVPG3775_007241-T1
GF00000207	TFCN17291Y1_010388-T1	DBVPG3775_001380-T1
GF00000208	TFCN17291Y1_012904-T1	DBVPG3775_007561-T1
GF00000209	TFCN17291Y1_006656-T1	DBVPG3775_006696-T1
GF00000210	TFCN17291Y1_000724-T1	DBVPG3775_003072-T1
GF00000211	TFCN17291Y1_007716-T1	DBVPG3775_004299-T1
GF00000212	TFCN17291Y1_002378-T1	DBVPG3775_003902-T1
GF00000213	TFCN17291Y1_008074-T1	DBVPG3775_000439-T1
GF00000214	TFCN17291Y1_009447-T1	DBVPG3775_004306-T1
GF00000215	TFCN17291Y1_007151-T1	DBVPG3775_003331-T1
GF00000216	TFCN17291Y1_000563-T1	DBVPG3775_000091-T1
GF00000217	TFCN17291Y1_005462-T1	DBVPG3775_000085-T1
GF00000218	TFCN17291Y1_007409-T1	DBVPG3775_002858-T1
GF00000219	TFCN17291Y1_012600-T1	DBVPG3775_006278-T1
GF00000220	TFCN17291Y1_000910-T1	DBVPG3775_001230-T1
GF00000221	TFCN17291Y1_003681-T1	DBVPG3775_005491-T1
GF00000222	TFCN17291Y1_008277-T1	DBVPG3775_006501-T1
GF00000223	TFCN17291Y1_005928-T1	DBVPG3775_005768-T1
GF00000224	TFCN17291Y1_001122-T1	DBVPG3775_000775-T1
GF00000225	TFCN17291Y1_011420-T1	DBVPG3775_007423-T1
GF00000226	TFCN17291Y1_004809-T1	DBVPG3775_003677-T1
GF00000227	TFCN17291Y1_008196-T1	DBVPG3775_005970-T1
GF00000228	TFCN17291Y1_002869-T1	DBVPG3775_004869-T1
GF00000229	TFCN17291Y1_011710-T1	DBVPG3775_005534-T1
GF00000230	TFCN17291Y1_007282-T1	DBVPG3775_005533-T1
GF00000231	TFCN17291Y1_009875-T1	DBVPG3775_003302-T1
GF00000232	TFCN17291Y1_001853-T1	DBVPG3775_002925-T1
GF00000233	TFCN17291Y1_011532-T1	DBVPG3775_002882-T1
GF00000234	TFCN17291Y1_009481-T1	DBVPG3775_004878-T1
GF00000235	TFCN17291Y1_007731-T1	DBVPG3775_001056-T1
GF00000236	TFCN17291Y1_012348-T1	DBVPG3775_007427-T1
GF00000237	TFCN17291Y1_008564-T1	DBVPG3775_006548-T1
GF00000238	TFCN17291Y1_008551-T1	DBVPG3775_003537-T1
GF00000239	TFCN17291Y1_009177-T1	DBVPG3775_003865-T1
GF00000240	TFCN17291Y1_002454-T1	DBVPG3775_004118-T1
GF00000241	TFCN17291Y1_006475-T1	DBVPG3775_007371-T1
GF00000242	TFCN17291Y1_005659-T1	DBVPG3775_006401-T1
GF00000243	TFCN17291Y1_003261-T1	DBVPG3775_003407-T1
GF00000244	TFCN17291Y1_011315-T1	DBVPG3775_000966-T1
GF00000245	TFCN17291Y1_003076-T1	DBVPG3775_000424-T1
GF00000246	TFCN17291Y1_011767-T1	DBVPG3775_007208-T1
GF00000247	TFCN17291Y1_012395-T1	DBVPG3775_005938-T1
GF00000248	TFCN17291Y1_003324-T1	DBVPG3775_006454-T1
GF00000249	TFCN17291Y1_008902-T1	DBVPG3775_002610-T1
GF00000250	TFCN17291Y1_004387-T1	DBVPG3775_005721-T1
GF00000251	TFCN17291Y1_004873-T1	DBVPG3775_001743-T1
GF00000252	TFCN17291Y1_003970-T1	DBVPG3775_001718-T1
GF00000253	TFCN17291Y1_004083-T1	DBVPG3775_001549-T1
GF00000254	TFCN17291Y1_004589-T1	DBVPG3775_004738-T1
GF00000255	TFCN17291Y1_007644-T1	DBVPG3775_004735-T1
GF00000256	TFCN17291Y1_004626-T1	DBVPG3775_004960-T1
GF00000257	TFCN17291Y1_007728-T1	DBVPG3775_005745-T1
GF00000258	TFCN17291Y1_011993-T1	DBVPG3775_005555-T1
GF00000259	TFCN17291Y1_012398-T1	DBVPG3775_005942-T1
GF00000260	TFCN17291Y1_010174-T1	DBVPG3775_003306-T1
GF00000261	TFCN17291Y1_007004-T1	DBVPG3775_001760-T1
GF00000262	TFCN17291Y1_008890-T1	DBVPG3775_002624-T1
GF00000263	TFCN17291Y1_008785-T1	DBVPG3775_003218-T1
GF00000264	TFCN17291Y1_011715-T1	DBVPG3775_002523-T1
GF00000265	TFCN17291Y1_009532-T1	DBVPG3775_000730-T1
GF00000266	TFCN17291Y1_000676-T1	DBVPG3775_003129-T1
GF00000267	TFCN17291Y1_000719-T1	DBVPG3775_003077-T1
GF00000268	TFCN17291Y1_000763-T1	DBVPG3775_005238-T1
GF00000269	TFCN17291Y1_000177-T1	DBVPG3775_005145-T1
GF00000270	TFCN17291Y1_000178-T1	DBVPG3775_002196-T1
GF00000271	TFCN17291Y1_000235-T1	DBVPG3775_004034-T1
GF00000272	TFCN17291Y1_000320-T1	DBVPG3775_004335-T1
GF00000273	TFCN17291Y1_000403-T1	DBVPG3775_000268-T1
GF00000274	TFCN17291Y1_006006-T1	DBVPG3775_000179-T1
GF00000275	TFCN17291Y1_004514-T1	DBVPG3775_003596-T1
GF00000276	TFCN17291Y1_003733-T1	DBVPG3775_004461-T1
GF00000277	TFCN17291Y1_006799-T1	DBVPG3775_003215-T1
GF00000278	TFCN17291Y1_006792-T1	DBVPG3775_003203-T1
GF00000279	TFCN17291Y1_000625-T1	DBVPG3775_003187-T1
GF00000280	TFCN17291Y1_000630-T1	DBVPG3775_003143-T1
GF00000281	TFCN17291Y1_008061-T1	DBVPG3775_006684-T1
GF00000282	TFCN17291Y1_010729-T1	DBVPG3775_002006-T1
GF00000283	TFCN17291Y1_000944-T1	DBVPG3775_001191-T1
GF00000284	TFCN17291Y1_010183-T1	DBVPG3775_003315-T1
GF00000285	TFCN17291Y1_007341-T1	DBVPG3775_005857-T1
GF00000286	TFCN17291Y1_001062-T1	DBVPG3775_002486-T1
GF00000287	TFCN17291Y1_001113-T1	DBVPG3775_002425-T1
GF00000288	TFCN17291Y1_001128-T1	DBVPG3775_002402-T1
GF00000289	TFCN17291Y1_006615-T1	DBVPG3775_005888-T1
GF00000290	TFCN17291Y1_011422-T1	DBVPG3775_007425-T1
GF00000291	TFCN17291Y1_001165-T1	DBVPG3775_003781-T1
GF00000292	TFCN17291Y1_006838-T1	DBVPG3775_000759-T1
GF00000293	TFCN17291Y1_004629-T1	DBVPG3775_004968-T1
GF00000294	TFCN17291Y1_001173-T1	DBVPG3775_000757-T1
GF00000295	TFCN17291Y1_001230-T1	DBVPG3775_004973-T1
GF00000296	TFCN17291Y1_001293-T1	DBVPG3775_005038-T1
GF00000297	TFCN17291Y1_009416-T1	DBVPG3775_003709-T1
GF00000298	TFCN17291Y1_004981-T1	DBVPG3775_004533-T1
GF00000299	TFCN17291Y1_008779-T1	DBVPG3775_003223-T1
GF00000300	TFCN17291Y1_002445-T1	DBVPG3775_003968-T1
GF00000301	TFCN17291Y1_003119-T1	DBVPG3775_000475-T1
GF00000302	TFCN17291Y1_001761-T1	DBVPG3775_002532-T1
GF00000303	TFCN17291Y1_011068-T1	DBVPG3775_003965-T1
GF00000304	TFCN17291Y1_011545-T1	DBVPG3775_002894-T1
GF00000305	TFCN17291Y1_010299-T1	DBVPG3775_002159-T1
GF00000306	TFCN17291Y1_001939-T1	DBVPG3775_002180-T1
GF00000307	TFCN17291Y1_003898-T1	DBVPG3775_002256-T1
GF00000308	TFCN17291Y1_005844-T1	DBVPG3775_005206-T1
GF00000309	TFCN17291Y1_011391-T1	DBVPG3775_004828-T1
GF00000310	TFCN17291Y1_007276-T1	DBVPG3775_003362-T1
GF00000311	TFCN17291Y1_009774-T1	DBVPG3775_006576-T1
GF00000312	TFCN17291Y1_007423-T1	DBVPG3775_006263-T1
GF00000313	TFCN17291Y1_003093-T1	DBVPG3775_000443-T1
GF00000314	TFCN17291Y1_003292-T1	DBVPG3775_006418-T1
GF00000315	TFCN17291Y1_003434-T1	DBVPG3775_000649-T1
GF00000316	TFCN17291Y1_003481-T1	DBVPG3775_000591-T1
GF00000317	TFCN17291Y1_003632-T1	DBVPG3775_002822-T1
GF00000318	TFCN17291Y1_003616-T1	DBVPG3775_002840-T1
GF00000319	TFCN17291Y1_003722-T1	DBVPG3775_004477-T1
GF00000320	TFCN17291Y1_010150-T1	DBVPG3775_007059-T1
GF00000321	TFCN17291Y1_008004-T1	DBVPG3775_004376-T1
GF00000322	TFCN17291Y1_004137-T1	DBVPG3775_001607-T1
GF00000323	TFCN17291Y1_006067-T1	DBVPG3775_006924-T1
GF00000324	TFCN17291Y1_010221-T1	DBVPG3775_001367-T1
GF00000325	TFCN17291Y1_004530-T1	DBVPG3775_004813-T1
GF00000326	TFCN17291Y1_008634-T1	DBVPG3775_003646-T1
GF00000327	TFCN17291Y1_006689-T1	DBVPG3775_006737-T1
GF00000328	TFCN17291Y1_008146-T1	DBVPG3775_002585-T1
GF00000329	TFCN17291Y1_009043-T1	DBVPG3775_000345-T1
GF00000330	TFCN17291Y1_008240-T1	DBVPG3775_006459-T1
GF00000331	TFCN17291Y1_010962-T1	DBVPG3775_005922-T1
GF00000332	TFCN17291Y1_010544-T1	DBVPG3775_003358-T1
GF00000333	TFCN17291Y1_006763-T1	DBVPG3775_007250-T1
GF00000334	TFCN17291Y1_009015-T1	DBVPG3775_007522-T1
GF00000335	TFCN17291Y1_007139-T1	DBVPG3775_002756-T1
GF00000336	TFCN17291Y1_012008-T1	DBVPG3775_002773-T1
GF00000337	TFCN17291Y1_007161-T1	DBVPG3775_003343-T1
GF00000338	TFCN17291Y1_008923-T1	DBVPG3775_006253-T1
GF00000339	TFCN17291Y1_009697-T1	DBVPG3775_006939-T1
GF00000340	TFCN17291Y1_007456-T1	DBVPG3775_006942-T1
GF00000341	TFCN17291Y1_011785-T1	DBVPG3775_006014-T1
GF00000342	TFCN17291Y1_008638-T1	DBVPG3775_002095-T1
GF00000343	TFCN17291Y1_009731-T1	DBVPG3775_003282-T1
GF00000344	TFCN17291Y1_008907-T1	DBVPG3775_002596-T1
GF00000345	TFCN17291Y1_009174-T1	DBVPG3775_006896-T1
GF00000346	TFCN17291Y1_010489-T1	DBVPG3775_003255-T1
GF00000347	TFCN17291Y1_009204-T1	DBVPG3775_006856-T1
GF00000348	TFCN17291Y1_009534-T1	DBVPG3775_000733-T1
GF00000349	TFCN17291Y1_009631-T1	DBVPG3775_002791-T1
GF00000350	TFCN17291Y1_011003-T1	DBVPG3775_005383-T1
GF00000351	TFCN17291Y1_011743-T1	DBVPG3775_007015-T1
GF00000352	TFCN17291Y1_012424-T1	DBVPG3775_002871-T1
GF00000353	TFCN17291Y1_012228-T1	DBVPG3775_002543-T1
GF00000354	TFCN17291Y1_001787-T1	DBVPG3775_003007-T1
GF00000355	TFCN17291Y1_000700-T1	DBVPG3775_003098-T1
GF00000356	TFCN17291Y1_009787-T1	DBVPG3775_006582-T1
GF00000357	TFCN17291Y1_005692-T1	DBVPG3775_001949-T1
GF00000358	TFCN17291Y1_011928-T1	DBVPG3775_001535-T1
GF00000359	TFCN17291Y1_000070-T1	DBVPG3775_003065-T1
GF00000360	TFCN17291Y1_002047-T1	DBVPG3775_002301-T1
GF00000361	TFCN17291Y1_000743-T1	DBVPG3775_003051-T1
GF00000362	TFCN17291Y1_000095-T1	DBVPG3775_005051-T1
GF00000363	TFCN17291Y1_000756-T1	DBVPG3775_005054-T1
GF00000364	TFCN17291Y1_000766-T1	DBVPG3775_005065-T1
GF00000365	TFCN17291Y1_003386-T1	DBVPG3775_000703-T1
GF00000366	TFCN17291Y1_000124-T1	DBVPG3775_005084-T1
GF00000367	TFCN17291Y1_000152-T1	DBVPG3775_000263-T1
GF00000368	TFCN17291Y1_000814-T1	DBVPG3775_005122-T1
GF00000369	TFCN17291Y1_000820-T1	DBVPG3775_005129-T1
GF00000370	TFCN17291Y1_006898-T1	DBVPG3775_003992-T1
GF00000371	TFCN17291Y1_000200-T1	DBVPG3775_003996-T1
GF00000372	TFCN17291Y1_000231-T1	DBVPG3775_004029-T1
GF00000373	TFCN17291Y1_003372-T1	DBVPG3775_007010-T1
GF00000374	TFCN17291Y1_012025-T1	DBVPG3775_000395-T1
GF00000375	TFCN17291Y1_000261-T1	DBVPG3775_004067-T1
GF00000376	TFCN17291Y1_006202-T1	DBVPG3775_002667-T1
GF00000377	TFCN17291Y1_000292-T1	DBVPG3775_005842-T1
GF00000378	TFCN17291Y1_008789-T1	DBVPG3775_003327-T1
GF00000379	TFCN17291Y1_000338-T1	DBVPG3775_004311-T1
GF00000380	TFCN17291Y1_001201-T1	DBVPG3775_000790-T1
GF00000381	TFCN17291Y1_012896-T1	DBVPG3775_006341-T1
GF00000382	TFCN17291Y1_009801-T1	DBVPG3775_006565-T1
GF00000383	TFCN17291Y1_005124-T1	DBVPG3775_000282-T1
GF00000384	TFCN17291Y1_011964-T1	DBVPG3775_001388-T1
GF00000385	TFCN17291Y1_002067-T1	DBVPG3775_003471-T1
