	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000011	TFCN17291Y1_000004-T1, TFCN17291Y1_000669-T1, TFCN17291Y1_009458-T1, TFCN17291Y1_009040-T1, TFCN17291Y1_011277-T1, TFCN17291Y1_009206-T1, TFCN17291Y1_004967-T1, TFCN17291Y1_004740-T1, TFCN17291Y1_003302-T1, TFCN17291Y1_011557-T1, TFCN17291Y1_011531-T1, TFCN17291Y1_001892-T1, TFCN17291Y1_012480-T1, TFCN17291Y1_000447-T1, TFCN17291Y1_007469-T1, TFCN17291Y1_012459-T1, TFCN17291Y1_005974-T1, TFCN17291Y1_001349-T1, TFCN17291Y1_006870-T1, TFCN17291Y1_012985-T1, TFCN17291Y1_009459-T1	DBVPG3775_000220-T1, DBVPG3775_002880-T1, DBVPG3775_003138-T1, DBVPG3775_003600-T1, DBVPG3775_003743-T1, DBVPG3775_004518-T1, DBVPG3775_006430-T1, DBVPG3775_006794-T1, DBVPG3775_006795-T1, DBVPG3775_006844-T1, DBVPG3775_006854-T1, DBVPG3775_007229-T1
GF00000012	TFCN17291Y1_000052-T1, TFCN17291Y1_000717-T1, TFCN17291Y1_008330-T1, TFCN17291Y1_007202-T1, TFCN17291Y1_005543-T1, TFCN17291Y1_012275-T1, TFCN17291Y1_000965-T1, TFCN17291Y1_001542-T1, TFCN17291Y1_001437-T1, TFCN17291Y1_005800-T1, TFCN17291Y1_001861-T1, TFCN17291Y1_005402-T1, TFCN17291Y1_005544-T1, TFCN17291Y1_009604-T1, TFCN17291Y1_009518-T1, TFCN17291Y1_012585-T1, TFCN17291Y1_000868-T1, TFCN17291Y1_008469-T1, TFCN17291Y1_001728-T1, TFCN17291Y1_003341-T1, TFCN17291Y1_010665-T1, TFCN17291Y1_012840-T1	DBVPG3775_000713-T1, DBVPG3775_001167-T1, DBVPG3775_001288-T1, DBVPG3775_001440-T1, DBVPG3775_001825-T1, DBVPG3775_002916-T1, DBVPG3775_003081-T1, DBVPG3775_005306-T1, DBVPG3775_005571-T1, DBVPG3775_005572-T1
GF00000013	TFCN17291Y1_000233-T1, TFCN17291Y1_006933-T1, TFCN17291Y1_001908-T1, TFCN17291Y1_010286-T1, TFCN17291Y1_001649-T1, TFCN17291Y1_002271-T1, TFCN17291Y1_001136-T1, TFCN17291Y1_003691-T1, TFCN17291Y1_001192-T1, TFCN17291Y1_003491-T1, TFCN17291Y1_007205-T1, TFCN17291Y1_006950-T1, TFCN17291Y1_000850-T1, TFCN17291Y1_001416-T1, TFCN17291Y1_007273-T1, TFCN17291Y1_007181-T1, TFCN17291Y1_001605-T1, TFCN17291Y1_003648-T1, TFCN17291Y1_004223-T1, TFCN17291Y1_002479-T1, TFCN17291Y1_001648-T1	DBVPG3775_000780-T1, DBVPG3775_001312-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_002394-T1, DBVPG3775_003365-T1, DBVPG3775_004031-T1, DBVPG3775_004148-T1, DBVPG3775_005480-T1, DBVPG3775_005481-T1, DBVPG3775_005529-T1
GF00000014	TFCN17291Y1_000440-T1, TFCN17291Y1_005968-T1, TFCN17291Y1_010769-T1, TFCN17291Y1_005172-T1, TFCN17291Y1_004661-T1, TFCN17291Y1_001259-T1, TFCN17291Y1_002896-T1, TFCN17291Y1_006357-T1, TFCN17291Y1_002860-T1, TFCN17291Y1_009499-T1, TFCN17291Y1_005032-T1, TFCN17291Y1_008500-T1, TFCN17291Y1_004336-T1, TFCN17291Y1_008715-T1, TFCN17291Y1_000441-T1, TFCN17291Y1_001226-T1, TFCN17291Y1_004624-T1, TFCN17291Y1_012197-T1, TFCN17291Y1_012244-T1, TFCN17291Y1_003424-T1, TFCN17291Y1_010883-T1	DBVPG3775_000226-T1, DBVPG3775_000227-T1, DBVPG3775_000339-T1, DBVPG3775_000659-T1, DBVPG3775_002045-T1, DBVPG3775_004659-T1, DBVPG3775_004856-T1, DBVPG3775_004903-T1, DBVPG3775_004957-T1, DBVPG3775_005006-T1, DBVPG3775_006208-T1
GF00000015	TFCN17291Y1_002238-T1, TFCN17291Y1_003262-T1, TFCN17291Y1_003011-T1, TFCN17291Y1_002971-T1, TFCN17291Y1_003230-T1, TFCN17291Y1_001161-T1, TFCN17291Y1_009360-T1, TFCN17291Y1_002300-T1, TFCN17291Y1_003027-T1, TFCN17291Y1_003233-T1, TFCN17291Y1_001843-T1, TFCN17291Y1_001844-T1, TFCN17291Y1_005780-T1, TFCN17291Y1_002968-T1, TFCN17291Y1_005779-T1, TFCN17291Y1_001759-T1, TFCN17291Y1_006702-T1, TFCN17291Y1_001758-T1, TFCN17291Y1_006703-T1, TFCN17291Y1_009359-T1	DBVPG3775_000922-T1, DBVPG3775_000923-T1, DBVPG3775_000926-T1, DBVPG3775_000959-T1, DBVPG3775_000979-T1, DBVPG3775_002364-T1, DBVPG3775_002438-T1, DBVPG3775_002935-T1, DBVPG3775_002936-T1, DBVPG3775_003037-T1, DBVPG3775_003039-T1, DBVPG3775_003040-T1
GF00000016	TFCN17291Y1_002087-T1, TFCN17291Y1_010537-T1, TFCN17291Y1_004266-T1, TFCN17291Y1_008557-T1, TFCN17291Y1_002933-T1, TFCN17291Y1_007596-T1, TFCN17291Y1_005674-T1, TFCN17291Y1_002124-T1, TFCN17291Y1_012234-T1, TFCN17291Y1_012233-T1, TFCN17291Y1_008180-T1, TFCN17291Y1_008884-T1, TFCN17291Y1_012232-T1, TFCN17291Y1_008182-T1, TFCN17291Y1_009216-T1, TFCN17291Y1_008181-T1, TFCN17291Y1_009217-T1	DBVPG3775_000902-T1, DBVPG3775_001968-T1, DBVPG3775_001969-T1, DBVPG3775_002547-T1, DBVPG3775_002548-T1, DBVPG3775_002549-T1, DBVPG3775_002631-T1, DBVPG3775_002632-T1, DBVPG3775_002633-T1, DBVPG3775_003491-T1, DBVPG3775_003530-T1, DBVPG3775_007393-T1
GF00000017	TFCN17291Y1_005424-T1, TFCN17291Y1_010373-T1, TFCN17291Y1_001078-T1, TFCN17291Y1_002212-T1, TFCN17291Y1_011176-T1, TFCN17291Y1_012225-T1, TFCN17291Y1_007479-T1, TFCN17291Y1_008959-T1, TFCN17291Y1_004542-T1, TFCN17291Y1_010482-T1, TFCN17291Y1_011321-T1, TFCN17291Y1_011906-T1, TFCN17291Y1_005742-T1, TFCN17291Y1_010700-T1, TFCN17291Y1_008620-T1, TFCN17291Y1_012833-T1, TFCN17291Y1_011905-T1	DBVPG3775_001464-T1, DBVPG3775_001893-T1, DBVPG3775_002118-T1, DBVPG3775_002467-T1, DBVPG3775_002468-T1, DBVPG3775_003247-T1, DBVPG3775_003248-T1, DBVPG3775_003249-T1, DBVPG3775_004801-T1, DBVPG3775_006805-T1, DBVPG3775_007221-T1
GF00000018	TFCN17291Y1_000579-T1, TFCN17291Y1_005472-T1, TFCN17291Y1_012270-T1, TFCN17291Y1_005537-T1, TFCN17291Y1_012561-T1, TFCN17291Y1_002106-T1, TFCN17291Y1_010732-T1, TFCN17291Y1_004304-T1, TFCN17291Y1_006273-T1, TFCN17291Y1_003436-T1, TFCN17291Y1_011050-T1, TFCN17291Y1_009276-T1, TFCN17291Y1_007436-T1, TFCN17291Y1_005004-T1, TFCN17291Y1_008927-T1, TFCN17291Y1_012857-T1, TFCN17291Y1_000581-T1	DBVPG3775_000070-T1, DBVPG3775_000073-T1, DBVPG3775_000646-T1, DBVPG3775_002010-T1, DBVPG3775_003512-T1, DBVPG3775_004564-T1, DBVPG3775_005564-T1, DBVPG3775_006246-T1, DBVPG3775_007111-T1, DBVPG3775_007112-T1
GF00000019	TFCN17291Y1_000596-T1, TFCN17291Y1_005491-T1, TFCN17291Y1_005022-T1, TFCN17291Y1_008509-T1, TFCN17291Y1_007851-T1, TFCN17291Y1_003139-T1, TFCN17291Y1_008648-T1, TFCN17291Y1_008678-T1, TFCN17291Y1_009379-T1, TFCN17291Y1_003048-T1, TFCN17291Y1_009047-T1, TFCN17291Y1_011270-T1, TFCN17291Y1_008508-T1, TFCN17291Y1_008510-T1, TFCN17291Y1_005023-T1, TFCN17291Y1_005024-T1	DBVPG3775_000049-T1, DBVPG3775_000502-T1, DBVPG3775_001000-T1, DBVPG3775_002083-T1, DBVPG3775_006217-T1, DBVPG3775_006218-T1, DBVPG3775_006219-T1, DBVPG3775_006220-T1, DBVPG3775_006221-T1, DBVPG3775_006222-T1, DBVPG3775_006836-T1
GF00000020	TFCN17291Y1_004503-T1, TFCN17291Y1_010332-T1, TFCN17291Y1_006620-T1, TFCN17291Y1_004502-T1, TFCN17291Y1_010333-T1, TFCN17291Y1_012707-T1, TFCN17291Y1_009784-T1, TFCN17291Y1_001610-T1, TFCN17291Y1_003654-T1, TFCN17291Y1_008499-T1, TFCN17291Y1_005033-T1, TFCN17291Y1_005106-T1, TFCN17291Y1_011693-T1, TFCN17291Y1_010220-T1, TFCN17291Y1_010396-T1, TFCN17291Y1_005034-T1, TFCN17291Y1_011757-T1	DBVPG3775_001365-T1, DBVPG3775_003582-T1, DBVPG3775_003583-T1, DBVPG3775_005521-T1, DBVPG3775_005883-T1, DBVPG3775_006206-T1, DBVPG3775_006207-T1, DBVPG3775_006585-T1, DBVPG3775_007174-T1
GF00000021	TFCN17291Y1_000239-T1, TFCN17291Y1_006942-T1, TFCN17291Y1_006518-T1, TFCN17291Y1_002365-T1, TFCN17291Y1_005263-T1, TFCN17291Y1_002535-T1, TFCN17291Y1_007098-T1, TFCN17291Y1_010323-T1, TFCN17291Y1_004777-T1, TFCN17291Y1_009753-T1, TFCN17291Y1_009813-T1, TFCN17291Y1_003339-T1, TFCN17291Y1_005475-T1, TFCN17291Y1_002573-T1, TFCN17291Y1_002710-T1, TFCN17291Y1_005262-T1	DBVPG3775_000068-T1, DBVPG3775_003889-T1, DBVPG3775_004041-T1, DBVPG3775_004212-T1, DBVPG3775_004213-T1, DBVPG3775_005248-T1, DBVPG3775_006550-T1, DBVPG3775_007311-T1, DBVPG3775_007478-T1
GF00000022	TFCN17291Y1_001963-T1, TFCN17291Y1_003025-T1, TFCN17291Y1_008895-T1, TFCN17291Y1_009358-T1, TFCN17291Y1_009229-T1, TFCN17291Y1_003026-T1, TFCN17291Y1_009357-T1, TFCN17291Y1_009065-T1, TFCN17291Y1_005389-T1, TFCN17291Y1_005390-T1, TFCN17291Y1_009064-T1, TFCN17291Y1_002823-T1, TFCN17291Y1_002693-T1, TFCN17291Y1_003277-T1, TFCN17291Y1_002822-T1, TFCN17291Y1_003278-T1	DBVPG3775_000975-T1, DBVPG3775_000976-T1, DBVPG3775_000977-T1, DBVPG3775_000978-T1, DBVPG3775_001426-T1, DBVPG3775_001427-T1, DBVPG3775_002210-T1, DBVPG3775_002618-T1, DBVPG3775_007152-T1
GF00000023	TFCN17291Y1_008743-T1, TFCN17291Y1_000519-T1, TFCN17291Y1_009581-T1, TFCN17291Y1_004309-T1, TFCN17291Y1_001028-T1, TFCN17291Y1_007764-T1, TFCN17291Y1_007928-T1, TFCN17291Y1_005939-T1, TFCN17291Y1_008806-T1, TFCN17291Y1_010178-T1, TFCN17291Y1_002713-T1, TFCN17291Y1_002576-T1, TFCN17291Y1_003739-T1, TFCN17291Y1_004415-T1, TFCN17291Y1_011847-T1	DBVPG3775_000141-T1, DBVPG3775_001094-T1, DBVPG3775_002016-T1, DBVPG3775_002017-T1, DBVPG3775_003309-T1, DBVPG3775_004455-T1, DBVPG3775_004768-T1, DBVPG3775_005244-T1, DBVPG3775_005784-T1
GF00000024	TFCN17291Y1_001144-T1, TFCN17291Y1_002280-T1, TFCN17291Y1_002279-T1, TFCN17291Y1_010723-T1, TFCN17291Y1_006658-T1, TFCN17291Y1_004297-T1, TFCN17291Y1_004824-T1, TFCN17291Y1_008861-T1, TFCN17291Y1_005190-T1, TFCN17291Y1_004825-T1, TFCN17291Y1_006657-T1, TFCN17291Y1_004295-T1, TFCN17291Y1_010725-T1, TFCN17291Y1_008862-T1	DBVPG3775_000357-T1, DBVPG3775_000358-T1, DBVPG3775_002000-T1, DBVPG3775_002002-T1, DBVPG3775_002381-T1, DBVPG3775_002382-T1, DBVPG3775_006698-T1, DBVPG3775_006699-T1, DBVPG3775_006700-T1, DBVPG3775_006701-T1
