	Rhodotorula_mucilaginosa_TFCN_17-0-2E390-2.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000131	TFCN1702E3902_007346-T1	DBVPG3775_005753-T1
GF00000132	TFCN1702E3902_010855-T1	DBVPG3775_000732-T1
GF00000133	TFCN1702E3902_005038-T1	DBVPG3775_004520-T1
GF00000134	TFCN1702E3902_000365-T1	DBVPG3775_005603-T1
GF00000135	TFCN1702E3902_008166-T1	DBVPG3775_006584-T1
GF00000136	TFCN1702E3902_001566-T1	DBVPG3775_006662-T1
GF00000137	TFCN1702E3902_005266-T1	DBVPG3775_006076-T1
GF00000138	TFCN1702E3902_011542-T1	DBVPG3775_001020-T1
GF00000139	TFCN1702E3902_000979-T1	DBVPG3775_002336-T1
GF00000140	TFCN1702E3902_009485-T1	DBVPG3775_004545-T1
GF00000141	TFCN1702E3902_003476-T1	DBVPG3775_003741-T1
GF00000142	TFCN1702E3902_010819-T1	DBVPG3775_002435-T1
GF00000143	TFCN1702E3902_011030-T1	DBVPG3775_003877-T1
GF00000144	TFCN1702E3902_008175-T1	DBVPG3775_006594-T1
GF00000145	TFCN1702E3902_011438-T1	DBVPG3775_005690-T1
GF00000146	TFCN1702E3902_003179-T1	DBVPG3775_005884-T1
GF00000147	TFCN1702E3902_012262-T1	DBVPG3775_002326-T1
GF00000148	TFCN1702E3902_009580-T1	DBVPG3775_000208-T1
GF00000149	TFCN1702E3902_002620-T1	DBVPG3775_000176-T1
GF00000150	TFCN1702E3902_002678-T1	DBVPG3775_007575-T1
GF00000151	TFCN1702E3902_004891-T1	DBVPG3775_004181-T1
GF00000152	TFCN1702E3902_009354-T1	DBVPG3775_004787-T1
GF00000153	TFCN1702E3902_005223-T1	DBVPG3775_006357-T1
GF00000154	TFCN1702E3902_009771-T1	DBVPG3775_004515-T1
GF00000155	TFCN1702E3902_012253-T1	DBVPG3775_001832-T1
GF00000156	TFCN1702E3902_004799-T1	DBVPG3775_003709-T1
GF00000157	TFCN1702E3902_007117-T1	DBVPG3775_006416-T1
GF00000158	TFCN1702E3902_007277-T1	DBVPG3775_006548-T1
GF00000159	TFCN1702E3902_009333-T1	DBVPG3775_004754-T1
GF00000160	TFCN1702E3902_008879-T1	DBVPG3775_007379-T1
GF00000161	TFCN1702E3902_010722-T1	DBVPG3775_003273-T1
GF00000162	TFCN1702E3902_000521-T1	DBVPG3775_001452-T1
GF00000163	TFCN1702E3902_009364-T1	DBVPG3775_004800-T1
GF00000164	TFCN1702E3902_001330-T1	DBVPG3775_001329-T1
GF00000165	TFCN1702E3902_005713-T1	DBVPG3775_002291-T1
GF00000166	TFCN1702E3902_000151-T1	DBVPG3775_000814-T1
GF00000167	TFCN1702E3902_011828-T1	DBVPG3775_007454-T1
GF00000168	TFCN1702E3902_000176-T1	DBVPG3775_001961-T1
GF00000169	TFCN1702E3902_010014-T1	DBVPG3775_001993-T1
GF00000170	TFCN1702E3902_001851-T1	DBVPG3775_001393-T1
GF00000171	TFCN1702E3902_004853-T1	DBVPG3775_003767-T1
GF00000172	TFCN1702E3902_008948-T1	DBVPG3775_002307-T1
GF00000173	TFCN1702E3902_011397-T1	DBVPG3775_004642-T1
GF00000174	TFCN1702E3902_008535-T1	DBVPG3775_002838-T1
GF00000175	TFCN1702E3902_001822-T1	DBVPG3775_001426-T1
GF00000176	TFCN1702E3902_001938-T1	DBVPG3775_002488-T1
GF00000177	TFCN1702E3902_003072-T1	DBVPG3775_006031-T1
GF00000178	TFCN1702E3902_011317-T1	DBVPG3775_001549-T1
GF00000179	TFCN1702E3902_005175-T1	DBVPG3775_001671-T1
GF00000180	TFCN1702E3902_001127-T1	DBVPG3775_000807-T1
GF00000181	TFCN1702E3902_004054-T1	DBVPG3775_006439-T1
GF00000182	TFCN1702E3902_004605-T1	DBVPG3775_005082-T1
GF00000183	TFCN1702E3902_006987-T1	DBVPG3775_000449-T1
GF00000184	TFCN1702E3902_007493-T1	DBVPG3775_001266-T1
GF00000185	TFCN1702E3902_009489-T1	DBVPG3775_004808-T1
GF00000186	TFCN1702E3902_001517-T1	DBVPG3775_001104-T1
GF00000187	TFCN1702E3902_012169-T1	DBVPG3775_006015-T1
GF00000188	TFCN1702E3902_009400-T1	DBVPG3775_003229-T1
GF00000189	TFCN1702E3902_002100-T1	DBVPG3775_003861-T1
GF00000190	TFCN1702E3902_004116-T1	DBVPG3775_004880-T1
GF00000191	TFCN1702E3902_010833-T1	DBVPG3775_000632-T1
GF00000192	TFCN1702E3902_005695-T1	DBVPG3775_002271-T1
GF00000193	TFCN1702E3902_009711-T1	DBVPG3775_006806-T1
GF00000194	TFCN1702E3902_006530-T1	DBVPG3775_003496-T1
GF00000195	TFCN1702E3902_006066-T1	DBVPG3775_005038-T1
GF00000196	TFCN1702E3902_010346-T1	DBVPG3775_007022-T1
GF00000197	TFCN1702E3902_008334-T1	DBVPG3775_005546-T1
GF00000198	TFCN1702E3902_007314-T1	DBVPG3775_001795-T1
GF00000199	TFCN1702E3902_012024-T1	DBVPG3775_000439-T1
GF00000200	TFCN1702E3902_008599-T1	DBVPG3775_004335-T1
GF00000201	TFCN1702E3902_003623-T1	DBVPG3775_004556-T1
GF00000202	TFCN1702E3902_005901-T1	DBVPG3775_002177-T1
GF00000203	TFCN1702E3902_007587-T1	DBVPG3775_002706-T1
GF00000204	TFCN1702E3902_010994-T1	DBVPG3775_000399-T1
GF00000205	TFCN1702E3902_004500-T1	DBVPG3775_000312-T1
GF00000206	TFCN1702E3902_008554-T1	DBVPG3775_002858-T1
GF00000207	TFCN1702E3902_011620-T1	DBVPG3775_002751-T1
GF00000208	TFCN1702E3902_007159-T1	DBVPG3775_006454-T1
GF00000209	TFCN1702E3902_006592-T1	DBVPG3775_003187-T1
GF00000210	TFCN1702E3902_009386-T1	DBVPG3775_007241-T1
GF00000211	TFCN1702E3902_008336-T1	DBVPG3775_007561-T1
GF00000212	TFCN1702E3902_009342-T1	DBVPG3775_004721-T1
GF00000213	TFCN1702E3902_000057-T1	DBVPG3775_003677-T1
GF00000214	TFCN1702E3902_007947-T1	DBVPG3775_000591-T1
GF00000215	TFCN1702E3902_011790-T1	DBVPG3775_000562-T1
GF00000216	TFCN1702E3902_006271-T1	DBVPG3775_002056-T1
GF00000217	TFCN1702E3902_006287-T1	DBVPG3775_002917-T1
GF00000218	TFCN1702E3902_006398-T1	DBVPG3775_006210-T1
GF00000219	TFCN1702E3902_011160-T1	DBVPG3775_005555-T1
GF00000220	TFCN1702E3902_010645-T1	DBVPG3775_003302-T1
GF00000221	TFCN1702E3902_009478-T1	DBVPG3775_000966-T1
GF00000222	TFCN1702E3902_005826-T1	DBVPG3775_006673-T1
GF00000223	TFCN1702E3902_001259-T1	DBVPG3775_000953-T1
GF00000224	TFCN1702E3902_010611-T1	DBVPG3775_007208-T1
GF00000225	TFCN1702E3902_001146-T1	DBVPG3775_000831-T1
GF00000226	TFCN1702E3902_000920-T1	DBVPG3775_005145-T1
GF00000227	TFCN1702E3902_011988-T1	DBVPG3775_003072-T1
GF00000228	TFCN1702E3902_007041-T1	DBVPG3775_004299-T1
GF00000229	TFCN1702E3902_001405-T1	DBVPG3775_001230-T1
GF00000230	TFCN1702E3902_001504-T1	DBVPG3775_005847-T1
GF00000231	TFCN1702E3902_006763-T1	DBVPG3775_006501-T1
GF00000232	TFCN1702E3902_002020-T1	DBVPG3775_002387-T1
GF00000233	TFCN1702E3902_002054-T1	DBVPG3775_000757-T1
GF00000234	TFCN1702E3902_006733-T1	DBVPG3775_005383-T1
GF00000235	TFCN1702E3902_006052-T1	DBVPG3775_005023-T1
GF00000236	TFCN1702E3902_006913-T1	DBVPG3775_003865-T1
GF00000237	TFCN1702E3902_010297-T1	DBVPG3775_004253-T1
GF00000238	TFCN1702E3902_002157-T1	DBVPG3775_004869-T1
GF00000239	TFCN1702E3902_004115-T1	DBVPG3775_004878-T1
GF00000240	TFCN1702E3902_006687-T1	DBVPG3775_004056-T1
GF00000241	TFCN1702E3902_005691-T1	DBVPG3775_002266-T1
GF00000242	TFCN1702E3902_003120-T1	DBVPG3775_006401-T1
GF00000243	TFCN1702E3902_004188-T1	DBVPG3775_007400-T1
GF00000244	TFCN1702E3902_011814-T1	DBVPG3775_005534-T1
GF00000245	TFCN1702E3902_002462-T1	DBVPG3775_005472-T1
GF00000246	TFCN1702E3902_007702-T1	DBVPG3775_005310-T1
GF00000247	TFCN1702E3902_002538-T1	DBVPG3775_006786-T1
GF00000248	TFCN1702E3902_009011-T1	DBVPG3775_006133-T1
GF00000249	TFCN1702E3902_008894-T1	DBVPG3775_000179-T1
GF00000250	TFCN1702E3902_009059-T1	DBVPG3775_007442-T1
GF00000251	TFCN1702E3902_002838-T1	DBVPG3775_004118-T1
GF00000252	TFCN1702E3902_010638-T1	DBVPG3775_003306-T1
GF00000253	TFCN1702E3902_005298-T1	DBVPG3775_006039-T1
GF00000254	TFCN1702E3902_004676-T1	DBVPG3775_001760-T1
GF00000255	TFCN1702E3902_003149-T1	DBVPG3775_006371-T1
GF00000256	TFCN1702E3902_004696-T1	DBVPG3775_002624-T1
GF00000257	TFCN1702E3902_003663-T1	DBVPG3775_002557-T1
GF00000258	TFCN1702E3902_008725-T1	DBVPG3775_003362-T1
GF00000259	TFCN1702E3902_010315-T1	DBVPG3775_006576-T1
GF00000260	TFCN1702E3902_004642-T1	DBVPG3775_001800-T1
GF00000261	TFCN1702E3902_004684-T1	DBVPG3775_002610-T1
GF00000262	TFCN1702E3902_009020-T1	DBVPG3775_006147-T1
GF00000263	TFCN1702E3902_007813-T1	DBVPG3775_001047-T1
GF00000264	TFCN1702E3902_007811-T1	DBVPG3775_005745-T1
GF00000265	TFCN1702E3902_007409-T1	DBVPG3775_006611-T1
GF00000266	TFCN1702E3902_005682-T1	DBVPG3775_002256-T1
GF00000267	TFCN1702E3902_005703-T1	DBVPG3775_002280-T1
GF00000268	TFCN1702E3902_005852-T1	DBVPG3775_006643-T1
GF00000269	TFCN1702E3902_005929-T1	DBVPG3775_003149-T1
GF00000270	TFCN1702E3902_006002-T1	DBVPG3775_004960-T1
GF00000271	TFCN1702E3902_011457-T1	DBVPG3775_004275-T1
GF00000272	TFCN1702E3902_006241-T1	DBVPG3775_000514-T1
GF00000273	TFCN1702E3902_010460-T1	DBVPG3775_003255-T1
GF00000274	TFCN1702E3902_006612-T1	DBVPG3775_003218-T1
GF00000275	TFCN1702E3902_006886-T1	DBVPG3775_006856-T1
GF00000276	TFCN1702E3902_006916-T1	DBVPG3775_006896-T1
GF00000277	TFCN1702E3902_010256-T1	DBVPG3775_005938-T1
GF00000278	TFCN1702E3902_007204-T1	DBVPG3775_000695-T1
GF00000279	TFCN1702E3902_011625-T1	DBVPG3775_006084-T1
GF00000280	TFCN1702E3902_010103-T1	DBVPG3775_007225-T1
GF00000281	TFCN1702E3902_012472-T1	DBVPG3775_006749-T1
GF00000282	TFCN1702E3902_003257-T1	DBVPG3775_007059-T1
GF00000283	TFCN1702E3902_000299-T1	DBVPG3775_003646-T1
GF00000284	TFCN1702E3902_002343-T1	DBVPG3775_006573-T1
GF00000285	TFCN1702E3902_011835-T1	DBVPG3775_004502-T1
GF00000286	TFCN1702E3902_002988-T1	DBVPG3775_001923-T1
GF00000287	TFCN1702E3902_003009-T1	DBVPG3775_003599-T1
GF00000288	TFCN1702E3902_004690-T1	DBVPG3775_001991-T1
GF00000289	TFCN1702E3902_010002-T1	DBVPG3775_002006-T1
GF00000290	TFCN1702E3902_011320-T1	DBVPG3775_005206-T1
GF00000291	TFCN1702E3902_012118-T1	DBVPG3775_001743-T1
GF00000292	TFCN1702E3902_008375-T1	DBVPG3775_000019-T1
GF00000293	TFCN1702E3902_012826-T1	DBVPG3775_006142-T1
GF00000294	TFCN1702E3902_000486-T1	DBVPG3775_001413-T1
GF00000295	TFCN1702E3902_004547-T1	DBVPG3775_000257-T1
GF00000296	TFCN1702E3902_007009-T1	DBVPG3775_000475-T1
GF00000297	TFCN1702E3902_001632-T1	DBVPG3775_000775-T1
GF00000298	TFCN1702E3902_006666-T1	DBVPG3775_004034-T1
GF00000299	TFCN1702E3902_000900-T1	DBVPG3775_003992-T1
GF00000300	TFCN1702E3902_010413-T1	DBVPG3775_003051-T1
GF00000301	TFCN1702E3902_005868-T1	DBVPG3775_006331-T1
GF00000302	TFCN1702E3902_003500-T1	DBVPG3775_001191-T1
GF00000303	TFCN1702E3902_010585-T1	DBVPG3775_005857-T1
GF00000304	TFCN1702E3902_002008-T1	DBVPG3775_002402-T1
GF00000305	TFCN1702E3902_012742-T1	DBVPG3775_000767-T1
GF00000306	TFCN1702E3902_007697-T1	DBVPG3775_005952-T1
GF00000307	TFCN1702E3902_002799-T1	DBVPG3775_004162-T1
GF00000308	TFCN1702E3902_008537-T1	DBVPG3775_002840-T1
GF00000309	TFCN1702E3902_008830-T1	DBVPG3775_004917-T1
GF00000310	TFCN1702E3902_003928-T1	DBVPG3775_002996-T1
GF00000311	TFCN1702E3902_011847-T1	DBVPG3775_003965-T1
GF00000312	TFCN1702E3902_002374-T1	DBVPG3775_003964-T1
GF00000313	TFCN1702E3902_006626-T1	DBVPG3775_003223-T1
GF00000314	TFCN1702E3902_002695-T1	DBVPG3775_000091-T1
GF00000315	TFCN1702E3902_009715-T1	DBVPG3775_006802-T1
GF00000316	TFCN1702E3902_008844-T1	DBVPG3775_006397-T1
GF00000317	TFCN1702E3902_009873-T1	DBVPG3775_002585-T1
GF00000318	TFCN1702E3902_006723-T1	DBVPG3775_004100-T1
GF00000319	TFCN1702E3902_007083-T1	DBVPG3775_004342-T1
GF00000320	TFCN1702E3902_003775-T1	DBVPG3775_005202-T1
GF00000321	TFCN1702E3902_004444-T1	DBVPG3775_000376-T1
GF00000322	TFCN1702E3902_008946-T1	DBVPG3775_004683-T1
GF00000323	TFCN1702E3902_008639-T1	DBVPG3775_006263-T1
GF00000324	TFCN1702E3902_010173-T1	DBVPG3775_002596-T1
GF00000325	TFCN1702E3902_010545-T1	DBVPG3775_005970-T1
GF00000326	TFCN1702E3902_004872-T1	DBVPG3775_003789-T1
GF00000327	TFCN1702E3902_008266-T1	DBVPG3775_001718-T1
GF00000328	TFCN1702E3902_005523-T1	DBVPG3775_002180-T1
GF00000329	TFCN1702E3902_009216-T1	DBVPG3775_006418-T1
GF00000330	TFCN1702E3902_007745-T1	DBVPG3775_006014-T1
GF00000331	TFCN1702E3902_011365-T1	DBVPG3775_004973-T1
GF00000332	TFCN1702E3902_011402-T1	DBVPG3775_003503-T1
GF00000333	TFCN1702E3902_006615-T1	DBVPG3775_003215-T1
GF00000334	TFCN1702E3902_008245-T1	DBVPG3775_000649-T1
GF00000335	TFCN1702E3902_009752-T1	DBVPG3775_007522-T1
GF00000336	TFCN1702E3902_009164-T1	DBVPG3775_002573-T1
GF00000337	TFCN1702E3902_008209-T1	DBVPG3775_000605-T1
GF00000338	TFCN1702E3902_008743-T1	DBVPG3775_003343-T1
GF00000339	TFCN1702E3902_008794-T1	DBVPG3775_004735-T1
GF00000340	TFCN1702E3902_009166-T1	DBVPG3775_002575-T1
GF00000341	TFCN1702E3902_009620-T1	DBVPG3775_001583-T1
GF00000342	TFCN1702E3902_009839-T1	DBVPG3775_002756-T1
GF00000343	TFCN1702E3902_009847-T1	DBVPG3775_002745-T1
GF00000344	TFCN1702E3902_010233-T1	DBVPG3775_006519-T1
GF00000345	TFCN1702E3902_012403-T1	DBVPG3775_002717-T1
GF00000346	TFCN1702E3902_007905-T1	DBVPG3775_000500-T1
GF00000347	TFCN1702E3902_006901-T1	DBVPG3775_004668-T1
GF00000348	TFCN1702E3902_000867-T1	DBVPG3775_004029-T1
GF00000349	TFCN1702E3902_009959-T1	DBVPG3775_003018-T1
GF00000350	TFCN1702E3902_000104-T1	DBVPG3775_006738-T1
GF00000351	TFCN1702E3902_009977-T1	DBVPG3775_002532-T1
GF00000352	TFCN1702E3902_000107-T1	DBVPG3775_006741-T1
GF00000353	TFCN1702E3902_005307-T1	DBVPG3775_007101-T1
GF00000354	TFCN1702E3902_011374-T1	DBVPG3775_004952-T1
GF00000355	TFCN1702E3902_004495-T1	DBVPG3775_001936-T1
GF00000356	TFCN1702E3902_003012-T1	DBVPG3775_001949-T1
GF00000357	TFCN1702E3902_005532-T1	DBVPG3775_002196-T1
GF00000358	TFCN1702E3902_003691-T1	DBVPG3775_002321-T1
GF00000359	TFCN1702E3902_003888-T1	DBVPG3775_002947-T1
GF00000360	TFCN1702E3902_000186-T1	DBVPG3775_001972-T1
GF00000361	TFCN1702E3902_011844-T1	DBVPG3775_003968-T1
GF00000362	TFCN1702E3902_007950-T1	DBVPG3775_000594-T1
GF00000363	TFCN1702E3902_005720-T1	DBVPG3775_002298-T1
GF00000364	TFCN1702E3902_000208-T1	DBVPG3775_001995-T1
GF00000365	TFCN1702E3902_000225-T1	DBVPG3775_002016-T1
GF00000366	TFCN1702E3902_006248-T1	DBVPG3775_002031-T1
GF00000367	TFCN1702E3902_006254-T1	DBVPG3775_002037-T1
GF00000368	TFCN1702E3902_003776-T1	DBVPG3775_001264-T1
GF00000369	TFCN1702E3902_000838-T1	DBVPG3775_000790-T1
GF00000370	TFCN1702E3902_012972-T1	DBVPG3775_000693-T1
GF00000371	TFCN1702E3902_010577-T1	DBVPG3775_007344-T1
GF00000372	TFCN1702E3902_001705-T1	DBVPG3775_002410-T1
GF00000373	TFCN1702E3902_000336-T1	DBVPG3775_005633-T1
GF00000374	TFCN1702E3902_012429-T1	DBVPG3775_003925-T1
GF00000375	TFCN1702E3902_010561-T1	DBVPG3775_005626-T1
GF00000376	TFCN1702E3902_000349-T1	DBVPG3775_005621-T1
GF00000377	TFCN1702E3902_007709-T1	DBVPG3775_005969-T1
GF00000378	TFCN1702E3902_000394-T1	DBVPG3775_005572-T1
GF00000379	TFCN1702E3902_003064-T1	DBVPG3775_006931-T1
GF00000380	TFCN1702E3902_006803-T1	DBVPG3775_006459-T1
GF00000381	TFCN1702E3902_000445-T1	DBVPG3775_001367-T1
GF00000382	TFCN1702E3902_000452-T1	DBVPG3775_001376-T1
GF00000383	TFCN1702E3902_001864-T1	DBVPG3775_001377-T1
GF00000384	TFCN1702E3902_000455-T1	DBVPG3775_001380-T1
GF00000385	TFCN1702E3902_010092-T1	DBVPG3775_003282-T1
