	Rhodotorula_mucilaginosa_TFCN_17-334D-6.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000042	TFCN17334D6_008141-T1	DBVPG3775_004293-T1
GF00000043	TFCN17334D6_003879-T1	DBVPG3775_001370-T1
GF00000044	TFCN17334D6_008870-T1	DBVPG3775_003313-T1
GF00000045	TFCN17334D6_001136-T1	DBVPG3775_002941-T1
GF00000046	TFCN17334D6_005598-T1	DBVPG3775_000387-T1
GF00000047	TFCN17334D6_005165-T1	DBVPG3775_001451-T1
GF00000048	TFCN17334D6_004025-T1	DBVPG3775_007132-T1
GF00000049	TFCN17334D6_005538-T1	DBVPG3775_003767-T1
GF00000050	TFCN17334D6_005138-T1	DBVPG3775_001479-T1
GF00000051	TFCN17334D6_010279-T1	DBVPG3775_003520-T1
GF00000052	TFCN17334D6_002930-T1	DBVPG3775_002043-T1
GF00000053	TFCN17334D6_003595-T1	DBVPG3775_002206-T1
GF00000054	TFCN17334D6_009236-T1	DBVPG3775_004847-T1
GF00000055	TFCN17334D6_007335-T1	DBVPG3775_004521-T1
GF00000056	TFCN17334D6_002291-T1	DBVPG3775_005295-T1
GF00000057	TFCN17334D6_003607-T1	DBVPG3775_002218-T1
GF00000058	TFCN17334D6_004714-T1	DBVPG3775_005080-T1
GF00000059	TFCN17334D6_013246-T1	DBVPG3775_001018-T1
GF00000060	TFCN17334D6_005640-T1	DBVPG3775_005736-T1
GF00000061	TFCN17334D6_004051-T1	DBVPG3775_007158-T1
GF00000062	TFCN17334D6_009619-T1	DBVPG3775_000993-T1
GF00000063	TFCN17334D6_003997-T1	DBVPG3775_005166-T1
GF00000064	TFCN17334D6_000514-T1	DBVPG3775_001088-T1
GF00000065	TFCN17334D6_010023-T1	DBVPG3775_000562-T1
GF00000066	TFCN17334D6_002590-T1	DBVPG3775_001025-T1
GF00000067	TFCN17334D6_011105-T1	DBVPG3775_006345-T1
GF00000068	TFCN17334D6_002077-T1	DBVPG3775_004308-T1
GF00000069	TFCN17334D6_004159-T1	DBVPG3775_000467-T1
GF00000070	TFCN17334D6_009681-T1	DBVPG3775_003251-T1
GF00000071	TFCN17334D6_000054-T1	DBVPG3775_007105-T1
GF00000072	TFCN17334D6_000203-T1	DBVPG3775_003792-T1
GF00000073	TFCN17334D6_006876-T1	DBVPG3775_002226-T1
GF00000074	TFCN17334D6_011247-T1	DBVPG3775_000842-T1
GF00000075	TFCN17334D6_000544-T1	DBVPG3775_003881-T1
GF00000076	TFCN17334D6_011847-T1	DBVPG3775_007226-T1
GF00000077	TFCN17334D6_010711-T1	DBVPG3775_002326-T1
GF00000078	TFCN17334D6_005467-T1	DBVPG3775_005157-T1
GF00000079	TFCN17334D6_007910-T1	DBVPG3775_005599-T1
GF00000080	TFCN17334D6_000072-T1	DBVPG3775_007099-T1
GF00000081	TFCN17334D6_005567-T1	DBVPG3775_003794-T1
GF00000082	TFCN17334D6_006820-T1	DBVPG3775_000082-T1
GF00000083	TFCN17334D6_000210-T1	DBVPG3775_003785-T1
GF00000084	TFCN17334D6_001280-T1	DBVPG3775_006584-T1
GF00000085	TFCN17334D6_005512-T1	DBVPG3775_003742-T1
GF00000086	TFCN17334D6_011286-T1	DBVPG3775_002579-T1
GF00000087	TFCN17334D6_000491-T1	DBVPG3775_001065-T1
GF00000088	TFCN17334D6_005916-T1	DBVPG3775_001962-T1
GF00000089	TFCN17334D6_003424-T1	DBVPG3775_002257-T1
GF00000090	TFCN17334D6_000785-T1	DBVPG3775_000191-T1
GF00000091	TFCN17334D6_012964-T1	DBVPG3775_006948-T1
GF00000092	TFCN17334D6_013061-T1	DBVPG3775_004502-T1
GF00000093	TFCN17334D6_009524-T1	DBVPG3775_006133-T1
GF00000094	TFCN17334D6_004857-T1	DBVPG3775_000368-T1
GF00000095	TFCN17334D6_002005-T1	DBVPG3775_004080-T1
GF00000096	TFCN17334D6_012836-T1	DBVPG3775_005033-T1
GF00000097	TFCN17334D6_002254-T1	DBVPG3775_001677-T1
GF00000098	TFCN17334D6_013453-T1	DBVPG3775_005324-T1
GF00000099	TFCN17334D6_003459-T1	DBVPG3775_002293-T1
GF00000100	TFCN17334D6_004000-T1	DBVPG3775_005163-T1
GF00000101	TFCN17334D6_006780-T1	DBVPG3775_001795-T1
GF00000102	TFCN17334D6_012613-T1	DBVPG3775_002526-T1
GF00000103	TFCN17334D6_012255-T1	DBVPG3775_003172-T1
GF00000104	TFCN17334D6_014403-T1	DBVPG3775_002338-T1
GF00000105	TFCN17334D6_000022-T1	DBVPG3775_004722-T1
GF00000106	TFCN17334D6_005951-T1	DBVPG3775_004181-T1
GF00000107	TFCN17334D6_011909-T1	DBVPG3775_002435-T1
GF00000108	TFCN17334D6_013540-T1	DBVPG3775_007088-T1
GF00000109	TFCN17334D6_002404-T1	DBVPG3775_006954-T1
GF00000110	TFCN17334D6_004152-T1	DBVPG3775_000475-T1
GF00000111	TFCN17334D6_005622-T1	DBVPG3775_005753-T1
GF00000112	TFCN17334D6_009066-T1	DBVPG3775_001853-T1
GF00000113	TFCN17334D6_009697-T1	DBVPG3775_003273-T1
GF00000114	TFCN17334D6_001160-T1	DBVPG3775_002965-T1
GF00000115	TFCN17334D6_007311-T1	DBVPG3775_004544-T1
GF00000116	TFCN17334D6_010922-T1	DBVPG3775_006341-T1
GF00000117	TFCN17334D6_005805-T1	DBVPG3775_003741-T1
GF00000118	TFCN17334D6_002879-T1	DBVPG3775_001993-T1
GF00000119	TFCN17334D6_002451-T1	DBVPG3775_006438-T1
GF00000120	TFCN17334D6_000365-T1	DBVPG3775_004731-T1
GF00000121	TFCN17334D6_013072-T1	DBVPG3775_003861-T1
GF00000122	TFCN17334D6_012945-T1	DBVPG3775_003229-T1
GF00000123	TFCN17334D6_009204-T1	DBVPG3775_004880-T1
GF00000124	TFCN17334D6_008337-T1	DBVPG3775_006673-T1
GF00000125	TFCN17334D6_011513-T1	DBVPG3775_000153-T1
GF00000126	TFCN17334D6_010102-T1	DBVPG3775_003411-T1
GF00000127	TFCN17334D6_000906-T1	DBVPG3775_000312-T1
GF00000128	TFCN17334D6_008964-T1	DBVPG3775_006241-T1
GF00000129	TFCN17334D6_006292-T1	DBVPG3775_001140-T1
GF00000130	TFCN17334D6_004237-T1	DBVPG3775_004520-T1
GF00000131	TFCN17334D6_009818-T1	DBVPG3775_001020-T1
GF00000132	TFCN17334D6_009699-T1	DBVPG3775_003280-T1
GF00000133	TFCN17334D6_008949-T1	DBVPG3775_006959-T1
GF00000134	TFCN17334D6_007915-T1	DBVPG3775_005603-T1
GF00000135	TFCN17334D6_005852-T1	DBVPG3775_001266-T1
GF00000136	TFCN17334D6_010505-T1	DBVPG3775_000399-T1
GF00000137	TFCN17334D6_007310-T1	DBVPG3775_004545-T1
GF00000138	TFCN17334D6_009594-T1	DBVPG3775_006662-T1
GF00000139	TFCN17334D6_010937-T1	DBVPG3775_006357-T1
GF00000140	TFCN17334D6_006185-T1	DBVPG3775_002706-T1
GF00000141	TFCN17334D6_013547-T1	DBVPG3775_006818-T1
GF00000142	TFCN17334D6_007672-T1	DBVPG3775_004717-T1
GF00000143	TFCN17334D6_005089-T1	DBVPG3775_007270-T1
GF00000144	TFCN17334D6_013060-T1	DBVPG3775_007364-T1
GF00000145	TFCN17334D6_006462-T1	DBVPG3775_001549-T1
GF00000146	TFCN17334D6_006549-T1	DBVPG3775_004754-T1
GF00000147	TFCN17334D6_014052-T1	DBVPG3775_002751-T1
GF00000148	TFCN17334D6_012360-T1	DBVPG3775_007483-T1
GF00000149	TFCN17334D6_009068-T1	DBVPG3775_001834-T1
GF00000150	TFCN17334D6_014800-T1	DBVPG3775_007561-T1
GF00000151	TFCN17334D6_011453-T1	DBVPG3775_007241-T1
GF00000152	TFCN17334D6_005890-T1	DBVPG3775_000814-T1
GF00000153	TFCN17334D6_001908-T1	DBVPG3775_006031-T1
GF00000154	TFCN17334D6_002050-T1	DBVPG3775_004339-T1
GF00000155	TFCN17334D6_000321-T1	DBVPG3775_007063-T1
GF00000156	TFCN17334D6_003265-T1	DBVPG3775_004642-T1
GF00000157	TFCN17334D6_007867-T1	DBVPG3775_007442-T1
GF00000158	TFCN17334D6_006945-T1	DBVPG3775_007575-T1
GF00000159	TFCN17334D6_008210-T1	DBVPG3775_006015-T1
GF00000160	TFCN17334D6_007421-T1	DBVPG3775_003877-T1
GF00000161	TFCN17334D6_002846-T1	DBVPG3775_001961-T1
GF00000162	TFCN17334D6_012853-T1	DBVPG3775_006388-T1
GF00000163	TFCN17334D6_000638-T1	DBVPG3775_003496-T1
GF00000164	TFCN17334D6_003437-T1	DBVPG3775_002271-T1
GF00000165	TFCN17334D6_006069-T1	DBVPG3775_003643-T1
GF00000166	TFCN17334D6_013986-T1	DBVPG3775_000271-T1
GF00000167	TFCN17334D6_006687-T1	DBVPG3775_005884-T1
GF00000168	TFCN17334D6_013500-T1	DBVPG3775_002488-T1
GF00000169	TFCN17334D6_007604-T1	DBVPG3775_003677-T1
GF00000170	TFCN17334D6_004733-T1	DBVPG3775_003134-T1
GF00000171	TFCN17334D6_013004-T1	DBVPG3775_007022-T1
GF00000172	TFCN17334D6_008185-T1	DBVPG3775_002336-T1
GF00000173	TFCN17334D6_002689-T1	DBVPG3775_001329-T1
GF00000174	TFCN17334D6_002210-T1	DBVPG3775_006416-T1
GF00000175	TFCN17334D6_013620-T1	DBVPG3775_001832-T1
GF00000176	TFCN17334D6_001305-T1	DBVPG3775_004376-T1
GF00000177	TFCN17334D6_014738-T1	DBVPG3775_004711-T1
GF00000178	TFCN17334D6_009076-T1	DBVPG3775_005082-T1
GF00000179	TFCN17334D6_013181-T1	DBVPG3775_005109-T1
GF00000180	TFCN17334D6_002022-T1	DBVPG3775_004097-T1
GF00000181	TFCN17334D6_002056-T1	DBVPG3775_004335-T1
GF00000182	TFCN17334D6_011926-T1	DBVPG3775_000632-T1
GF00000183	TFCN17334D6_002240-T1	DBVPG3775_006439-T1
GF00000184	TFCN17334D6_003499-T1	DBVPG3775_001671-T1
GF00000185	TFCN17334D6_014179-T1	DBVPG3775_000591-T1
GF00000186	TFCN17334D6_013435-T1	DBVPG3775_003544-T1
GF00000187	TFCN17334D6_010591-T1	DBVPG3775_002180-T1
GF00000188	TFCN17334D6_003457-T1	DBVPG3775_002291-T1
GF00000189	TFCN17334D6_003496-T1	DBVPG3775_001667-T1
GF00000190	TFCN17334D6_014290-T1	DBVPG3775_006076-T1
GF00000191	TFCN17334D6_006432-T1	DBVPG3775_001517-T1
GF00000192	TFCN17334D6_014082-T1	DBVPG3775_005942-T1
GF00000193	TFCN17334D6_009887-T1	DBVPG3775_005546-T1
GF00000194	TFCN17334D6_005164-T1	DBVPG3775_001452-T1
GF00000195	TFCN17334D6_006543-T1	DBVPG3775_004760-T1
GF00000196	TFCN17334D6_012059-T1	DBVPG3775_004809-T1
GF00000197	TFCN17334D6_012144-T1	DBVPG3775_006850-T1
GF00000198	TFCN17334D6_010090-T1	DBVPG3775_003422-T1
GF00000199	TFCN17334D6_006608-T1	DBVPG3775_003607-T1
GF00000200	TFCN17334D6_006539-T1	DBVPG3775_004721-T1
GF00000201	TFCN17334D6_007451-T1	DBVPG3775_006806-T1
GF00000202	TFCN17334D6_006646-T1	DBVPG3775_002840-T1
GF00000203	TFCN17334D6_010987-T1	DBVPG3775_006896-T1
GF00000204	TFCN17334D6_000063-T1	DBVPG3775_001059-T1
GF00000205	TFCN17334D6_001445-T1	DBVPG3775_003302-T1
GF00000206	TFCN17334D6_005562-T1	DBVPG3775_003789-T1
GF00000207	TFCN17334D6_000475-T1	DBVPG3775_001049-T1
GF00000208	TFCN17334D6_008709-T1	DBVPG3775_007554-T1
GF00000209	TFCN17334D6_000560-T1	DBVPG3775_003865-T1
GF00000210	TFCN17334D6_010213-T1	DBVPG3775_003255-T1
GF00000211	TFCN17334D6_010295-T1	DBVPG3775_003466-T1
GF00000212	TFCN17334D6_006598-T1	DBVPG3775_003596-T1
GF00000213	TFCN17334D6_014777-T1	DBVPG3775_000258-T1
GF00000214	TFCN17334D6_013761-T1	DBVPG3775_007423-T1
GF00000215	TFCN17334D6_008736-T1	DBVPG3775_002037-T1
GF00000216	TFCN17334D6_011789-T1	DBVPG3775_006573-T1
GF00000217	TFCN17334D6_002814-T1	DBVPG3775_001192-T1
GF00000218	TFCN17334D6_008340-T1	DBVPG3775_000439-T1
GF00000219	TFCN17334D6_013303-T1	DBVPG3775_002006-T1
GF00000220	TFCN17334D6_014178-T1	DBVPG3775_000593-T1
GF00000221	TFCN17334D6_003463-T1	DBVPG3775_002298-T1
GF00000222	TFCN17334D6_003041-T1	DBVPG3775_000376-T1
GF00000223	TFCN17334D6_008600-T1	DBVPG3775_003066-T1
GF00000224	TFCN17334D6_003274-T1	DBVPG3775_006611-T1
GF00000225	TFCN17334D6_007515-T1	DBVPG3775_003143-T1
GF00000226	TFCN17334D6_008018-T1	DBVPG3775_001743-T1
GF00000227	TFCN17334D6_010692-T1	DBVPG3775_000953-T1
GF00000228	TFCN17334D6_004293-T1	DBVPG3775_006859-T1
GF00000229	TFCN17334D6_014550-T1	DBVPG3775_001760-T1
GF00000230	TFCN17334D6_008878-T1	DBVPG3775_003306-T1
GF00000231	TFCN17334D6_004701-T1	DBVPG3775_003104-T1
GF00000232	TFCN17334D6_007043-T1	DBVPG3775_002917-T1
GF00000233	TFCN17334D6_008211-T1	DBVPG3775_006014-T1
GF00000234	TFCN17334D6_014294-T1	DBVPG3775_006082-T1
GF00000235	TFCN17334D6_006108-T1	DBVPG3775_003601-T1
GF00000236	TFCN17334D6_006628-T1	DBVPG3775_002858-T1
GF00000237	TFCN17334D6_010839-T1	DBVPG3775_006162-T1
GF00000238	TFCN17334D6_009903-T1	DBVPG3775_002798-T1
GF00000239	TFCN17334D6_007692-T1	DBVPG3775_004735-T1
GF00000240	TFCN17334D6_007698-T1	DBVPG3775_004741-T1
GF00000241	TFCN17334D6_008813-T1	DBVPG3775_002596-T1
GF00000242	TFCN17334D6_010233-T1	DBVPG3775_006220-T1
GF00000243	TFCN17334D6_010749-T1	DBVPG3775_000730-T1
GF00000244	TFCN17334D6_011969-T1	DBVPG3775_002745-T1
GF00000245	TFCN17334D6_000027-T1	DBVPG3775_006283-T1
GF00000246	TFCN17334D6_010463-T1	DBVPG3775_002145-T1
GF00000247	TFCN17334D6_006592-T1	DBVPG3775_003589-T1
GF00000248	TFCN17334D6_000174-T1	DBVPG3775_004876-T1
GF00000249	TFCN17334D6_011659-T1	DBVPG3775_001970-T1
GF00000250	TFCN17334D6_000325-T1	DBVPG3775_007059-T1
GF00000251	TFCN17334D6_002822-T1	DBVPG3775_001936-T1
GF00000252	TFCN17334D6_010411-T1	DBVPG3775_003362-T1
GF00000253	TFCN17334D6_000613-T1	DBVPG3775_003471-T1
GF00000254	TFCN17334D6_012939-T1	DBVPG3775_003223-T1
GF00000255	TFCN17334D6_014629-T1	DBVPG3775_005857-T1
GF00000256	TFCN17334D6_004501-T1	DBVPG3775_006039-T1
GF00000257	TFCN17334D6_006972-T1	DBVPG3775_000155-T1
GF00000258	TFCN17334D6_011235-T1	DBVPG3775_000179-T1
GF00000259	TFCN17334D6_004073-T1	DBVPG3775_005531-T1
GF00000260	TFCN17334D6_003013-T1	DBVPG3775_000346-T1
GF00000261	TFCN17334D6_000844-T1	DBVPG3775_000249-T1
GF00000262	TFCN17334D6_010189-T1	DBVPG3775_001376-T1
GF00000263	TFCN17334D6_007577-T1	DBVPG3775_005645-T1
GF00000264	TFCN17334D6_014278-T1	DBVPG3775_000699-T1
GF00000265	TFCN17334D6_008437-T1	DBVPG3775_000345-T1
GF00000266	TFCN17334D6_000995-T1	DBVPG3775_002458-T1
GF00000267	TFCN17334D6_002579-T1	DBVPG3775_000775-T1
GF00000268	TFCN17334D6_002648-T1	DBVPG3775_002405-T1
GF00000269	TFCN17334D6_014592-T1	DBVPG3775_002930-T1
GF00000270	TFCN17334D6_009655-T1	DBVPG3775_003965-T1
GF00000271	TFCN17334D6_013253-T1	DBVPG3775_005883-T1
GF00000272	TFCN17334D6_003486-T1	DBVPG3775_001657-T1
GF00000273	TFCN17334D6_001340-T1	DBVPG3775_004409-T1
GF00000274	TFCN17334D6_001734-T1	DBVPG3775_004459-T1
GF00000275	TFCN17334D6_009960-T1	DBVPG3775_005145-T1
GF00000276	TFCN17334D6_003584-T1	DBVPG3775_002196-T1
GF00000277	TFCN17334D6_008656-T1	DBVPG3775_006264-T1
GF00000278	TFCN17334D6_002136-T1	DBVPG3775_006252-T1
GF00000279	TFCN17334D6_011631-T1	DBVPG3775_003709-T1
GF00000280	TFCN17334D6_002416-T1	DBVPG3775_006418-T1
GF00000281	TFCN17334D6_008352-T1	DBVPG3775_006643-T1
GF00000282	TFCN17334D6_002533-T1	DBVPG3775_007517-T1
GF00000283	TFCN17334D6_007164-T1	DBVPG3775_002822-T1
GF00000284	TFCN17334D6_002747-T1	DBVPG3775_001264-T1
GF00000285	TFCN17334D6_004117-T1	DBVPG3775_007454-T1
GF00000286	TFCN17334D6_004192-T1	DBVPG3775_003968-T1
GF00000287	TFCN17334D6_002877-T1	DBVPG3775_001991-T1
GF00000288	TFCN17334D6_003097-T1	DBVPG3775_000695-T1
GF00000289	TFCN17334D6_003145-T1	DBVPG3775_000649-T1
GF00000290	TFCN17334D6_011914-T1	DBVPG3775_000620-T1
GF00000291	TFCN17334D6_003256-T1	DBVPG3775_004633-T1
GF00000292	TFCN17334D6_003643-T1	DBVPG3775_002256-T1
GF00000293	TFCN17334D6_009088-T1	DBVPG3775_001830-T1
GF00000294	TFCN17334D6_012156-T1	DBVPG3775_001670-T1
GF00000295	TFCN17334D6_003517-T1	DBVPG3775_001688-T1
GF00000296	TFCN17334D6_014927-T1	DBVPG3775_001751-T1
GF00000297	TFCN17334D6_010190-T1	DBVPG3775_001377-T1
GF00000298	TFCN17334D6_004511-T1	DBVPG3775_005215-T1
GF00000299	TFCN17334D6_004063-T1	DBVPG3775_005541-T1
GF00000300	TFCN17334D6_004070-T1	DBVPG3775_005534-T1
GF00000301	TFCN17334D6_004071-T1	DBVPG3775_005533-T1
GF00000302	TFCN17334D6_004130-T1	DBVPG3775_005472-T1
GF00000303	TFCN17334D6_014079-T1	DBVPG3775_005945-T1
GF00000304	TFCN17334D6_005069-T1	DBVPG3775_005638-T1
GF00000305	TFCN17334D6_007049-T1	DBVPG3775_002071-T1
GF00000306	TFCN17334D6_006065-T1	DBVPG3775_003646-T1
GF00000307	TFCN17334D6_006252-T1	DBVPG3775_007408-T1
GF00000308	TFCN17334D6_012310-T1	DBVPG3775_006594-T1
GF00000309	TFCN17334D6_005587-T1	DBVPG3775_005791-T1
GF00000310	TFCN17334D6_011290-T1	DBVPG3775_002575-T1
GF00000311	TFCN17334D6_011827-T1	DBVPG3775_005877-T1
GF00000312	TFCN17334D6_010359-T1	DBVPG3775_002585-T1
GF00000313	TFCN17334D6_014877-T1	DBVPG3775_005915-T1
GF00000314	TFCN17334D6_007098-T1	DBVPG3775_005355-T1
GF00000315	TFCN17334D6_007217-T1	DBVPG3775_002522-T1
GF00000316	TFCN17334D6_007256-T1	DBVPG3775_006519-T1
GF00000317	TFCN17334D6_007489-T1	DBVPG3775_003215-T1
GF00000318	TFCN17334D6_007512-T1	DBVPG3775_003187-T1
GF00000319	TFCN17334D6_008303-T1	DBVPG3775_002595-T1
GF00000320	TFCN17334D6_008705-T1	DBVPG3775_007522-T1
GF00000321	TFCN17334D6_013167-T1	DBVPG3775_004253-T1
GF00000322	TFCN17334D6_011464-T1	DBVPG3775_003236-T1
GF00000323	TFCN17334D6_012825-T1	DBVPG3775_006397-T1
GF00000324	TFCN17334D6_010746-T1	DBVPG3775_000733-T1
GF00000325	TFCN17334D6_011971-T1	DBVPG3775_002749-T1
GF00000326	TFCN17334D6_000102-T1	DBVPG3775_006281-T1
GF00000327	TFCN17334D6_000062-T1	DBVPG3775_007098-T1
GF00000328	TFCN17334D6_000146-T1	DBVPG3775_006325-T1
GF00000329	TFCN17334D6_004524-T1	DBVPG3775_006924-T1
GF00000330	TFCN17334D6_000156-T1	DBVPG3775_006334-T1
GF00000331	TFCN17334D6_000195-T1	DBVPG3775_003800-T1
GF00000332	TFCN17334D6_005555-T1	DBVPG3775_003782-T1
GF00000333	TFCN17334D6_009511-T1	DBVPG3775_006147-T1
GF00000334	TFCN17334D6_002204-T1	DBVPG3775_006972-T1
GF00000335	TFCN17334D6_000240-T1	DBVPG3775_003755-T1
GF00000336	TFCN17334D6_008912-T1	DBVPG3775_001818-T1
GF00000337	TFCN17334D6_008607-T1	DBVPG3775_005051-T1
GF00000338	TFCN17334D6_008610-T1	DBVPG3775_005054-T1
GF00000339	TFCN17334D6_004353-T1	DBVPG3775_007375-T1
GF00000340	TFCN17334D6_008074-T1	DBVPG3775_005970-T1
GF00000341	TFCN17334D6_006882-T1	DBVPG3775_006176-T1
GF00000342	TFCN17334D6_010259-T1	DBVPG3775_007079-T1
GF00000343	TFCN17334D6_011088-T1	DBVPG3775_002694-T1
GF00000344	TFCN17334D6_000328-T1	DBVPG3775_007056-T1
GF00000345	TFCN17334D6_000335-T1	DBVPG3775_004114-T1
GF00000346	TFCN17334D6_014758-T1	DBVPG3775_004116-T1
GF00000347	TFCN17334D6_002433-T1	DBVPG3775_006421-T1
GF00000348	TFCN17334D6_000343-T1	DBVPG3775_004122-T1
GF00000349	TFCN17334D6_008354-T1	DBVPG3775_003267-T1
GF00000350	TFCN17334D6_006144-T1	DBVPG3775_002667-T1
GF00000351	TFCN17334D6_006770-T1	DBVPG3775_001806-T1
GF00000352	TFCN17334D6_000388-T1	DBVPG3775_004167-T1
GF00000353	TFCN17334D6_009270-T1	DBVPG3775_004155-T1
GF00000354	TFCN17334D6_008547-T1	DBVPG3775_000577-T1
GF00000355	TFCN17334D6_009174-T1	DBVPG3775_005572-T1
GF00000356	TFCN17334D6_005819-T1	DBVPG3775_001230-T1
GF00000357	TFCN17334D6_007447-T1	DBVPG3775_006802-T1
GF00000358	TFCN17334D6_013568-T1	DBVPG3775_004702-T1
GF00000359	TFCN17334D6_000450-T1	DBVPG3775_004230-T1
GF00000360	TFCN17334D6_000470-T1	DBVPG3775_001045-T1
GF00000361	TFCN17334D6_005631-T1	DBVPG3775_005745-T1
GF00000362	TFCN17334D6_005485-T1	DBVPG3775_007135-T1
GF00000363	TFCN17334D6_000802-T1	DBVPG3775_000208-T1
GF00000364	TFCN17334D6_004373-T1	DBVPG3775_005039-T1
GF00000365	TFCN17334D6_012696-T1	DBVPG3775_006523-T1
GF00000366	TFCN17334D6_013080-T1	DBVPG3775_003868-T1
GF00000367	TFCN17334D6_006322-T1	DBVPG3775_001172-T1
GF00000368	TFCN17334D6_010504-T1	DBVPG3775_000400-T1
GF00000369	TFCN17334D6_000563-T1	DBVPG3775_004254-T1
GF00000370	TFCN17334D6_013657-T1	DBVPG3775_003856-T1
GF00000371	TFCN17334D6_006250-T1	DBVPG3775_007410-T1
GF00000372	TFCN17334D6_010299-T1	DBVPG3775_003470-T1
GF00000373	TFCN17334D6_013765-T1	DBVPG3775_007427-T1
GF00000374	TFCN17334D6_000644-T1	DBVPG3775_003503-T1
GF00000375	TFCN17334D6_000678-T1	DBVPG3775_003537-T1
GF00000376	TFCN17334D6_012439-T1	DBVPG3775_005873-T1
GF00000377	TFCN17334D6_012442-T1	DBVPG3775_005869-T1
GF00000378	TFCN17334D6_000699-T1	DBVPG3775_005856-T1
GF00000379	TFCN17334D6_000700-T1	DBVPG3775_005855-T1
GF00000380	TFCN17334D6_010571-T1	DBVPG3775_002159-T1
GF00000381	TFCN17334D6_014106-T1	DBVPG3775_005847-T1
GF00000382	TFCN17334D6_008575-T1	DBVPG3775_003071-T1
GF00000383	TFCN17334D6_000713-T1	DBVPG3775_005842-T1
GF00000384	TFCN17334D6_003062-T1	DBVPG3775_000395-T1
GF00000385	TFCN17334D6_012159-T1	DBVPG3775_006809-T1
GF00000386	TFCN17334D6_008075-T1	DBVPG3775_005969-T1
GF00000387	TFCN17334D6_005830-T1	DBVPG3775_001241-T1
GF00000388	TFCN17334D6_008595-T1	DBVPG3775_003051-T1
GF00000389	TFCN17334D6_000852-T1	DBVPG3775_000257-T1
GF00000390	TFCN17334D6_013174-T1	DBVPG3775_000263-T1
GF00000391	TFCN17334D6_013989-T1	DBVPG3775_000268-T1
GF00000392	TFCN17334D6_000877-T1	DBVPG3775_000282-T1
GF00000393	TFCN17334D6_002957-T1	DBVPG3775_000288-T1
GF00000394	TFCN17334D6_001435-T1	DBVPG3775_005703-T1
GF00000395	TFCN17334D6_000946-T1	DBVPG3775_002504-T1
GF00000396	TFCN17334D6_000964-T1	DBVPG3775_002486-T1
