	Rhodotorula_mucilaginosa_RIT389.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000024	RIT389_000544-T1, RIT389_002296-T1, RIT389_001427-T1, RIT389_006490-T1, RIT389_003439-T1, RIT389_011109-T1, RIT389_008400-T1, RIT389_002074-T1, RIT389_013707-T1, RIT389_002888-T1, RIT389_001979-T1, RIT389_003854-T1, RIT389_010116-T1, RIT389_008053-T1, RIT389_009936-T1	DBVPG3775_000227-T1, DBVPG3775_000339-T1, DBVPG3775_002045-T1, DBVPG3775_004659-T1, DBVPG3775_004856-T1, DBVPG3775_004903-T1, DBVPG3775_005006-T1, DBVPG3775_006208-T1
GF00000025	RIT389_005817-T1, RIT389_006237-T1, RIT389_000862-T1, RIT389_007003-T1, RIT389_009425-T1, RIT389_005759-T1, RIT389_008628-T1, RIT389_003933-T1, RIT389_002409-T1, RIT389_000985-T1, RIT389_014513-T1, RIT389_011745-T1, RIT389_007630-T1, RIT389_013555-T1, RIT389_001675-T1	DBVPG3775_001464-T1, DBVPG3775_001893-T1, DBVPG3775_002118-T1, DBVPG3775_002468-T1, DBVPG3775_003247-T1, DBVPG3775_004801-T1, DBVPG3775_006805-T1, DBVPG3775_007221-T1
GF00000026	RIT389_007666-T1, RIT389_010003-T1, RIT389_000358-T1, RIT389_004600-T1, RIT389_004606-T1, RIT389_000367-T1, RIT389_005955-T1, RIT389_010064-T1, RIT389_004456-T1, RIT389_009749-T1, RIT389_012035-T1, RIT389_000672-T1, RIT389_005887-T1, RIT389_013070-T1, RIT389_008448-T1	DBVPG3775_000374-T1, DBVPG3775_000721-T1, DBVPG3775_002392-T1, DBVPG3775_003162-T1, DBVPG3775_005346-T1, DBVPG3775_006413-T1, DBVPG3775_006419-T1
GF00000027	RIT389_001615-T1, RIT389_005416-T1, RIT389_006268-T1, RIT389_001616-T1, RIT389_005415-T1, RIT389_002189-T1, RIT389_002188-T1, RIT389_001916-T1, RIT389_006771-T1, RIT389_002026-T1, RIT389_001938-T1, RIT389_001915-T1, RIT389_005085-T1, RIT389_001939-T1	DBVPG3775_000976-T1, DBVPG3775_000977-T1, DBVPG3775_000978-T1, DBVPG3775_001426-T1, DBVPG3775_001427-T1, DBVPG3775_002210-T1, DBVPG3775_002618-T1, DBVPG3775_007152-T1
GF00000028	RIT389_000480-T1, RIT389_001999-T1, RIT389_003364-T1, RIT389_002636-T1, RIT389_003361-T1, RIT389_003363-T1, RIT389_002635-T1, RIT389_000909-T1, RIT389_003505-T1, RIT389_010074-T1, RIT389_002477-T1, RIT389_008667-T1, RIT389_006052-T1, RIT389_002634-T1	DBVPG3775_000805-T1, DBVPG3775_000924-T1, DBVPG3775_001536-T1, DBVPG3775_001537-T1, DBVPG3775_001539-T1, DBVPG3775_006982-T1, DBVPG3775_007083-T1
GF00000029	RIT389_011304-T1, RIT389_008694-T1, RIT389_012526-T1, RIT389_008658-T1, RIT389_005640-T1, RIT389_014789-T1, RIT389_002815-T1, RIT389_009889-T1, RIT389_011628-T1, RIT389_009107-T1, RIT389_005575-T1, RIT389_013246-T1, RIT389_014733-T1, RIT389_015095-T1, RIT389_005639-T1	DBVPG3775_002018-T1, DBVPG3775_004563-T1, DBVPG3775_005431-T1, DBVPG3775_005960-T1, DBVPG3775_006128-T1, DBVPG3775_006647-T1
GF00000030	RIT389_000970-T1, RIT389_011918-T1, RIT389_011178-T1, RIT389_013385-T1, RIT389_006082-T1, RIT389_001251-T1, RIT389_007516-T1, RIT389_005773-T1, RIT389_001930-T1, RIT389_005774-T1, RIT389_002604-T1, RIT389_001929-T1, RIT389_005772-T1	DBVPG3775_000990-T1, DBVPG3775_000991-T1, DBVPG3775_001797-T1, DBVPG3775_001798-T1, DBVPG3775_005455-T1, DBVPG3775_005995-T1, DBVPG3775_005996-T1, DBVPG3775_006335-T1
GF00000031	RIT389_001281-T1, RIT389_004548-T1, RIT389_012202-T1, RIT389_004542-T1, RIT389_013491-T1, RIT389_004530-T1, RIT389_011277-T1, RIT389_007826-T1, RIT389_004546-T1, RIT389_001288-T1, RIT389_004547-T1, RIT389_007827-T1, RIT389_004531-T1	DBVPG3775_001826-T1, DBVPG3775_001834-T1, DBVPG3775_001835-T1, DBVPG3775_001836-T1, DBVPG3775_001847-T1, DBVPG3775_001851-T1, DBVPG3775_001852-T1, DBVPG3775_001853-T1
GF00000032	RIT389_001692-T1, RIT389_010638-T1, RIT389_004687-T1, RIT389_010189-T1, RIT389_003797-T1, RIT389_012253-T1, RIT389_001754-T1, RIT389_012327-T1, RIT389_001759-T1, RIT389_003723-T1, RIT389_011869-T1, RIT389_013517-T1, RIT389_013923-T1, RIT389_012953-T1	DBVPG3775_000350-T1, DBVPG3775_002101-T1, DBVPG3775_004055-T1, DBVPG3775_004060-T1, DBVPG3775_005885-T1, DBVPG3775_006531-T1, DBVPG3775_007326-T1
GF00000033	RIT389_007494-T1, RIT389_011812-T1, RIT389_000240-T1, RIT389_005460-T1, RIT389_008098-T1, RIT389_000360-T1, RIT389_004598-T1, RIT389_003400-T1, RIT389_009327-T1, RIT389_015164-T1, RIT389_008140-T1, RIT389_005164-T1, RIT389_013499-T1, RIT389_014398-T1	DBVPG3775_000849-T1, DBVPG3775_001283-T1, DBVPG3775_002908-T1, DBVPG3775_003520-T1, DBVPG3775_004673-T1, DBVPG3775_006411-T1
GF00000034	RIT389_000050-T1, RIT389_003472-T1, RIT389_013969-T1, RIT389_003123-T1, RIT389_008276-T1, RIT389_006648-T1, RIT389_004898-T1, RIT389_010115-T1, RIT389_010530-T1, RIT389_000091-T1, RIT389_001493-T1	DBVPG3775_000444-T1, DBVPG3775_002046-T1, DBVPG3775_002710-T1, DBVPG3775_003767-T1, DBVPG3775_005609-T1, DBVPG3775_007165-T1, DBVPG3775_007574-T1, DBVPG3775_007580-T1, DBVPG3775_007598-T1
GF00000035	RIT389_000386-T1, RIT389_009144-T1, RIT389_006485-T1, RIT389_001432-T1, RIT389_002181-T1, RIT389_006257-T1, RIT389_014566-T1, RIT389_003551-T1, RIT389_000533-T1, RIT389_005026-T1, RIT389_014068-T1, RIT389_006199-T1, RIT389_007928-T1, RIT389_004953-T1	DBVPG3775_000170-T1, DBVPG3775_000215-T1, DBVPG3775_000333-T1, DBVPG3775_000872-T1, DBVPG3775_004136-T1, DBVPG3775_007143-T1
GF00000036	RIT389_000607-T1, RIT389_010221-T1, RIT389_007594-T1, RIT389_008228-T1, RIT389_001893-T1, RIT389_002109-T1, RIT389_007096-T1, RIT389_010811-T1, RIT389_004074-T1, RIT389_006231-T1, RIT389_007710-T1, RIT389_005811-T1, RIT389_004075-T1	DBVPG3775_000636-T1, DBVPG3775_001471-T1, DBVPG3775_003107-T1, DBVPG3775_003326-T1, DBVPG3775_005871-T1, DBVPG3775_005872-T1, DBVPG3775_007096-T1
