	Rhodotorula_mucilaginosa_RIT389.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000081	RIT389_008798-T1	DBVPG3775_005157-T1
GF00000082	RIT389_002209-T1	DBVPG3775_003273-T1
GF00000083	RIT389_002956-T1	DBVPG3775_001065-T1
GF00000084	RIT389_003897-T1	DBVPG3775_001451-T1
GF00000085	RIT389_011822-T1	DBVPG3775_002338-T1
GF00000086	RIT389_009322-T1	DBVPG3775_007424-T1
GF00000087	RIT389_003568-T1	DBVPG3775_006210-T1
GF00000088	RIT389_009362-T1	DBVPG3775_005599-T1
GF00000089	RIT389_000072-T1	DBVPG3775_003785-T1
GF00000090	RIT389_000116-T1	DBVPG3775_003742-T1
GF00000091	RIT389_007104-T1	DBVPG3775_007105-T1
GF00000092	RIT389_000285-T1	DBVPG3775_002257-T1
GF00000093	RIT389_000796-T1	DBVPG3775_006948-T1
GF00000094	RIT389_010027-T1	DBVPG3775_001795-T1
GF00000095	RIT389_000508-T1	DBVPG3775_000191-T1
GF00000096	RIT389_013339-T1	DBVPG3775_003187-T1
GF00000097	RIT389_005878-T1	DBVPG3775_003172-T1
GF00000098	RIT389_011262-T1	DBVPG3775_006031-T1
GF00000099	RIT389_006446-T1	DBVPG3775_002579-T1
GF00000100	RIT389_009474-T1	DBVPG3775_003251-T1
GF00000101	RIT389_009482-T1	DBVPG3775_003255-T1
GF00000102	RIT389_002449-T1	DBVPG3775_000082-T1
GF00000103	RIT389_003047-T1	DBVPG3775_005753-T1
GF00000104	RIT389_011474-T1	DBVPG3775_001230-T1
GF00000105	RIT389_011571-T1	DBVPG3775_002526-T1
GF00000106	RIT389_003752-T1	DBVPG3775_001677-T1
GF00000107	RIT389_008192-T1	DBVPG3775_000368-T1
GF00000108	RIT389_013122-T1	DBVPG3775_002326-T1
GF00000109	RIT389_010510-T1	DBVPG3775_003607-T1
GF00000110	RIT389_012995-T1	DBVPG3775_006954-T1
GF00000111	RIT389_000485-T1	DBVPG3775_007088-T1
GF00000112	RIT389_013214-T1	DBVPG3775_003411-T1
GF00000113	RIT389_000609-T1	DBVPG3775_003328-T1
GF00000114	RIT389_013900-T1	DBVPG3775_003134-T1
GF00000115	RIT389_007004-T1	DBVPG3775_006806-T1
GF00000116	RIT389_008275-T1	DBVPG3775_007575-T1
GF00000117	RIT389_005547-T1	DBVPG3775_003865-T1
GF00000118	RIT389_002207-T1	DBVPG3775_003280-T1
GF00000119	RIT389_002348-T1	DBVPG3775_004544-T1
GF00000120	RIT389_012030-T1	DBVPG3775_004502-T1
GF00000121	RIT389_007911-T1	DBVPG3775_000153-T1
GF00000122	RIT389_007205-T1	DBVPG3775_000399-T1
GF00000123	RIT389_005309-T1	DBVPG3775_004181-T1
GF00000124	RIT389_008580-T1	DBVPG3775_007423-T1
GF00000125	RIT389_008575-T1	DBVPG3775_002435-T1
GF00000126	RIT389_010758-T1	DBVPG3775_006241-T1
GF00000127	RIT389_000057-T1	DBVPG3775_005603-T1
GF00000128	RIT389_012440-T1	DBVPG3775_005295-T1
GF00000129	RIT389_006683-T1	DBVPG3775_003741-T1
GF00000130	RIT389_002415-T1	DBVPG3775_006818-T1
GF00000131	RIT389_005429-T1	DBVPG3775_002838-T1
GF00000132	RIT389_003518-T1	DBVPG3775_000792-T1
GF00000133	RIT389_000639-T1	DBVPG3775_003358-T1
GF00000134	RIT389_004329-T1	DBVPG3775_003544-T1
GF00000135	RIT389_012268-T1	DBVPG3775_006133-T1
GF00000136	RIT389_003674-T1	DBVPG3775_003709-T1
GF00000137	RIT389_010860-T1	DBVPG3775_003841-T1
GF00000138	RIT389_007179-T1	DBVPG3775_006439-T1
GF00000139	RIT389_012539-T1	DBVPG3775_006584-T1
GF00000140	RIT389_004975-T1	DBVPG3775_001020-T1
GF00000141	RIT389_001102-T1	DBVPG3775_006388-T1
GF00000142	RIT389_005604-T1	DBVPG3775_004520-T1
GF00000143	RIT389_004850-T1	DBVPG3775_002751-T1
GF00000144	RIT389_013922-T1	DBVPG3775_005884-T1
GF00000145	RIT389_001453-T1	DBVPG3775_000312-T1
GF00000146	RIT389_013419-T1	DBVPG3775_003229-T1
GF00000147	RIT389_006529-T1	DBVPG3775_002336-T1
GF00000148	RIT389_002347-T1	DBVPG3775_004545-T1
GF00000149	RIT389_011050-T1	DBVPG3775_004731-T1
GF00000150	RIT389_005227-T1	DBVPG3775_006673-T1
GF00000151	RIT389_007865-T1	DBVPG3775_006015-T1
GF00000152	RIT389_003575-T1	DBVPG3775_006220-T1
GF00000153	RIT389_013892-T1	DBVPG3775_004754-T1
GF00000154	RIT389_007780-T1	DBVPG3775_007226-T1
GF00000155	RIT389_015092-T1	DBVPG3775_001517-T1
GF00000156	RIT389_009995-T1	DBVPG3775_000271-T1
GF00000157	RIT389_000006-T1	DBVPG3775_001961-T1
GF00000158	RIT389_007975-T1	DBVPG3775_001993-T1
GF00000159	RIT389_004538-T1	DBVPG3775_005082-T1
GF00000160	RIT389_005110-T1	DBVPG3775_005546-T1
GF00000161	RIT389_003245-T1	DBVPG3775_002271-T1
GF00000162	RIT389_006290-T1	DBVPG3775_000814-T1
GF00000163	RIT389_000320-T1	DBVPG3775_002291-T1
GF00000164	RIT389_000355-T1	DBVPG3775_006416-T1
GF00000165	RIT389_000420-T1	DBVPG3775_007063-T1
GF00000166	RIT389_011672-T1	DBVPG3775_003643-T1
GF00000167	RIT389_013522-T1	DBVPG3775_003362-T1
GF00000168	RIT389_010987-T1	DBVPG3775_007454-T1
GF00000169	RIT389_005623-T1	DBVPG3775_005109-T1
GF00000170	RIT389_008231-T1	DBVPG3775_000632-T1
GF00000171	RIT389_012245-T1	DBVPG3775_003302-T1
GF00000172	RIT389_012685-T1	DBVPG3775_001452-T1
GF00000173	RIT389_006409-T1	DBVPG3775_001266-T1
GF00000174	RIT389_001057-T1	DBVPG3775_004711-T1
GF00000175	RIT389_011735-T1	DBVPG3775_004387-T1
GF00000176	RIT389_001148-T1	DBVPG3775_007483-T1
GF00000177	RIT389_001237-T1	DBVPG3775_002488-T1
GF00000178	RIT389_012908-T1	DBVPG3775_001104-T1
GF00000179	RIT389_003596-T1	DBVPG3775_005942-T1
GF00000180	RIT389_011275-T1	DBVPG3775_001832-T1
GF00000181	RIT389_009598-T1	DBVPG3775_003422-T1
GF00000182	RIT389_008988-T1	DBVPG3775_006357-T1
GF00000183	RIT389_003117-T1	DBVPG3775_000449-T1
GF00000184	RIT389_003776-T1	DBVPG3775_001140-T1
GF00000185	RIT389_001832-T1	DBVPG3775_003861-T1
GF00000186	RIT389_001847-T1	DBVPG3775_003877-T1
GF00000187	RIT389_012885-T1	DBVPG3775_001671-T1
GF00000188	RIT389_010055-T1	DBVPG3775_007022-T1
GF00000189	RIT389_009087-T1	DBVPG3775_005038-T1
GF00000190	RIT389_002336-T1	DBVPG3775_004556-T1
GF00000191	RIT389_013229-T1	DBVPG3775_004097-T1
GF00000192	RIT389_006643-T1	DBVPG3775_000439-T1
GF00000193	RIT389_002450-T1	DBVPG3775_002024-T1
GF00000194	RIT389_002646-T1	DBVPG3775_001549-T1
GF00000195	RIT389_006173-T1	DBVPG3775_002965-T1
GF00000196	RIT389_012009-T1	DBVPG3775_004809-T1
GF00000197	RIT389_007770-T1	DBVPG3775_001670-T1
GF00000198	RIT389_004894-T1	DBVPG3775_002706-T1
GF00000199	RIT389_010395-T1	DBVPG3775_007442-T1
GF00000200	RIT389_004037-T1	DBVPG3775_004721-T1
GF00000201	RIT389_004525-T1	DBVPG3775_003496-T1
GF00000202	RIT389_007864-T1	DBVPG3775_006014-T1
GF00000203	RIT389_013400-T1	DBVPG3775_004760-T1
GF00000204	RIT389_010567-T1	DBVPG3775_002180-T1
GF00000205	RIT389_009400-T1	DBVPG3775_001192-T1
GF00000206	RIT389_007772-T1	DBVPG3775_001667-T1
GF00000207	RIT389_010298-T1	DBVPG3775_003306-T1
GF00000208	RIT389_014594-T1	DBVPG3775_001025-T1
GF00000209	RIT389_010104-T1	DBVPG3775_005572-T1
GF00000210	RIT389_001474-T1	DBVPG3775_003746-T1
GF00000211	RIT389_000194-T1	DBVPG3775_002858-T1
GF00000212	RIT389_000345-T1	DBVPG3775_006968-T1
GF00000213	RIT389_004605-T1	DBVPG3775_006418-T1
GF00000214	RIT389_000440-T1	DBVPG3775_004118-T1
GF00000215	RIT389_000453-T1	DBVPG3775_007059-T1
GF00000216	RIT389_005873-T1	DBVPG3775_003143-T1
GF00000217	RIT389_010287-T1	DBVPG3775_000593-T1
GF00000218	RIT389_006733-T1	DBVPG3775_004335-T1
GF00000219	RIT389_004625-T1	DBVPG3775_005328-T1
GF00000220	RIT389_008654-T1	DBVPG3775_004566-T1
GF00000221	RIT389_010723-T1	DBVPG3775_000258-T1
GF00000222	RIT389_001129-T1	DBVPG3775_006611-T1
GF00000223	RIT389_004090-T1	DBVPG3775_005857-T1
GF00000224	RIT389_001737-T1	DBVPG3775_006576-T1
GF00000225	RIT389_001536-T1	DBVPG3775_004230-T1
GF00000226	RIT389_003944-T1	DBVPG3775_002458-T1
GF00000227	RIT389_006251-T1	DBVPG3775_002596-T1
GF00000228	RIT389_002266-T1	DBVPG3775_000257-T1
GF00000229	RIT389_006674-T1	DBVPG3775_004376-T1
GF00000230	RIT389_007850-T1	DBVPG3775_000475-T1
GF00000231	RIT389_008011-T1	DBVPG3775_004876-T1
GF00000232	RIT389_007432-T1	DBVPG3775_004880-T1
GF00000233	RIT389_007548-T1	DBVPG3775_003490-T1
GF00000234	RIT389_003875-T1	DBVPG3775_005355-T1
GF00000235	RIT389_010178-T1	DBVPG3775_007395-T1
GF00000236	RIT389_006904-T1	DBVPG3775_003066-T1
GF00000237	RIT389_008353-T1	DBVPG3775_000695-T1
GF00000238	RIT389_011055-T1	DBVPG3775_004735-T1
GF00000239	RIT389_005722-T1	DBVPG3775_002745-T1
GF00000240	RIT389_006532-T1	DBVPG3775_007561-T1
GF00000241	RIT389_007609-T1	DBVPG3775_002006-T1
GF00000242	RIT389_007048-T1	DBVPG3775_003677-T1
GF00000243	RIT389_007307-T1	DBVPG3775_003596-T1
GF00000244	RIT389_007602-T1	DBVPG3775_000649-T1
GF00000245	RIT389_011167-T1	DBVPG3775_000591-T1
GF00000246	RIT389_011021-T1	DBVPG3775_001049-T1
GF00000247	RIT389_014177-T1	DBVPG3775_000730-T1
GF00000248	RIT389_013798-T1	DBVPG3775_002410-T1
GF00000249	RIT389_002590-T1	DBVPG3775_005791-T1
GF00000250	RIT389_008423-T1	DBVPG3775_001377-T1
GF00000251	RIT389_004005-T1	DBVPG3775_004455-T1
GF00000252	RIT389_000921-T1	DBVPG3775_000818-T1
GF00000253	RIT389_008165-T1	DBVPG3775_005054-T1
GF00000254	RIT389_001160-T1	DBVPG3775_007520-T1
GF00000255	RIT389_000177-T1	DBVPG3775_002840-T1
GF00000256	RIT389_005450-T1	DBVPG3775_001296-T1
GF00000257	RIT389_012621-T1	DBVPG3775_002256-T1
GF00000258	RIT389_000342-T1	DBVPG3775_006965-T1
GF00000259	RIT389_005586-T1	DBVPG3775_006643-T1
GF00000260	RIT389_011522-T1	DBVPG3775_004409-T1
GF00000261	RIT389_000374-T1	DBVPG3775_005938-T1
GF00000262	RIT389_013369-T1	DBVPG3775_004642-T1
GF00000263	RIT389_000496-T1	DBVPG3775_000179-T1
GF00000264	RIT389_011453-T1	DBVPG3775_001529-T1
GF00000265	RIT389_009992-T1	DBVPG3775_000268-T1
GF00000266	RIT389_008604-T1	DBVPG3775_003599-T1
GF00000267	RIT389_001693-T1	DBVPG3775_003646-T1
GF00000268	RIT389_000769-T1	DBVPG3775_005645-T1
GF00000269	RIT389_007260-T1	DBVPG3775_000094-T1
GF00000270	RIT389_013221-T1	DBVPG3775_006814-T1
GF00000271	RIT389_009367-T1	DBVPG3775_005578-T1
GF00000272	RIT389_008606-T1	DBVPG3775_003601-T1
GF00000273	RIT389_003827-T1	DBVPG3775_007522-T1
GF00000274	RIT389_007061-T1	DBVPG3775_001743-T1
GF00000275	RIT389_001239-T1	DBVPG3775_002486-T1
GF00000276	RIT389_001267-T1	DBVPG3775_001813-T1
GF00000277	RIT389_010367-T1	DBVPG3775_006264-T1
GF00000278	RIT389_002472-T1	DBVPG3775_006977-T1
GF00000279	RIT389_005905-T1	DBVPG3775_004029-T1
GF00000280	RIT389_010266-T1	DBVPG3775_003466-T1
GF00000281	RIT389_011270-T1	DBVPG3775_005145-T1
GF00000282	RIT389_001460-T1	DBVPG3775_000305-T1
GF00000283	RIT389_004482-T1	DBVPG3775_005915-T1
GF00000284	RIT389_001658-T1	DBVPG3775_005832-T1
GF00000285	RIT389_004838-T1	DBVPG3775_003071-T1
GF00000286	RIT389_002918-T1	DBVPG3775_004887-T1
GF00000287	RIT389_008922-T1	DBVPG3775_006573-T1
GF00000288	RIT389_004403-T1	DBVPG3775_000953-T1
GF00000289	RIT389_008463-T1	DBVPG3775_002543-T1
GF00000290	RIT389_011324-T1	DBVPG3775_002585-T1
GF00000291	RIT389_014385-T1	DBVPG3775_001393-T1
GF00000292	RIT389_002274-T1	DBVPG3775_000249-T1
GF00000293	RIT389_005144-T1	DBVPG3775_003471-T1
GF00000294	RIT389_002290-T1	DBVPG3775_000234-T1
GF00000295	RIT389_007401-T1	DBVPG3775_003051-T1
GF00000296	RIT389_006953-T1	DBVPG3775_002530-T1
GF00000297	RIT389_003310-T1	DBVPG3775_004558-T1
GF00000298	RIT389_003219-T1	DBVPG3775_000831-T1
GF00000299	RIT389_002422-T1	DBVPG3775_006896-T1
GF00000300	RIT389_006202-T1	DBVPG3775_004462-T1
GF00000301	RIT389_011375-T1	DBVPG3775_004575-T1
GF00000302	RIT389_013616-T1	DBVPG3775_003964-T1
GF00000303	RIT389_012264-T1	DBVPG3775_001535-T1
GF00000304	RIT389_009580-T1	DBVPG3775_000508-T1
GF00000305	RIT389_002704-T1	DBVPG3775_002157-T1
GF00000306	RIT389_007236-T1	DBVPG3775_002037-T1
GF00000307	RIT389_009881-T1	DBVPG3775_005952-T1
GF00000308	RIT389_011992-T1	DBVPG3775_005310-T1
GF00000309	RIT389_007715-T1	DBVPG3775_004253-T1
GF00000310	RIT389_014604-T1	DBVPG3775_005215-T1
GF00000311	RIT389_006411-T1	DBVPG3775_001264-T1
GF00000312	RIT389_004629-T1	DBVPG3775_005323-T1
GF00000313	RIT389_003733-T1	DBVPG3775_001117-T1
GF00000314	RIT389_003881-T1	DBVPG3775_006499-T1
GF00000315	RIT389_004141-T1	DBVPG3775_000514-T1
GF00000316	RIT389_005255-T1	DBVPG3775_004741-T1
GF00000317	RIT389_004639-T1	DBVPG3775_005314-T1
GF00000318	RIT389_006912-T1	DBVPG3775_007250-T1
GF00000319	RIT389_004947-T1	DBVPG3775_000878-T1
GF00000320	RIT389_009290-T1	DBVPG3775_000624-T1
GF00000321	RIT389_004997-T1	DBVPG3775_003215-T1
GF00000322	RIT389_005068-T1	DBVPG3775_007270-T1
GF00000323	RIT389_005122-T1	DBVPG3775_005534-T1
GF00000324	RIT389_005567-T1	DBVPG3775_007517-T1
GF00000325	RIT389_012119-T1	DBVPG3775_004756-T1
GF00000326	RIT389_009557-T1	DBVPG3775_002405-T1
GF00000327	RIT389_005724-T1	DBVPG3775_002749-T1
GF00000328	RIT389_005745-T1	DBVPG3775_004813-T1
GF00000329	RIT389_012468-T1	DBVPG3775_003312-T1
GF00000330	RIT389_012495-T1	DBVPG3775_002557-T1
GF00000331	RIT389_006945-T1	DBVPG3775_002522-T1
GF00000332	RIT389_007097-T1	DBVPG3775_001059-T1
GF00000333	RIT389_011813-T1	DBVPG3775_002907-T1
GF00000334	RIT389_007887-T1	DBVPG3775_004633-T1
GF00000335	RIT389_008421-T1	DBVPG3775_001380-T1
GF00000336	RIT389_014605-T1	DBVPG3775_003236-T1
GF00000337	RIT389_011841-T1	DBVPG3775_004009-T1
GF00000338	RIT389_014792-T1	DBVPG3775_000693-T1
GF00000339	RIT389_000016-T1	DBVPG3775_007344-T1
GF00000340	RIT389_000021-T1	DBVPG3775_003156-T1
GF00000341	RIT389_000024-T1	DBVPG3775_005633-T1
GF00000342	RIT389_000034-T1	DBVPG3775_005626-T1
GF00000343	RIT389_000040-T1	DBVPG3775_005621-T1
GF00000344	RIT389_013120-T1	DBVPG3775_005969-T1
GF00000345	RIT389_001510-T1	DBVPG3775_003783-T1
GF00000346	RIT389_000075-T1	DBVPG3775_003782-T1
GF00000347	RIT389_012864-T1	DBVPG3775_006147-T1
GF00000348	RIT389_009083-T1	DBVPG3775_006972-T1
GF00000349	RIT389_001482-T1	DBVPG3775_003755-T1
GF00000350	RIT389_008162-T1	DBVPG3775_005051-T1
GF00000351	RIT389_004969-T1	DBVPG3775_007375-T1
GF00000352	RIT389_006916-T1	DBVPG3775_007247-T1
GF00000353	RIT389_014074-T1	DBVPG3775_007093-T1
GF00000354	RIT389_006540-T1	DBVPG3775_002156-T1
GF00000355	RIT389_000160-T1	DBVPG3775_002822-T1
GF00000356	RIT389_008611-T1	DBVPG3775_002484-T1
GF00000357	RIT389_012714-T1	DBVPG3775_001903-T1
GF00000358	RIT389_005449-T1	DBVPG3775_001297-T1
GF00000359	RIT389_012162-T1	DBVPG3775_000120-T1
GF00000360	RIT389_006655-T1	DBVPG3775_000451-T1
GF00000361	RIT389_004091-T1	DBVPG3775_005856-T1
GF00000362	RIT389_000294-T1	DBVPG3775_002266-T1
GF00000363	RIT389_012800-T1	DBVPG3775_004931-T1
GF00000364	RIT389_007567-T1	DBVPG3775_002281-T1
GF00000365	RIT389_000324-T1	DBVPG3775_006947-T1
GF00000366	RIT389_005088-T1	DBVPG3775_002621-T1
GF00000367	RIT389_005580-T1	DBVPG3775_006652-T1
GF00000368	RIT389_000369-T1	DBVPG3775_006421-T1
GF00000369	RIT389_000436-T1	DBVPG3775_004122-T1
GF00000370	RIT389_000379-T1	DBVPG3775_004142-T1
GF00000371	RIT389_006090-T1	DBVPG3775_001806-T1
GF00000372	RIT389_007413-T1	DBVPG3775_002667-T1
GF00000373	RIT389_005584-T1	DBVPG3775_003267-T1
GF00000374	RIT389_000404-T1	DBVPG3775_004116-T1
GF00000375	RIT389_000450-T1	DBVPG3775_007056-T1
GF00000376	RIT389_009485-T1	DBVPG3775_002694-T1
GF00000377	RIT389_001995-T1	DBVPG3775_007079-T1
GF00000378	RIT389_004667-T1	DBVPG3775_000395-T1
GF00000379	RIT389_005125-T1	DBVPG3775_005531-T1
GF00000380	RIT389_001420-T1	DBVPG3775_000346-T1
GF00000381	RIT389_005018-T1	DBVPG3775_000208-T1
GF00000382	RIT389_010669-T1	DBVPG3775_006809-T1
GF00000383	RIT389_007455-T1	DBVPG3775_007189-T1
GF00000384	RIT389_008964-T1	DBVPG3775_001623-T1
GF00000385	RIT389_004809-T1	DBVPG3775_006924-T1
GF00000386	RIT389_000584-T1	DBVPG3775_001602-T1
GF00000387	RIT389_007708-T1	DBVPG3775_005869-T1
GF00000388	RIT389_011358-T1	DBVPG3775_003396-T1
GF00000389	RIT389_000636-T1	DBVPG3775_005533-T1
GF00000390	RIT389_001628-T1	DBVPG3775_001414-T1
GF00000391	RIT389_011580-T1	DBVPG3775_006277-T1
GF00000392	RIT389_000724-T1	DBVPG3775_001972-T1
GF00000393	RIT389_001682-T1	DBVPG3775_002111-T1
GF00000394	RIT389_006787-T1	DBVPG3775_002196-T1
GF00000395	RIT389_006635-T1	DBVPG3775_001949-T1
GF00000396	RIT389_001046-T1	DBVPG3775_005702-T1
GF00000397	RIT389_002257-T1	DBVPG3775_005638-T1
GF00000398	RIT389_014249-T1	DBVPG3775_004702-T1
GF00000399	RIT389_000830-T1	DBVPG3775_006252-T1
GF00000400	RIT389_000843-T1	DBVPG3775_006786-T1
GF00000401	RIT389_000866-T1	DBVPG3775_006810-T1
GF00000402	RIT389_007010-T1	DBVPG3775_006812-T1
GF00000403	RIT389_003520-T1	DBVPG3775_000790-T1
GF00000404	RIT389_003240-T1	DBVPG3775_000811-T1
GF00000405	RIT389_011096-T1	DBVPG3775_005491-T1
GF00000406	RIT389_002471-T1	DBVPG3775_006976-T1
GF00000407	RIT389_006078-T1	DBVPG3775_006362-T1
GF00000408	RIT389_013565-T1	DBVPG3775_005945-T1
GF00000409	RIT389_012843-T1	DBVPG3775_000543-T1
GF00000410	RIT389_000991-T1	DBVPG3775_006741-T1
GF00000411	RIT389_000994-T1	DBVPG3775_006738-T1
GF00000412	RIT389_006434-T1	DBVPG3775_006737-T1
GF00000413	RIT389_001029-T1	DBVPG3775_005721-T1
GF00000414	RIT389_011064-T1	DBVPG3775_005703-T1
GF00000415	RIT389_007859-T1	DBVPG3775_006009-T1
GF00000416	RIT389_012668-T1	DBVPG3775_004019-T1
GF00000417	RIT389_004092-T1	DBVPG3775_005855-T1
GF00000418	RIT389_001084-T1	DBVPG3775_006371-T1
GF00000419	RIT389_002999-T1	DBVPG3775_006397-T1
GF00000420	RIT389_001113-T1	DBVPG3775_006399-T1
GF00000421	RIT389_011688-T1	DBVPG3775_007398-T1
GF00000422	RIT389_014239-T1	DBVPG3775_006073-T1
GF00000423	RIT389_001123-T1	DBVPG3775_001454-T1
GF00000424	RIT389_007874-T1	DBVPG3775_004646-T1
GF00000425	RIT389_014765-T1	DBVPG3775_005668-T1
GF00000426	RIT389_001201-T1	DBVPG3775_006459-T1
GF00000427	RIT389_001207-T1	DBVPG3775_005556-T1
GF00000428	RIT389_008561-T1	DBVPG3775_002504-T1
GF00000429	RIT389_012846-T1	DBVPG3775_000546-T1
GF00000430	RIT389_012971-T1	DBVPG3775_004449-T1
GF00000431	RIT389_009916-T1	DBVPG3775_007359-T1
GF00000432	RIT389_001273-T1	DBVPG3775_001818-T1
GF00000433	RIT389_001283-T1	DBVPG3775_001828-T1
GF00000434	RIT389_001285-T1	DBVPG3775_001830-T1
GF00000435	RIT389_014441-T1	DBVPG3775_004829-T1
GF00000436	RIT389_011401-T1	DBVPG3775_005122-T1
GF00000437	RIT389_001391-T1	DBVPG3775_005129-T1
GF00000438	RIT389_003326-T1	DBVPG3775_003902-T1
GF00000439	RIT389_011866-T1	DBVPG3775_000347-T1
GF00000440	RIT389_001421-T1	DBVPG3775_000345-T1
GF00000441	RIT389_001448-T1	DBVPG3775_001936-T1
GF00000442	RIT389_012094-T1	DBVPG3775_001376-T1
GF00000443	RIT389_001552-T1	DBVPG3775_001045-T1
GF00000444	RIT389_001557-T1	DBVPG3775_005932-T1
GF00000445	RIT389_004493-T1	DBVPG3775_005924-T1
GF00000446	RIT389_001597-T1	DBVPG3775_001447-T1
GF00000447	RIT389_010386-T1	DBVPG3775_007433-T1
