	Rhodotorula_mucilaginosa_TFCN_17-0-2E334-4.cds.fa
GF00000011	TFCN1702E3344_009666-T1, TFCN1702E3344_004348-T1, TFCN1702E3344_002814-T1, TFCN1702E3344_013527-T1, TFCN1702E3344_011803-T1, TFCN1702E3344_008211-T1, TFCN1702E3344_005412-T1, TFCN1702E3344_002991-T1, TFCN1702E3344_005468-T1, TFCN1702E3344_011842-T1, TFCN1702E3344_014508-T1, TFCN1702E3344_005735-T1, TFCN1702E3344_001774-T1, TFCN1702E3344_013122-T1, TFCN1702E3344_004594-T1, TFCN1702E3344_012993-T1
GF00000012	TFCN1702E3344_003814-T1, TFCN1702E3344_008826-T1, TFCN1702E3344_004547-T1, TFCN1702E3344_003285-T1, TFCN1702E3344_004661-T1, TFCN1702E3344_009166-T1, TFCN1702E3344_011259-T1, TFCN1702E3344_004848-T1, TFCN1702E3344_007508-T1, TFCN1702E3344_002216-T1, TFCN1702E3344_007346-T1, TFCN1702E3344_005823-T1, TFCN1702E3344_008362-T1, TFCN1702E3344_014503-T1, TFCN1702E3344_004992-T1
GF00000013	TFCN1702E3344_012335-T1, TFCN1702E3344_007842-T1, TFCN1702E3344_014130-T1, TFCN1702E3344_007059-T1, TFCN1702E3344_004712-T1, TFCN1702E3344_006295-T1, TFCN1702E3344_012333-T1, TFCN1702E3344_007843-T1, TFCN1702E3344_003798-T1, TFCN1702E3344_003797-T1, TFCN1702E3344_011464-T1, TFCN1702E3344_006026-T1, TFCN1702E3344_012334-T1, TFCN1702E3344_010199-T1, TFCN1702E3344_010533-T1
GF00000014	TFCN1702E3344_005621-T1, TFCN1702E3344_009958-T1, TFCN1702E3344_001858-T1, TFCN1702E3344_006539-T1, TFCN1702E3344_002921-T1, TFCN1702E3344_014346-T1, TFCN1702E3344_011561-T1, TFCN1702E3344_005379-T1, TFCN1702E3344_006588-T1, TFCN1702E3344_006413-T1, TFCN1702E3344_000783-T1, TFCN1702E3344_006589-T1, TFCN1702E3344_000782-T1, TFCN1702E3344_001859-T1, TFCN1702E3344_006587-T1
GF00000015	TFCN1702E3344_009304-T1, TFCN1702E3344_000749-T1, TFCN1702E3344_010864-T1, TFCN1702E3344_014050-T1, TFCN1702E3344_000217-T1, TFCN1702E3344_007762-T1, TFCN1702E3344_014311-T1, TFCN1702E3344_013537-T1, TFCN1702E3344_008960-T1, TFCN1702E3344_008242-T1, TFCN1702E3344_010777-T1, TFCN1702E3344_012575-T1, TFCN1702E3344_010013-T1, TFCN1702E3344_010012-T1
GF00000016	TFCN1702E3344_002557-T1, TFCN1702E3344_009860-T1, TFCN1702E3344_002609-T1, TFCN1702E3344_010316-T1, TFCN1702E3344_012827-T1, TFCN1702E3344_006996-T1, TFCN1702E3344_011247-T1, TFCN1702E3344_007378-T1, TFCN1702E3344_012962-T1, TFCN1702E3344_012826-T1, TFCN1702E3344_012748-T1, TFCN1702E3344_011573-T1, TFCN1702E3344_008609-T1, TFCN1702E3344_008608-T1
GF00000017	TFCN1702E3344_008805-T1, TFCN1702E3344_004525-T1, TFCN1702E3344_000057-T1, TFCN1702E3344_000361-T1, TFCN1702E3344_010226-T1, TFCN1702E3344_008452-T1, TFCN1702E3344_000801-T1, TFCN1702E3344_012443-T1, TFCN1702E3344_014072-T1, TFCN1702E3344_013618-T1, TFCN1702E3344_000058-T1, TFCN1702E3344_004524-T1, TFCN1702E3344_012442-T1
GF00000018	TFCN1702E3344_012967-T1, TFCN1702E3344_002603-T1, TFCN1702E3344_006603-T1, TFCN1702E3344_009945-T1, TFCN1702E3344_008434-T1, TFCN1702E3344_008623-T1, TFCN1702E3344_009554-T1, TFCN1702E3344_003176-T1, TFCN1702E3344_002940-T1, TFCN1702E3344_005361-T1, TFCN1702E3344_002622-T1, TFCN1702E3344_011165-T1, TFCN1702E3344_013695-T1
GF00000019	TFCN1702E3344_012210-T1, TFCN1702E3344_012176-T1, TFCN1702E3344_006838-T1, TFCN1702E3344_001684-T1, TFCN1702E3344_000904-T1, TFCN1702E3344_001679-T1, TFCN1702E3344_007730-T1, TFCN1702E3344_013188-T1, TFCN1702E3344_012540-T1, TFCN1702E3344_000899-T1, TFCN1702E3344_013573-T1, TFCN1702E3344_004078-T1, TFCN1702E3344_007731-T1
GF00000020	TFCN1702E3344_007844-T1, TFCN1702E3344_012332-T1, TFCN1702E3344_001809-T1, TFCN1702E3344_005528-T1, TFCN1702E3344_003055-T1, TFCN1702E3344_005106-T1, TFCN1702E3344_004089-T1, TFCN1702E3344_009224-T1, TFCN1702E3344_001353-T1, TFCN1702E3344_002163-T1, TFCN1702E3344_003888-T1, TFCN1702E3344_010131-T1
GF00000021	TFCN1702E3344_013123-T1, TFCN1702E3344_001807-T1, TFCN1702E3344_005526-T1, TFCN1702E3344_001773-T1, TFCN1702E3344_001772-T1, TFCN1702E3344_013124-T1, TFCN1702E3344_014218-T1, TFCN1702E3344_010101-T1, TFCN1702E3344_012691-T1, TFCN1702E3344_001806-T1, TFCN1702E3344_008116-T1, TFCN1702E3344_005525-T1
GF00000022	TFCN1702E3344_000716-T1, TFCN1702E3344_014558-T1, TFCN1702E3344_005989-T1, TFCN1702E3344_007630-T1, TFCN1702E3344_007631-T1, TFCN1702E3344_007632-T1, TFCN1702E3344_011506-T1, TFCN1702E3344_007140-T1, TFCN1702E3344_007204-T1, TFCN1702E3344_010610-T1, TFCN1702E3344_011507-T1, TFCN1702E3344_011508-T1
GF00000023	TFCN1702E3344_004071-T1, TFCN1702E3344_008583-T1, TFCN1702E3344_003156-T1, TFCN1702E3344_009533-T1, TFCN1702E3344_003722-T1, TFCN1702E3344_008515-T1, TFCN1702E3344_001764-T1, TFCN1702E3344_009534-T1, TFCN1702E3344_003157-T1, TFCN1702E3344_013129-T1, TFCN1702E3344_001766-T1, TFCN1702E3344_013131-T1
GF00000024	TFCN1702E3344_009185-T1, TFCN1702E3344_002235-T1, TFCN1702E3344_008345-T1, TFCN1702E3344_001070-T1, TFCN1702E3344_001985-T1, TFCN1702E3344_009134-T1, TFCN1702E3344_001572-T1, TFCN1702E3344_012144-T1, TFCN1702E3344_006905-T1, TFCN1702E3344_000536-T1, TFCN1702E3344_012050-T1, TFCN1702E3344_004129-T1
GF00000025	TFCN1702E3344_001396-T1, TFCN1702E3344_012374-T1, TFCN1702E3344_006865-T1, TFCN1702E3344_010577-T1, TFCN1702E3344_003662-T1, TFCN1702E3344_013296-T1, TFCN1702E3344_001428-T1, TFCN1702E3344_005640-T1, TFCN1702E3344_005789-T1, TFCN1702E3344_003116-T1, TFCN1702E3344_014002-T1, TFCN1702E3344_000769-T1
GF00000026	TFCN1702E3344_003409-T1, TFCN1702E3344_004303-T1, TFCN1702E3344_003494-T1, TFCN1702E3344_012246-T1, TFCN1702E3344_012935-T1, TFCN1702E3344_014727-T1, TFCN1702E3344_009969-T1, TFCN1702E3344_011229-T1, TFCN1702E3344_014586-T1, TFCN1702E3344_014583-T1, TFCN1702E3344_009027-T1, TFCN1702E3344_014730-T1
GF00000027	TFCN1702E3344_012916-T1, TFCN1702E3344_013754-T1, TFCN1702E3344_008167-T1, TFCN1702E3344_003902-T1, TFCN1702E3344_010112-T1, TFCN1702E3344_010353-T1, TFCN1702E3344_011280-T1, TFCN1702E3344_003964-T1, TFCN1702E3344_001532-T1, TFCN1702E3344_010552-T1, TFCN1702E3344_001454-T1
GF00000028	TFCN1702E3344_008977-T1, TFCN1702E3344_002470-T1, TFCN1702E3344_007465-T1, TFCN1702E3344_014224-T1, TFCN1702E3344_001781-T1, TFCN1702E3344_003939-T1, TFCN1702E3344_001557-T1, TFCN1702E3344_009754-T1, TFCN1702E3344_000207-T1, TFCN1702E3344_007753-T1, TFCN1702E3344_008186-T1
GF00000029	TFCN1702E3344_011628-T1, TFCN1702E3344_014617-T1, TFCN1702E3344_012994-T1, TFCN1702E3344_004593-T1, TFCN1702E3344_012268-T1, TFCN1702E3344_013784-T1, TFCN1702E3344_013503-T1, TFCN1702E3344_012266-T1, TFCN1702E3344_006818-T1, TFCN1702E3344_006819-T1, TFCN1702E3344_012267-T1
GF00000030	TFCN1702E3344_005676-T1, TFCN1702E3344_005127-T1, TFCN1702E3344_005661-T1, TFCN1702E3344_005659-T1, TFCN1702E3344_005660-T1, TFCN1702E3344_005675-T1, TFCN1702E3344_005128-T1, TFCN1702E3344_011836-T1, TFCN1702E3344_011838-T1, TFCN1702E3344_005674-T1, TFCN1702E3344_011837-T1
GF00000031	TFCN1702E3344_010739-T1, TFCN1702E3344_007689-T1, TFCN1702E3344_011555-T1, TFCN1702E3344_011557-T1, TFCN1702E3344_007958-T1, TFCN1702E3344_011554-T1, TFCN1702E3344_011556-T1, TFCN1702E3344_009810-T1, TFCN1702E3344_014549-T1, TFCN1702E3344_009812-T1
GF00000032	TFCN1702E3344_000705-T1, TFCN1702E3344_012579-T1, TFCN1702E3344_002367-T1, TFCN1702E3344_013386-T1, TFCN1702E3344_007277-T1, TFCN1702E3344_007275-T1, TFCN1702E3344_007276-T1, TFCN1702E3344_013388-T1, TFCN1702E3344_013285-T1, TFCN1702E3344_013387-T1
GF00000033	TFCN1702E3344_007482-T1, TFCN1702E3344_009769-T1, TFCN1702E3344_003007-T1, TFCN1702E3344_006350-T1, TFCN1702E3344_004322-T1, TFCN1702E3344_005428-T1, TFCN1702E3344_010160-T1, TFCN1702E3344_005021-T1, TFCN1702E3344_010412-T1, TFCN1702E3344_005745-T1
GF00000034	TFCN1702E3344_012778-T1, TFCN1702E3344_001068-T1, TFCN1702E3344_005476-T1, TFCN1702E3344_011845-T1, TFCN1702E3344_014519-T1, TFCN1702E3344_011844-T1, TFCN1702E3344_012779-T1, TFCN1702E3344_012780-T1, TFCN1702E3344_001982-T1, TFCN1702E3344_001983-T1
GF00000035	TFCN1702E3344_007973-T1, TFCN1702E3344_010324-T1, TFCN1702E3344_004044-T1, TFCN1702E3344_012035-T1, TFCN1702E3344_004045-T1, TFCN1702E3344_000549-T1, TFCN1702E3344_010325-T1, TFCN1702E3344_007972-T1, TFCN1702E3344_013582-T1, TFCN1702E3344_013581-T1
GF00000036	TFCN1702E3344_002803-T1, TFCN1702E3344_012319-T1, TFCN1702E3344_007711-T1, TFCN1702E3344_005560-T1, TFCN1702E3344_010765-T1, TFCN1702E3344_006887-T1, TFCN1702E3344_007856-T1, TFCN1702E3344_014693-T1, TFCN1702E3344_013020-T1, TFCN1702E3344_007855-T1
GF00000037	TFCN1702E3344_008829-T1, TFCN1702E3344_004550-T1, TFCN1702E3344_012617-T1, TFCN1702E3344_005489-T1, TFCN1702E3344_010166-T1, TFCN1702E3344_005015-T1, TFCN1702E3344_002902-T1, TFCN1702E3344_011083-T1, TFCN1702E3344_001746-T1, TFCN1702E3344_001267-T1
GF00000038	TFCN1702E3344_007966-T1, TFCN1702E3344_007682-T1, TFCN1702E3344_014380-T1, TFCN1702E3344_006307-T1, TFCN1702E3344_010230-T1, TFCN1702E3344_008456-T1, TFCN1702E3344_007613-T1, TFCN1702E3344_014382-T1, TFCN1702E3344_006335-T1, TFCN1702E3344_008458-T1
GF00000039	TFCN1702E3344_009412-T1, TFCN1702E3344_013643-T1, TFCN1702E3344_010553-T1, TFCN1702E3344_001453-T1, TFCN1702E3344_006334-T1, TFCN1702E3344_014381-T1, TFCN1702E3344_007360-T1, TFCN1702E3344_009632-T1, TFCN1702E3344_012024-T1
GF00000040	TFCN1702E3344_001245-T1, TFCN1702E3344_001726-T1, TFCN1702E3344_007760-T1, TFCN1702E3344_007159-T1, TFCN1702E3344_005968-T1, TFCN1702E3344_000214-T1, TFCN1702E3344_008354-T1, TFCN1702E3344_000215-T1, TFCN1702E3344_005967-T1
GF00000041	TFCN1702E3344_001060-T1, TFCN1702E3344_011037-T1, TFCN1702E3344_007306-T1, TFCN1702E3344_001975-T1, TFCN1702E3344_006163-T1, TFCN1702E3344_010857-T1, TFCN1702E3344_007971-T1, TFCN1702E3344_007677-T1, TFCN1702E3344_007974-T1
GF00000042	TFCN1702E3344_009796-T1, TFCN1702E3344_009334-T1, TFCN1702E3344_009343-T1, TFCN1702E3344_009342-T1, TFCN1702E3344_009348-T1, TFCN1702E3344_009795-T1, TFCN1702E3344_013052-T1, TFCN1702E3344_013053-T1, TFCN1702E3344_009792-T1
GF00000043	TFCN1702E3344_000606-T1, TFCN1702E3344_008672-T1, TFCN1702E3344_004630-T1, TFCN1702E3344_003318-T1, TFCN1702E3344_010729-T1, TFCN1702E3344_002044-T1, TFCN1702E3344_001823-T1, TFCN1702E3344_005134-T1, TFCN1702E3344_005654-T1
GF00000044	TFCN1702E3344_005951-T1, TFCN1702E3344_000644-T1, TFCN1702E3344_012002-T1, TFCN1702E3344_002258-T1, TFCN1702E3344_004940-T1, TFCN1702E3344_001075-T1, TFCN1702E3344_001989-T1, TFCN1702E3344_005605-T1, TFCN1702E3344_004941-T1
GF00000045	TFCN1702E3344_004028-T1, TFCN1702E3344_001469-T1, TFCN1702E3344_001436-T1, TFCN1702E3344_001437-T1, TFCN1702E3344_010570-T1, TFCN1702E3344_010568-T1, TFCN1702E3344_010569-T1, TFCN1702E3344_004029-T1, TFCN1702E3344_001468-T1
GF00000046	TFCN1702E3344_013176-T1, TFCN1702E3344_013175-T1, TFCN1702E3344_009676-T1, TFCN1702E3344_009687-T1, TFCN1702E3344_009677-T1, TFCN1702E3344_009686-T1, TFCN1702E3344_013589-T1, TFCN1702E3344_013515-T1, TFCN1702E3344_008270-T1
GF00000047	TFCN1702E3344_009799-T1, TFCN1702E3344_009338-T1, TFCN1702E3344_007955-T1, TFCN1702E3344_007952-T1, TFCN1702E3344_013057-T1, TFCN1702E3344_007953-T1, TFCN1702E3344_007954-T1, TFCN1702E3344_014248-T1
GF00000048	TFCN1702E3344_014282-T1, TFCN1702E3344_013028-T1, TFCN1702E3344_012903-T1, TFCN1702E3344_000201-T1, TFCN1702E3344_006568-T1, TFCN1702E3344_010422-T1, TFCN1702E3344_005755-T1, TFCN1702E3344_014281-T1
GF00000049	TFCN1702E3344_013112-T1, TFCN1702E3344_000569-T1, TFCN1702E3344_014230-T1, TFCN1702E3344_007782-T1, TFCN1702E3344_006782-T1, TFCN1702E3344_006450-T1, TFCN1702E3344_004188-T1, TFCN1702E3344_009508-T1
GF00000050	TFCN1702E3344_005504-T1, TFCN1702E3344_012601-T1, TFCN1702E3344_005857-T1, TFCN1702E3344_012839-T1, TFCN1702E3344_012837-T1, TFCN1702E3344_005859-T1, TFCN1702E3344_005858-T1, TFCN1702E3344_012838-T1
GF00000051	TFCN1702E3344_003611-T1, TFCN1702E3344_012643-T1, TFCN1702E3344_012641-T1, TFCN1702E3344_003609-T1, TFCN1702E3344_007261-T1, TFCN1702E3344_003254-T1, TFCN1702E3344_008092-T1, TFCN1702E3344_003599-T1
GF00000052	TFCN1702E3344_009174-T1, TFCN1702E3344_011256-T1, TFCN1702E3344_008786-T1, TFCN1702E3344_000658-T1, TFCN1702E3344_014555-T1, TFCN1702E3344_014593-T1, TFCN1702E3344_014557-T1, TFCN1702E3344_009169-T1
GF00000053	TFCN1702E3344_007989-T1, TFCN1702E3344_007661-T1, TFCN1702E3344_008234-T1, TFCN1702E3344_013599-T1, TFCN1702E3344_010984-T1, TFCN1702E3344_011397-T1, TFCN1702E3344_002443-T1, TFCN1702E3344_014735-T1
GF00000054	TFCN1702E3344_002997-T1, TFCN1702E3344_005418-T1, TFCN1702E3344_003272-T1, TFCN1702E3344_004676-T1, TFCN1702E3344_010961-T1, TFCN1702E3344_010051-T1, TFCN1702E3344_003570-T1, TFCN1702E3344_008065-T1
GF00000055	TFCN1702E3344_009780-T1, TFCN1702E3344_009779-T1, TFCN1702E3344_007427-T1, TFCN1702E3344_009781-T1, TFCN1702E3344_007432-T1, TFCN1702E3344_007428-T1, TFCN1702E3344_007431-T1, TFCN1702E3344_007429-T1
GF00000056	TFCN1702E3344_001589-T1, TFCN1702E3344_009118-T1, TFCN1702E3344_009126-T1, TFCN1702E3344_007718-T1, TFCN1702E3344_005567-T1, TFCN1702E3344_001581-T1, TFCN1702E3344_009119-T1, TFCN1702E3344_001582-T1
GF00000057	TFCN1702E3344_013892-T1, TFCN1702E3344_012624-T1, TFCN1702E3344_009061-T1, TFCN1702E3344_003862-T1, TFCN1702E3344_013347-T1, TFCN1702E3344_000880-T1, TFCN1702E3344_001182-T1, TFCN1702E3344_010623-T1
GF00000058	TFCN1702E3344_004620-T1, TFCN1702E3344_003329-T1, TFCN1702E3344_008732-T1, TFCN1702E3344_004695-T1, TFCN1702E3344_000006-T1, TFCN1702E3344_000421-T1, TFCN1702E3344_009920-T1, TFCN1702E3344_000521-T1
GF00000059	TFCN1702E3344_001476-T1, TFCN1702E3344_004021-T1, TFCN1702E3344_009335-T1, TFCN1702E3344_013054-T1, TFCN1702E3344_003514-T1, TFCN1702E3344_003427-T1, TFCN1702E3344_012274-T1, TFCN1702E3344_006214-T1
GF00000060	TFCN1702E3344_004066-T1, TFCN1702E3344_011601-T1, TFCN1702E3344_008574-T1, TFCN1702E3344_008575-T1, TFCN1702E3344_011600-T1, TFCN1702E3344_008587-T1, TFCN1702E3344_004067-T1, TFCN1702E3344_008588-T1
GF00000061	TFCN1702E3344_007555-T1, TFCN1702E3344_011650-T1, TFCN1702E3344_012228-T1, TFCN1702E3344_014120-T1, TFCN1702E3344_004960-T1, TFCN1702E3344_004426-T1, TFCN1702E3344_011649-T1
GF00000062	TFCN1702E3344_000191-T1, TFCN1702E3344_012892-T1, TFCN1702E3344_000190-T1, TFCN1702E3344_012891-T1, TFCN1702E3344_000168-T1, TFCN1702E3344_000245-T1, TFCN1702E3344_000244-T1
GF00000063	TFCN1702E3344_005484-T1, TFCN1702E3344_011861-T1, TFCN1702E3344_012834-T1, TFCN1702E3344_014676-T1, TFCN1702E3344_005862-T1, TFCN1702E3344_014703-T1, TFCN1702E3344_012622-T1
GF00000064	TFCN1702E3344_004500-T1, TFCN1702E3344_005928-T1, TFCN1702E3344_005927-T1, TFCN1702E3344_004498-T1, TFCN1702E3344_005926-T1, TFCN1702E3344_005925-T1, TFCN1702E3344_004499-T1
GF00000065	TFCN1702E3344_011055-T1, TFCN1702E3344_012887-T1, TFCN1702E3344_010091-T1, TFCN1702E3344_012886-T1, TFCN1702E3344_010090-T1, TFCN1702E3344_009588-T1, TFCN1702E3344_009589-T1
GF00000066	TFCN1702E3344_004279-T1, TFCN1702E3344_006676-T1, TFCN1702E3344_010573-T1, TFCN1702E3344_006677-T1, TFCN1702E3344_004280-T1, TFCN1702E3344_001432-T1, TFCN1702E3344_001433-T1
GF00000067	TFCN1702E3344_005670-T1, TFCN1702E3344_000774-T1, TFCN1702E3344_005634-T1, TFCN1702E3344_005635-T1, TFCN1702E3344_002351-T1, TFCN1702E3344_000775-T1, TFCN1702E3344_014068-T1
GF00000068	TFCN1702E3344_013168-T1, TFCN1702E3344_013594-T1, TFCN1702E3344_013167-T1, TFCN1702E3344_006009-T1, TFCN1702E3344_007115-T1, TFCN1702E3344_007116-T1, TFCN1702E3344_013593-T1
GF00000069	TFCN1702E3344_010907-T1, TFCN1702E3344_009387-T1, TFCN1702E3344_012853-T1, TFCN1702E3344_012716-T1, TFCN1702E3344_006102-T1, TFCN1702E3344_006101-T1, TFCN1702E3344_014601-T1
GF00000070	TFCN1702E3344_010466-T1, TFCN1702E3344_013650-T1, TFCN1702E3344_013267-T1, TFCN1702E3344_013266-T1, TFCN1702E3344_009407-T1, TFCN1702E3344_013649-T1, TFCN1702E3344_013648-T1
GF00000071	TFCN1702E3344_004958-T1, TFCN1702E3344_004428-T1, TFCN1702E3344_004493-T1, TFCN1702E3344_008004-T1, TFCN1702E3344_008314-T1, TFCN1702E3344_005920-T1, TFCN1702E3344_012183-T1
GF00000072	TFCN1702E3344_001914-T1, TFCN1702E3344_001908-T1, TFCN1702E3344_001887-T1, TFCN1702E3344_001896-T1, TFCN1702E3344_006567-T1, TFCN1702E3344_012509-T1, TFCN1702E3344_001895-T1
