	Rhodotorula_mucilaginosa_TFCN_22C-4.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000182	TFCN22C4_005430-T1	DBVPG3775_004097-T1
GF00000183	TFCN22C4_003081-T1	DBVPG3775_000439-T1
GF00000184	TFCN22C4_005507-T1	DBVPG3775_006357-T1
GF00000185	TFCN22C4_003407-T1	DBVPG3775_002180-T1
GF00000186	TFCN22C4_004703-T1	DBVPG3775_001834-T1
GF00000187	TFCN22C4_008026-T1	DBVPG3775_002706-T1
GF00000188	TFCN22C4_008865-T1	DBVPG3775_001667-T1
GF00000189	TFCN22C4_008863-T1	DBVPG3775_001670-T1
GF00000190	TFCN22C4_005464-T1	DBVPG3775_004335-T1
GF00000191	TFCN22C4_009542-T1	DBVPG3775_001902-T1
GF00000192	TFCN22C4_005855-T1	DBVPG3775_004721-T1
GF00000193	TFCN22C4_009176-T1	DBVPG3775_002858-T1
GF00000194	TFCN22C4_000006-T1	DBVPG3775_001961-T1
GF00000195	TFCN22C4_012979-T1	DBVPG3775_001743-T1
GF00000196	TFCN22C4_000232-T1	DBVPG3775_001452-T1
GF00000197	TFCN22C4_006622-T1	DBVPG3775_003677-T1
GF00000198	TFCN22C4_011529-T1	DBVPG3775_003302-T1
GF00000199	TFCN22C4_006907-T1	DBVPG3775_000814-T1
GF00000200	TFCN22C4_004453-T1	DBVPG3775_005109-T1
GF00000201	TFCN22C4_000859-T1	DBVPG3775_004230-T1
GF00000202	TFCN22C4_010739-T1	DBVPG3775_007442-T1
GF00000203	TFCN22C4_000970-T1	DBVPG3775_004118-T1
GF00000204	TFCN22C4_007569-T1	DBVPG3775_007063-T1
GF00000205	TFCN22C4_001238-T1	DBVPG3775_001256-T1
GF00000206	TFCN22C4_001246-T1	DBVPG3775_001266-T1
GF00000207	TFCN22C4_013119-T1	DBVPG3775_001832-T1
GF00000208	TFCN22C4_007948-T1	DBVPG3775_005742-T1
GF00000209	TFCN22C4_001711-T1	DBVPG3775_005645-T1
GF00000210	TFCN22C4_005105-T1	DBVPG3775_001049-T1
GF00000211	TFCN22C4_011950-T1	DBVPG3775_004253-T1
GF00000212	TFCN22C4_012604-T1	DBVPG3775_007454-T1
GF00000213	TFCN22C4_002608-T1	DBVPG3775_006573-T1
GF00000214	TFCN22C4_002756-T1	DBVPG3775_002024-T1
GF00000215	TFCN22C4_008751-T1	DBVPG3775_000591-T1
GF00000216	TFCN22C4_012652-T1	DBVPG3775_003306-T1
GF00000217	TFCN22C4_003478-T1	DBVPG3775_002256-T1
GF00000218	TFCN22C4_009940-T1	DBVPG3775_002291-T1
GF00000219	TFCN22C4_010075-T1	DBVPG3775_003422-T1
GF00000220	TFCN22C4_009320-T1	DBVPG3775_006248-T1
GF00000221	TFCN22C4_011060-T1	DBVPG3775_002596-T1
GF00000222	TFCN22C4_006143-T1	DBVPG3775_004544-T1
GF00000223	TFCN22C4_008378-T1	DBVPG3775_006611-T1
GF00000224	TFCN22C4_008289-T1	DBVPG3775_004735-T1
GF00000225	TFCN22C4_010695-T1	DBVPG3775_000695-T1
GF00000226	TFCN22C4_006837-T1	DBVPG3775_003215-T1
GF00000227	TFCN22C4_010997-T1	DBVPG3775_006859-T1
GF00000228	TFCN22C4_009194-T1	DBVPG3775_002840-T1
GF00000229	TFCN22C4_008809-T1	DBVPG3775_000649-T1
GF00000230	TFCN22C4_009153-T1	DBVPG3775_002745-T1
GF00000231	TFCN22C4_009879-T1	DBVPG3775_003607-T1
GF00000232	TFCN22C4_012935-T1	DBVPG3775_000730-T1
GF00000233	TFCN22C4_012858-T1	DBVPG3775_007561-T1
GF00000234	TFCN22C4_001734-T1	DBVPG3775_007270-T1
GF00000235	TFCN22C4_007902-T1	DBVPG3775_005791-T1
GF00000236	TFCN22C4_003417-T1	DBVPG3775_002196-T1
GF00000237	TFCN22C4_003655-T1	DBVPG3775_001377-T1
GF00000238	TFCN22C4_000082-T1	DBVPG3775_005578-T1
GF00000239	TFCN22C4_006154-T1	DBVPG3775_004533-T1
GF00000240	TFCN22C4_003236-T1	DBVPG3775_006913-T1
GF00000241	TFCN22C4_006044-T1	DBVPG3775_000475-T1
GF00000242	TFCN22C4_012610-T1	DBVPG3775_001535-T1
GF00000243	TFCN22C4_000365-T1	DBVPG3775_001020-T1
GF00000244	TFCN22C4_002334-T1	DBVPG3775_007395-T1
GF00000245	TFCN22C4_004488-T1	DBVPG3775_005145-T1
GF00000246	TFCN22C4_000701-T1	DBVPG3775_000263-T1
GF00000247	TFCN22C4_003522-T1	DBVPG3775_002301-T1
GF00000248	TFCN22C4_000791-T1	DBVPG3775_003080-T1
GF00000249	TFCN22C4_013145-T1	DBVPG3775_002543-T1
GF00000250	TFCN22C4_010887-T1	DBVPG3775_002585-T1
GF00000251	TFCN22C4_011209-T1	DBVPG3775_005915-T1
GF00000252	TFCN22C4_011180-T1	DBVPG3775_005945-T1
GF00000253	TFCN22C4_005326-T1	DBVPG3775_001117-T1
GF00000254	TFCN22C4_002138-T1	DBVPG3775_002522-T1
GF00000255	TFCN22C4_008132-T1	DBVPG3775_005857-T1
GF00000256	TFCN22C4_012190-T1	DBVPG3775_000546-T1
GF00000257	TFCN22C4_001515-T1	DBVPG3775_000775-T1
GF00000258	TFCN22C4_002017-T1	DBVPG3775_002405-T1
GF00000259	TFCN22C4_008483-T1	DBVPG3775_005952-T1
GF00000260	TFCN22C4_001551-T1	DBVPG3775_004387-T1
GF00000261	TFCN22C4_005905-T1	DBVPG3775_004711-T1
GF00000262	TFCN22C4_001615-T1	DBVPG3775_004459-T1
GF00000263	TFCN22C4_008601-T1	DBVPG3775_003865-T1
GF00000264	TFCN22C4_002221-T1	DBVPG3775_004831-T1
GF00000265	TFCN22C4_003722-T1	DBVPG3775_000282-T1
GF00000266	TFCN22C4_008726-T1	DBVPG3775_006594-T1
GF00000267	TFCN22C4_002367-T1	DBVPG3775_005534-T1
GF00000268	TFCN22C4_010489-T1	DBVPG3775_003223-T1
GF00000269	TFCN22C4_002506-T1	DBVPG3775_005314-T1
GF00000270	TFCN22C4_013467-T1	DBVPG3775_003964-T1
GF00000271	TFCN22C4_011299-T1	DBVPG3775_003965-T1
GF00000272	TFCN22C4_002721-T1	DBVPG3775_002882-T1
GF00000273	TFCN22C4_006423-T1	DBVPG3775_000082-T1
GF00000274	TFCN22C4_009262-T1	DBVPG3775_000155-T1
GF00000275	TFCN22C4_013680-T1	DBVPG3775_003643-T1
GF00000276	TFCN22C4_003093-T1	DBVPG3775_000451-T1
GF00000277	TFCN22C4_003158-T1	DBVPG3775_000514-T1
GF00000278	TFCN22C4_003219-T1	DBVPG3775_000593-T1
GF00000279	TFCN22C4_010402-T1	DBVPG3775_005215-T1
GF00000280	TFCN22C4_005584-T1	DBVPG3775_006039-T1
GF00000281	TFCN22C4_005547-T1	DBVPG3775_006397-T1
GF00000282	TFCN22C4_011721-T1	DBVPG3775_002157-T1
GF00000283	TFCN22C4_003387-T1	DBVPG3775_002159-T1
GF00000284	TFCN22C4_003562-T1	DBVPG3775_005355-T1
GF00000285	TFCN22C4_011381-T1	DBVPG3775_000249-T1
GF00000286	TFCN22C4_004619-T1	DBVPG3775_005203-T1
GF00000287	TFCN22C4_007748-T1	DBVPG3775_003466-T1
GF00000288	TFCN22C4_004724-T1	DBVPG3775_001830-T1
GF00000289	TFCN22C4_006100-T1	DBVPG3775_006264-T1
GF00000290	TFCN22C4_010836-T1	DBVPG3775_005873-T1
GF00000291	TFCN22C4_007265-T1	DBVPG3775_004311-T1
GF00000292	TFCN22C4_005954-T1	DBVPG3775_007517-T1
GF00000293	TFCN22C4_005974-T1	DBVPG3775_006643-T1
GF00000294	TFCN22C4_010859-T1	DBVPG3775_002557-T1
GF00000295	TFCN22C4_010568-T1	DBVPG3775_004633-T1
GF00000296	TFCN22C4_007182-T1	DBVPG3775_006896-T1
GF00000297	TFCN22C4_009562-T1	DBVPG3775_007378-T1
GF00000298	TFCN22C4_008408-T1	DBVPG3775_007522-T1
GF00000299	TFCN22C4_011518-T1	DBVPG3775_003312-T1
GF00000300	TFCN22C4_009151-T1	DBVPG3775_002749-T1
GF00000301	TFCN22C4_013887-T1	DBVPG3775_000693-T1
GF00000302	TFCN22C4_008203-T1	DBVPG3775_006444-T1
GF00000303	TFCN22C4_000016-T1	DBVPG3775_007344-T1
GF00000304	TFCN22C4_000021-T1	DBVPG3775_003156-T1
GF00000305	TFCN22C4_000024-T1	DBVPG3775_005633-T1
GF00000306	TFCN22C4_000039-T1	DBVPG3775_005621-T1
GF00000307	TFCN22C4_008499-T1	DBVPG3775_005969-T1
GF00000308	TFCN22C4_000088-T1	DBVPG3775_005572-T1
GF00000309	TFCN22C4_003254-T1	DBVPG3775_006931-T1
GF00000310	TFCN22C4_000106-T1	DBVPG3775_005556-T1
GF00000311	TFCN22C4_010162-T1	DBVPG3775_006459-T1
GF00000312	TFCN22C4_003662-T1	DBVPG3775_001367-T1
GF00000313	TFCN22C4_000158-T1	DBVPG3775_001376-T1
GF00000314	TFCN22C4_003653-T1	DBVPG3775_001380-T1
GF00000315	TFCN22C4_011241-T1	DBVPG3775_003282-T1
GF00000316	TFCN22C4_002615-T1	DBVPG3775_002978-T1
GF00000317	TFCN22C4_000174-T1	DBVPG3775_001393-T1
GF00000318	TFCN22C4_000196-T1	DBVPG3775_001414-T1
GF00000319	TFCN22C4_010626-T1	DBVPG3775_007433-T1
GF00000320	TFCN22C4_008371-T1	DBVPG3775_001454-T1
GF00000321	TFCN22C4_003696-T1	DBVPG3775_000257-T1
GF00000322	TFCN22C4_009294-T1	DBVPG3775_006277-T1
GF00000323	TFCN22C4_008665-T1	DBVPG3775_002690-T1
GF00000324	TFCN22C4_013122-T1	DBVPG3775_001828-T1
GF00000325	TFCN22C4_003574-T1	DBVPG3775_006493-T1
GF00000326	TFCN22C4_004683-T1	DBVPG3775_001554-T1
GF00000327	TFCN22C4_003164-T1	DBVPG3775_000508-T1
GF00000328	TFCN22C4_009690-T1	DBVPG3775_004672-T1
GF00000329	TFCN22C4_010581-T1	DBVPG3775_004646-T1
GF00000330	TFCN22C4_000931-T1	DBVPG3775_004155-T1
GF00000331	TFCN22C4_004168-T1	DBVPG3775_003224-T1
GF00000332	TFCN22C4_000410-T1	DBVPG3775_002379-T1
GF00000333	TFCN22C4_000418-T1	DBVPG3775_000966-T1
GF00000334	TFCN22C4_005875-T1	DBVPG3775_004741-T1
GF00000335	TFCN22C4_006216-T1	DBVPG3775_006972-T1
GF00000336	TFCN22C4_002779-T1	DBVPG3775_000105-T1
GF00000337	TFCN22C4_000510-T1	DBVPG3775_000876-T1
GF00000338	TFCN22C4_010091-T1	DBVPG3775_003407-T1
GF00000339	TFCN22C4_000430-T1	DBVPG3775_000953-T1
GF00000340	TFCN22C4_000450-T1	DBVPG3775_000908-T1
GF00000341	TFCN22C4_003019-T1	DBVPG3775_002992-T1
GF00000342	TFCN22C4_003439-T1	DBVPG3775_002216-T1
GF00000343	TFCN22C4_003877-T1	DBVPG3775_003688-T1
GF00000344	TFCN22C4_011807-T1	DBVPG3775_000675-T1
GF00000345	TFCN22C4_004315-T1	DBVPG3775_004888-T1
GF00000346	TFCN22C4_000508-T1	DBVPG3775_000878-T1
GF00000347	TFCN22C4_011472-T1	DBVPG3775_007207-T1
GF00000348	TFCN22C4_001312-T1	DBVPG3775_002530-T1
GF00000349	TFCN22C4_000556-T1	DBVPG3775_000832-T1
GF00000350	TFCN22C4_000557-T1	DBVPG3775_000831-T1
GF00000351	TFCN22C4_000578-T1	DBVPG3775_000811-T1
GF00000352	TFCN22C4_009212-T1	DBVPG3775_002822-T1
GF00000353	TFCN22C4_010012-T1	DBVPG3775_000790-T1
GF00000354	TFCN22C4_000612-T1	DBVPG3775_000778-T1
GF00000355	TFCN22C4_012313-T1	DBVPG3775_004029-T1
GF00000356	TFCN22C4_007280-T1	DBVPG3775_004294-T1
GF00000357	TFCN22C4_008565-T1	DBVPG3775_003902-T1
GF00000358	TFCN22C4_004474-T1	DBVPG3775_005129-T1
GF00000359	TFCN22C4_004467-T1	DBVPG3775_005122-T1
GF00000360	TFCN22C4_000719-T1	DBVPG3775_005097-T1
GF00000361	TFCN22C4_000731-T1	DBVPG3775_005084-T1
GF00000362	TFCN22C4_013318-T1	DBVPG3775_000703-T1
GF00000363	TFCN22C4_004409-T1	DBVPG3775_005065-T1
GF00000364	TFCN22C4_004655-T1	DBVPG3775_005238-T1
GF00000365	TFCN22C4_000774-T1	DBVPG3775_003065-T1
GF00000366	TFCN22C4_013712-T1	DBVPG3775_006582-T1
GF00000367	TFCN22C4_007662-T1	DBVPG3775_003098-T1
GF00000368	TFCN22C4_002587-T1	DBVPG3775_003007-T1
GF00000369	TFCN22C4_007656-T1	DBVPG3775_003104-T1
GF00000370	TFCN22C4_007998-T1	DBVPG3775_002677-T1
GF00000371	TFCN22C4_009603-T1	DBVPG3775_004061-T1
GF00000372	TFCN22C4_010655-T1	DBVPG3775_006802-T1
GF00000373	TFCN22C4_001217-T1	DBVPG3775_001230-T1
GF00000374	TFCN22C4_008422-T1	DBVPG3775_004167-T1
GF00000375	TFCN22C4_003199-T1	DBVPG3775_000577-T1
GF00000376	TFCN22C4_004750-T1	DBVPG3775_001806-T1
GF00000377	TFCN22C4_004865-T1	DBVPG3775_002667-T1
GF00000378	TFCN22C4_000966-T1	DBVPG3775_004122-T1
GF00000379	TFCN22C4_008225-T1	DBVPG3775_006421-T1
GF00000380	TFCN22C4_005972-T1	DBVPG3775_003267-T1
GF00000381	TFCN22C4_008472-T1	DBVPG3775_004116-T1
GF00000382	TFCN22C4_000980-T1	DBVPG3775_007056-T1
GF00000383	TFCN22C4_000983-T1	DBVPG3775_007059-T1
GF00000384	TFCN22C4_004894-T1	DBVPG3775_002694-T1
GF00000385	TFCN22C4_010242-T1	DBVPG3775_007079-T1
GF00000386	TFCN22C4_007793-T1	DBVPG3775_005932-T1
GF00000387	TFCN22C4_001030-T1	DBVPG3775_005888-T1
GF00000388	TFCN22C4_007493-T1	DBVPG3775_002625-T1
GF00000389	TFCN22C4_007358-T1	DBVPG3775_005938-T1
GF00000390	TFCN22C4_006746-T1	DBVPG3775_005491-T1
GF00000391	TFCN22C4_011493-T1	DBVPG3775_005847-T1
GF00000392	TFCN22C4_007435-T1	DBVPG3775_005426-T1
GF00000393	TFCN22C4_012590-T1	DBVPG3775_007359-T1
GF00000394	TFCN22C4_001821-T1	DBVPG3775_003315-T1
GF00000395	TFCN22C4_013407-T1	DBVPG3775_002165-T1
GF00000396	TFCN22C4_001818-T1	DBVPG3775_001172-T1
GF00000397	TFCN22C4_005355-T1	DBVPG3775_001728-T1
GF00000398	TFCN22C4_013036-T1	DBVPG3775_002006-T1
GF00000399	TFCN22C4_001244-T1	DBVPG3775_001264-T1
GF00000400	TFCN22C4_001295-T1	DBVPG3775_001329-T1
GF00000401	TFCN22C4_001321-T1	DBVPG3775_002521-T1
GF00000402	TFCN22C4_001339-T1	DBVPG3775_002504-T1
GF00000403	TFCN22C4_001356-T1	DBVPG3775_002486-T1
GF00000404	TFCN22C4_001358-T1	DBVPG3775_002484-T1
GF00000405	TFCN22C4_005486-T1	DBVPG3775_004306-T1
GF00000406	TFCN22C4_002069-T1	DBVPG3775_002458-T1
GF00000407	TFCN22C4_001416-T1	DBVPG3775_002427-T1
GF00000408	TFCN22C4_008948-T1	DBVPG3775_000003-T1
