	Rhodotorula_mucilaginosa_TFCN_17Y-278-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000011	TFCN17Y2781_007378-T1, TFCN17Y2781_005605-T1, TFCN17Y2781_010627-T1, TFCN17Y2781_005606-T1, TFCN17Y2781_010626-T1, TFCN17Y2781_013361-T1, TFCN17Y2781_005269-T1, TFCN17Y2781_000370-T1, TFCN17Y2781_005821-T1, TFCN17Y2781_003971-T1, TFCN17Y2781_007721-T1, TFCN17Y2781_000931-T1, TFCN17Y2781_011593-T1, TFCN17Y2781_006144-T1, TFCN17Y2781_009053-T1, TFCN17Y2781_006143-T1, TFCN17Y2781_006218-T1, TFCN17Y2781_012229-T1, TFCN17Y2781_001073-T1, TFCN17Y2781_007720-T1, TFCN17Y2781_012483-T1	DBVPG3775_000020-T1, DBVPG3775_001365-T1, DBVPG3775_003582-T1, DBVPG3775_003583-T1, DBVPG3775_005271-T1, DBVPG3775_005521-T1, DBVPG3775_005883-T1, DBVPG3775_006206-T1, DBVPG3775_006207-T1, DBVPG3775_006585-T1, DBVPG3775_007174-T1
GF00000012	TFCN17Y2781_000173-T1, TFCN17Y2781_006485-T1, TFCN17Y2781_010137-T1, TFCN17Y2781_009676-T1, TFCN17Y2781_011846-T1, TFCN17Y2781_005999-T1, TFCN17Y2781_007659-T1, TFCN17Y2781_009729-T1, TFCN17Y2781_000222-T1, TFCN17Y2781_004309-T1, TFCN17Y2781_012048-T1, TFCN17Y2781_013128-T1, TFCN17Y2781_005621-T1, TFCN17Y2781_006785-T1, TFCN17Y2781_011535-T1, TFCN17Y2781_008354-T1, TFCN17Y2781_000548-T1, TFCN17Y2781_001841-T1, TFCN17Y2781_006624-T1, TFCN17Y2781_013627-T1, TFCN17Y2781_003843-T1	DBVPG3775_000220-T1, DBVPG3775_002880-T1, DBVPG3775_003138-T1, DBVPG3775_003600-T1, DBVPG3775_003743-T1, DBVPG3775_004518-T1, DBVPG3775_006430-T1, DBVPG3775_006795-T1, DBVPG3775_006844-T1, DBVPG3775_006854-T1, DBVPG3775_007229-T1
GF00000013	TFCN17Y2781_002113-T1, TFCN17Y2781_005228-T1, TFCN17Y2781_007302-T1, TFCN17Y2781_003737-T1, TFCN17Y2781_011554-T1, TFCN17Y2781_010959-T1, TFCN17Y2781_002481-T1, TFCN17Y2781_009372-T1, TFCN17Y2781_009915-T1, TFCN17Y2781_012003-T1, TFCN17Y2781_012001-T1, TFCN17Y2781_012854-T1, TFCN17Y2781_012852-T1, TFCN17Y2781_012002-T1, TFCN17Y2781_012853-T1, TFCN17Y2781_002824-T1, TFCN17Y2781_005346-T1, TFCN17Y2781_009917-T1, TFCN17Y2781_009916-T1	DBVPG3775_000902-T1, DBVPG3775_001968-T1, DBVPG3775_001969-T1, DBVPG3775_002547-T1, DBVPG3775_002548-T1, DBVPG3775_002549-T1, DBVPG3775_002631-T1, DBVPG3775_002632-T1, DBVPG3775_002633-T1, DBVPG3775_003491-T1, DBVPG3775_003530-T1, DBVPG3775_007393-T1
GF00000014	TFCN17Y2781_000774-T1, TFCN17Y2781_011729-T1, TFCN17Y2781_002284-T1, TFCN17Y2781_000970-T1, TFCN17Y2781_001026-T1, TFCN17Y2781_004123-T1, TFCN17Y2781_001497-T1, TFCN17Y2781_001556-T1, TFCN17Y2781_006651-T1, TFCN17Y2781_003050-T1, TFCN17Y2781_000925-T1, TFCN17Y2781_011586-T1, TFCN17Y2781_011483-T1, TFCN17Y2781_007790-T1, TFCN17Y2781_003214-T1, TFCN17Y2781_001149-T1, TFCN17Y2781_007449-T1, TFCN17Y2781_004567-T1, TFCN17Y2781_001659-T1, TFCN17Y2781_003485-T1	DBVPG3775_000780-T1, DBVPG3775_001312-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_002394-T1, DBVPG3775_003365-T1, DBVPG3775_004031-T1, DBVPG3775_004148-T1, DBVPG3775_005480-T1, DBVPG3775_005529-T1
GF00000015	TFCN17Y2781_001462-T1, TFCN17Y2781_004157-T1, TFCN17Y2781_002770-T1, TFCN17Y2781_005399-T1, TFCN17Y2781_005358-T1, TFCN17Y2781_002804-T1, TFCN17Y2781_004097-T1, TFCN17Y2781_001523-T1, TFCN17Y2781_011895-T1, TFCN17Y2781_005416-T1, TFCN17Y2781_002801-T1, TFCN17Y2781_003894-T1, TFCN17Y2781_008884-T1, TFCN17Y2781_005308-T1, TFCN17Y2781_003895-T1, TFCN17Y2781_008885-T1, TFCN17Y2781_004156-T1, TFCN17Y2781_007009-T1, TFCN17Y2781_005307-T1	DBVPG3775_000922-T1, DBVPG3775_000923-T1, DBVPG3775_000926-T1, DBVPG3775_000959-T1, DBVPG3775_002364-T1, DBVPG3775_002437-T1, DBVPG3775_002438-T1, DBVPG3775_002935-T1, DBVPG3775_002936-T1, DBVPG3775_003039-T1, DBVPG3775_003040-T1
GF00000016	TFCN17Y2781_000302-T1, TFCN17Y2781_009421-T1, TFCN17Y2781_006039-T1, TFCN17Y2781_007701-T1, TFCN17Y2781_002501-T1, TFCN17Y2781_013218-T1, TFCN17Y2781_011046-T1, TFCN17Y2781_005189-T1, TFCN17Y2781_006953-T1, TFCN17Y2781_005140-T1, TFCN17Y2781_000408-T1, TFCN17Y2781_000411-T1, TFCN17Y2781_005865-T1, TFCN17Y2781_007759-T1, TFCN17Y2781_004012-T1, TFCN17Y2781_004453-T1, TFCN17Y2781_013487-T1, TFCN17Y2781_006954-T1	DBVPG3775_000070-T1, DBVPG3775_000073-T1, DBVPG3775_000646-T1, DBVPG3775_002010-T1, DBVPG3775_003512-T1, DBVPG3775_004564-T1, DBVPG3775_005564-T1, DBVPG3775_006246-T1, DBVPG3775_007111-T1, DBVPG3775_007112-T1
GF00000017	TFCN17Y2781_000475-T1, TFCN17Y2781_013007-T1, TFCN17Y2781_009238-T1, TFCN17Y2781_005183-T1, TFCN17Y2781_009239-T1, TFCN17Y2781_007564-T1, TFCN17Y2781_008112-T1, TFCN17Y2781_001346-T1, TFCN17Y2781_004928-T1, TFCN17Y2781_011973-T1, TFCN17Y2781_008086-T1, TFCN17Y2781_010601-T1, TFCN17Y2781_009332-T1, TFCN17Y2781_006403-T1, TFCN17Y2781_003707-T1, TFCN17Y2781_002663-T1, TFCN17Y2781_005468-T1	DBVPG3775_000141-T1, DBVPG3775_001752-T1, DBVPG3775_002016-T1, DBVPG3775_002017-T1, DBVPG3775_003309-T1, DBVPG3775_004455-T1, DBVPG3775_004768-T1, DBVPG3775_005244-T1, DBVPG3775_005784-T1
GF00000018	TFCN17Y2781_000337-T1, TFCN17Y2781_012275-T1, TFCN17Y2781_003408-T1, TFCN17Y2781_012140-T1, TFCN17Y2781_012981-T1, TFCN17Y2781_003545-T1, TFCN17Y2781_001722-T1, TFCN17Y2781_004349-T1, TFCN17Y2781_000766-T1, TFCN17Y2781_010321-T1, TFCN17Y2781_005301-T1, TFCN17Y2781_000406-T1, TFCN17Y2781_005861-T1, TFCN17Y2781_011721-T1, TFCN17Y2781_006399-T1, TFCN17Y2781_003711-T1	DBVPG3775_000068-T1, DBVPG3775_003889-T1, DBVPG3775_004041-T1, DBVPG3775_004212-T1, DBVPG3775_005248-T1, DBVPG3775_006550-T1, DBVPG3775_007311-T1, DBVPG3775_007478-T1
GF00000019	TFCN17Y2781_000136-T1, TFCN17Y2781_006522-T1, TFCN17Y2781_000679-T1, TFCN17Y2781_008204-T1, TFCN17Y2781_010199-T1, TFCN17Y2781_007869-T1, TFCN17Y2781_012249-T1, TFCN17Y2781_006171-T1, TFCN17Y2781_013655-T1, TFCN17Y2781_000648-T1, TFCN17Y2781_013658-T1, TFCN17Y2781_003907-T1, TFCN17Y2781_008900-T1, TFCN17Y2781_012720-T1, TFCN17Y2781_013090-T1, TFCN17Y2781_013552-T1	DBVPG3775_002812-T1, DBVPG3775_002951-T1, DBVPG3775_003096-T1, DBVPG3775_004329-T1, DBVPG3775_004630-T1, DBVPG3775_006174-T1, DBVPG3775_007584-T1
GF00000020	TFCN17Y2781_006333-T1, TFCN17Y2781_008269-T1, TFCN17Y2781_007538-T1, TFCN17Y2781_004184-T1, TFCN17Y2781_012880-T1, TFCN17Y2781_011607-T1, TFCN17Y2781_008367-T1, TFCN17Y2781_012609-T1, TFCN17Y2781_011856-T1, TFCN17Y2781_009969-T1, TFCN17Y2781_012515-T1, TFCN17Y2781_002059-T1, TFCN17Y2781_011001-T1, TFCN17Y2781_008674-T1, TFCN17Y2781_009235-T1	DBVPG3775_001464-T1, DBVPG3775_001893-T1, DBVPG3775_002118-T1, DBVPG3775_002468-T1, DBVPG3775_003247-T1, DBVPG3775_004801-T1, DBVPG3775_006805-T1, DBVPG3775_007221-T1
GF00000021	TFCN17Y2781_000198-T1, TFCN17Y2781_007579-T1, TFCN17Y2781_004121-T1, TFCN17Y2781_001498-T1, TFCN17Y2781_012160-T1, TFCN17Y2781_008780-T1, TFCN17Y2781_004300-T1, TFCN17Y2781_000229-T1, TFCN17Y2781_002407-T1, TFCN17Y2781_013142-T1, TFCN17Y2781_000238-T1, TFCN17Y2781_004295-T1, TFCN17Y2781_010485-T1, TFCN17Y2781_011640-T1, TFCN17Y2781_002406-T1	DBVPG3775_000373-T1, DBVPG3775_000374-T1, DBVPG3775_000721-T1, DBVPG3775_002392-T1, DBVPG3775_003162-T1, DBVPG3775_005346-T1, DBVPG3775_006413-T1, DBVPG3775_006419-T1
GF00000022	TFCN17Y2781_000289-T1, TFCN17Y2781_009403-T1, TFCN17Y2781_011350-T1, TFCN17Y2781_005979-T1, TFCN17Y2781_005941-T1, TFCN17Y2781_004813-T1, TFCN17Y2781_008230-T1, TFCN17Y2781_008941-T1, TFCN17Y2781_003265-T1, TFCN17Y2781_009540-T1, TFCN17Y2781_004481-T1, TFCN17Y2781_008444-T1, TFCN17Y2781_009173-T1, TFCN17Y2781_009541-T1, TFCN17Y2781_011351-T1	DBVPG3775_000677-T1, DBVPG3775_001251-T1, DBVPG3775_001509-T1, DBVPG3775_001719-T1, DBVPG3775_004496-T1, DBVPG3775_004497-T1, DBVPG3775_005432-T1, DBVPG3775_006228-T1
GF00000023	TFCN17Y2781_000612-T1, TFCN17Y2781_011224-T1, TFCN17Y2781_005386-T1, TFCN17Y2781_002783-T1, TFCN17Y2781_010270-T1, TFCN17Y2781_001593-T1, TFCN17Y2781_009076-T1, TFCN17Y2781_013536-T1, TFCN17Y2781_011599-T1, TFCN17Y2781_005385-T1, TFCN17Y2781_013657-T1, TFCN17Y2781_003066-T1, TFCN17Y2781_006938-T1, TFCN17Y2781_013339-T1, TFCN17Y2781_008964-T1, TFCN17Y2781_011427-T1	DBVPG3775_000945-T1, DBVPG3775_000946-T1, DBVPG3775_001534-T1, DBVPG3775_002127-T1, DBVPG3775_003280-T1, DBVPG3775_004260-T1, DBVPG3775_007088-T1
GF00000024	TFCN17Y2781_011610-T1, TFCN17Y2781_012883-T1, TFCN17Y2781_012414-T1, TFCN17Y2781_008029-T1, TFCN17Y2781_011977-T1, TFCN17Y2781_008090-T1, TFCN17Y2781_004978-T1, TFCN17Y2781_011978-T1, TFCN17Y2781_002740-T1, TFCN17Y2781_009096-T1, TFCN17Y2781_008358-T1, TFCN17Y2781_013165-T1, TFCN17Y2781_008833-T1, TFCN17Y2781_011931-T1	DBVPG3775_004369-T1, DBVPG3775_005788-T1, DBVPG3775_006461-T1, DBVPG3775_006604-T1, DBVPG3775_006605-T1, DBVPG3775_007217-T1, DBVPG3775_007366-T1, DBVPG3775_007367-T1, DBVPG3775_007368-T1
GF00000025	TFCN17Y2781_002227-T1, TFCN17Y2781_011897-T1, TFCN17Y2781_005413-T1, TFCN17Y2781_009384-T1, TFCN17Y2781_009929-T1, TFCN17Y2781_005414-T1, TFCN17Y2781_011898-T1, TFCN17Y2781_009655-T1, TFCN17Y2781_006368-T1, TFCN17Y2781_006367-T1, TFCN17Y2781_009656-T1, TFCN17Y2781_003592-T1, TFCN17Y2781_009992-T1, TFCN17Y2781_002754-T1, TFCN17Y2781_009993-T1	DBVPG3775_000976-T1, DBVPG3775_000977-T1, DBVPG3775_000978-T1, DBVPG3775_001426-T1, DBVPG3775_001427-T1, DBVPG3775_002210-T1, DBVPG3775_002618-T1, DBVPG3775_007152-T1
