	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000027	CHIFNET13H1268_005168-T1	DBVPG3775_000357-T1
GF00000028	CHIFNET13H1268_006306-T1	DBVPG3775_000924-T1
GF00000029	CHIFNET13H1268_004174-T1	DBVPG3775_001426-T1
GF00000030	CHIFNET13H1268_003057-T1	DBVPG3775_007326-T1
GF00000031	CHIFNET13H1268_008261-T1	DBVPG3775_002328-T1
GF00000032	CHIFNET13H1268_001466-T1	DBVPG3775_003326-T1
GF00000033	CHIFNET13H1268_003868-T1	DBVPG3775_000170-T1
GF00000034	CHIFNET13H1268_011000-T1	DBVPG3775_005321-T1
GF00000035	CHIFNET13H1268_005498-T1	DBVPG3775_003520-T1
GF00000036	CHIFNET13H1268_006434-T1	DBVPG3775_005960-T1
GF00000037	CHIFNET13H1268_003340-T1	DBVPG3775_002218-T1
GF00000038	CHIFNET13H1268_002465-T1	DBVPG3775_006341-T1
GF00000039	CHIFNET13H1268_006049-T1	DBVPG3775_004622-T1
GF00000040	CHIFNET13H1268_003338-T1	DBVPG3775_002206-T1
GF00000041	CHIFNET13H1268_001454-T1	DBVPG3775_003313-T1
GF00000042	CHIFNET13H1268_002128-T1	DBVPG3775_006444-T1
GF00000043	CHIFNET13H1268_000157-T1	DBVPG3775_001370-T1
GF00000044	CHIFNET13H1268_014579-T1	DBVPG3775_004293-T1
GF00000045	CHIFNET13H1268_000741-T1	DBVPG3775_000191-T1
GF00000046	CHIFNET13H1268_002484-T1	DBVPG3775_000026-T1
GF00000047	CHIFNET13H1268_010802-T1	DBVPG3775_005166-T1
GF00000048	CHIFNET13H1268_002035-T1	DBVPG3775_006241-T1
GF00000049	CHIFNET13H1268_003007-T1	DBVPG3775_002043-T1
GF00000050	CHIFNET13H1268_009809-T1	DBVPG3775_000387-T1
GF00000051	CHIFNET13H1268_004196-T1	DBVPG3775_001451-T1
GF00000052	CHIFNET13H1268_000412-T1	DBVPG3775_001251-T1
GF00000053	CHIFNET13H1268_000434-T1	DBVPG3775_007158-T1
GF00000054	CHIFNET13H1268_009276-T1	DBVPG3775_005080-T1
GF00000055	CHIFNET13H1268_004889-T1	DBVPG3775_002941-T1
GF00000056	CHIFNET13H1268_014447-T1	DBVPG3775_003251-T1
GF00000057	CHIFNET13H1268_010403-T1	DBVPG3775_005736-T1
GF00000058	CHIFNET13H1268_009802-T1	DBVPG3775_000467-T1
GF00000059	CHIFNET13H1268_010648-T1	DBVPG3775_001088-T1
GF00000060	CHIFNET13H1268_000387-T1	DBVPG3775_004521-T1
GF00000061	CHIFNET13H1268_006377-T1	DBVPG3775_006818-T1
GF00000062	CHIFNET13H1268_007015-T1	DBVPG3775_005295-T1
GF00000063	CHIFNET13H1268_011651-T1	DBVPG3775_001018-T1
GF00000064	CHIFNET13H1268_007889-T1	DBVPG3775_001549-T1
GF00000065	CHIFNET13H1268_011098-T1	DBVPG3775_002812-T1
GF00000066	CHIFNET13H1268_011354-T1	DBVPG3775_002336-T1
GF00000067	CHIFNET13H1268_007467-T1	DBVPG3775_007424-T1
GF00000068	CHIFNET13H1268_005532-T1	DBVPG3775_004080-T1
GF00000069	CHIFNET13H1268_012205-T1	DBVPG3775_007241-T1
GF00000070	CHIFNET13H1268_009115-T1	DBVPG3775_001853-T1
GF00000071	CHIFNET13H1268_009441-T1	DBVPG3775_001795-T1
GF00000072	CHIFNET13H1268_001360-T1	DBVPG3775_006076-T1
GF00000073	CHIFNET13H1268_009487-T1	DBVPG3775_000475-T1
GF00000074	CHIFNET13H1268_012954-T1	DBVPG3775_003686-T1
GF00000075	CHIFNET13H1268_002417-T1	DBVPG3775_002257-T1
GF00000076	CHIFNET13H1268_012318-T1	DBVPG3775_005163-T1
GF00000077	CHIFNET13H1268_001411-T1	DBVPG3775_003273-T1
GF00000078	CHIFNET13H1268_013594-T1	DBVPG3775_003439-T1
GF00000079	CHIFNET13H1268_002526-T1	DBVPG3775_005157-T1
GF00000080	CHIFNET13H1268_004597-T1	DBVPG3775_003785-T1
GF00000081	CHIFNET13H1268_009931-T1	DBVPG3775_003881-T1
GF00000082	CHIFNET13H1268_012411-T1	DBVPG3775_002745-T1
GF00000083	CHIFNET13H1268_007128-T1	DBVPG3775_004181-T1
GF00000084	CHIFNET13H1268_007809-T1	DBVPG3775_005753-T1
GF00000085	CHIFNET13H1268_014824-T1	DBVPG3775_004308-T1
GF00000086	CHIFNET13H1268_007742-T1	DBVPG3775_000993-T1
GF00000087	CHIFNET13H1268_008450-T1	DBVPG3775_004520-T1
GF00000088	CHIFNET13H1268_000237-T1	DBVPG3775_000444-T1
GF00000089	CHIFNET13H1268_001120-T1	DBVPG3775_002579-T1
GF00000090	CHIFNET13H1268_003650-T1	DBVPG3775_003544-T1
GF00000091	CHIFNET13H1268_004964-T1	DBVPG3775_007483-T1
GF00000092	CHIFNET13H1268_008003-T1	DBVPG3775_004387-T1
GF00000093	CHIFNET13H1268_010307-T1	DBVPG3775_006584-T1
GF00000094	CHIFNET13H1268_009867-T1	DBVPG3775_006948-T1
GF00000095	CHIFNET13H1268_009204-T1	DBVPG3775_002083-T1
GF00000096	CHIFNET13H1268_000897-T1	DBVPG3775_003741-T1
GF00000097	CHIFNET13H1268_010883-T1	DBVPG3775_002226-T1
GF00000098	CHIFNET13H1268_001026-T1	DBVPG3775_001962-T1
GF00000099	CHIFNET13H1268_001049-T1	DBVPG3775_001065-T1
GF00000100	CHIFNET13H1268_014392-T1	DBVPG3775_003280-T1
GF00000101	CHIFNET13H1268_004556-T1	DBVPG3775_003742-T1
GF00000102	CHIFNET13H1268_013319-T1	DBVPG3775_003172-T1
GF00000103	CHIFNET13H1268_009719-T1	DBVPG3775_006418-T1
GF00000104	CHIFNET13H1268_007594-T1	DBVPG3775_001677-T1
GF00000105	CHIFNET13H1268_005428-T1	DBVPG3775_002526-T1
GF00000106	CHIFNET13H1268_003173-T1	DBVPG3775_007105-T1
GF00000107	CHIFNET13H1268_009607-T1	DBVPG3775_000842-T1
GF00000108	CHIFNET13H1268_003032-T1	DBVPG3775_000368-T1
GF00000109	CHIFNET13H1268_012610-T1	DBVPG3775_004339-T1
GF00000110	CHIFNET13H1268_011003-T1	DBVPG3775_005324-T1
GF00000111	CHIFNET13H1268_008270-T1	DBVPG3775_002338-T1
GF00000112	CHIFNET13H1268_006522-T1	DBVPG3775_004754-T1
GF00000113	CHIFNET13H1268_011893-T1	DBVPG3775_001667-T1
GF00000114	CHIFNET13H1268_012485-T1	DBVPG3775_004502-T1
GF00000115	CHIFNET13H1268_011889-T1	DBVPG3775_001671-T1
GF00000116	CHIFNET13H1268_004331-T1	DBVPG3775_007088-T1
GF00000117	CHIFNET13H1268_009882-T1	DBVPG3775_006959-T1
GF00000118	CHIFNET13H1268_005714-T1	DBVPG3775_002435-T1
GF00000119	CHIFNET13H1268_003375-T1	DBVPG3775_002180-T1
GF00000120	CHIFNET13H1268_009091-T1	DBVPG3775_001902-T1
GF00000121	CHIFNET13H1268_008258-T1	DBVPG3775_002326-T1
GF00000122	CHIFNET13H1268_004520-T1	DBVPG3775_005791-T1
GF00000123	CHIFNET13H1268_012407-T1	DBVPG3775_002749-T1
GF00000124	CHIFNET13H1268_009128-T1	DBVPG3775_001834-T1
GF00000125	CHIFNET13H1268_000060-T1	DBVPG3775_001452-T1
GF00000126	CHIFNET13H1268_007202-T1	DBVPG3775_003422-T1
GF00000127	CHIFNET13H1268_001964-T1	DBVPG3775_004545-T1
GF00000128	CHIFNET13H1268_006937-T1	DBVPG3775_003794-T1
GF00000129	CHIFNET13H1268_007636-T1	DBVPG3775_001719-T1
GF00000130	CHIFNET13H1268_009746-T1	DBVPG3775_006438-T1
GF00000131	CHIFNET13H1268_008056-T1	DBVPG3775_001140-T1
GF00000132	CHIFNET13H1268_013383-T1	DBVPG3775_002596-T1
GF00000133	CHIFNET13H1268_001377-T1	DBVPG3775_006388-T1
GF00000134	CHIFNET13H1268_012260-T1	DBVPG3775_004717-T1
GF00000135	CHIFNET13H1268_001469-T1	DBVPG3775_003328-T1
GF00000136	CHIFNET13H1268_002069-T1	DBVPG3775_006954-T1
GF00000137	CHIFNET13H1268_009704-T1	DBVPG3775_006416-T1
GF00000138	CHIFNET13H1268_002177-T1	DBVPG3775_003792-T1
GF00000139	CHIFNET13H1268_007468-T1	DBVPG3775_007423-T1
GF00000140	CHIFNET13H1268_008553-T1	DBVPG3775_001993-T1
GF00000141	CHIFNET13H1268_002870-T1	DBVPG3775_004880-T1
GF00000142	CHIFNET13H1268_003788-T1	DBVPG3775_000249-T1
GF00000143	CHIFNET13H1268_004071-T1	DBVPG3775_003229-T1
GF00000144	CHIFNET13H1268_011649-T1	DBVPG3775_001020-T1
GF00000145	CHIFNET13H1268_012183-T1	DBVPG3775_000399-T1
GF00000146	CHIFNET13H1268_005898-T1	DBVPG3775_003673-T1
GF00000147	CHIFNET13H1268_007768-T1	DBVPG3775_000966-T1
GF00000148	CHIFNET13H1268_007033-T1	DBVPG3775_005314-T1
GF00000149	CHIFNET13H1268_007270-T1	DBVPG3775_007270-T1
GF00000150	CHIFNET13H1268_007992-T1	DBVPG3775_004376-T1
GF00000151	CHIFNET13H1268_014219-T1	DBVPG3775_004642-T1
GF00000152	CHIFNET13H1268_003764-T1	DBVPG3775_000271-T1
GF00000153	CHIFNET13H1268_007860-T1	DBVPG3775_001517-T1
GF00000154	CHIFNET13H1268_009393-T1	DBVPG3775_001743-T1
GF00000155	CHIFNET13H1268_004821-T1	DBVPG3775_005942-T1
GF00000156	CHIFNET13H1268_000294-T1	DBVPG3775_003643-T1
GF00000157	CHIFNET13H1268_000300-T1	DBVPG3775_006338-T1
GF00000158	CHIFNET13H1268_001247-T1	DBVPG3775_002706-T1
GF00000159	CHIFNET13H1268_001976-T1	DBVPG3775_004556-T1
GF00000160	CHIFNET13H1268_000363-T1	DBVPG3775_004544-T1
GF00000161	CHIFNET13H1268_013769-T1	DBVPG3775_001329-T1
GF00000162	CHIFNET13H1268_003917-T1	DBVPG3775_005082-T1
GF00000163	CHIFNET13H1268_000493-T1	DBVPG3775_005546-T1
GF00000164	CHIFNET13H1268_003578-T1	DBVPG3775_003607-T1
GF00000165	CHIFNET13H1268_012896-T1	DBVPG3775_000562-T1
GF00000166	CHIFNET13H1268_011847-T1	DBVPG3775_001266-T1
GF00000167	CHIFNET13H1268_014083-T1	DBVPG3775_000814-T1
GF00000168	CHIFNET13H1268_012478-T1	DBVPG3775_007454-T1
GF00000169	CHIFNET13H1268_009820-T1	DBVPG3775_000449-T1
GF00000170	CHIFNET13H1268_000679-T1	DBVPG3775_000312-T1
GF00000171	CHIFNET13H1268_007386-T1	DBVPG3775_001961-T1
GF00000172	CHIFNET13H1268_003288-T1	DBVPG3775_002271-T1
GF00000173	CHIFNET13H1268_013476-T1	DBVPG3775_003411-T1
GF00000174	CHIFNET13H1268_014772-T1	DBVPG3775_007575-T1
GF00000175	CHIFNET13H1268_009946-T1	DBVPG3775_003865-T1
GF00000176	CHIFNET13H1268_006488-T1	DBVPG3775_006015-T1
GF00000177	CHIFNET13H1268_012657-T1	DBVPG3775_002965-T1
GF00000178	CHIFNET13H1268_001056-T1	DBVPG3775_003861-T1
GF00000179	CHIFNET13H1268_001157-T1	DBVPG3775_001991-T1
GF00000180	CHIFNET13H1268_012011-T1	DBVPG3775_007226-T1
GF00000181	CHIFNET13H1268_001760-T1	DBVPG3775_006031-T1
GF00000182	CHIFNET13H1268_004143-T1	DBVPG3775_001529-T1
GF00000183	CHIFNET13H1268_005552-T1	DBVPG3775_004061-T1
GF00000184	CHIFNET13H1268_006690-T1	DBVPG3775_001832-T1
GF00000185	CHIFNET13H1268_009258-T1	DBVPG3775_003134-T1
GF00000186	CHIFNET13H1268_001855-T1	DBVPG3775_006357-T1
GF00000187	CHIFNET13H1268_004851-T1	DBVPG3775_003496-T1
GF00000188	CHIFNET13H1268_009919-T1	DBVPG3775_000439-T1
GF00000189	CHIFNET13H1268_011092-T1	DBVPG3775_004335-T1
GF00000190	CHIFNET13H1268_002026-T1	DBVPG3775_006248-T1
GF00000191	CHIFNET13H1268_005060-T1	DBVPG3775_000632-T1
GF00000192	CHIFNET13H1268_014962-T1	DBVPG3775_006643-T1
GF00000193	CHIFNET13H1268_013694-T1	DBVPG3775_006439-T1
GF00000194	CHIFNET13H1268_002172-T1	DBVPG3775_002488-T1
GF00000195	CHIFNET13H1268_009935-T1	DBVPG3775_003877-T1
GF00000196	CHIFNET13H1268_002450-T1	DBVPG3775_002291-T1
GF00000197	CHIFNET13H1268_002457-T1	DBVPG3775_002298-T1
GF00000198	CHIFNET13H1268_006554-T1	DBVPG3775_004731-T1
GF00000199	CHIFNET13H1268_011941-T1	DBVPG3775_004760-T1
GF00000200	CHIFNET13H1268_012524-T1	DBVPG3775_005109-T1
GF00000201	CHIFNET13H1268_013816-T1	DBVPG3775_004809-T1
GF00000202	CHIFNET13H1268_003444-T1	DBVPG3775_001025-T1
GF00000203	CHIFNET13H1268_005890-T1	DBVPG3775_003677-T1
GF00000204	CHIFNET13H1268_003778-T1	DBVPG3775_000258-T1
GF00000205	CHIFNET13H1268_012633-T1	DBVPG3775_007063-T1
GF00000206	CHIFNET13H1268_006408-T1	DBVPG3775_006850-T1
GF00000207	CHIFNET13H1268_011299-T1	DBVPG3775_007442-T1
GF00000208	CHIFNET13H1268_004808-T1	DBVPG3775_006220-T1
GF00000209	CHIFNET13H1268_008383-T1	DBVPG3775_006806-T1
GF00000210	CHIFNET13H1268_008229-T1	DBVPG3775_005038-T1
GF00000211	CHIFNET13H1268_010590-T1	DBVPG3775_007022-T1
GF00000212	CHIFNET13H1268_004981-T1	DBVPG3775_006611-T1
GF00000213	CHIFNET13H1268_006108-T1	DBVPG3775_002755-T1
GF00000214	CHIFNET13H1268_007715-T1	DBVPG3775_006014-T1
GF00000215	CHIFNET13H1268_012059-T1	DBVPG3775_001830-T1
GF00000216	CHIFNET13H1268_007777-T1	DBVPG3775_003407-T1
GF00000217	CHIFNET13H1268_009400-T1	DBVPG3775_001751-T1
GF00000218	CHIFNET13H1268_014964-T1	DBVPG3775_000514-T1
GF00000219	CHIFNET13H1268_009987-T1	DBVPG3775_000730-T1
GF00000220	CHIFNET13H1268_005584-T1	DBVPG3775_004029-T1
GF00000221	CHIFNET13H1268_011545-T1	DBVPG3775_005541-T1
GF00000222	CHIFNET13H1268_009618-T1	DBVPG3775_000831-T1
GF00000223	CHIFNET13H1268_000500-T1	DBVPG3775_002840-T1
GF00000224	CHIFNET13H1268_000778-T1	DBVPG3775_000153-T1
GF00000225	CHIFNET13H1268_002968-T1	DBVPG3775_002006-T1
GF00000226	CHIFNET13H1268_000923-T1	DBVPG3775_001192-T1
GF00000227	CHIFNET13H1268_002107-T1	DBVPG3775_004122-T1
GF00000228	CHIFNET13H1268_001066-T1	DBVPG3775_001049-T1
GF00000229	CHIFNET13H1268_001116-T1	DBVPG3775_002575-T1
GF00000230	CHIFNET13H1268_009408-T1	DBVPG3775_001760-T1
GF00000231	CHIFNET13H1268_001342-T1	DBVPG3775_003306-T1
GF00000232	CHIFNET13H1268_005228-T1	DBVPG3775_003362-T1
GF00000233	CHIFNET13H1268_009054-T1	DBVPG3775_003841-T1
GF00000234	CHIFNET13H1268_013326-T1	DBVPG3775_003143-T1
GF00000235	CHIFNET13H1268_007918-T1	DBVPG3775_003104-T1
GF00000236	CHIFNET13H1268_009848-T1	DBVPG3775_006968-T1
GF00000237	CHIFNET13H1268_008165-T1	DBVPG3775_005857-T1
GF00000238	CHIFNET13H1268_008635-T1	DBVPG3775_002882-T1
GF00000239	CHIFNET13H1268_003573-T1	DBVPG3775_003601-T1
GF00000240	CHIFNET13H1268_003807-T1	DBVPG3775_003051-T1
GF00000241	CHIFNET13H1268_011036-T1	DBVPG3775_006573-T1
GF00000242	CHIFNET13H1268_004284-T1	DBVPG3775_005383-T1
GF00000243	CHIFNET13H1268_006371-T1	DBVPG3775_006896-T1
GF00000244	CHIFNET13H1268_012254-T1	DBVPG3775_004711-T1
GF00000245	CHIFNET13H1268_014798-T1	DBVPG3775_004819-T1
GF00000246	CHIFNET13H1268_013047-T1	DBVPG3775_002522-T1
GF00000247	CHIFNET13H1268_006126-T1	DBVPG3775_002768-T1
GF00000248	CHIFNET13H1268_006523-T1	DBVPG3775_004721-T1
GF00000249	CHIFNET13H1268_007277-T1	DBVPG3775_007277-T1
GF00000250	CHIFNET13H1268_007287-T1	DBVPG3775_007285-T1
GF00000251	CHIFNET13H1268_011820-T1	DBVPG3775_006749-T1
GF00000252	CHIFNET13H1268_011890-T1	DBVPG3775_001670-T1
GF00000253	CHIFNET13H1268_010165-T1	DBVPG3775_006673-T1
GF00000254	CHIFNET13H1268_011552-T1	DBVPG3775_005534-T1
GF00000255	CHIFNET13H1268_014958-T1	DBVPG3775_007561-T1
GF00000256	CHIFNET13H1268_008843-T1	DBVPG3775_000577-T1
GF00000257	CHIFNET13H1268_004216-T1	DBVPG3775_002690-T1
GF00000258	CHIFNET13H1268_000101-T1	DBVPG3775_001377-T1
GF00000259	CHIFNET13H1268_001419-T1	DBVPG3775_003282-T1
GF00000260	CHIFNET13H1268_003001-T1	DBVPG3775_002037-T1
GF00000261	CHIFNET13H1268_004581-T1	DBVPG3775_003767-T1
GF00000262	CHIFNET13H1268_007369-T1	DBVPG3775_005633-T1
GF00000263	CHIFNET13H1268_012637-T1	DBVPG3775_007059-T1
GF00000264	CHIFNET13H1268_012722-T1	DBVPG3775_003646-T1
GF00000265	CHIFNET13H1268_009134-T1	DBVPG3775_001828-T1
GF00000266	CHIFNET13H1268_001957-T1	DBVPG3775_004538-T1
GF00000267	CHIFNET13H1268_014306-T1	DBVPG3775_000139-T1
GF00000268	CHIFNET13H1268_000498-T1	DBVPG3775_002838-T1
GF00000269	CHIFNET13H1268_001587-T1	DBVPG3775_003223-T1
GF00000270	CHIFNET13H1268_003363-T1	DBVPG3775_002196-T1
GF00000271	CHIFNET13H1268_005791-T1	DBVPG3775_000692-T1
GF00000272	CHIFNET13H1268_011267-T1	DBVPG3775_005645-T1
GF00000273	CHIFNET13H1268_009318-T1	DBVPG3775_004957-T1
GF00000274	CHIFNET13H1268_000726-T1	DBVPG3775_000208-T1
GF00000275	CHIFNET13H1268_005131-T1	DBVPG3775_000395-T1
GF00000276	CHIFNET13H1268_003067-T1	DBVPG3775_000155-T1
GF00000277	CHIFNET13H1268_003138-T1	DBVPG3775_000082-T1
GF00000278	CHIFNET13H1268_007451-T1	DBVPG3775_001728-T1
GF00000279	CHIFNET13H1268_001455-T1	DBVPG3775_003315-T1
GF00000280	CHIFNET13H1268_007780-T1	DBVPG3775_000953-T1
GF00000281	CHIFNET13H1268_007417-T1	DBVPG3775_001117-T1
GF00000282	CHIFNET13H1268_010412-T1	DBVPG3775_005745-T1
GF00000283	CHIFNET13H1268_011884-T1	DBVPG3775_002543-T1
GF00000284	CHIFNET13H1268_001126-T1	DBVPG3775_002585-T1
GF00000285	CHIFNET13H1268_010696-T1	DBVPG3775_003965-T1
GF00000286	CHIFNET13H1268_005289-T1	DBVPG3775_003301-T1
GF00000287	CHIFNET13H1268_001575-T1	DBVPG3775_007236-T1
GF00000288	CHIFNET13H1268_006706-T1	DBVPG3775_001816-T1
GF00000289	CHIFNET13H1268_002021-T1	DBVPG3775_006252-T1
GF00000290	CHIFNET13H1268_002351-T1	DBVPG3775_002188-T1
GF00000291	CHIFNET13H1268_010145-T1	DBVPG3775_006652-T1
GF00000292	CHIFNET13H1268_008025-T1	DBVPG3775_004409-T1
GF00000293	CHIFNET13H1268_008806-T1	DBVPG3775_007517-T1
GF00000294	CHIFNET13H1268_013390-T1	DBVPG3775_006456-T1
GF00000295	CHIFNET13H1268_003433-T1	DBVPG3775_000775-T1
GF00000296	CHIFNET13H1268_003503-T1	DBVPG3775_002405-T1
GF00000297	CHIFNET13H1268_014483-T1	DBVPG3775_005856-T1
GF00000298	CHIFNET13H1268_003301-T1	DBVPG3775_002256-T1
GF00000299	CHIFNET13H1268_007247-T1	DBVPG3775_003466-T1
GF00000300	CHIFNET13H1268_013443-T1	DBVPG3775_007395-T1
GF00000301	CHIFNET13H1268_007474-T1	DBVPG3775_006594-T1
GF00000302	CHIFNET13H1268_009523-T1	DBVPG3775_004887-T1
GF00000303	CHIFNET13H1268_003267-T1	DBVPG3775_004876-T1
GF00000304	CHIFNET13H1268_011393-T1	DBVPG3775_004253-T1
GF00000305	CHIFNET13H1268_002934-T1	DBVPG3775_001976-T1
GF00000306	CHIFNET13H1268_004872-T1	DBVPG3775_002925-T1
GF00000307	CHIFNET13H1268_003171-T1	DBVPG3775_007101-T1
GF00000308	CHIFNET13H1268_010033-T1	DBVPG3775_000759-T1
GF00000309	CHIFNET13H1268_014001-T1	DBVPG3775_003599-T1
GF00000310	CHIFNET13H1268_003803-T1	DBVPG3775_000234-T1
GF00000311	CHIFNET13H1268_004014-T1	DBVPG3775_002311-T1
GF00000312	CHIFNET13H1268_004261-T1	DBVPG3775_005355-T1
GF00000313	CHIFNET13H1268_006039-T1	DBVPG3775_004633-T1
GF00000314	CHIFNET13H1268_004645-T1	DBVPG3775_004469-T1
GF00000315	CHIFNET13H1268_013408-T1	DBVPG3775_001230-T1
GF00000316	CHIFNET13H1268_014053-T1	DBVPG3775_005873-T1
GF00000317	CHIFNET13H1268_008836-T1	DBVPG3775_000585-T1
GF00000318	CHIFNET13H1268_010885-T1	DBVPG3775_005826-T1
GF00000319	CHIFNET13H1268_005481-T1	DBVPG3775_003503-T1
GF00000320	CHIFNET13H1268_008150-T1	DBVPG3775_005842-T1
GF00000321	CHIFNET13H1268_012920-T1	DBVPG3775_004009-T1
GF00000322	CHIFNET13H1268_005796-T1	DBVPG3775_000695-T1
GF00000323	CHIFNET13H1268_006960-T1	DBVPG3775_006737-T1
GF00000324	CHIFNET13H1268_006113-T1	DBVPG3775_002756-T1
GF00000325	CHIFNET13H1268_007685-T1	DBVPG3775_005986-T1
GF00000326	CHIFNET13H1268_006545-T1	DBVPG3775_004741-T1
GF00000327	CHIFNET13H1268_007823-T1	DBVPG3775_005771-T1
GF00000328	CHIFNET13H1268_010200-T1	DBVPG3775_003255-T1
GF00000329	CHIFNET13H1268_008040-T1	DBVPG3775_004423-T1
GF00000330	CHIFNET13H1268_013648-T1	DBVPG3775_006814-T1
GF00000331	CHIFNET13H1268_013277-T1	DBVPG3775_004275-T1
GF00000332	CHIFNET13H1268_009315-T1	DBVPG3775_004960-T1
GF00000333	CHIFNET13H1268_009311-T1	DBVPG3775_004963-T1
GF00000334	CHIFNET13H1268_009390-T1	DBVPG3775_001740-T1
GF00000335	CHIFNET13H1268_014777-T1	DBVPG3775_007574-T1
GF00000336	CHIFNET13H1268_009985-T1	DBVPG3775_000733-T1
GF00000337	CHIFNET13H1268_011339-T1	DBVPG3775_005924-T1
GF00000338	CHIFNET13H1268_000020-T1	DBVPG3775_004167-T1
GF00000339	CHIFNET13H1268_000008-T1	DBVPG3775_004155-T1
GF00000340	CHIFNET13H1268_010371-T1	DBVPG3775_005572-T1
GF00000341	CHIFNET13H1268_004988-T1	DBVPG3775_001454-T1
GF00000342	CHIFNET13H1268_007043-T1	DBVPG3775_000257-T1
GF00000343	CHIFNET13H1268_010355-T1	DBVPG3775_005556-T1
GF00000344	CHIFNET13H1268_001300-T1	DBVPG3775_006924-T1
GF00000345	CHIFNET13H1268_006614-T1	DBVPG3775_001376-T1
GF00000346	CHIFNET13H1268_001734-T1	DBVPG3775_006913-T1
GF00000347	CHIFNET13H1268_004028-T1	DBVPG3775_002978-T1
GF00000348	CHIFNET13H1268_000115-T1	DBVPG3775_001393-T1
GF00000349	CHIFNET13H1268_014255-T1	DBVPG3775_006662-T1
GF00000350	CHIFNET13H1268_000136-T1	DBVPG3775_001414-T1
GF00000351	CHIFNET13H1268_007617-T1	DBVPG3775_001700-T1
GF00000352	CHIFNET13H1268_000375-T1	DBVPG3775_004533-T1
GF00000353	CHIFNET13H1268_014342-T1	DBVPG3775_006459-T1
GF00000354	CHIFNET13H1268_007360-T1	DBVPG3775_005626-T1
GF00000355	CHIFNET13H1268_010374-T1	DBVPG3775_005578-T1
GF00000356	CHIFNET13H1268_000247-T1	DBVPG3775_005621-T1
GF00000357	CHIFNET13H1268_007671-T1	DBVPG3775_005969-T1
GF00000358	CHIFNET13H1268_000266-T1	DBVPG3775_003612-T1
GF00000359	CHIFNET13H1268_000274-T1	DBVPG3775_003621-T1
GF00000360	CHIFNET13H1268_000310-T1	DBVPG3775_003663-T1
GF00000361	CHIFNET13H1268_011044-T1	DBVPG3775_003559-T1
GF00000362	CHIFNET13H1268_001983-T1	DBVPG3775_004575-T1
GF00000363	CHIFNET13H1268_005211-T1	DBVPG3775_000699-T1
GF00000364	CHIFNET13H1268_001978-T1	DBVPG3775_004558-T1
GF00000365	CHIFNET13H1268_010336-T1	DBVPG3775_006555-T1
GF00000366	CHIFNET13H1268_010335-T1	DBVPG3775_006556-T1
GF00000367	CHIFNET13H1268_011870-T1	DBVPG3775_002557-T1
GF00000368	CHIFNET13H1268_006895-T1	DBVPG3775_001949-T1
GF00000369	CHIFNET13H1268_001906-T1	DBVPG3775_004488-T1
GF00000370	CHIFNET13H1268_001901-T1	DBVPG3775_004482-T1
GF00000371	CHIFNET13H1268_000426-T1	DBVPG3775_006509-T1
GF00000372	CHIFNET13H1268_000435-T1	DBVPG3775_006519-T1
GF00000373	CHIFNET13H1268_000441-T1	DBVPG3775_006525-T1
GF00000374	CHIFNET13H1268_000444-T1	DBVPG3775_006528-T1
