	Rhodotorula_mucilaginosa_TFCN_17-333P-6.cds.fa
GF00000022	TFCN17333P6_006518-T1, TFCN17333P6_004804-T1, TFCN17333P6_010396-T1, TFCN17333P6_010395-T1, TFCN17333P6_004711-T1, TFCN17333P6_009188-T1, TFCN17333P6_008587-T1, TFCN17333P6_005216-T1, TFCN17333P6_012455-T1, TFCN17333P6_004712-T1, TFCN17333P6_010398-T1, TFCN17333P6_004713-T1, TFCN17333P6_010397-T1
GF00000023	TFCN17333P6_010840-T1, TFCN17333P6_008835-T1, TFCN17333P6_013807-T1, TFCN17333P6_007943-T1, TFCN17333P6_004951-T1, TFCN17333P6_001105-T1, TFCN17333P6_013806-T1, TFCN17333P6_012745-T1, TFCN17333P6_000350-T1, TFCN17333P6_012743-T1, TFCN17333P6_000352-T1, TFCN17333P6_007942-T1, TFCN17333P6_007941-T1
GF00000024	TFCN17333P6_012911-T1, TFCN17333P6_010700-T1, TFCN17333P6_008061-T1, TFCN17333P6_011310-T1, TFCN17333P6_000162-T1, TFCN17333P6_007139-T1, TFCN17333P6_011946-T1, TFCN17333P6_009591-T1, TFCN17333P6_011308-T1, TFCN17333P6_000161-T1, TFCN17333P6_014898-T1, TFCN17333P6_014897-T1
GF00000025	TFCN17333P6_012751-T1, TFCN17333P6_013645-T1, TFCN17333P6_000308-T1, TFCN17333P6_000343-T1, TFCN17333P6_000344-T1, TFCN17333P6_012750-T1, TFCN17333P6_013736-T1, TFCN17333P6_013492-T1, TFCN17333P6_013434-T1, TFCN17333P6_013646-T1, TFCN17333P6_001518-T1, TFCN17333P6_000309-T1
GF00000026	TFCN17333P6_013187-T1, TFCN17333P6_005310-T1, TFCN17333P6_007140-T1, TFCN17333P6_002923-T1, TFCN17333P6_011434-T1, TFCN17333P6_002803-T1, TFCN17333P6_005167-T1, TFCN17333P6_011587-T1, TFCN17333P6_011233-T1, TFCN17333P6_011232-T1, TFCN17333P6_013731-T1, TFCN17333P6_000334-T1
GF00000027	TFCN17333P6_009014-T1, TFCN17333P6_013277-T1, TFCN17333P6_002089-T1, TFCN17333P6_002350-T1, TFCN17333P6_001051-T1, TFCN17333P6_012933-T1, TFCN17333P6_004893-T1, TFCN17333P6_008267-T1, TFCN17333P6_013318-T1, TFCN17333P6_008821-T1, TFCN17333P6_014411-T1, TFCN17333P6_004857-T1
GF00000028	TFCN17333P6_001404-T1, TFCN17333P6_006541-T1, TFCN17333P6_013991-T1, TFCN17333P6_013370-T1, TFCN17333P6_013369-T1, TFCN17333P6_013993-T1, TFCN17333P6_013368-T1, TFCN17333P6_006793-T1, TFCN17333P6_013992-T1, TFCN17333P6_004792-T1, TFCN17333P6_012058-T1
GF00000029	TFCN17333P6_002733-T1, TFCN17333P6_009889-T1, TFCN17333P6_010818-T1, TFCN17333P6_001851-T1, TFCN17333P6_014652-T1, TFCN17333P6_014650-T1, TFCN17333P6_001850-T1, TFCN17333P6_009890-T1, TFCN17333P6_009891-T1, TFCN17333P6_001274-T1, TFCN17333P6_001273-T1
GF00000030	TFCN17333P6_004305-T1, TFCN17333P6_013642-T1, TFCN17333P6_000306-T1, TFCN17333P6_008760-T1, TFCN17333P6_012793-T1, TFCN17333P6_004445-T1, TFCN17333P6_006896-T1, TFCN17333P6_002307-T1, TFCN17333P6_005908-T1, TFCN17333P6_002029-T1, TFCN17333P6_005462-T1
GF00000031	TFCN17333P6_002845-T1, TFCN17333P6_002880-T1, TFCN17333P6_010724-T1, TFCN17333P6_001874-T1, TFCN17333P6_014392-T1, TFCN17333P6_009782-T1, TFCN17333P6_000885-T1, TFCN17333P6_003270-T1, TFCN17333P6_002500-T1, TFCN17333P6_005934-T1, TFCN17333P6_000368-T1
GF00000032	TFCN17333P6_003616-T1, TFCN17333P6_003631-T1, TFCN17333P6_002594-T1, TFCN17333P6_003633-T1, TFCN17333P6_003632-T1, TFCN17333P6_003617-T1, TFCN17333P6_002605-T1, TFCN17333P6_002603-T1, TFCN17333P6_003618-T1, TFCN17333P6_002604-T1, TFCN17333P6_002595-T1
GF00000033	TFCN17333P6_007379-T1, TFCN17333P6_009641-T1, TFCN17333P6_006135-T1, TFCN17333P6_006137-T1, TFCN17333P6_009145-T1, TFCN17333P6_006134-T1, TFCN17333P6_006136-T1, TFCN17333P6_001204-T1, TFCN17333P6_014754-T1, TFCN17333P6_001206-T1
GF00000034	TFCN17333P6_008864-T1, TFCN17333P6_014789-T1, TFCN17333P6_007267-T1, TFCN17333P6_008865-T1, TFCN17333P6_013749-T1, TFCN17333P6_005077-T1, TFCN17333P6_007266-T1, TFCN17333P6_004465-T1, TFCN17333P6_014788-T1, TFCN17333P6_004464-T1
GF00000035	TFCN17333P6_003772-T1, TFCN17333P6_010938-T1, TFCN17333P6_014517-T1, TFCN17333P6_002731-T1, TFCN17333P6_003334-T1, TFCN17333P6_013085-T1, TFCN17333P6_009725-T1, TFCN17333P6_013764-T1, TFCN17333P6_005090-T1, TFCN17333P6_001276-T1
GF00000036	TFCN17333P6_009453-T1, TFCN17333P6_000533-T1, TFCN17333P6_008010-T1, TFCN17333P6_013142-T1, TFCN17333P6_013308-T1, TFCN17333P6_006507-T1, TFCN17333P6_014869-T1, TFCN17333P6_010471-T1, TFCN17333P6_014112-T1, TFCN17333P6_005573-T1
GF00000037	TFCN17333P6_009137-T1, TFCN17333P6_007386-T1, TFCN17333P6_000494-T1, TFCN17333P6_007135-T1, TFCN17333P6_010379-T1, TFCN17333P6_004729-T1, TFCN17333P6_011942-T1, TFCN17333P6_000496-T1, TFCN17333P6_004757-T1, TFCN17333P6_007133-T1
GF00000038	TFCN17333P6_003164-T1, TFCN17333P6_012317-T1, TFCN17333P6_003888-T1, TFCN17333P6_003885-T1, TFCN17333P6_003165-T1, TFCN17333P6_013554-T1, TFCN17333P6_003886-T1, TFCN17333P6_003887-T1, TFCN17333P6_012121-T1
GF00000039	TFCN17333P6_002114-T1, TFCN17333P6_014011-T1, TFCN17333P6_011758-T1, TFCN17333P6_006320-T1, TFCN17333P6_004756-T1, TFCN17333P6_000495-T1, TFCN17333P6_001942-T1, TFCN17333P6_012708-T1, TFCN17333P6_011650-T1
GF00000040	TFCN17333P6_004528-T1, TFCN17333P6_014136-T1, TFCN17333P6_006588-T1, TFCN17333P6_013972-T1, TFCN17333P6_014747-T1, TFCN17333P6_013973-T1, TFCN17333P6_014801-T1, TFCN17333P6_004532-T1, TFCN17333P6_014895-T1
GF00000041	TFCN17333P6_009117-T1, TFCN17333P6_012209-T1, TFCN17333P6_007407-T1, TFCN17333P6_001327-T1, TFCN17333P6_014876-T1, TFCN17333P6_014833-T1, TFCN17333P6_014882-T1, TFCN17333P6_014751-T1, TFCN17333P6_014912-T1
GF00000042	TFCN17333P6_014509-T1, TFCN17333P6_003350-T1, TFCN17333P6_010441-T1, TFCN17333P6_000267-T1, TFCN17333P6_003343-T1, TFCN17333P6_009168-T1, TFCN17333P6_008603-T1, TFCN17333P6_012263-T1, TFCN17333P6_012264-T1
GF00000043	TFCN17333P6_006742-T1, TFCN17333P6_001460-T1, TFCN17333P6_002741-T1, TFCN17333P6_001266-T1, TFCN17333P6_012017-T1, TFCN17333P6_001610-T1, TFCN17333P6_009132-T1, TFCN17333P6_007391-T1, TFCN17333P6_014787-T1
GF00000044	TFCN17333P6_005328-T1, TFCN17333P6_004033-T1, TFCN17333P6_004292-T1, TFCN17333P6_010434-T1, TFCN17333P6_000274-T1, TFCN17333P6_009742-T1, TFCN17333P6_009667-T1, TFCN17333P6_010677-T1, TFCN17333P6_010676-T1
GF00000045	TFCN17333P6_000923-T1, TFCN17333P6_005019-T1, TFCN17333P6_003225-T1, TFCN17333P6_002456-T1, TFCN17333P6_004332-T1, TFCN17333P6_008903-T1, TFCN17333P6_002588-T1, TFCN17333P6_009487-T1, TFCN17333P6_003638-T1
GF00000046	TFCN17333P6_006336-T1, TFCN17333P6_002133-T1, TFCN17333P6_013326-T1, TFCN17333P6_002096-T1, TFCN17333P6_002098-T1, TFCN17333P6_002132-T1, TFCN17333P6_006335-T1, TFCN17333P6_002097-T1, TFCN17333P6_013327-T1
GF00000047	TFCN17333P6_006601-T1, TFCN17333P6_012191-T1, TFCN17333P6_003748-T1, TFCN17333P6_009638-T1, TFCN17333P6_002725-T1, TFCN17333P6_001280-T1, TFCN17333P6_012174-T1, TFCN17333P6_008551-T1, TFCN17333P6_009639-T1
GF00000048	TFCN17333P6_006343-T1, TFCN17333P6_012320-T1, TFCN17333P6_013557-T1, TFCN17333P6_008029-T1, TFCN17333P6_009473-T1, TFCN17333P6_013459-T1, TFCN17333P6_001562-T1, TFCN17333P6_002141-T1, TFCN17333P6_002140-T1
GF00000049	TFCN17333P6_011508-T1, TFCN17333P6_008622-T1, TFCN17333P6_000668-T1, TFCN17333P6_008623-T1, TFCN17333P6_011495-T1, TFCN17333P6_011498-T1, TFCN17333P6_011507-T1, TFCN17333P6_011496-T1, TFCN17333P6_000677-T1
GF00000050	TFCN17333P6_013827-T1, TFCN17333P6_005057-T1, TFCN17333P6_001144-T1, TFCN17333P6_006687-T1, TFCN17333P6_006207-T1, TFCN17333P6_006279-T1, TFCN17333P6_011255-T1, TFCN17333P6_012508-T1
GF00000051	TFCN17333P6_006239-T1, TFCN17333P6_006158-T1, TFCN17333P6_006159-T1, TFCN17333P6_002893-T1, TFCN17333P6_002833-T1, TFCN17333P6_011404-T1, TFCN17333P6_011405-T1, TFCN17333P6_011403-T1
GF00000052	TFCN17333P6_007886-T1, TFCN17333P6_007680-T1, TFCN17333P6_002409-T1, TFCN17333P6_003178-T1, TFCN17333P6_013138-T1, TFCN17333P6_012414-T1, TFCN17333P6_001004-T1, TFCN17333P6_007186-T1
GF00000053	TFCN17333P6_007148-T1, TFCN17333P6_000963-T1, TFCN17333P6_007150-T1, TFCN17333P6_000965-T1, TFCN17333P6_001961-T1, TFCN17333P6_002391-T1, TFCN17333P6_007157-T1, TFCN17333P6_000975-T1
GF00000054	TFCN17333P6_003146-T1, TFCN17333P6_003145-T1, TFCN17333P6_009077-T1, TFCN17333P6_003147-T1, TFCN17333P6_009076-T1, TFCN17333P6_009072-T1, TFCN17333P6_009073-T1, TFCN17333P6_009075-T1
GF00000055	TFCN17333P6_003161-T1, TFCN17333P6_012321-T1, TFCN17333P6_012313-T1, TFCN17333P6_012312-T1, TFCN17333P6_012307-T1, TFCN17333P6_003160-T1, TFCN17333P6_013559-T1, TFCN17333P6_013558-T1
GF00000056	TFCN17333P6_000827-T1, TFCN17333P6_005634-T1, TFCN17333P6_005700-T1, TFCN17333P6_009102-T1, TFCN17333P6_009524-T1, TFCN17333P6_000758-T1, TFCN17333P6_010625-T1, TFCN17333P6_007422-T1
GF00000057	TFCN17333P6_005486-T1, TFCN17333P6_002048-T1, TFCN17333P6_011347-T1, TFCN17333P6_011199-T1, TFCN17333P6_006122-T1, TFCN17333P6_000455-T1, TFCN17333P6_006020-T1, TFCN17333P6_012596-T1
GF00000058	TFCN17333P6_002467-T1, TFCN17333P6_003236-T1, TFCN17333P6_014199-T1, TFCN17333P6_002976-T1, TFCN17333P6_013236-T1, TFCN17333P6_000223-T1, TFCN17333P6_005105-T1, TFCN17333P6_010772-T1
GF00000059	TFCN17333P6_007571-T1, TFCN17333P6_004631-T1, TFCN17333P6_014708-T1, TFCN17333P6_012109-T1, TFCN17333P6_012111-T1, TFCN17333P6_012112-T1, TFCN17333P6_012113-T1
GF00000060	TFCN17333P6_011975-T1, TFCN17333P6_005004-T1, TFCN17333P6_001060-T1, TFCN17333P6_008301-T1, TFCN17333P6_011971-T1, TFCN17333P6_008295-T1, TFCN17333P6_008296-T1
GF00000061	TFCN17333P6_007582-T1, TFCN17333P6_004642-T1, TFCN17333P6_013160-T1, TFCN17333P6_010590-T1, TFCN17333P6_005632-T1, TFCN17333P6_000829-T1, TFCN17333P6_004643-T1
GF00000062	TFCN17333P6_004584-T1, TFCN17333P6_007982-T1, TFCN17333P6_007526-T1, TFCN17333P6_003059-T1, TFCN17333P6_006131-T1, TFCN17333P6_006132-T1, TFCN17333P6_003060-T1
GF00000063	TFCN17333P6_009345-T1, TFCN17333P6_003822-T1, TFCN17333P6_009339-T1, TFCN17333P6_009343-T1, TFCN17333P6_009344-T1, TFCN17333P6_009341-T1, TFCN17333P6_009340-T1
GF00000064	TFCN17333P6_010723-T1, TFCN17333P6_002846-T1, TFCN17333P6_002879-T1, TFCN17333P6_007933-T1, TFCN17333P6_014291-T1, TFCN17333P6_010563-T1, TFCN17333P6_005743-T1
GF00000065	TFCN17333P6_011037-T1, TFCN17333P6_014729-T1, TFCN17333P6_013877-T1, TFCN17333P6_014730-T1, TFCN17333P6_013878-T1, TFCN17333P6_011112-T1, TFCN17333P6_011113-T1
GF00000066	TFCN17333P6_006221-T1, TFCN17333P6_005953-T1, TFCN17333P6_000390-T1, TFCN17333P6_011097-T1, TFCN17333P6_010560-T1, TFCN17333P6_012023-T1, TFCN17333P6_010089-T1
GF00000067	TFCN17333P6_005596-T1, TFCN17333P6_000557-T1, TFCN17333P6_005595-T1, TFCN17333P6_000556-T1, TFCN17333P6_002093-T1, TFCN17333P6_013322-T1, TFCN17333P6_013323-T1
GF00000068	TFCN17333P6_003622-T1, TFCN17333P6_004863-T1, TFCN17333P6_004888-T1, TFCN17333P6_004887-T1, TFCN17333P6_001419-T1, TFCN17333P6_004864-T1, TFCN17333P6_006779-T1
GF00000069	TFCN17333P6_008630-T1, TFCN17333P6_008631-T1, TFCN17333P6_000682-T1, TFCN17333P6_008606-T1, TFCN17333P6_009164-T1, TFCN17333P6_009165-T1, TFCN17333P6_000681-T1
GF00000070	TFCN17333P6_000391-T1, TFCN17333P6_005954-T1, TFCN17333P6_006710-T1, TFCN17333P6_000005-T1, TFCN17333P6_008568-T1, TFCN17333P6_009207-T1, TFCN17333P6_010929-T1
GF00000071	TFCN17333P6_007227-T1, TFCN17333P6_007258-T1, TFCN17333P6_008069-T1, TFCN17333P6_003439-T1, TFCN17333P6_007616-T1, TFCN17333P6_007257-T1, TFCN17333P6_007640-T1
GF00000072	TFCN17333P6_005875-T1, TFCN17333P6_005871-T1, TFCN17333P6_005870-T1, TFCN17333P6_005872-T1, TFCN17333P6_005874-T1, TFCN17333P6_009996-T1, TFCN17333P6_009997-T1
GF00000073	TFCN17333P6_003479-T1, TFCN17333P6_003452-T1, TFCN17333P6_003458-T1, TFCN17333P6_003469-T1, TFCN17333P6_008168-T1, TFCN17333P6_014614-T1, TFCN17333P6_003470-T1
GF00000074	TFCN17333P6_010032-T1, TFCN17333P6_005833-T1, TFCN17333P6_013529-T1, TFCN17333P6_012664-T1, TFCN17333P6_012660-T1, TFCN17333P6_014359-T1, TFCN17333P6_014358-T1
GF00000075	TFCN17333P6_011497-T1, TFCN17333P6_008625-T1, TFCN17333P6_011494-T1, TFCN17333P6_008624-T1, TFCN17333P6_011504-T1, TFCN17333P6_011506-T1, TFCN17333P6_011505-T1
GF00000076	TFCN17333P6_006346-T1, TFCN17333P6_002144-T1, TFCN17333P6_005606-T1, TFCN17333P6_008676-T1, TFCN17333P6_000726-T1, TFCN17333P6_000568-T1, TFCN17333P6_000567-T1
GF00000077	TFCN17333P6_001231-T1, TFCN17333P6_002776-T1, TFCN17333P6_002777-T1, TFCN17333P6_002779-T1, TFCN17333P6_001232-T1, TFCN17333P6_002778-T1, TFCN17333P6_001233-T1
