	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000160	TFCN17334Y5_013870-T1	DBVPG3775_005546-T1
GF00000161	TFCN17334Y5_014591-T1	DBVPG3775_007575-T1
GF00000162	TFCN17334Y5_008175-T1	DBVPG3775_003267-T1
GF00000163	TFCN17334Y5_013940-T1	DBVPG3775_005942-T1
GF00000164	TFCN17334Y5_006028-T1	DBVPG3775_003607-T1
GF00000165	TFCN17334Y5_000994-T1	DBVPG3775_001329-T1
GF00000166	TFCN17334Y5_001827-T1	DBVPG3775_001140-T1
GF00000167	TFCN17334Y5_001188-T1	DBVPG3775_001104-T1
GF00000168	TFCN17334Y5_004114-T1	DBVPG3775_002965-T1
GF00000169	TFCN17334Y5_003529-T1	DBVPG3775_002488-T1
GF00000170	TFCN17334Y5_003645-T1	DBVPG3775_003841-T1
GF00000171	TFCN17334Y5_006841-T1	DBVPG3775_000814-T1
GF00000172	TFCN17334Y5_005750-T1	DBVPG3775_003677-T1
GF00000173	TFCN17334Y5_004488-T1	DBVPG3775_006439-T1
GF00000174	TFCN17334Y5_006429-T1	DBVPG3775_004544-T1
GF00000175	TFCN17334Y5_005463-T1	DBVPG3775_001993-T1
GF00000176	TFCN17334Y5_013014-T1	DBVPG3775_007063-T1
GF00000177	TFCN17334Y5_003666-T1	DBVPG3775_003861-T1
GF00000178	TFCN17334Y5_001970-T1	DBVPG3775_007442-T1
GF00000179	TFCN17334Y5_002027-T1	DBVPG3775_004731-T1
GF00000180	TFCN17334Y5_008542-T1	DBVPG3775_001795-T1
GF00000181	TFCN17334Y5_002321-T1	DBVPG3775_000312-T1
GF00000182	TFCN17334Y5_005496-T1	DBVPG3775_001961-T1
GF00000183	TFCN17334Y5_002386-T1	DBVPG3775_000376-T1
GF00000184	TFCN17334Y5_005920-T1	DBVPG3775_004711-T1
GF00000185	TFCN17334Y5_013544-T1	DBVPG3775_001832-T1
GF00000186	TFCN17334Y5_002756-T1	DBVPG3775_002291-T1
GF00000187	TFCN17334Y5_003357-T1	DBVPG3775_002180-T1
GF00000188	TFCN17334Y5_003028-T1	DBVPG3775_003496-T1
GF00000189	TFCN17334Y5_013175-T1	DBVPG3775_003229-T1
GF00000190	TFCN17334Y5_011847-T1	DBVPG3775_006357-T1
GF00000191	TFCN17334Y5_012691-T1	DBVPG3775_004809-T1
GF00000192	TFCN17334Y5_006082-T1	DBVPG3775_004760-T1
GF00000193	TFCN17334Y5_012211-T1	DBVPG3775_007022-T1
GF00000194	TFCN17334Y5_013469-T1	DBVPG3775_006806-T1
GF00000195	TFCN17334Y5_010995-T1	DBVPG3775_003422-T1
GF00000196	TFCN17334Y5_006724-T1	DBVPG3775_001452-T1
GF00000197	TFCN17334Y5_004972-T1	DBVPG3775_001667-T1
GF00000198	TFCN17334Y5_007691-T1	DBVPG3775_002706-T1
GF00000199	TFCN17334Y5_006078-T1	DBVPG3775_004721-T1
GF00000200	TFCN17334Y5_006088-T1	DBVPG3775_004754-T1
GF00000201	TFCN17334Y5_009697-T1	DBVPG3775_006220-T1
GF00000202	TFCN17334Y5_012621-T1	DBVPG3775_006850-T1
GF00000203	TFCN17334Y5_009660-T1	DBVPG3775_001517-T1
GF00000204	TFCN17334Y5_010438-T1	DBVPG3775_006896-T1
GF00000205	TFCN17334Y5_008688-T1	DBVPG3775_002858-T1
GF00000206	TFCN17334Y5_000198-T1	DBVPG3775_003104-T1
GF00000207	TFCN17334Y5_000236-T1	DBVPG3775_003066-T1
GF00000208	TFCN17334Y5_011524-T1	DBVPG3775_002336-T1
GF00000209	TFCN17334Y5_002269-T1	DBVPG3775_000258-T1
GF00000210	TFCN17334Y5_000720-T1	DBVPG3775_000249-T1
GF00000211	TFCN17334Y5_001065-T1	DBVPG3775_001230-T1
GF00000212	TFCN17334Y5_013505-T1	DBVPG3775_002006-T1
GF00000213	TFCN17334Y5_001105-T1	DBVPG3775_001192-T1
GF00000214	TFCN17334Y5_001404-T1	DBVPG3775_001025-T1
GF00000215	TFCN17334Y5_002074-T1	DBVPG3775_001049-T1
GF00000216	TFCN17334Y5_001942-T1	DBVPG3775_004230-T1
GF00000217	TFCN17334Y5_002053-T1	DBVPG3775_004118-T1
GF00000218	TFCN17334Y5_012454-T1	DBVPG3775_005328-T1
GF00000219	TFCN17334Y5_002749-T1	DBVPG3775_002298-T1
GF00000220	TFCN17334Y5_011574-T1	DBVPG3775_003466-T1
GF00000221	TFCN17334Y5_009965-T1	DBVPG3775_003306-T1
GF00000222	TFCN17334Y5_006299-T1	DBVPG3775_002037-T1
GF00000223	TFCN17334Y5_004288-T1	DBVPG3775_001338-T1
GF00000224	TFCN17334Y5_010313-T1	DBVPG3775_001380-T1
GF00000225	TFCN17334Y5_004387-T1	DBVPG3775_000649-T1
GF00000226	TFCN17334Y5_008206-T1	DBVPG3775_000593-T1
GF00000227	TFCN17334Y5_008207-T1	DBVPG3775_000591-T1
GF00000228	TFCN17334Y5_009231-T1	DBVPG3775_006611-T1
GF00000229	TFCN17334Y5_008887-T1	DBVPG3775_004735-T1
GF00000230	TFCN17334Y5_011668-T1	DBVPG3775_006162-T1
GF00000231	TFCN17334Y5_009456-T1	DBVPG3775_006014-T1
GF00000232	TFCN17334Y5_013883-T1	DBVPG3775_005534-T1
GF00000233	TFCN17334Y5_006941-T1	DBVPG3775_002840-T1
GF00000234	TFCN17334Y5_007193-T1	DBVPG3775_003187-T1
GF00000235	TFCN17334Y5_008434-T1	DBVPG3775_002745-T1
GF00000236	TFCN17334Y5_010399-T1	DBVPG3775_002596-T1
GF00000237	TFCN17334Y5_014516-T1	DBVPG3775_007561-T1
GF00000238	TFCN17334Y5_011551-T1	DBVPG3775_003255-T1
GF00000239	TFCN17334Y5_008388-T1	DBVPG3775_006264-T1
GF00000240	TFCN17334Y5_001539-T1	DBVPG3775_003709-T1
GF00000241	TFCN17334Y5_004452-T1	DBVPG3775_006418-T1
GF00000242	TFCN17334Y5_013266-T1	DBVPG3775_006643-T1
GF00000243	TFCN17334Y5_009352-T1	DBVPG3775_004409-T1
GF00000244	TFCN17334Y5_007365-T1	DBVPG3775_005791-T1
GF00000245	TFCN17334Y5_009987-T1	DBVPG3775_001256-T1
GF00000246	TFCN17334Y5_010831-T1	DBVPG3775_005145-T1
GF00000247	TFCN17334Y5_000561-T1	DBVPG3775_002196-T1
GF00000248	TFCN17334Y5_007541-T1	DBVPG3775_000234-T1
GF00000249	TFCN17334Y5_006911-T1	DBVPG3775_005531-T1
GF00000250	TFCN17334Y5_000962-T1	DBVPG3775_000155-T1
GF00000251	TFCN17334Y5_013861-T1	DBVPG3775_002585-T1
GF00000252	TFCN17334Y5_001690-T1	DBVPG3775_001297-T1
GF00000253	TFCN17334Y5_003578-T1	DBVPG3775_006039-T1
GF00000254	TFCN17334Y5_010301-T1	DBVPG3775_001393-T1
GF00000255	TFCN17334Y5_005003-T1	DBVPG3775_001117-T1
GF00000256	TFCN17334Y5_009754-T1	DBVPG3775_005857-T1
GF00000257	TFCN17334Y5_001406-T1	DBVPG3775_000775-T1
GF00000258	TFCN17334Y5_001335-T1	DBVPG3775_002405-T1
GF00000259	TFCN17334Y5_008652-T1	DBVPG3775_002822-T1
GF00000260	TFCN17334Y5_009612-T1	DBVPG3775_002930-T1
GF00000261	TFCN17334Y5_008112-T1	DBVPG3775_006913-T1
GF00000262	TFCN17334Y5_013010-T1	DBVPG3775_007059-T1
GF00000263	TFCN17334Y5_008773-T1	DBVPG3775_005645-T1
GF00000264	TFCN17334Y5_002326-T1	DBVPG3775_001936-T1
GF00000265	TFCN17334Y5_010418-T1	DBVPG3775_000345-T1
GF00000266	TFCN17334Y5_002441-T1	DBVPG3775_005314-T1
GF00000267	TFCN17334Y5_002483-T1	DBVPG3775_004533-T1
GF00000268	TFCN17334Y5_009961-T1	DBVPG3775_003302-T1
GF00000269	TFCN17334Y5_002705-T1	DBVPG3775_004398-T1
GF00000270	TFCN17334Y5_002790-T1	DBVPG3775_002256-T1
GF00000271	TFCN17334Y5_013168-T1	DBVPG3775_003223-T1
GF00000272	TFCN17334Y5_008595-T1	DBVPG3775_003362-T1
GF00000273	TFCN17334Y5_004053-T1	DBVPG3775_007395-T1
GF00000274	TFCN17334Y5_003828-T1	DBVPG3775_005215-T1
GF00000275	TFCN17334Y5_007005-T1	DBVPG3775_005206-T1
GF00000276	TFCN17334Y5_003624-T1	DBVPG3775_006397-T1
GF00000277	TFCN17334Y5_003781-T1	DBVPG3775_003968-T1
GF00000278	TFCN17334Y5_007003-T1	DBVPG3775_005203-T1
GF00000279	TFCN17334Y5_013096-T1	DBVPG3775_004253-T1
GF00000280	TFCN17334Y5_005383-T1	DBVPG3775_004876-T1
GF00000281	TFCN17334Y5_005588-T1	DBVPG3775_006594-T1
GF00000282	TFCN17334Y5_007917-T1	DBVPG3775_006573-T1
GF00000283	TFCN17334Y5_009857-T1	DBVPG3775_002917-T1
GF00000284	TFCN17334Y5_004327-T1	DBVPG3775_001377-T1
GF00000285	TFCN17334Y5_004340-T1	DBVPG3775_000695-T1
GF00000286	TFCN17334Y5_009367-T1	DBVPG3775_007517-T1
GF00000287	TFCN17334Y5_004738-T1	DBVPG3775_003646-T1
GF00000288	TFCN17334Y5_013999-T1	DBVPG3775_003601-T1
GF00000289	TFCN17334Y5_005202-T1	DBVPG3775_001670-T1
GF00000290	TFCN17334Y5_008842-T1	DBVPG3775_004672-T1
GF00000291	TFCN17334Y5_005124-T1	DBVPG3775_007522-T1
GF00000292	TFCN17334Y5_005465-T1	DBVPG3775_001991-T1
GF00000293	TFCN17334Y5_007592-T1	DBVPG3775_007454-T1
GF00000294	TFCN17334Y5_006072-T1	DBVPG3775_004773-T1
GF00000295	TFCN17334Y5_012058-T1	DBVPG3775_003236-T1
GF00000296	TFCN17334Y5_007170-T1	DBVPG3775_003215-T1
GF00000297	TFCN17334Y5_011944-T1	DBVPG3775_005924-T1
GF00000298	TFCN17334Y5_014586-T1	DBVPG3775_005915-T1
GF00000299	TFCN17334Y5_008436-T1	DBVPG3775_002749-T1
GF00000300	TFCN17334Y5_008706-T1	DBVPG3775_002522-T1
GF00000301	TFCN17334Y5_011980-T1	DBVPG3775_002575-T1
GF00000302	TFCN17334Y5_009317-T1	DBVPG3775_004376-T1
GF00000303	TFCN17334Y5_009535-T1	DBVPG3775_005355-T1
GF00000304	TFCN17334Y5_013235-T1	DBVPG3775_004633-T1
GF00000305	TFCN17334Y5_010804-T1	DBVPG3775_000730-T1
GF00000306	TFCN17334Y5_010251-T1	DBVPG3775_000733-T1
GF00000307	TFCN17334Y5_010417-T1	DBVPG3775_006842-T1
GF00000308	TFCN17334Y5_010078-T1	DBVPG3775_006269-T1
GF00000309	TFCN17334Y5_003936-T1	DBVPG3775_007157-T1
GF00000310	TFCN17334Y5_000018-T1	DBVPG3775_006252-T1
GF00000311	TFCN17334Y5_000265-T1	DBVPG3775_005054-T1
GF00000312	TFCN17334Y5_000060-T1	DBVPG3775_006947-T1
GF00000313	TFCN17334Y5_010380-T1	DBVPG3775_002621-T1
GF00000314	TFCN17334Y5_000078-T1	DBVPG3775_006965-T1
GF00000315	TFCN17334Y5_000081-T1	DBVPG3775_006968-T1
GF00000316	TFCN17334Y5_013272-T1	DBVPG3775_006652-T1
GF00000317	TFCN17334Y5_011094-T1	DBVPG3775_005969-T1
GF00000318	TFCN17334Y5_000105-T1	DBVPG3775_006421-T1
GF00000319	TFCN17334Y5_002049-T1	DBVPG3775_004122-T1
GF00000320	TFCN17334Y5_000110-T1	DBVPG3775_005938-T1
GF00000321	TFCN17334Y5_005969-T1	DBVPG3775_003544-T1
GF00000322	TFCN17334Y5_006762-T1	DBVPG3775_001414-T1
GF00000323	TFCN17334Y5_000143-T1	DBVPG3775_003156-T1
GF00000324	TFCN17334Y5_006319-T1	DBVPG3775_006931-T1
GF00000325	TFCN17334Y5_007665-T1	DBVPG3775_002677-T1
GF00000326	TFCN17334Y5_007939-T1	DBVPG3775_003007-T1
GF00000327	TFCN17334Y5_013180-T1	DBVPG3775_006582-T1
GF00000328	TFCN17334Y5_006827-T1	DBVPG3775_001949-T1
GF00000329	TFCN17334Y5_012161-T1	DBVPG3775_001970-T1
GF00000330	TFCN17334Y5_004782-T1	DBVPG3775_006696-T1
GF00000331	TFCN17334Y5_004261-T1	DBVPG3775_005572-T1
GF00000332	TFCN17334Y5_000231-T1	DBVPG3775_003071-T1
GF00000333	TFCN17334Y5_000237-T1	DBVPG3775_003065-T1
GF00000334	TFCN17334Y5_000251-T1	DBVPG3775_003051-T1
GF00000335	TFCN17334Y5_000262-T1	DBVPG3775_005051-T1
GF00000336	TFCN17334Y5_003805-T1	DBVPG3775_005238-T1
GF00000337	TFCN17334Y5_000276-T1	DBVPG3775_005065-T1
GF00000338	TFCN17334Y5_010223-T1	DBVPG3775_000703-T1
GF00000339	TFCN17334Y5_000294-T1	DBVPG3775_005084-T1
GF00000340	TFCN17334Y5_000307-T1	DBVPG3775_005097-T1
GF00000341	TFCN17334Y5_000591-T1	DBVPG3775_000263-T1
GF00000342	TFCN17334Y5_000332-T1	DBVPG3775_005122-T1
GF00000343	TFCN17334Y5_000339-T1	DBVPG3775_005129-T1
GF00000344	TFCN17334Y5_010660-T1	DBVPG3775_006147-T1
GF00000345	TFCN17334Y5_008990-T1	DBVPG3775_004294-T1
GF00000346	TFCN17334Y5_010968-T1	
GF00000347	TFCN17334Y5_000382-T1	DBVPG3775_004306-T1
GF00000348	TFCN17334Y5_008975-T1	DBVPG3775_004311-T1
GF00000349	TFCN17334Y5_010513-T1	DBVPG3775_001584-T1
GF00000350	TFCN17334Y5_000413-T1	DBVPG3775_004342-T1
GF00000351	TFCN17334Y5_008511-T1	DBVPG3775_003386-T1
GF00000352	TFCN17334Y5_002951-T1	DBVPG3775_005842-T1
GF00000353	TFCN17334Y5_000437-T1	DBVPG3775_004097-T1
GF00000354	TFCN17334Y5_007806-T1	DBVPG3775_002667-T1
GF00000355	TFCN17334Y5_004556-T1	DBVPG3775_007010-T1
GF00000356	TFCN17334Y5_000503-T1	DBVPG3775_004029-T1
GF00000357	TFCN17334Y5_012528-T1	DBVPG3775_004019-T1
GF00000358	TFCN17334Y5_003708-T1	DBVPG3775_003902-T1
GF00000359	TFCN17334Y5_002298-T1	DBVPG3775_000288-T1
GF00000360	TFCN17334Y5_000687-T1	DBVPG3775_000282-T1
GF00000361	TFCN17334Y5_000701-T1	DBVPG3775_000268-T1
GF00000362	TFCN17334Y5_000712-T1	DBVPG3775_000257-T1
GF00000363	TFCN17334Y5_003054-T1	DBVPG3775_003471-T1
GF00000364	TFCN17334Y5_001726-T1	DBVPG3775_001241-T1
GF00000365	TFCN17334Y5_005205-T1	DBVPG3775_006809-T1
GF00000366	TFCN17334Y5_000762-T1	DBVPG3775_000208-T1
GF00000367	TFCN17334Y5_002354-T1	DBVPG3775_000346-T1
GF00000368	TFCN17334Y5_002406-T1	DBVPG3775_000395-T1
GF00000369	TFCN17334Y5_000791-T1	DBVPG3775_000179-T1
GF00000370	TFCN17334Y5_005439-T1	DBVPG3775_002016-T1
GF00000371	TFCN17334Y5_000829-T1	DBVPG3775_000139-T1
GF00000372	TFCN17334Y5_003667-T1	DBVPG3775_004254-T1
GF00000373	TFCN17334Y5_000849-T1	DBVPG3775_000120-T1
GF00000374	TFCN17334Y5_002528-T1	DBVPG3775_000500-T1
GF00000375	TFCN17334Y5_013221-T1	DBVPG3775_004646-T1
GF00000376	TFCN17334Y5_000865-T1	DBVPG3775_000105-T1
GF00000377	TFCN17334Y5_013395-T1	DBVPG3775_000094-T1
GF00000378	TFCN17334Y5_014468-T1	DBVPG3775_003612-T1
GF00000379	TFCN17334Y5_005431-T1	DBVPG3775_002024-T1
GF00000380	TFCN17334Y5_014491-T1	DBVPG3775_007354-T1
GF00000381	TFCN17334Y5_002647-T1	DBVPG3775_004462-T1
GF00000382	TFCN17334Y5_004980-T1	DBVPG3775_001675-T1
GF00000383	TFCN17334Y5_009852-T1	DBVPG3775_002071-T1
GF00000384	TFCN17334Y5_008317-T1	DBVPG3775_000028-T1
GF00000385	TFCN17334Y5_010137-T1	DBVPG3775_005626-T1
