	Rhodotorula_mucilaginosa_CHIFNET_10NJ071.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000046	CHIFNET10NJ071_006505-T1	DBVPG3775_003746-T1
GF00000047	CHIFNET10NJ071_003115-T1	DBVPG3775_002941-T1
GF00000048	CHIFNET10NJ071_005755-T1	DBVPG3775_002046-T1
GF00000049	CHIFNET10NJ071_002601-T1	DBVPG3775_000191-T1
GF00000050	CHIFNET10NJ071_005503-T1	DBVPG3775_000387-T1
GF00000051	CHIFNET10NJ071_011385-T1	DBVPG3775_005321-T1
GF00000052	CHIFNET10NJ071_004406-T1	DBVPG3775_006241-T1
GF00000053	CHIFNET10NJ071_009213-T1	DBVPG3775_007132-T1
GF00000054	CHIFNET10NJ071_001209-T1	DBVPG3775_005080-T1
GF00000055	CHIFNET10NJ071_008716-T1	DBVPG3775_005166-T1
GF00000056	CHIFNET10NJ071_000155-T1	DBVPG3775_001088-T1
GF00000057	CHIFNET10NJ071_005619-T1	DBVPG3775_003520-T1
GF00000058	CHIFNET10NJ071_009819-T1	DBVPG3775_004549-T1
GF00000059	CHIFNET10NJ071_000775-T1	DBVPG3775_004502-T1
GF00000060	CHIFNET10NJ071_000794-T1	DBVPG3775_004521-T1
GF00000061	CHIFNET10NJ071_009972-T1	DBVPG3775_000467-T1
GF00000062	CHIFNET10NJ071_004776-T1	DBVPG3775_000993-T1
GF00000063	CHIFNET10NJ071_004751-T1	DBVPG3775_001018-T1
GF00000064	CHIFNET10NJ071_006841-T1	DBVPG3775_004141-T1
GF00000065	CHIFNET10NJ071_001447-T1	DBVPG3775_004308-T1
GF00000066	CHIFNET10NJ071_012519-T1	DBVPG3775_001065-T1
GF00000067	CHIFNET10NJ071_012103-T1	DBVPG3775_003881-T1
GF00000068	CHIFNET10NJ071_009186-T1	DBVPG3775_007158-T1
GF00000069	CHIFNET10NJ071_001852-T1	DBVPG3775_005163-T1
GF00000070	CHIFNET10NJ071_007043-T1	DBVPG3775_006345-T1
GF00000071	CHIFNET10NJ071_012261-T1	DBVPG3775_007241-T1
GF00000072	CHIFNET10NJ071_000207-T1	DBVPG3775_000842-T1
GF00000073	CHIFNET10NJ071_011223-T1	DBVPG3775_003792-T1
GF00000074	CHIFNET10NJ071_004436-T1	DBVPG3775_006948-T1
GF00000075	CHIFNET10NJ071_007000-T1	DBVPG3775_000475-T1
GF00000076	CHIFNET10NJ071_004353-T1	DBVPG3775_001902-T1
GF00000077	CHIFNET10NJ071_005698-T1	DBVPG3775_001795-T1
GF00000078	CHIFNET10NJ071_008320-T1	DBVPG3775_005736-T1
GF00000079	CHIFNET10NJ071_013555-T1	DBVPG3775_007424-T1
GF00000080	CHIFNET10NJ071_014131-T1	DBVPG3775_005157-T1
GF00000081	CHIFNET10NJ071_014329-T1	DBVPG3775_003686-T1
GF00000082	CHIFNET10NJ071_002934-T1	DBVPG3775_005599-T1
GF00000083	CHIFNET10NJ071_004442-T1	DBVPG3775_006954-T1
GF00000084	CHIFNET10NJ071_008864-T1	DBVPG3775_003273-T1
GF00000085	CHIFNET10NJ071_012783-T1	DBVPG3775_004181-T1
GF00000086	CHIFNET10NJ071_002837-T1	DBVPG3775_002257-T1
GF00000087	CHIFNET10NJ071_000995-T1	DBVPG3775_001962-T1
GF00000088	CHIFNET10NJ071_008985-T1	DBVPG3775_006584-T1
GF00000089	CHIFNET10NJ071_009875-T1	DBVPG3775_007105-T1
GF00000090	CHIFNET10NJ071_000473-T1	DBVPG3775_002526-T1
GF00000091	CHIFNET10NJ071_000594-T1	DBVPG3775_005324-T1
GF00000092	CHIFNET10NJ071_011930-T1	DBVPG3775_007483-T1
GF00000093	CHIFNET10NJ071_004007-T1	DBVPG3775_005033-T1
GF00000094	CHIFNET10NJ071_007549-T1	DBVPG3775_002579-T1
GF00000095	CHIFNET10NJ071_008362-T1	DBVPG3775_002226-T1
GF00000096	CHIFNET10NJ071_001264-T1	DBVPG3775_003172-T1
GF00000097	CHIFNET10NJ071_005360-T1	DBVPG3775_007575-T1
GF00000098	CHIFNET10NJ071_003233-T1	DBVPG3775_004080-T1
GF00000099	CHIFNET10NJ071_001612-T1	DBVPG3775_001853-T1
GF00000100	CHIFNET10NJ071_013815-T1	DBVPG3775_001529-T1
GF00000101	CHIFNET10NJ071_002158-T1	DBVPG3775_003742-T1
GF00000102	CHIFNET10NJ071_005860-T1	DBVPG3775_000082-T1
GF00000103	CHIFNET10NJ071_002385-T1	DBVPG3775_001677-T1
GF00000104	CHIFNET10NJ071_004636-T1	DBVPG3775_002043-T1
GF00000105	CHIFNET10NJ071_004420-T1	DBVPG3775_006959-T1
GF00000106	CHIFNET10NJ071_010139-T1	DBVPG3775_005753-T1
GF00000107	CHIFNET10NJ071_008781-T1	DBVPG3775_003255-T1
GF00000108	CHIFNET10NJ071_008777-T1	DBVPG3775_003251-T1
GF00000109	CHIFNET10NJ071_001039-T1	DBVPG3775_001140-T1
GF00000110	CHIFNET10NJ071_002929-T1	DBVPG3775_005603-T1
GF00000111	CHIFNET10NJ071_011645-T1	DBVPG3775_002435-T1
GF00000112	CHIFNET10NJ071_011463-T1	DBVPG3775_006133-T1
GF00000113	CHIFNET10NJ071_003728-T1	DBVPG3775_004717-T1
GF00000114	CHIFNET10NJ071_012842-T1	DBVPG3775_003544-T1
GF00000115	CHIFNET10NJ071_001284-T1	DBVPG3775_002706-T1
GF00000116	CHIFNET10NJ071_008486-T1	DBVPG3775_002751-T1
GF00000117	CHIFNET10NJ071_002640-T1	DBVPG3775_000153-T1
GF00000118	CHIFNET10NJ071_012896-T1	DBVPG3775_002338-T1
GF00000119	CHIFNET10NJ071_003755-T1	DBVPG3775_004754-T1
GF00000120	CHIFNET10NJ071_007630-T1	DBVPG3775_000399-T1
GF00000121	CHIFNET10NJ071_007084-T1	DBVPG3775_006388-T1
GF00000122	CHIFNET10NJ071_010275-T1	DBVPG3775_002326-T1
GF00000123	CHIFNET10NJ071_010053-T1	DBVPG3775_006076-T1
GF00000124	CHIFNET10NJ071_005121-T1	DBVPG3775_007423-T1
GF00000125	CHIFNET10NJ071_013904-T1	DBVPG3775_003841-T1
GF00000126	CHIFNET10NJ071_007322-T1	DBVPG3775_004520-T1
GF00000127	CHIFNET10NJ071_007604-T1	DBVPG3775_005038-T1
GF00000128	CHIFNET10NJ071_002341-T1	DBVPG3775_001719-T1
GF00000129	CHIFNET10NJ071_000819-T1	DBVPG3775_004545-T1
GF00000130	CHIFNET10NJ071_007693-T1	DBVPG3775_005082-T1
GF00000131	CHIFNET10NJ071_013047-T1	DBVPG3775_001549-T1
GF00000132	CHIFNET10NJ071_001754-T1	DBVPG3775_001451-T1
GF00000133	CHIFNET10NJ071_012600-T1	DBVPG3775_001020-T1
GF00000134	CHIFNET10NJ071_011408-T1	DBVPG3775_007270-T1
GF00000135	CHIFNET10NJ071_004041-T1	DBVPG3775_003709-T1
GF00000136	CHIFNET10NJ071_002203-T1	DBVPG3775_003785-T1
GF00000137	CHIFNET10NJ071_006834-T1	DBVPG3775_003411-T1
GF00000138	CHIFNET10NJ071_012811-T1	DBVPG3775_006662-T1
GF00000139	CHIFNET10NJ071_006880-T1	DBVPG3775_006818-T1
GF00000140	CHIFNET10NJ071_007809-T1	DBVPG3775_000368-T1
GF00000141	CHIFNET10NJ071_004278-T1	DBVPG3775_002838-T1
GF00000142	CHIFNET10NJ071_004703-T1	DBVPG3775_004880-T1
GF00000143	CHIFNET10NJ071_004938-T1	DBVPG3775_004642-T1
GF00000144	CHIFNET10NJ071_004553-T1	DBVPG3775_006421-T1
GF00000145	CHIFNET10NJ071_000140-T1	DBVPG3775_001104-T1
GF00000146	CHIFNET10NJ071_012918-T1	DBVPG3775_006015-T1
GF00000147	CHIFNET10NJ071_003092-T1	DBVPG3775_002965-T1
GF00000148	CHIFNET10NJ071_008104-T1	DBVPG3775_000814-T1
GF00000149	CHIFNET10NJ071_004535-T1	DBVPG3775_006439-T1
GF00000150	CHIFNET10NJ071_013103-T1	DBVPG3775_001025-T1
GF00000151	CHIFNET10NJ071_012501-T1	DBVPG3775_003677-T1
GF00000152	CHIFNET10NJ071_005539-T1	DBVPG3775_002488-T1
GF00000153	CHIFNET10NJ071_012055-T1	DBVPG3775_000562-T1
GF00000154	CHIFNET10NJ071_011816-T1	DBVPG3775_000514-T1
GF00000155	CHIFNET10NJ071_005750-T1	DBVPG3775_000449-T1
GF00000156	CHIFNET10NJ071_000582-T1	DBVPG3775_005314-T1
GF00000157	CHIFNET10NJ071_010265-T1	DBVPG3775_002336-T1
GF00000158	CHIFNET10NJ071_009980-T1	DBVPG3775_003229-T1
GF00000159	CHIFNET10NJ071_008272-T1	DBVPG3775_006031-T1
GF00000160	CHIFNET10NJ071_005324-T1	DBVPG3775_005884-T1
GF00000161	CHIFNET10NJ071_003530-T1	DBVPG3775_001993-T1
GF00000162	CHIFNET10NJ071_009237-T1	DBVPG3775_007022-T1
GF00000163	CHIFNET10NJ071_001227-T1	DBVPG3775_003134-T1
GF00000164	CHIFNET10NJ071_001501-T1	DBVPG3775_004097-T1
GF00000165	CHIFNET10NJ071_007033-T1	DBVPG3775_000439-T1
GF00000166	CHIFNET10NJ071_002871-T1	DBVPG3775_002291-T1
GF00000167	CHIFNET10NJ071_014275-T1	DBVPG3775_007454-T1
GF00000168	CHIFNET10NJ071_010485-T1	DBVPG3775_001961-T1
GF00000169	CHIFNET10NJ071_001161-T1	DBVPG3775_003066-T1
GF00000170	CHIFNET10NJ071_009671-T1	DBVPG3775_002677-T1
GF00000171	CHIFNET10NJ071_004299-T1	DBVPG3775_002858-T1
GF00000172	CHIFNET10NJ071_002183-T1	DBVPG3775_003767-T1
GF00000173	CHIFNET10NJ071_001474-T1	DBVPG3775_004339-T1
GF00000174	CHIFNET10NJ071_001593-T1	DBVPG3775_001834-T1
GF00000175	CHIFNET10NJ071_013169-T1	DBVPG3775_001832-T1
GF00000176	CHIFNET10NJ071_001687-T1	DBVPG3775_001517-T1
GF00000177	CHIFNET10NJ071_001753-T1	DBVPG3775_001452-T1
GF00000178	CHIFNET10NJ071_011672-T1	DBVPG3775_006357-T1
GF00000179	CHIFNET10NJ071_011728-T1	DBVPG3775_003362-T1
GF00000180	CHIFNET10NJ071_008682-T1	DBVPG3775_005202-T1
GF00000181	CHIFNET10NJ071_010920-T1	DBVPG3775_007063-T1
GF00000182	CHIFNET10NJ071_014488-T1	DBVPG3775_000258-T1
GF00000183	CHIFNET10NJ071_011600-T1	DBVPG3775_004711-T1
GF00000184	CHIFNET10NJ071_010298-T1	DBVPG3775_005109-T1
GF00000185	CHIFNET10NJ071_009713-T1	DBVPG3775_003607-T1
GF00000186	CHIFNET10NJ071_013828-T1	DBVPG3775_005942-T1
GF00000187	CHIFNET10NJ071_002391-T1	DBVPG3775_001671-T1
GF00000188	CHIFNET10NJ071_002376-T1	DBVPG3775_001667-T1
GF00000189	CHIFNET10NJ071_006716-T1	DBVPG3775_006416-T1
GF00000190	CHIFNET10NJ071_002439-T1	DBVPG3775_003861-T1
GF00000191	CHIFNET10NJ071_002851-T1	DBVPG3775_002271-T1
GF00000192	CHIFNET10NJ071_006248-T1	DBVPG3775_007442-T1
GF00000193	CHIFNET10NJ071_014304-T1	DBVPG3775_002180-T1
GF00000194	CHIFNET10NJ071_011445-T1	DBVPG3775_006850-T1
GF00000195	CHIFNET10NJ071_003154-T1	DBVPG3775_003496-T1
GF00000196	CHIFNET10NJ071_008618-T1	DBVPG3775_006806-T1
GF00000197	CHIFNET10NJ071_008932-T1	DBVPG3775_004029-T1
GF00000198	CHIFNET10NJ071_006845-T1	DBVPG3775_003422-T1
GF00000199	CHIFNET10NJ071_003629-T1	DBVPG3775_005546-T1
GF00000200	CHIFNET10NJ071_003766-T1	DBVPG3775_004721-T1
GF00000201	CHIFNET10NJ071_003761-T1	DBVPG3775_004760-T1
GF00000202	CHIFNET10NJ071_014011-T1	DBVPG3775_000632-T1
GF00000203	CHIFNET10NJ071_013803-T1	DBVPG3775_004809-T1
GF00000204	CHIFNET10NJ071_014346-T1	DBVPG3775_000271-T1
GF00000205	CHIFNET10NJ071_009123-T1	DBVPG3775_000312-T1
GF00000206	CHIFNET10NJ071_008228-T1	DBVPG3775_003358-T1
GF00000207	CHIFNET10NJ071_005996-T1	DBVPG3775_002745-T1
GF00000208	CHIFNET10NJ071_008584-T1	DBVPG3775_000591-T1
GF00000209	CHIFNET10NJ071_012563-T1	DBVPG3775_006220-T1
GF00000210	CHIFNET10NJ071_001130-T1	DBVPG3775_001230-T1
GF00000211	CHIFNET10NJ071_001116-T1	DBVPG3775_003741-T1
GF00000212	CHIFNET10NJ071_012592-T1	DBVPG3775_001393-T1
GF00000213	CHIFNET10NJ071_002878-T1	DBVPG3775_002298-T1
GF00000214	CHIFNET10NJ071_004499-T1	DBVPG3775_005857-T1
GF00000215	CHIFNET10NJ071_000807-T1	DBVPG3775_004533-T1
GF00000216	CHIFNET10NJ071_008719-T1	DBVPG3775_006696-T1
GF00000217	CHIFNET10NJ071_014054-T1	DBVPG3775_002882-T1
GF00000218	CHIFNET10NJ071_007907-T1	DBVPG3775_003143-T1
GF00000219	CHIFNET10NJ071_014510-T1	DBVPG3775_002596-T1
GF00000220	CHIFNET10NJ071_001468-T1	DBVPG3775_004335-T1
GF00000221	CHIFNET10NJ071_013994-T1	DBVPG3775_003306-T1
GF00000222	CHIFNET10NJ071_002317-T1	DBVPG3775_001743-T1
GF00000223	CHIFNET10NJ071_003438-T1	DBVPG3775_001670-T1
GF00000224	CHIFNET10NJ071_011062-T1	DBVPG3775_003865-T1
GF00000225	CHIFNET10NJ071_002737-T1	DBVPG3775_004376-T1
GF00000226	CHIFNET10NJ071_002990-T1	DBVPG3775_001338-T1
GF00000227	CHIFNET10NJ071_003010-T1	DBVPG3775_006673-T1
GF00000228	CHIFNET10NJ071_007803-T1	DBVPG3775_002917-T1
GF00000229	CHIFNET10NJ071_003803-T1	DBVPG3775_005383-T1
GF00000230	CHIFNET10NJ071_004281-T1	DBVPG3775_002840-T1
GF00000231	CHIFNET10NJ071_013756-T1	DBVPG3775_000593-T1
GF00000232	CHIFNET10NJ071_003745-T1	DBVPG3775_004741-T1
GF00000233	CHIFNET10NJ071_003687-T1	DBVPG3775_000908-T1
GF00000234	CHIFNET10NJ071_004204-T1	DBVPG3775_005065-T1
GF00000235	CHIFNET10NJ071_004556-T1	DBVPG3775_006418-T1
GF00000236	CHIFNET10NJ071_009699-T1	DBVPG3775_004831-T1
GF00000237	CHIFNET10NJ071_007243-T1	DBVPG3775_003224-T1
GF00000238	CHIFNET10NJ071_007476-T1	DBVPG3775_006611-T1
GF00000239	CHIFNET10NJ071_005492-T1	DBVPG3775_000376-T1
GF00000240	CHIFNET10NJ071_009777-T1	DBVPG3775_003503-T1
GF00000241	CHIFNET10NJ071_009867-T1	DBVPG3775_001059-T1
GF00000242	CHIFNET10NJ071_001090-T1	DBVPG3775_001192-T1
GF00000243	CHIFNET10NJ071_000273-T1	DBVPG3775_000775-T1
GF00000244	CHIFNET10NJ071_002455-T1	DBVPG3775_003877-T1
GF00000245	CHIFNET10NJ071_010863-T1	DBVPG3775_002522-T1
GF00000246	CHIFNET10NJ071_008299-T1	DBVPG3775_005791-T1
GF00000247	CHIFNET10NJ071_011951-T1	DBVPG3775_000680-T1
GF00000248	CHIFNET10NJ071_000663-T1	DBVPG3775_003007-T1
GF00000249	CHIFNET10NJ071_009550-T1	DBVPG3775_006121-T1
GF00000250	CHIFNET10NJ071_007526-T1	DBVPG3775_002557-T1
GF00000251	CHIFNET10NJ071_013521-T1	DBVPG3775_003601-T1
GF00000252	CHIFNET10NJ071_007898-T1	DBVPG3775_003187-T1
GF00000253	CHIFNET10NJ071_001410-T1	DBVPG3775_004275-T1
GF00000254	CHIFNET10NJ071_013775-T1	DBVPG3775_001256-T1
GF00000255	CHIFNET10NJ071_004359-T1	DBVPG3775_005820-T1
GF00000256	CHIFNET10NJ071_005681-T1	DBVPG3775_001813-T1
GF00000257	CHIFNET10NJ071_013168-T1	DBVPG3775_001830-T1
GF00000258	CHIFNET10NJ071_012060-T1	DBVPG3775_001535-T1
GF00000259	CHIFNET10NJ071_013424-T1	DBVPG3775_003466-T1
GF00000260	CHIFNET10NJ071_008271-T1	DBVPG3775_005215-T1
GF00000261	CHIFNET10NJ071_003564-T1	DBVPG3775_001266-T1
GF00000262	CHIFNET10NJ071_001990-T1	DBVPG3775_005645-T1
GF00000263	CHIFNET10NJ071_009785-T1	DBVPG3775_005638-T1
GF00000264	CHIFNET10NJ071_006971-T1	DBVPG3775_003646-T1
GF00000265	CHIFNET10NJ071_002053-T1	DBVPG3775_006047-T1
GF00000266	CHIFNET10NJ071_002061-T1	DBVPG3775_006039-T1
GF00000267	CHIFNET10NJ071_002086-T1	DBVPG3775_006924-T1
GF00000268	CHIFNET10NJ071_014283-T1	DBVPG3775_002595-T1
GF00000269	CHIFNET10NJ071_009615-T1	DBVPG3775_002585-T1
GF00000270	CHIFNET10NJ071_002653-T1	DBVPG3775_004462-T1
GF00000271	CHIFNET10NJ071_002550-T1	DBVPG3775_000249-T1
GF00000272	CHIFNET10NJ071_010585-T1	DBVPG3775_003471-T1
GF00000273	CHIFNET10NJ071_014196-T1	DBVPG3775_000234-T1
GF00000274	CHIFNET10NJ071_002613-T1	DBVPG3775_000179-T1
GF00000275	CHIFNET10NJ071_010916-T1	DBVPG3775_007059-T1
GF00000276	CHIFNET10NJ071_008893-T1	DBVPG3775_002301-T1
GF00000277	CHIFNET10NJ071_004498-T1	DBVPG3775_005856-T1
GF00000278	CHIFNET10NJ071_002836-T1	DBVPG3775_002256-T1
GF00000279	CHIFNET10NJ071_010213-T1	DBVPG3775_001377-T1
GF00000280	CHIFNET10NJ071_003033-T1	DBVPG3775_007517-T1
GF00000281	CHIFNET10NJ071_014241-T1	DBVPG3775_003223-T1
GF00000282	CHIFNET10NJ071_004121-T1	DBVPG3775_004876-T1
GF00000283	CHIFNET10NJ071_004929-T1	DBVPG3775_004633-T1
GF00000284	CHIFNET10NJ071_010727-T1	DBVPG3775_006252-T1
GF00000285	CHIFNET10NJ071_012157-T1	DBVPG3775_002159-T1
GF00000286	CHIFNET10NJ071_009594-T1	DBVPG3775_004253-T1
GF00000287	CHIFNET10NJ071_007394-T1	DBVPG3775_001297-T1
GF00000288	CHIFNET10NJ071_005070-T1	DBVPG3775_001321-T1
GF00000289	CHIFNET10NJ071_010539-T1	DBVPG3775_005924-T1
GF00000290	CHIFNET10NJ071_010550-T1	DBVPG3775_005915-T1
GF00000291	CHIFNET10NJ071_008794-T1	DBVPG3775_003267-T1
GF00000292	CHIFNET10NJ071_006938-T1	DBVPG3775_003612-T1
GF00000293	CHIFNET10NJ071_012452-T1	DBVPG3775_001049-T1
GF00000294	CHIFNET10NJ071_005983-T1	DBVPG3775_002756-T1
GF00000295	CHIFNET10NJ071_005992-T1	DBVPG3775_002749-T1
GF00000296	CHIFNET10NJ071_010435-T1	DBVPG3775_001380-T1
GF00000297	CHIFNET10NJ071_006446-T1	DBVPG3775_007395-T1
GF00000298	CHIFNET10NJ071_006886-T1	DBVPG3775_006896-T1
GF00000299	CHIFNET10NJ071_008921-T1	DBVPG3775_003643-T1
GF00000300	CHIFNET10NJ071_009091-T1	DBVPG3775_000345-T1
GF00000301	CHIFNET10NJ071_007545-T1	DBVPG3775_002575-T1
GF00000302	CHIFNET10NJ071_014505-T1	DBVPG3775_005145-T1
GF00000303	CHIFNET10NJ071_014246-T1	DBVPG3775_003218-T1
GF00000304	CHIFNET10NJ071_013698-T1	DBVPG3775_003236-T1
GF00000305	CHIFNET10NJ071_013130-T1	DBVPG3775_000730-T1
GF00000306	CHIFNET10NJ071_005217-T1	DBVPG3775_004116-T1
GF00000307	CHIFNET10NJ071_003383-T1	DBVPG3775_001728-T1
GF00000308	CHIFNET10NJ071_013984-T1	DBVPG3775_003315-T1
GF00000309	CHIFNET10NJ071_007928-T1	DBVPG3775_002165-T1
GF00000310	CHIFNET10NJ071_012715-T1	DBVPG3775_007359-T1
GF00000311	CHIFNET10NJ071_004711-T1	DBVPG3775_004888-T1
GF00000312	CHIFNET10NJ071_003708-T1	DBVPG3775_000953-T1
GF00000313	CHIFNET10NJ071_014295-T1	DBVPG3775_005426-T1
GF00000314	CHIFNET10NJ071_005845-T1	DBVPG3775_005847-T1
GF00000315	CHIFNET10NJ071_001016-T1	DBVPG3775_001117-T1
GF00000316	CHIFNET10NJ071_005438-T1	DBVPG3775_005491-T1
GF00000317	CHIFNET10NJ071_007856-T1	DBVPG3775_000878-T1
GF00000318	CHIFNET10NJ071_000173-T1	DBVPG3775_000876-T1
GF00000319	CHIFNET10NJ071_012229-T1	DBVPG3775_007207-T1
GF00000320	CHIFNET10NJ071_000193-T1	DBVPG3775_000855-T1
GF00000321	CHIFNET10NJ071_002080-T1	DBVPG3775_006931-T1
GF00000322	CHIFNET10NJ071_000477-T1	DBVPG3775_002530-T1
GF00000323	CHIFNET10NJ071_000238-T1	DBVPG3775_000811-T1
GF00000324	CHIFNET10NJ071_004262-T1	DBVPG3775_002822-T1
GF00000325	CHIFNET10NJ071_000259-T1	DBVPG3775_000790-T1
GF00000326	CHIFNET10NJ071_000271-T1	DBVPG3775_000778-T1
GF00000327	CHIFNET10NJ071_000286-T1	DBVPG3775_000763-T1
GF00000328	CHIFNET10NJ071_007464-T1	DBVPG3775_005952-T1
GF00000329	CHIFNET10NJ071_002200-T1	DBVPG3775_003782-T1
GF00000330	CHIFNET10NJ071_005688-T1	DBVPG3775_001806-T1
GF00000331	CHIFNET10NJ071_013554-T1	DBVPG3775_007425-T1
GF00000332	CHIFNET10NJ071_005320-T1	DBVPG3775_005888-T1
GF00000333	CHIFNET10NJ071_006706-T1	DBVPG3775_006968-T1
GF00000334	CHIFNET10NJ071_002243-T1	DBVPG3775_000003-T1
GF00000335	CHIFNET10NJ071_007446-T1	DBVPG3775_005969-T1
GF00000336	CHIFNET10NJ071_012359-T1	DBVPG3775_002405-T1
GF00000337	CHIFNET10NJ071_000371-T1	DBVPG3775_002427-T1
GF00000338	CHIFNET10NJ071_005569-T1	DBVPG3775_002458-T1
GF00000339	CHIFNET10NJ071_001446-T1	DBVPG3775_004306-T1
GF00000340	CHIFNET10NJ071_000429-T1	DBVPG3775_002484-T1
GF00000341	CHIFNET10NJ071_000431-T1	DBVPG3775_002486-T1
GF00000342	CHIFNET10NJ071_003836-T1	DBVPG3775_006501-T1
GF00000343	CHIFNET10NJ071_009420-T1	DBVPG3775_000546-T1
GF00000344	CHIFNET10NJ071_000450-T1	DBVPG3775_002504-T1
GF00000345	CHIFNET10NJ071_000468-T1	DBVPG3775_002521-T1
GF00000346	CHIFNET10NJ071_006361-T1	DBVPG3775_000508-T1
GF00000347	CHIFNET10NJ071_000494-T1	DBVPG3775_000500-T1
GF00000348	CHIFNET10NJ071_009417-T1	DBVPG3775_000543-T1
GF00000349	CHIFNET10NJ071_011962-T1	DBVPG3775_000692-T1
GF00000350	CHIFNET10NJ071_007161-T1	DBVPG3775_001887-T1
GF00000351	CHIFNET10NJ071_000578-T1	DBVPG3775_005310-T1
GF00000352	CHIFNET10NJ071_008897-T1	DBVPG3775_002296-T1
GF00000353	CHIFNET10NJ071_008598-T1	DBVPG3775_006786-T1
GF00000354	CHIFNET10NJ071_011093-T1	DBVPG3775_004459-T1
GF00000355	CHIFNET10NJ071_000593-T1	DBVPG3775_005323-T1
GF00000356	CHIFNET10NJ071_002912-T1	DBVPG3775_005621-T1
GF00000357	CHIFNET10NJ071_013231-T1	DBVPG3775_003964-T1
GF00000358	CHIFNET10NJ071_013155-T1	DBVPG3775_004575-T1
GF00000359	CHIFNET10NJ071_014637-T1	DBVPG3775_007577-T1
GF00000360	CHIFNET10NJ071_008007-T1	DBVPG3775_004377-T1
GF00000361	CHIFNET10NJ071_012483-T1	DBVPG3775_002992-T1
GF00000362	CHIFNET10NJ071_000692-T1	DBVPG3775_002978-T1
GF00000363	CHIFNET10NJ071_000724-T1	DBVPG3775_002947-T1
GF00000364	CHIFNET10NJ071_013390-T1	DBVPG3775_004482-T1
