	Rhodotorula_mucilaginosa_CHIFNET_14NJ214.cds.fa
GF00000011	CHIFNET14NJ214_012112-T1, CHIFNET14NJ214_012622-T1, CHIFNET14NJ214_009780-T1, CHIFNET14NJ214_004462-T1, CHIFNET14NJ214_002255-T1, CHIFNET14NJ214_004452-T1, CHIFNET14NJ214_002256-T1, CHIFNET14NJ214_010792-T1, CHIFNET14NJ214_012625-T1, CHIFNET14NJ214_004472-T1, CHIFNET14NJ214_004473-T1, CHIFNET14NJ214_010793-T1, CHIFNET14NJ214_012624-T1, CHIFNET14NJ214_009779-T1, CHIFNET14NJ214_004463-T1, CHIFNET14NJ214_004451-T1
GF00000012	CHIFNET14NJ214_001594-T1, CHIFNET14NJ214_003162-T1, CHIFNET14NJ214_000140-T1, CHIFNET14NJ214_007023-T1, CHIFNET14NJ214_007205-T1, CHIFNET14NJ214_006059-T1, CHIFNET14NJ214_012281-T1, CHIFNET14NJ214_014156-T1, CHIFNET14NJ214_002358-T1, CHIFNET14NJ214_005427-T1, CHIFNET14NJ214_002232-T1, CHIFNET14NJ214_004528-T1, CHIFNET14NJ214_014150-T1, CHIFNET14NJ214_008478-T1, CHIFNET14NJ214_001476-T1, CHIFNET14NJ214_007804-T1
GF00000013	CHIFNET14NJ214_013731-T1, CHIFNET14NJ214_000944-T1, CHIFNET14NJ214_013848-T1, CHIFNET14NJ214_011351-T1, CHIFNET14NJ214_003504-T1, CHIFNET14NJ214_010943-T1, CHIFNET14NJ214_002849-T1, CHIFNET14NJ214_001686-T1, CHIFNET14NJ214_005097-T1, CHIFNET14NJ214_013498-T1, CHIFNET14NJ214_005940-T1, CHIFNET14NJ214_015314-T1, CHIFNET14NJ214_010867-T1, CHIFNET14NJ214_011677-T1, CHIFNET14NJ214_013603-T1
GF00000014	CHIFNET14NJ214_005241-T1, CHIFNET14NJ214_006582-T1, CHIFNET14NJ214_003320-T1, CHIFNET14NJ214_005984-T1, CHIFNET14NJ214_008617-T1, CHIFNET14NJ214_008616-T1, CHIFNET14NJ214_002355-T1, CHIFNET14NJ214_012955-T1, CHIFNET14NJ214_011435-T1, CHIFNET14NJ214_003319-T1, CHIFNET14NJ214_003949-T1, CHIFNET14NJ214_010725-T1, CHIFNET14NJ214_005242-T1, CHIFNET14NJ214_013054-T1, CHIFNET14NJ214_002356-T1
GF00000015	CHIFNET14NJ214_007478-T1, CHIFNET14NJ214_008155-T1, CHIFNET14NJ214_004862-T1, CHIFNET14NJ214_000212-T1, CHIFNET14NJ214_001742-T1, CHIFNET14NJ214_011334-T1, CHIFNET14NJ214_000404-T1, CHIFNET14NJ214_009917-T1, CHIFNET14NJ214_010604-T1, CHIFNET14NJ214_011777-T1, CHIFNET14NJ214_005040-T1, CHIFNET14NJ214_006531-T1, CHIFNET14NJ214_007616-T1, CHIFNET14NJ214_015400-T1
GF00000016	CHIFNET14NJ214_010996-T1, CHIFNET14NJ214_012018-T1, CHIFNET14NJ214_007110-T1, CHIFNET14NJ214_014480-T1, CHIFNET14NJ214_000146-T1, CHIFNET14NJ214_011094-T1, CHIFNET14NJ214_013607-T1, CHIFNET14NJ214_005845-T1, CHIFNET14NJ214_009466-T1, CHIFNET14NJ214_011963-T1, CHIFNET14NJ214_005366-T1, CHIFNET14NJ214_013998-T1, CHIFNET14NJ214_001470-T1, CHIFNET14NJ214_001469-T1
GF00000017	CHIFNET14NJ214_002867-T1, CHIFNET14NJ214_006626-T1, CHIFNET14NJ214_009418-T1, CHIFNET14NJ214_014612-T1, CHIFNET14NJ214_009050-T1, CHIFNET14NJ214_011389-T1, CHIFNET14NJ214_011390-T1, CHIFNET14NJ214_005466-T1, CHIFNET14NJ214_007780-T1, CHIFNET14NJ214_007781-T1, CHIFNET14NJ214_005467-T1, CHIFNET14NJ214_015676-T1, CHIFNET14NJ214_014613-T1, CHIFNET14NJ214_006625-T1
GF00000018	CHIFNET14NJ214_000332-T1, CHIFNET14NJ214_010233-T1, CHIFNET14NJ214_010777-T1, CHIFNET14NJ214_001665-T1, CHIFNET14NJ214_002452-T1, CHIFNET14NJ214_004893-T1, CHIFNET14NJ214_010684-T1, CHIFNET14NJ214_002450-T1, CHIFNET14NJ214_010778-T1, CHIFNET14NJ214_004895-T1, CHIFNET14NJ214_001666-T1, CHIFNET14NJ214_010986-T1, CHIFNET14NJ214_001667-T1, CHIFNET14NJ214_010985-T1
GF00000019	CHIFNET14NJ214_009758-T1, CHIFNET14NJ214_001795-T1, CHIFNET14NJ214_006590-T1, CHIFNET14NJ214_012117-T1, CHIFNET14NJ214_010472-T1, CHIFNET14NJ214_005024-T1, CHIFNET14NJ214_007351-T1, CHIFNET14NJ214_014205-T1, CHIFNET14NJ214_003468-T1, CHIFNET14NJ214_006258-T1, CHIFNET14NJ214_008537-T1, CHIFNET14NJ214_011976-T1, CHIFNET14NJ214_013892-T1, CHIFNET14NJ214_010398-T1
GF00000020	CHIFNET14NJ214_007703-T1, CHIFNET14NJ214_009781-T1, CHIFNET14NJ214_008630-T1, CHIFNET14NJ214_003956-T1, CHIFNET14NJ214_004475-T1, CHIFNET14NJ214_000619-T1, CHIFNET14NJ214_004004-T1, CHIFNET14NJ214_007704-T1, CHIFNET14NJ214_012621-T1, CHIFNET14NJ214_004466-T1, CHIFNET14NJ214_007702-T1, CHIFNET14NJ214_003955-T1, CHIFNET14NJ214_010732-T1, CHIFNET14NJ214_004474-T1
GF00000021	CHIFNET14NJ214_004643-T1, CHIFNET14NJ214_003158-T1, CHIFNET14NJ214_001591-T1, CHIFNET14NJ214_000245-T1, CHIFNET14NJ214_000244-T1, CHIFNET14NJ214_010508-T1, CHIFNET14NJ214_011572-T1, CHIFNET14NJ214_004076-T1, CHIFNET14NJ214_014600-T1, CHIFNET14NJ214_006758-T1, CHIFNET14NJ214_003383-T1, CHIFNET14NJ214_006759-T1, CHIFNET14NJ214_003382-T1
GF00000022	CHIFNET14NJ214_008879-T1, CHIFNET14NJ214_013027-T1, CHIFNET14NJ214_012647-T1, CHIFNET14NJ214_012646-T1, CHIFNET14NJ214_014321-T1, CHIFNET14NJ214_014320-T1, CHIFNET14NJ214_007362-T1, CHIFNET14NJ214_004947-T1, CHIFNET14NJ214_014322-T1, CHIFNET14NJ214_012065-T1, CHIFNET14NJ214_002349-T1, CHIFNET14NJ214_012644-T1, CHIFNET14NJ214_012645-T1
GF00000023	CHIFNET14NJ214_012623-T1, CHIFNET14NJ214_002258-T1, CHIFNET14NJ214_004449-T1, CHIFNET14NJ214_012626-T1, CHIFNET14NJ214_002257-T1, CHIFNET14NJ214_004470-T1, CHIFNET14NJ214_004471-T1, CHIFNET14NJ214_009776-T1, CHIFNET14NJ214_004450-T1, CHIFNET14NJ214_004465-T1, CHIFNET14NJ214_009778-T1, CHIFNET14NJ214_009777-T1, CHIFNET14NJ214_004464-T1
GF00000024	CHIFNET14NJ214_000915-T1, CHIFNET14NJ214_011715-T1, CHIFNET14NJ214_003429-T1, CHIFNET14NJ214_011417-T1, CHIFNET14NJ214_010586-T1, CHIFNET14NJ214_009931-T1, CHIFNET14NJ214_014100-T1, CHIFNET14NJ214_010005-T1, CHIFNET14NJ214_005935-T1, CHIFNET14NJ214_010197-T1, CHIFNET14NJ214_014728-T1, CHIFNET14NJ214_012787-T1, CHIFNET14NJ214_014523-T1
GF00000025	CHIFNET14NJ214_007438-T1, CHIFNET14NJ214_007276-T1, CHIFNET14NJ214_000431-T1, CHIFNET14NJ214_011159-T1, CHIFNET14NJ214_009037-T1, CHIFNET14NJ214_005900-T1, CHIFNET14NJ214_013039-T1, CHIFNET14NJ214_004302-T1, CHIFNET14NJ214_005592-T1, CHIFNET14NJ214_003035-T1, CHIFNET14NJ214_015336-T1, CHIFNET14NJ214_015511-T1, CHIFNET14NJ214_015318-T1
GF00000026	CHIFNET14NJ214_002297-T1, CHIFNET14NJ214_001159-T1, CHIFNET14NJ214_013753-T1, CHIFNET14NJ214_001866-T1, CHIFNET14NJ214_001868-T1, CHIFNET14NJ214_007608-T1, CHIFNET14NJ214_007607-T1, CHIFNET14NJ214_001867-T1, CHIFNET14NJ214_007606-T1, CHIFNET14NJ214_008895-T1, CHIFNET14NJ214_006500-T1, CHIFNET14NJ214_007605-T1
GF00000027	CHIFNET14NJ214_012924-T1, CHIFNET14NJ214_011398-T1, CHIFNET14NJ214_014054-T1, CHIFNET14NJ214_003885-T1, CHIFNET14NJ214_006496-T1, CHIFNET14NJ214_002301-T1, CHIFNET14NJ214_008586-T1, CHIFNET14NJ214_002277-T1, CHIFNET14NJ214_014768-T1, CHIFNET14NJ214_015409-T1, CHIFNET14NJ214_006693-T1, CHIFNET14NJ214_003753-T1
GF00000028	CHIFNET14NJ214_009225-T1, CHIFNET14NJ214_002538-T1, CHIFNET14NJ214_007903-T1, CHIFNET14NJ214_002372-T1, CHIFNET14NJ214_003088-T1, CHIFNET14NJ214_007874-T1, CHIFNET14NJ214_013710-T1, CHIFNET14NJ214_007713-T1, CHIFNET14NJ214_013954-T1, CHIFNET14NJ214_015601-T1, CHIFNET14NJ214_011891-T1, CHIFNET14NJ214_001468-T1
GF00000029	CHIFNET14NJ214_007067-T1, CHIFNET14NJ214_013234-T1, CHIFNET14NJ214_008862-T1, CHIFNET14NJ214_002618-T1, CHIFNET14NJ214_002940-T1, CHIFNET14NJ214_009331-T1, CHIFNET14NJ214_007376-T1, CHIFNET14NJ214_013010-T1, CHIFNET14NJ214_007377-T1, CHIFNET14NJ214_013008-T1, CHIFNET14NJ214_002617-T1, CHIFNET14NJ214_013009-T1
GF00000030	CHIFNET14NJ214_004831-T1, CHIFNET14NJ214_004824-T1, CHIFNET14NJ214_004828-T1, CHIFNET14NJ214_007263-T1, CHIFNET14NJ214_011234-T1, CHIFNET14NJ214_004829-T1, CHIFNET14NJ214_004823-T1, CHIFNET14NJ214_011230-T1, CHIFNET14NJ214_004822-T1, CHIFNET14NJ214_005544-T1, CHIFNET14NJ214_004830-T1, CHIFNET14NJ214_005545-T1
GF00000031	CHIFNET14NJ214_002932-T1, CHIFNET14NJ214_007514-T1, CHIFNET14NJ214_002444-T1, CHIFNET14NJ214_004886-T1, CHIFNET14NJ214_004887-T1, CHIFNET14NJ214_002445-T1, CHIFNET14NJ214_007503-T1, CHIFNET14NJ214_002429-T1, CHIFNET14NJ214_004670-T1, CHIFNET14NJ214_002933-T1, CHIFNET14NJ214_007513-T1, CHIFNET14NJ214_002430-T1
GF00000032	CHIFNET14NJ214_000531-T1, CHIFNET14NJ214_008765-T1, CHIFNET14NJ214_008764-T1, CHIFNET14NJ214_000516-T1, CHIFNET14NJ214_006855-T1, CHIFNET14NJ214_000532-T1, CHIFNET14NJ214_000530-T1, CHIFNET14NJ214_006856-T1, CHIFNET14NJ214_000515-T1, CHIFNET14NJ214_000517-T1, CHIFNET14NJ214_008763-T1, CHIFNET14NJ214_008449-T1
GF00000033	CHIFNET14NJ214_014679-T1, CHIFNET14NJ214_010430-T1, CHIFNET14NJ214_007016-T1, CHIFNET14NJ214_005376-T1, CHIFNET14NJ214_014636-T1, CHIFNET14NJ214_015454-T1, CHIFNET14NJ214_010428-T1, CHIFNET14NJ214_010429-T1, CHIFNET14NJ214_014637-T1, CHIFNET14NJ214_015606-T1, CHIFNET14NJ214_015634-T1
GF00000034	CHIFNET14NJ214_005644-T1, CHIFNET14NJ214_001330-T1, CHIFNET14NJ214_014660-T1, CHIFNET14NJ214_012480-T1, CHIFNET14NJ214_002900-T1, CHIFNET14NJ214_009437-T1, CHIFNET14NJ214_008555-T1, CHIFNET14NJ214_013456-T1, CHIFNET14NJ214_013457-T1, CHIFNET14NJ214_004255-T1, CHIFNET14NJ214_012481-T1
GF00000035	CHIFNET14NJ214_000482-T1, CHIFNET14NJ214_002196-T1, CHIFNET14NJ214_013437-T1, CHIFNET14NJ214_004446-T1, CHIFNET14NJ214_009910-T1, CHIFNET14NJ214_000945-T1, CHIFNET14NJ214_013730-T1, CHIFNET14NJ214_000949-T1, CHIFNET14NJ214_002261-T1, CHIFNET14NJ214_007242-T1, CHIFNET14NJ214_002262-T1
GF00000036	CHIFNET14NJ214_001837-T1, CHIFNET14NJ214_005123-T1, CHIFNET14NJ214_003267-T1, CHIFNET14NJ214_005884-T1, CHIFNET14NJ214_003721-T1, CHIFNET14NJ214_001214-T1, CHIFNET14NJ214_004035-T1, CHIFNET14NJ214_012591-T1, CHIFNET14NJ214_013087-T1, CHIFNET14NJ214_010866-T1, CHIFNET14NJ214_001217-T1
GF00000037	CHIFNET14NJ214_013194-T1, CHIFNET14NJ214_013195-T1, CHIFNET14NJ214_009562-T1, CHIFNET14NJ214_013196-T1, CHIFNET14NJ214_010192-T1, CHIFNET14NJ214_009561-T1, CHIFNET14NJ214_013198-T1, CHIFNET14NJ214_002593-T1, CHIFNET14NJ214_011829-T1, CHIFNET14NJ214_014474-T1, CHIFNET14NJ214_013197-T1
GF00000038	CHIFNET14NJ214_010524-T1, CHIFNET14NJ214_001520-T1, CHIFNET14NJ214_010345-T1, CHIFNET14NJ214_006293-T1, CHIFNET14NJ214_009911-T1, CHIFNET14NJ214_011045-T1, CHIFNET14NJ214_010542-T1, CHIFNET14NJ214_010543-T1, CHIFNET14NJ214_010544-T1, CHIFNET14NJ214_010346-T1
GF00000039	CHIFNET14NJ214_001232-T1, CHIFNET14NJ214_007863-T1, CHIFNET14NJ214_009275-T1, CHIFNET14NJ214_007517-T1, CHIFNET14NJ214_015493-T1, CHIFNET14NJ214_015497-T1, CHIFNET14NJ214_015617-T1, CHIFNET14NJ214_009805-T1, CHIFNET14NJ214_015683-T1, CHIFNET14NJ214_015635-T1
GF00000040	CHIFNET14NJ214_008038-T1, CHIFNET14NJ214_007020-T1, CHIFNET14NJ214_002780-T1, CHIFNET14NJ214_003075-T1, CHIFNET14NJ214_007731-T1, CHIFNET14NJ214_012335-T1, CHIFNET14NJ214_012284-T1, CHIFNET14NJ214_015355-T1, CHIFNET14NJ214_012285-T1, CHIFNET14NJ214_001780-T1
GF00000041	CHIFNET14NJ214_002263-T1, CHIFNET14NJ214_002264-T1, CHIFNET14NJ214_010325-T1, CHIFNET14NJ214_006923-T1, CHIFNET14NJ214_006921-T1, CHIFNET14NJ214_008574-T1, CHIFNET14NJ214_004445-T1, CHIFNET14NJ214_015447-T1, CHIFNET14NJ214_015446-T1, CHIFNET14NJ214_006922-T1
GF00000042	CHIFNET14NJ214_002930-T1, CHIFNET14NJ214_000874-T1, CHIFNET14NJ214_004091-T1, CHIFNET14NJ214_000875-T1, CHIFNET14NJ214_001725-T1, CHIFNET14NJ214_001264-T1, CHIFNET14NJ214_005155-T1, CHIFNET14NJ214_007516-T1, CHIFNET14NJ214_006545-T1, CHIFNET14NJ214_001756-T1
GF00000043	CHIFNET14NJ214_013834-T1, CHIFNET14NJ214_009260-T1, CHIFNET14NJ214_010937-T1, CHIFNET14NJ214_014554-T1, CHIFNET14NJ214_002773-T1, CHIFNET14NJ214_010403-T1, CHIFNET14NJ214_001772-T1, CHIFNET14NJ214_007241-T1, CHIFNET14NJ214_001773-T1, CHIFNET14NJ214_010404-T1
GF00000044	CHIFNET14NJ214_000201-T1, CHIFNET14NJ214_000228-T1, CHIFNET14NJ214_012879-T1, CHIFNET14NJ214_013928-T1, CHIFNET14NJ214_000199-T1, CHIFNET14NJ214_013537-T1, CHIFNET14NJ214_012661-T1, CHIFNET14NJ214_009032-T1, CHIFNET14NJ214_009034-T1, CHIFNET14NJ214_009033-T1
GF00000045	CHIFNET14NJ214_003564-T1, CHIFNET14NJ214_001216-T1, CHIFNET14NJ214_003815-T1, CHIFNET14NJ214_001368-T1, CHIFNET14NJ214_003565-T1, CHIFNET14NJ214_000236-T1, CHIFNET14NJ214_000362-T1, CHIFNET14NJ214_011910-T1, CHIFNET14NJ214_001215-T1, CHIFNET14NJ214_011909-T1
GF00000046	CHIFNET14NJ214_009145-T1, CHIFNET14NJ214_009147-T1, CHIFNET14NJ214_009517-T1, CHIFNET14NJ214_009518-T1, CHIFNET14NJ214_009148-T1, CHIFNET14NJ214_009146-T1, CHIFNET14NJ214_009514-T1, CHIFNET14NJ214_009515-T1, CHIFNET14NJ214_009149-T1, CHIFNET14NJ214_009516-T1
GF00000047	CHIFNET14NJ214_014808-T1, CHIFNET14NJ214_011836-T1, CHIFNET14NJ214_002642-T1, CHIFNET14NJ214_005308-T1, CHIFNET14NJ214_014233-T1, CHIFNET14NJ214_011837-T1, CHIFNET14NJ214_011832-T1, CHIFNET14NJ214_014518-T1, CHIFNET14NJ214_011578-T1, CHIFNET14NJ214_014558-T1
GF00000048	CHIFNET14NJ214_009092-T1, CHIFNET14NJ214_007209-T1, CHIFNET14NJ214_012270-T1, CHIFNET14NJ214_012269-T1, CHIFNET14NJ214_006055-T1, CHIFNET14NJ214_006056-T1, CHIFNET14NJ214_012442-T1, CHIFNET14NJ214_012265-T1, CHIFNET14NJ214_012266-T1, CHIFNET14NJ214_012441-T1
GF00000049	CHIFNET14NJ214_002202-T1, CHIFNET14NJ214_000488-T1, CHIFNET14NJ214_008342-T1, CHIFNET14NJ214_006601-T1, CHIFNET14NJ214_005025-T1, CHIFNET14NJ214_006791-T1, CHIFNET14NJ214_010836-T1, CHIFNET14NJ214_005720-T1, CHIFNET14NJ214_015648-T1, CHIFNET14NJ214_014204-T1
GF00000050	CHIFNET14NJ214_007566-T1, CHIFNET14NJ214_011566-T1, CHIFNET14NJ214_015402-T1, CHIFNET14NJ214_010435-T1, CHIFNET14NJ214_004478-T1, CHIFNET14NJ214_012617-T1, CHIFNET14NJ214_004753-T1, CHIFNET14NJ214_006515-T1, CHIFNET14NJ214_003711-T1, CHIFNET14NJ214_003924-T1
GF00000051	CHIFNET14NJ214_003576-T1, CHIFNET14NJ214_000353-T1, CHIFNET14NJ214_003575-T1, CHIFNET14NJ214_000352-T1, CHIFNET14NJ214_000351-T1, CHIFNET14NJ214_000350-T1, CHIFNET14NJ214_003577-T1, CHIFNET14NJ214_003573-T1, CHIFNET14NJ214_000354-T1, CHIFNET14NJ214_003574-T1
GF00000052	CHIFNET14NJ214_000836-T1, CHIFNET14NJ214_004268-T1, CHIFNET14NJ214_004282-T1, CHIFNET14NJ214_005391-T1, CHIFNET14NJ214_000840-T1, CHIFNET14NJ214_005392-T1, CHIFNET14NJ214_000821-T1, CHIFNET14NJ214_000822-T1, CHIFNET14NJ214_000837-T1
GF00000053	CHIFNET14NJ214_000521-T1, CHIFNET14NJ214_006846-T1, CHIFNET14NJ214_009110-T1, CHIFNET14NJ214_001173-T1, CHIFNET14NJ214_001194-T1, CHIFNET14NJ214_009043-T1, CHIFNET14NJ214_009042-T1, CHIFNET14NJ214_009109-T1, CHIFNET14NJ214_014742-T1
