	Rhodotorula_mucilaginosa_DBVPG_3857.cds.fa
GF00000011	DBVPG3857_002734-T1, DBVPG3857_002604-T1, DBVPG3857_011303-T1, DBVPG3857_005195-T1, DBVPG3857_009693-T1, DBVPG3857_006467-T1, DBVPG3857_011715-T1, DBVPG3857_012478-T1, DBVPG3857_004068-T1, DBVPG3857_003554-T1, DBVPG3857_001326-T1, DBVPG3857_005380-T1, DBVPG3857_002553-T1, DBVPG3857_005381-T1, DBVPG3857_012069-T1, DBVPG3857_009694-T1, DBVPG3857_015200-T1
GF00000012	DBVPG3857_003902-T1, DBVPG3857_008835-T1, DBVPG3857_009842-T1, DBVPG3857_014202-T1, DBVPG3857_010277-T1, DBVPG3857_002208-T1, DBVPG3857_005133-T1, DBVPG3857_007613-T1, DBVPG3857_002955-T1, DBVPG3857_008842-T1, DBVPG3857_009976-T1, DBVPG3857_007280-T1, DBVPG3857_014746-T1, DBVPG3857_009326-T1, DBVPG3857_014207-T1, DBVPG3857_008848-T1, DBVPG3857_008847-T1
GF00000013	DBVPG3857_005326-T1, DBVPG3857_014309-T1, DBVPG3857_006984-T1, DBVPG3857_000348-T1, DBVPG3857_007722-T1, DBVPG3857_007721-T1, DBVPG3857_009199-T1, DBVPG3857_003536-T1, DBVPG3857_000264-T1, DBVPG3857_000716-T1, DBVPG3857_006983-T1, DBVPG3857_004603-T1, DBVPG3857_007670-T1, DBVPG3857_000347-T1, DBVPG3857_014225-T1, DBVPG3857_009179-T1
GF00000014	DBVPG3857_006663-T1, DBVPG3857_008055-T1, DBVPG3857_007983-T1, DBVPG3857_013173-T1, DBVPG3857_014712-T1, DBVPG3857_014350-T1, DBVPG3857_007987-T1, DBVPG3857_013177-T1, DBVPG3857_000124-T1, DBVPG3857_009861-T1, DBVPG3857_001302-T1, DBVPG3857_009147-T1, DBVPG3857_005290-T1, DBVPG3857_007391-T1, DBVPG3857_007446-T1, DBVPG3857_002815-T1
GF00000015	DBVPG3857_011069-T1, DBVPG3857_012561-T1, DBVPG3857_006215-T1, DBVPG3857_006253-T1, DBVPG3857_012038-T1, DBVPG3857_009069-T1, DBVPG3857_006331-T1, DBVPG3857_008747-T1, DBVPG3857_006593-T1, DBVPG3857_007116-T1, DBVPG3857_006343-T1, DBVPG3857_008271-T1, DBVPG3857_010265-T1, DBVPG3857_014167-T1, DBVPG3857_005508-T1, DBVPG3857_013157-T1
GF00000016	DBVPG3857_009102-T1, DBVPG3857_007184-T1, DBVPG3857_007185-T1, DBVPG3857_000453-T1, DBVPG3857_004819-T1, DBVPG3857_003587-T1, DBVPG3857_013430-T1, DBVPG3857_007181-T1, DBVPG3857_003588-T1, DBVPG3857_013241-T1, DBVPG3857_007182-T1, DBVPG3857_007183-T1, DBVPG3857_004818-T1, DBVPG3857_002456-T1, DBVPG3857_000452-T1
GF00000017	DBVPG3857_010092-T1, DBVPG3857_009411-T1, DBVPG3857_010093-T1, DBVPG3857_012141-T1, DBVPG3857_001375-T1, DBVPG3857_000051-T1, DBVPG3857_011290-T1, DBVPG3857_011289-T1, DBVPG3857_008455-T1, DBVPG3857_002976-T1, DBVPG3857_011877-T1, DBVPG3857_009412-T1, DBVPG3857_013694-T1, DBVPG3857_009413-T1, DBVPG3857_013695-T1
GF00000018	DBVPG3857_013911-T1, DBVPG3857_007200-T1, DBVPG3857_004810-T1, DBVPG3857_007199-T1, DBVPG3857_007729-T1, DBVPG3857_007201-T1, DBVPG3857_001041-T1, DBVPG3857_001039-T1, DBVPG3857_007846-T1, DBVPG3857_001040-T1, DBVPG3857_001038-T1, DBVPG3857_001042-T1, DBVPG3857_004809-T1, DBVPG3857_007779-T1, DBVPG3857_004425-T1
GF00000019	DBVPG3857_011030-T1, DBVPG3857_010731-T1, DBVPG3857_007154-T1, DBVPG3857_007271-T1, DBVPG3857_001143-T1, DBVPG3857_000891-T1, DBVPG3857_013624-T1, DBVPG3857_010241-T1, DBVPG3857_003917-T1, DBVPG3857_009883-T1, DBVPG3857_005148-T1, DBVPG3857_004013-T1, DBVPG3857_003970-T1, DBVPG3857_014687-T1
GF00000020	DBVPG3857_006066-T1, DBVPG3857_012516-T1, DBVPG3857_004827-T1, DBVPG3857_012558-T1, DBVPG3857_011073-T1, DBVPG3857_007173-T1, DBVPG3857_013499-T1, DBVPG3857_007413-T1, DBVPG3857_009675-T1, DBVPG3857_009260-T1, DBVPG3857_011374-T1, DBVPG3857_002847-T1, DBVPG3857_002846-T1, DBVPG3857_011373-T1
GF00000021	DBVPG3857_001476-T1, DBVPG3857_005671-T1, DBVPG3857_001480-T1, DBVPG3857_001475-T1, DBVPG3857_005672-T1, DBVPG3857_001477-T1, DBVPG3857_005670-T1, DBVPG3857_001481-T1, DBVPG3857_001479-T1, DBVPG3857_005669-T1, DBVPG3857_005666-T1, DBVPG3857_001478-T1, DBVPG3857_005667-T1, DBVPG3857_005668-T1
GF00000022	DBVPG3857_005115-T1, DBVPG3857_005118-T1, DBVPG3857_005130-T1, DBVPG3857_005129-T1, DBVPG3857_003895-T1, DBVPG3857_003894-T1, DBVPG3857_003898-T1, DBVPG3857_003899-T1, DBVPG3857_005109-T1, DBVPG3857_003897-T1, DBVPG3857_003880-T1, DBVPG3857_003896-T1, DBVPG3857_005110-T1, DBVPG3857_003875-T1
GF00000023	DBVPG3857_005116-T1, DBVPG3857_005128-T1, DBVPG3857_005127-T1, DBVPG3857_005117-T1, DBVPG3857_005107-T1, DBVPG3857_005108-T1, DBVPG3857_003874-T1, DBVPG3857_003893-T1, DBVPG3857_003890-T1, DBVPG3857_003930-T1, DBVPG3857_003881-T1, DBVPG3857_003892-T1, DBVPG3857_003873-T1, DBVPG3857_005160-T1
GF00000024	DBVPG3857_003288-T1, DBVPG3857_002244-T1, DBVPG3857_003721-T1, DBVPG3857_014110-T1, DBVPG3857_014531-T1, DBVPG3857_008393-T1, DBVPG3857_012097-T1, DBVPG3857_007029-T1, DBVPG3857_001771-T1, DBVPG3857_005294-T1, DBVPG3857_007395-T1, DBVPG3857_012209-T1, DBVPG3857_015126-T1
GF00000025	DBVPG3857_009560-T1, DBVPG3857_013632-T1, DBVPG3857_008912-T1, DBVPG3857_013470-T1, DBVPG3857_008775-T1, DBVPG3857_006259-T1, DBVPG3857_011765-T1, DBVPG3857_010271-T1, DBVPG3857_005266-T1, DBVPG3857_007367-T1, DBVPG3857_004475-T1, DBVPG3857_014561-T1, DBVPG3857_010699-T1
GF00000026	DBVPG3857_008834-T1, DBVPG3857_009841-T1, DBVPG3857_005395-T1, DBVPG3857_010827-T1, DBVPG3857_006133-T1, DBVPG3857_006486-T1, DBVPG3857_002861-T1, DBVPG3857_013212-T1, DBVPG3857_013919-T1, DBVPG3857_010951-T1, DBVPG3857_014976-T1, DBVPG3857_014957-T1, DBVPG3857_013407-T1
GF00000027	DBVPG3857_006360-T1, DBVPG3857_005559-T1, DBVPG3857_006098-T1, DBVPG3857_009308-T1, DBVPG3857_010547-T1, DBVPG3857_000544-T1, DBVPG3857_008017-T1, DBVPG3857_006678-T1, DBVPG3857_000549-T1, DBVPG3857_011509-T1, DBVPG3857_003622-T1, DBVPG3857_010552-T1, DBVPG3857_012026-T1
GF00000028	DBVPG3857_008662-T1, DBVPG3857_008411-T1, DBVPG3857_014722-T1, DBVPG3857_014258-T1, DBVPG3857_013767-T1, DBVPG3857_003391-T1, DBVPG3857_011602-T1, DBVPG3857_014038-T1, DBVPG3857_002470-T1, DBVPG3857_013731-T1, DBVPG3857_011207-T1, DBVPG3857_011862-T1, DBVPG3857_011208-T1
GF00000029	DBVPG3857_002752-T1, DBVPG3857_005162-T1, DBVPG3857_005112-T1, DBVPG3857_003877-T1, DBVPG3857_003932-T1, DBVPG3857_005106-T1, DBVPG3857_007683-T1, DBVPG3857_003872-T1, DBVPG3857_004619-T1, DBVPG3857_004613-T1, DBVPG3857_004610-T1, DBVPG3857_004609-T1, DBVPG3857_007677-T1
GF00000030	DBVPG3857_012625-T1, DBVPG3857_004521-T1, DBVPG3857_004795-T1, DBVPG3857_001065-T1, DBVPG3857_001924-T1, DBVPG3857_010334-T1, DBVPG3857_007789-T1, DBVPG3857_001013-T1, DBVPG3857_003107-T1, DBVPG3857_007957-T1, DBVPG3857_007074-T1, DBVPG3857_013137-T1
GF00000031	DBVPG3857_004269-T1, DBVPG3857_007854-T1, DBVPG3857_004433-T1, DBVPG3857_012821-T1, DBVPG3857_004719-T1, DBVPG3857_002625-T1, DBVPG3857_012787-T1, DBVPG3857_015190-T1, DBVPG3857_007351-T1, DBVPG3857_012854-T1, DBVPG3857_004720-T1, DBVPG3857_015007-T1
GF00000032	DBVPG3857_003986-T1, DBVPG3857_014909-T1, DBVPG3857_002382-T1, DBVPG3857_006528-T1, DBVPG3857_006529-T1, DBVPG3857_006018-T1, DBVPG3857_006530-T1, DBVPG3857_006019-T1, DBVPG3857_002073-T1, DBVPG3857_006017-T1, DBVPG3857_004967-T1, DBVPG3857_007909-T1
GF00000033	DBVPG3857_011502-T1, DBVPG3857_003614-T1, DBVPG3857_009154-T1, DBVPG3857_009869-T1, DBVPG3857_009620-T1, DBVPG3857_003171-T1, DBVPG3857_002917-T1, DBVPG3857_009155-T1, DBVPG3857_009870-T1, DBVPG3857_012316-T1, DBVPG3857_002915-T1, DBVPG3857_009622-T1
GF00000034	DBVPG3857_001381-T1, DBVPG3857_000060-T1, DBVPG3857_000041-T1, DBVPG3857_001380-T1, DBVPG3857_000043-T1, DBVPG3857_001366-T1, DBVPG3857_001365-T1, DBVPG3857_003249-T1, DBVPG3857_000042-T1, DBVPG3857_001379-T1, DBVPG3857_002286-T1, DBVPG3857_002287-T1
GF00000035	DBVPG3857_005575-T1, DBVPG3857_006077-T1, DBVPG3857_008323-T1, DBVPG3857_012137-T1, DBVPG3857_003231-T1, DBVPG3857_011122-T1, DBVPG3857_011284-T1, DBVPG3857_013870-T1, DBVPG3857_009316-T1, DBVPG3857_011872-T1, DBVPG3857_001575-T1, DBVPG3857_013690-T1
GF00000036	DBVPG3857_000439-T1, DBVPG3857_014860-T1, DBVPG3857_010765-T1, DBVPG3857_005589-T1, DBVPG3857_005590-T1, DBVPG3857_005587-T1, DBVPG3857_015132-T1, DBVPG3857_005588-T1, DBVPG3857_014790-T1, DBVPG3857_015170-T1, DBVPG3857_014906-T1
GF00000037	DBVPG3857_002991-T1, DBVPG3857_003974-T1, DBVPG3857_008440-T1, DBVPG3857_012179-T1, DBVPG3857_009735-T1, DBVPG3857_012181-T1, DBVPG3857_012180-T1, DBVPG3857_009734-T1, DBVPG3857_009733-T1, DBVPG3857_004009-T1, DBVPG3857_004008-T1
GF00000038	DBVPG3857_000451-T1, DBVPG3857_009101-T1, DBVPG3857_008877-T1, DBVPG3857_005785-T1, DBVPG3857_004904-T1, DBVPG3857_009586-T1, DBVPG3857_011219-T1, DBVPG3857_008134-T1, DBVPG3857_014770-T1, DBVPG3857_001284-T1, DBVPG3857_000454-T1
GF00000039	DBVPG3857_011450-T1, DBVPG3857_008366-T1, DBVPG3857_009629-T1, DBVPG3857_002908-T1, DBVPG3857_002909-T1, DBVPG3857_009628-T1, DBVPG3857_009643-T1, DBVPG3857_014985-T1, DBVPG3857_009934-T1, DBVPG3857_008365-T1, DBVPG3857_011451-T1
GF00000040	DBVPG3857_013136-T1, DBVPG3857_013546-T1, DBVPG3857_000148-T1, DBVPG3857_007073-T1, DBVPG3857_013273-T1, DBVPG3857_006277-T1, DBVPG3857_013338-T1, DBVPG3857_010956-T1, DBVPG3857_013944-T1, DBVPG3857_013943-T1
GF00000041	DBVPG3857_003434-T1, DBVPG3857_003439-T1, DBVPG3857_005809-T1, DBVPG3857_005808-T1, DBVPG3857_003436-T1, DBVPG3857_005812-T1, DBVPG3857_005811-T1, DBVPG3857_003435-T1, DBVPG3857_003440-T1, DBVPG3857_005810-T1
GF00000042	DBVPG3857_000169-T1, DBVPG3857_006775-T1, DBVPG3857_000158-T1, DBVPG3857_006772-T1, DBVPG3857_000168-T1, DBVPG3857_000174-T1, DBVPG3857_013249-T1, DBVPG3857_013557-T1, DBVPG3857_015071-T1, DBVPG3857_013260-T1
GF00000043	DBVPG3857_006626-T1, DBVPG3857_006769-T1, DBVPG3857_006767-T1, DBVPG3857_010663-T1, DBVPG3857_006768-T1, DBVPG3857_006766-T1, DBVPG3857_000177-T1, DBVPG3857_013724-T1, DBVPG3857_013725-T1, DBVPG3857_002464-T1
GF00000044	DBVPG3857_006240-T1, DBVPG3857_010252-T1, DBVPG3857_013564-T1, DBVPG3857_005983-T1, DBVPG3857_015123-T1, DBVPG3857_011275-T1, DBVPG3857_011632-T1, DBVPG3857_013680-T1, DBVPG3857_014739-T1, DBVPG3857_011092-T1
GF00000045	DBVPG3857_009096-T1, DBVPG3857_000446-T1, DBVPG3857_013274-T1, DBVPG3857_006278-T1, DBVPG3857_013272-T1, DBVPG3857_011225-T1, DBVPG3857_007347-T1, DBVPG3857_006511-T1, DBVPG3857_011827-T1, DBVPG3857_006276-T1
GF00000046	DBVPG3857_007043-T1, DBVPG3857_001765-T1, DBVPG3857_001782-T1, DBVPG3857_007037-T1, DBVPG3857_015091-T1, DBVPG3857_015023-T1, DBVPG3857_015022-T1, DBVPG3857_015224-T1, DBVPG3857_007001-T1
GF00000047	DBVPG3857_012586-T1, DBVPG3857_008235-T1, DBVPG3857_008234-T1, DBVPG3857_012587-T1, DBVPG3857_008230-T1, DBVPG3857_012590-T1, DBVPG3857_008233-T1, DBVPG3857_012588-T1, DBVPG3857_008229-T1
GF00000048	DBVPG3857_006915-T1, DBVPG3857_000684-T1, DBVPG3857_014955-T1, DBVPG3857_014956-T1, DBVPG3857_006917-T1, DBVPG3857_014954-T1, DBVPG3857_006916-T1, DBVPG3857_015142-T1, DBVPG3857_015031-T1
GF00000049	DBVPG3857_008101-T1, DBVPG3857_008102-T1, DBVPG3857_009234-T1, DBVPG3857_001617-T1, DBVPG3857_001513-T1, DBVPG3857_001938-T1, DBVPG3857_010318-T1, DBVPG3857_004701-T1, DBVPG3857_004702-T1
GF00000050	DBVPG3857_007760-T1, DBVPG3857_012879-T1, DBVPG3857_007743-T1, DBVPG3857_014425-T1, DBVPG3857_007766-T1, DBVPG3857_007742-T1, DBVPG3857_007765-T1, DBVPG3857_014424-T1, DBVPG3857_007764-T1
GF00000051	DBVPG3857_007747-T1, DBVPG3857_007741-T1, DBVPG3857_014426-T1, DBVPG3857_012877-T1, DBVPG3857_012887-T1, DBVPG3857_014077-T1, DBVPG3857_007759-T1, DBVPG3857_012878-T1, DBVPG3857_007767-T1
GF00000052	DBVPG3857_009080-T1, DBVPG3857_009072-T1, DBVPG3857_012041-T1, DBVPG3857_009079-T1, DBVPG3857_013717-T1, DBVPG3857_013716-T1, DBVPG3857_009083-T1, DBVPG3857_013712-T1, DBVPG3857_013713-T1
GF00000053	DBVPG3857_009073-T1, DBVPG3857_012042-T1, DBVPG3857_007098-T1, DBVPG3857_003059-T1, DBVPG3857_010800-T1, DBVPG3857_005963-T1, DBVPG3857_002777-T1, DBVPG3857_005735-T1, DBVPG3857_009074-T1
GF00000054	DBVPG3857_008030-T1, DBVPG3857_001963-T1, DBVPG3857_006691-T1, DBVPG3857_012006-T1, DBVPG3857_000567-T1, DBVPG3857_006212-T1, DBVPG3857_006328-T1, DBVPG3857_011008-T1, DBVPG3857_014935-T1
GF00000055	DBVPG3857_008561-T1, DBVPG3857_006122-T1, DBVPG3857_008562-T1, DBVPG3857_008563-T1, DBVPG3857_006125-T1, DBVPG3857_006120-T1, DBVPG3857_006124-T1, DBVPG3857_006123-T1, DBVPG3857_006121-T1
GF00000056	DBVPG3857_003555-T1, DBVPG3857_000046-T1, DBVPG3857_006490-T1, DBVPG3857_000150-T1, DBVPG3857_013262-T1, DBVPG3857_006268-T1, DBVPG3857_013548-T1, DBVPG3857_001376-T1
GF00000057	DBVPG3857_014624-T1, DBVPG3857_011064-T1, DBVPG3857_002330-T1, DBVPG3857_002023-T1, DBVPG3857_002022-T1, DBVPG3857_014962-T1, DBVPG3857_014990-T1, DBVPG3857_015183-T1
GF00000058	DBVPG3857_007038-T1, DBVPG3857_007052-T1, DBVPG3857_001757-T1, DBVPG3857_001770-T1, DBVPG3857_001783-T1, DBVPG3857_001785-T1, DBVPG3857_013592-T1, DBVPG3857_001784-T1
GF00000059	DBVPG3857_011447-T1, DBVPG3857_008369-T1, DBVPG3857_012790-T1, DBVPG3857_000470-T1, DBVPG3857_009117-T1, DBVPG3857_015061-T1, DBVPG3857_015115-T1, DBVPG3857_015145-T1
GF00000060	DBVPG3857_004287-T1, DBVPG3857_006824-T1, DBVPG3857_009163-T1, DBVPG3857_013985-T1, DBVPG3857_007416-T1, DBVPG3857_002843-T1, DBVPG3857_009167-T1, DBVPG3857_013912-T1
GF00000061	DBVPG3857_012295-T1, DBVPG3857_008786-T1, DBVPG3857_003274-T1, DBVPG3857_002259-T1, DBVPG3857_013658-T1, DBVPG3857_010443-T1, DBVPG3857_005531-T1, DBVPG3857_011176-T1
GF00000062	DBVPG3857_005862-T1, DBVPG3857_005059-T1, DBVPG3857_012786-T1, DBVPG3857_015008-T1, DBVPG3857_006780-T1, DBVPG3857_004330-T1, DBVPG3857_004919-T1, DBVPG3857_013760-T1
GF00000063	DBVPG3857_005480-T1, DBVPG3857_001855-T1, DBVPG3857_013329-T1, DBVPG3857_005432-T1, DBVPG3857_005433-T1, DBVPG3857_001813-T1, DBVPG3857_007006-T1, DBVPG3857_007007-T1
GF00000064	DBVPG3857_012243-T1, DBVPG3857_007497-T1, DBVPG3857_012245-T1, DBVPG3857_007499-T1, DBVPG3857_003256-T1, DBVPG3857_002278-T1, DBVPG3857_007506-T1, DBVPG3857_014018-T1
GF00000065	DBVPG3857_013837-T1, DBVPG3857_012223-T1, DBVPG3857_005360-T1, DBVPG3857_000872-T1, DBVPG3857_010689-T1, DBVPG3857_004483-T1, DBVPG3857_014508-T1, DBVPG3857_000871-T1
GF00000066	DBVPG3857_012379-T1, DBVPG3857_011056-T1, DBVPG3857_002178-T1, DBVPG3857_000485-T1, DBVPG3857_011096-T1, DBVPG3857_008288-T1, DBVPG3857_002113-T1, DBVPG3857_013534-T1
GF00000067	DBVPG3857_014763-T1, DBVPG3857_014731-T1, DBVPG3857_002211-T1, DBVPG3857_010274-T1, DBVPG3857_006959-T1, DBVPG3857_000326-T1, DBVPG3857_001358-T1, DBVPG3857_000067-T1
GF00000068	DBVPG3857_012287-T1, DBVPG3857_010283-T1, DBVPG3857_004052-T1, DBVPG3857_002676-T1, DBVPG3857_010416-T1, DBVPG3857_015057-T1, DBVPG3857_002486-T1, DBVPG3857_010205-T1
GF00000069	DBVPG3857_012144-T1, DBVPG3857_007056-T1, DBVPG3857_012146-T1, DBVPG3857_012145-T1, DBVPG3857_007090-T1, DBVPG3857_007091-T1, DBVPG3857_014472-T1, DBVPG3857_007057-T1
GF00000070	DBVPG3857_002345-T1, DBVPG3857_007217-T1, DBVPG3857_014368-T1, DBVPG3857_011202-T1, DBVPG3857_008595-T1, DBVPG3857_002588-T1, DBVPG3857_012527-T1, DBVPG3857_002037-T1
GF00000071	DBVPG3857_006540-T1, DBVPG3857_014213-T1, DBVPG3857_006028-T1, DBVPG3857_006034-T1, DBVPG3857_006030-T1, DBVPG3857_006544-T1, DBVPG3857_002138-T1, DBVPG3857_006029-T1
GF00000072	DBVPG3857_001251-T1, DBVPG3857_008166-T1, DBVPG3857_008169-T1, DBVPG3857_001250-T1, DBVPG3857_008167-T1, DBVPG3857_008168-T1, DBVPG3857_001249-T1, DBVPG3857_001248-T1
GF00000073	DBVPG3857_012789-T1, DBVPG3857_015136-T1, DBVPG3857_015157-T1, DBVPG3857_015114-T1, DBVPG3857_015062-T1, DBVPG3857_015219-T1, DBVPG3857_015155-T1, DBVPG3857_015194-T1
GF00000074	DBVPG3857_003286-T1, DBVPG3857_004754-T1, DBVPG3857_004756-T1, DBVPG3857_008958-T1, DBVPG3857_004755-T1, DBVPG3857_008957-T1, DBVPG3857_002246-T1, DBVPG3857_008959-T1
GF00000075	DBVPG3857_008583-T1, DBVPG3857_012170-T1, DBVPG3857_012034-T1, DBVPG3857_009066-T1, DBVPG3857_010706-T1, DBVPG3857_003995-T1, DBVPG3857_008672-T1, DBVPG3857_011852-T1
GF00000076	DBVPG3857_014343-T1, DBVPG3857_014344-T1, DBVPG3857_003600-T1, DBVPG3857_003598-T1, DBVPG3857_003599-T1, DBVPG3857_003597-T1, DBVPG3857_014340-T1, DBVPG3857_003601-T1
