	Rhodotorula_mucilaginosa_DBVPG_3444.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00000044	12	6	18	1.0	multi-copy
GF00000045	13	5	18	1.0	multi-copy
GF00000046	11	7	18	1.0	multi-copy
GF00000047	12	6	18	1.0	multi-copy
GF00000048	12	6	18	1.0	multi-copy
GF00000049	12	5	17	1.0	multi-copy
GF00000050	12	5	17	1.0	multi-copy
GF00000051	10	7	17	1.0	multi-copy
GF00000052	11	5	16	1.0	multi-copy
GF00000053	11	5	16	1.0	multi-copy
GF00000054	11	5	16	1.0	multi-copy
GF00000055	12	4	16	1.0	multi-copy
GF00000056	10	6	16	1.0	multi-copy
GF00000057	9	6	15	1.0	multi-copy
GF00000058	10	5	15	1.0	multi-copy
GF00000059	10	5	15	1.0	multi-copy
GF00000060	10	5	15	1.0	multi-copy
GF00000061	10	5	15	1.0	multi-copy
GF00000062	10	5	15	1.0	multi-copy
GF00000063	9	6	15	1.0	multi-copy
GF00000064	10	5	15	1.0	multi-copy
GF00000065	10	5	15	1.0	multi-copy
GF00000066	9	6	15	1.0	multi-copy
GF00000067	10	5	15	1.0	multi-copy
GF00000068	10	5	15	1.0	multi-copy
GF00000069	10	4	14	1.0	multi-copy
GF00000070	9	5	14	1.0	multi-copy
GF00000071	9	5	14	1.0	multi-copy
GF00000072	10	4	14	1.0	multi-copy
GF00000073	10	4	14	1.0	multi-copy
GF00000074	10	4	14	1.0	multi-copy
GF00000075	10	4	14	1.0	multi-copy
GF00000076	8	5	13	1.0	multi-copy
GF00000077	9	4	13	1.0	multi-copy
GF00000078	9	4	13	1.0	multi-copy
GF00000079	9	4	13	1.0	multi-copy
GF00000080	9	4	13	1.0	multi-copy
GF00000081	9	4	13	1.0	multi-copy
GF00000082	9	4	13	1.0	multi-copy
GF00000083	10	3	13	1.0	multi-copy
GF00000084	7	6	13	1.0	multi-copy
GF00000085	8	5	13	1.0	multi-copy
GF00000086	10	3	13	1.0	multi-copy
GF00000087	8	5	13	1.0	multi-copy
GF00000088	9	4	13	1.0	multi-copy
GF00000089	8	5	13	1.0	multi-copy
GF00000090	8	4	12	1.0	multi-copy
GF00000091	8	4	12	1.0	multi-copy
GF00000092	8	4	12	1.0	multi-copy
GF00000093	8	4	12	1.0	multi-copy
GF00000094	8	4	12	1.0	multi-copy
GF00000095	8	4	12	1.0	multi-copy
GF00000096	8	4	12	1.0	multi-copy
GF00000097	8	4	12	1.0	multi-copy
GF00000098	8	4	12	1.0	multi-copy
GF00000099	8	4	12	1.0	multi-copy
GF00000100	8	4	12	1.0	multi-copy
GF00000101	8	4	12	1.0	multi-copy
GF00000102	8	4	12	1.0	multi-copy
GF00000103	8	4	12	1.0	multi-copy
GF00000104	8	4	12	1.0	multi-copy
GF00000105	8	4	12	1.0	multi-copy
GF00000106	8	4	12	1.0	multi-copy
GF00000107	8	4	12	1.0	multi-copy
GF00000108	7	5	12	1.0	multi-copy
GF00000109	8	4	12	1.0	multi-copy
GF00000110	9	3	12	1.0	multi-copy
GF00000111	8	4	12	1.0	multi-copy
GF00000112	6	6	12	1.0	multi-copy
GF00000113	6	6	12	1.0	multi-copy
GF00000114	7	4	11	1.0	multi-copy
GF00000115	7	4	11	1.0	multi-copy
GF00000116	8	3	11	1.0	multi-copy
GF00000117	7	4	11	1.0	multi-copy
GF00000118	7	4	11	1.0	multi-copy
GF00000119	7	4	11	1.0	multi-copy
GF00000120	7	4	11	1.0	multi-copy
GF00000121	8	3	11	1.0	multi-copy
GF00000122	7	4	11	1.0	multi-copy
GF00000123	8	3	11	1.0	multi-copy
GF00000124	6	5	11	1.0	multi-copy
GF00000125	5	6	11	1.0	multi-copy
GF00000126	9	2	11	1.0	multi-copy
GF00000127	6	4	10	1.0	multi-copy
GF00000128	7	3	10	1.0	multi-copy
GF00000129	7	3	10	1.0	multi-copy
GF00000130	7	3	10	1.0	multi-copy
GF00000131	7	3	10	1.0	multi-copy
GF00000132	7	3	10	1.0	multi-copy
GF00000133	6	4	10	1.0	multi-copy
GF00000134	7	3	10	1.0	multi-copy
GF00000135	6	4	10	1.0	multi-copy
GF00000136	7	3	10	1.0	multi-copy
GF00000137	6	4	10	1.0	multi-copy
GF00000138	7	3	10	1.0	multi-copy
GF00000139	7	3	10	1.0	multi-copy
GF00000140	6	4	10	1.0	multi-copy
GF00000141	6	4	10	1.0	multi-copy
GF00000142	7	3	10	1.0	multi-copy
GF00000143	7	3	10	1.0	multi-copy
GF00000144	6	4	10	1.0	multi-copy
GF00000145	7	3	10	1.0	multi-copy
GF00000146	7	3	10	1.0	multi-copy
GF00000147	7	3	10	1.0	multi-copy
GF00000148	7	3	10	1.0	multi-copy
GF00000149	7	3	10	1.0	multi-copy
GF00000150	6	4	10	1.0	multi-copy
GF00000151	6	4	10	1.0	multi-copy
GF00000152	6	3	9	1.0	multi-copy
GF00000153	6	3	9	1.0	multi-copy
GF00000154	6	3	9	1.0	multi-copy
GF00000155	6	3	9	1.0	multi-copy
GF00000156	6	3	9	1.0	multi-copy
GF00000157	6	3	9	1.0	multi-copy
GF00000158	6	3	9	1.0	multi-copy
GF00000159	6	3	9	1.0	multi-copy
GF00000160	6	3	9	1.0	multi-copy
GF00000161	6	3	9	1.0	multi-copy
GF00000162	6	3	9	1.0	multi-copy
GF00000163	6	3	9	1.0	multi-copy
GF00000164	6	3	9	1.0	multi-copy
GF00000165	6	3	9	1.0	multi-copy
GF00000166	6	3	9	1.0	multi-copy
GF00000167	6	3	9	1.0	multi-copy
GF00000168	6	3	9	1.0	multi-copy
GF00000169	6	3	9	1.0	multi-copy
GF00000170	6	3	9	1.0	multi-copy
GF00000171	7	2	9	1.0	multi-copy
GF00000172	6	3	9	1.0	multi-copy
GF00000173	6	3	9	1.0	multi-copy
GF00000174	6	3	9	1.0	multi-copy
GF00000175	6	3	9	1.0	multi-copy
GF00000176	6	3	9	1.0	multi-copy
GF00000177	6	3	9	1.0	multi-copy
GF00000178	6	3	9	1.0	multi-copy
GF00000179	7	2	9	1.0	multi-copy
GF00000180	5	4	9	1.0	multi-copy
GF00000181	5	4	9	1.0	multi-copy
GF00000182	6	3	9	1.0	multi-copy
GF00000183	6	3	9	1.0	multi-copy
GF00000184	6	3	9	1.0	multi-copy
GF00000185	6	3	9	1.0	multi-copy
GF00000186	6	3	9	1.0	multi-copy
GF00000187	6	3	9	1.0	multi-copy
GF00000188	6	3	9	1.0	multi-copy
GF00000189	6	3	9	1.0	multi-copy
GF00000190	6	3	9	1.0	multi-copy
GF00000191	6	3	9	1.0	multi-copy
GF00000192	6	3	9	1.0	multi-copy
GF00000193	6	3	9	1.0	multi-copy
GF00000194	6	3	9	1.0	multi-copy
GF00000195	6	3	9	1.0	multi-copy
GF00000196	5	4	9	1.0	multi-copy
GF00000197	6	3	9	1.0	multi-copy
GF00000198	6	3	9	1.0	multi-copy
GF00000199	6	3	9	1.0	multi-copy
GF00000200	6	3	9	1.0	multi-copy
GF00000201	6	3	9	1.0	multi-copy
GF00000202	6	3	9	1.0	multi-copy
GF00000203	6	3	9	1.0	multi-copy
GF00000204	5	4	9	1.0	multi-copy
GF00000205	6	3	9	1.0	multi-copy
GF00000206	6	3	9	1.0	multi-copy
GF00000207	5	4	9	1.0	multi-copy
GF00000208	5	4	9	1.0	multi-copy
GF00000209	7	2	9	1.0	multi-copy
GF00000210	6	3	9	1.0	multi-copy
GF00000211	5	3	8	1.0	multi-copy
GF00000212	5	3	8	1.0	multi-copy
GF00000213	4	4	8	1.0	multi-copy
GF00000214	5	3	8	1.0	multi-copy
GF00000215	5	3	8	1.0	multi-copy
GF00000216	5	3	8	1.0	multi-copy
GF00000217	5	3	8	1.0	multi-copy
GF00000218	5	3	8	1.0	multi-copy
GF00000219	5	3	8	1.0	multi-copy
GF00000220	5	3	8	1.0	multi-copy
GF00000221	6	2	8	1.0	multi-copy
GF00000222	6	2	8	1.0	multi-copy
GF00000223	5	3	8	1.0	multi-copy
GF00000224	5	3	8	1.0	multi-copy
GF00000225	4	4	8	1.0	multi-copy
GF00000226	5	3	8	1.0	multi-copy
GF00000227	5	3	8	1.0	multi-copy
GF00000228	5	3	8	1.0	multi-copy
GF00000229	5	3	8	1.0	multi-copy
GF00000230	6	2	8	1.0	multi-copy
GF00000231	5	3	8	1.0	multi-copy
GF00000232	6	2	8	1.0	multi-copy
GF00000233	5	3	8	1.0	multi-copy
GF00000234	5	3	8	1.0	multi-copy
GF00000235	7	1	8	1.0	multi-copy
GF00000236	5	3	8	1.0	multi-copy
GF00000237	6	2	8	1.0	multi-copy
GF00000238	6	2	8	1.0	multi-copy
GF00000239	5	3	8	1.0	multi-copy
GF00000240	6	2	8	1.0	multi-copy
GF00000241	5	3	8	1.0	multi-copy
GF00000242	4	4	8	1.0	multi-copy
GF00000243	6	2	8	1.0	multi-copy
GF00000244	5	2	7	1.0	multi-copy
GF00000245	5	2	7	1.0	multi-copy
GF00000246	4	3	7	1.0	multi-copy
GF00000247	4	3	7	1.0	multi-copy
GF00000248	5	2	7	1.0	multi-copy
GF00000249	5	2	7	1.0	multi-copy
GF00000250	5	2	7	1.0	multi-copy
GF00000251	5	2	7	1.0	multi-copy
GF00000252	5	2	7	1.0	multi-copy
GF00000253	5	2	7	1.0	multi-copy
GF00000254	5	2	7	1.0	multi-copy
GF00000255	5	2	7	1.0	multi-copy
GF00000256	5	2	7	1.0	multi-copy
GF00000257	5	2	7	1.0	multi-copy
GF00000258	5	2	7	1.0	multi-copy
GF00000259	4	3	7	1.0	multi-copy
GF00000260	5	2	7	1.0	multi-copy
GF00000261	4	3	7	1.0	multi-copy
GF00000262	5	2	7	1.0	multi-copy
GF00000263	4	3	7	1.0	multi-copy
GF00000264	5	2	7	1.0	multi-copy
GF00000265	5	2	7	1.0	multi-copy
GF00000266	6	1	7	1.0	multi-copy
GF00000267	5	2	7	1.0	multi-copy
GF00000268	5	2	7	1.0	multi-copy
GF00000269	5	2	7	1.0	multi-copy
GF00000270	5	2	7	1.0	multi-copy
GF00000271	5	2	7	1.0	multi-copy
GF00000272	4	3	7	1.0	multi-copy
GF00000273	5	2	7	1.0	multi-copy
GF00000274	5	2	7	1.0	multi-copy
GF00000275	6	1	7	1.0	multi-copy
GF00000276	5	2	7	1.0	multi-copy
GF00000277	5	2	7	1.0	multi-copy
GF00000278	5	2	7	1.0	multi-copy
GF00000279	5	2	7	1.0	multi-copy
GF00000280	5	2	7	1.0	multi-copy
GF00000281	6	1	7	1.0	multi-copy
GF00000282	5	2	7	1.0	multi-copy
GF00000283	4	3	7	1.0	multi-copy
GF00000284	5	2	7	1.0	multi-copy
GF00000285	5	2	7	1.0	multi-copy
GF00000286	5	2	7	1.0	multi-copy
GF00000287	5	2	7	1.0	multi-copy
GF00000288	5	2	7	1.0	multi-copy
GF00000289	4	3	7	1.0	multi-copy
GF00000290	5	2	7	1.0	multi-copy
GF00000291	5	2	7	1.0	multi-copy
GF00000292	5	2	7	1.0	multi-copy
GF00000293	5	2	7	1.0	multi-copy
GF00000294	5	2	7	1.0	multi-copy
GF00000295	6	1	7	1.0	multi-copy
GF00000296	5	2	7	1.0	multi-copy
GF00000297	5	2	7	1.0	multi-copy
GF00000298	5	2	7	1.0	multi-copy
GF00000299	5	2	7	1.0	multi-copy
GF00000300	5	2	7	1.0	multi-copy
GF00000301	5	2	7	1.0	multi-copy
GF00000302	5	2	7	1.0	multi-copy
GF00000303	4	3	7	1.0	multi-copy
GF00000304	5	2	7	1.0	multi-copy
GF00000305	5	2	7	1.0	multi-copy
GF00000306	4	3	7	1.0	multi-copy
GF00000307	5	2	7	1.0	multi-copy
GF00000308	5	2	7	1.0	multi-copy
GF00000309	5	2	7	1.0	multi-copy
GF00000310	5	2	7	1.0	multi-copy
GF00000311	5	2	7	1.0	multi-copy
GF00000312	4	3	7	1.0	multi-copy
GF00000313	5	2	7	1.0	multi-copy
GF00000314	5	2	7	1.0	multi-copy
GF00000315	5	2	7	1.0	multi-copy
GF00000316	4	3	7	1.0	multi-copy
GF00000317	4	3	7	1.0	multi-copy
GF00000318	4	2	6	1.0	multi-copy
GF00000319	4	2	6	1.0	multi-copy
GF00000320	4	2	6	1.0	multi-copy
GF00000321	4	2	6	1.0	multi-copy
GF00000322	4	2	6	1.0	multi-copy
GF00000323	4	2	6	1.0	multi-copy
GF00000324	4	2	6	1.0	multi-copy
GF00000325	4	2	6	1.0	multi-copy
GF00000326	4	2	6	1.0	multi-copy
GF00000327	4	2	6	1.0	multi-copy
GF00000328	4	2	6	1.0	multi-copy
GF00000329	4	2	6	1.0	multi-copy
GF00000330	4	2	6	1.0	multi-copy
GF00000331	4	2	6	1.0	multi-copy
GF00000332	4	2	6	1.0	multi-copy
GF00000333	4	2	6	1.0	multi-copy
GF00000334	4	2	6	1.0	multi-copy
GF00000335	4	2	6	1.0	multi-copy
GF00000336	4	2	6	1.0	multi-copy
GF00000337	4	2	6	1.0	multi-copy
GF00000338	4	2	6	1.0	multi-copy
GF00000339	4	2	6	1.0	multi-copy
GF00000340	4	2	6	1.0	multi-copy
GF00000341	4	2	6	1.0	multi-copy
GF00000342	4	2	6	1.0	multi-copy
GF00000343	4	2	6	1.0	multi-copy
GF00000344	4	2	6	1.0	multi-copy
GF00000345	4	2	6	1.0	multi-copy
GF00000346	4	2	6	1.0	multi-copy
GF00000347	4	2	6	1.0	multi-copy
GF00000348	4	2	6	1.0	multi-copy
GF00000349	4	2	6	1.0	multi-copy
GF00000350	4	2	6	1.0	multi-copy
GF00000351	4	2	6	1.0	multi-copy
GF00000352	4	2	6	1.0	multi-copy
GF00000353	4	2	6	1.0	multi-copy
GF00000354	4	2	6	1.0	multi-copy
GF00000355	4	2	6	1.0	multi-copy
GF00000356	4	2	6	1.0	multi-copy
GF00000357	4	2	6	1.0	multi-copy
GF00000358	5	1	6	1.0	multi-copy
GF00000359	4	2	6	1.0	multi-copy
GF00000360	4	2	6	1.0	multi-copy
GF00000361	4	2	6	1.0	multi-copy
GF00000362	4	2	6	1.0	multi-copy
GF00000363	4	2	6	1.0	multi-copy
GF00000364	4	2	6	1.0	multi-copy
GF00000365	4	2	6	1.0	multi-copy
GF00000366	4	2	6	1.0	multi-copy
GF00000367	4	2	6	1.0	multi-copy
GF00000368	4	2	6	1.0	multi-copy
GF00000369	4	2	6	1.0	multi-copy
GF00000370	4	2	6	1.0	multi-copy
GF00000371	4	2	6	1.0	multi-copy
GF00000372	4	2	6	1.0	multi-copy
GF00000373	4	2	6	1.0	multi-copy
GF00000374	4	2	6	1.0	multi-copy
GF00000375	4	2	6	1.0	multi-copy
GF00000376	4	2	6	1.0	multi-copy
GF00000377	4	2	6	1.0	multi-copy
GF00000378	4	2	6	1.0	multi-copy
GF00000379	4	2	6	1.0	multi-copy
GF00000380	4	2	6	1.0	multi-copy
GF00000381	4	2	6	1.0	multi-copy
GF00000382	4	2	6	1.0	multi-copy
GF00000383	4	2	6	1.0	multi-copy
GF00000384	4	2	6	1.0	multi-copy
GF00000385	4	2	6	1.0	multi-copy
GF00000386	4	2	6	1.0	multi-copy
GF00000387	4	2	6	1.0	multi-copy
GF00000388	4	2	6	1.0	multi-copy
GF00000389	4	2	6	1.0	multi-copy
GF00000390	4	2	6	1.0	multi-copy
GF00000391	4	2	6	1.0	multi-copy
GF00000392	4	2	6	1.0	multi-copy
GF00000393	4	2	6	1.0	multi-copy
GF00000394	4	2	6	1.0	multi-copy
GF00000395	4	2	6	1.0	multi-copy
GF00000396	4	2	6	1.0	multi-copy
GF00000397	4	2	6	1.0	multi-copy
GF00000398	4	2	6	1.0	multi-copy
GF00000399	4	2	6	1.0	multi-copy
GF00000400	4	2	6	1.0	multi-copy
GF00000401	4	2	6	1.0	multi-copy
GF00000402	4	2	6	1.0	multi-copy
GF00000403	4	2	6	1.0	multi-copy
GF00000404	4	2	6	1.0	multi-copy
GF00000405	4	2	6	1.0	multi-copy
GF00000406	4	2	6	1.0	multi-copy
GF00000407	4	2	6	1.0	multi-copy
GF00000408	3	3	6	1.0	multi-copy
GF00000409	4	2	6	1.0	multi-copy
GF00000410	4	2	6	1.0	multi-copy
GF00000411	4	2	6	1.0	multi-copy
GF00000412	4	2	6	1.0	multi-copy
GF00000413	4	2	6	1.0	multi-copy
GF00000414	4	2	6	1.0	multi-copy
GF00000415	4	2	6	1.0	multi-copy
GF00000416	4	2	6	1.0	multi-copy
GF00000417	4	2	6	1.0	multi-copy
GF00000418	4	2	6	1.0	multi-copy
GF00000419	4	2	6	1.0	multi-copy
GF00000420	4	2	6	1.0	multi-copy
GF00000421	4	2	6	1.0	multi-copy
GF00000422	3	3	6	1.0	multi-copy
GF00000423	4	2	6	1.0	multi-copy
GF00000424	4	2	6	1.0	multi-copy
GF00000425	4	2	6	1.0	multi-copy
GF00000426	4	2	6	1.0	multi-copy
GF00000427	4	2	6	1.0	multi-copy
GF00000428	4	2	6	1.0	multi-copy
GF00000429	4	2	6	1.0	multi-copy
GF00000430	4	2	6	1.0	multi-copy
GF00000431	4	2	6	1.0	multi-copy
GF00000432	4	2	6	1.0	multi-copy
GF00000433	4	2	6	1.0	multi-copy
GF00000434	4	2	6	1.0	multi-copy
GF00000435	4	2	6	1.0	multi-copy
GF00000436	4	2	6	1.0	multi-copy
GF00000437	4	2	6	1.0	multi-copy
GF00000438	4	2	6	1.0	multi-copy
GF00000439	4	2	6	1.0	multi-copy
GF00000440	4	2	6	1.0	multi-copy
GF00000441	4	2	6	1.0	multi-copy
GF00000442	4	2	6	1.0	multi-copy
GF00000443	4	2	6	1.0	multi-copy
GF00000444	4	2	6	1.0	multi-copy
GF00000445	4	2	6	1.0	multi-copy
GF00000446	4	2	6	1.0	multi-copy
GF00000447	4	2	6	1.0	multi-copy
GF00000448	4	2	6	1.0	multi-copy
GF00000449	4	2	6	1.0	multi-copy
GF00000450	4	2	6	1.0	multi-copy
GF00000451	4	2	6	1.0	multi-copy
GF00000452	4	2	6	1.0	multi-copy
GF00000453	4	2	6	1.0	multi-copy
GF00000454	4	2	6	1.0	multi-copy
GF00000455	4	2	6	1.0	multi-copy
GF00000456	4	2	6	1.0	multi-copy
GF00000457	4	2	6	1.0	multi-copy
GF00000458	4	2	6	1.0	multi-copy
GF00000459	4	2	6	1.0	multi-copy
GF00000460	4	2	6	1.0	multi-copy
GF00000461	4	2	6	1.0	multi-copy
GF00000462	4	2	6	1.0	multi-copy
GF00000463	4	2	6	1.0	multi-copy
GF00000464	4	2	6	1.0	multi-copy
GF00000465	4	2	6	1.0	multi-copy
GF00000466	4	2	6	1.0	multi-copy
GF00000467	4	2	6	1.0	multi-copy
GF00000468	4	2	6	1.0	multi-copy
GF00000469	4	2	6	1.0	multi-copy
GF00000470	4	2	6	1.0	multi-copy
GF00000471	4	2	6	1.0	multi-copy
GF00000472	4	2	6	1.0	multi-copy
GF00000473	4	2	6	1.0	multi-copy
GF00000474	4	2	6	1.0	multi-copy
GF00000475	4	2	6	1.0	multi-copy
GF00000476	4	2	6	1.0	multi-copy
GF00000477	4	2	6	1.0	multi-copy
GF00000478	4	2	6	1.0	multi-copy
GF00000479	4	2	6	1.0	multi-copy
GF00000480	4	2	6	1.0	multi-copy
GF00000481	4	2	6	1.0	multi-copy
GF00000482	4	2	6	1.0	multi-copy
GF00000483	4	2	6	1.0	multi-copy
GF00000484	4	2	6	1.0	multi-copy
GF00000485	4	2	6	1.0	multi-copy
GF00000486	4	2	6	1.0	multi-copy
GF00000487	4	2	6	1.0	multi-copy
GF00000488	4	2	6	1.0	multi-copy
GF00000489	4	2	6	1.0	multi-copy
GF00000490	4	2	6	1.0	multi-copy
GF00000491	3	3	6	1.0	multi-copy
GF00000492	4	2	6	1.0	multi-copy
GF00000493	4	2	6	1.0	multi-copy
GF00000494	4	2	6	1.0	multi-copy
GF00000495	4	2	6	1.0	multi-copy
GF00000496	4	2	6	1.0	multi-copy
GF00000497	4	2	6	1.0	multi-copy
GF00000498	4	2	6	1.0	multi-copy
GF00000499	4	2	6	1.0	multi-copy
GF00000500	5	1	6	1.0	multi-copy
GF00000501	4	2	6	1.0	multi-copy
GF00000502	4	2	6	1.0	multi-copy
GF00000503	4	2	6	1.0	multi-copy
GF00000504	4	2	6	1.0	multi-copy
GF00000505	4	2	6	1.0	multi-copy
GF00000506	4	2	6	1.0	multi-copy
GF00000507	4	2	6	1.0	multi-copy
GF00000508	5	1	6	1.0	multi-copy
GF00000509	4	2	6	1.0	multi-copy
GF00000510	4	2	6	1.0	multi-copy
GF00000511	3	3	6	1.0	multi-copy
GF00000512	4	2	6	1.0	multi-copy
GF00000513	4	2	6	1.0	multi-copy
GF00000514	4	2	6	1.0	multi-copy
GF00000515	6	0	6	0.5	multi-copy
GF00000516	4	2	6	1.0	multi-copy
GF00000517	4	2	6	1.0	multi-copy
GF00000518	4	2	6	1.0	multi-copy
GF00000519	3	3	6	1.0	multi-copy
GF00000520	4	2	6	1.0	multi-copy
GF00000521	4	2	6	1.0	multi-copy
GF00000522	4	2	6	1.0	multi-copy
GF00000523	4	2	6	1.0	multi-copy
GF00000524	4	2	6	1.0	multi-copy
GF00000525	4	2	6	1.0	multi-copy
GF00000526	5	1	6	1.0	multi-copy
GF00000527	4	2	6	1.0	multi-copy
GF00000528	4	2	6	1.0	multi-copy
GF00000529	4	2	6	1.0	multi-copy
GF00000530	4	2	6	1.0	multi-copy
GF00000531	4	2	6	1.0	multi-copy
GF00000532	4	2	6	1.0	multi-copy
GF00000533	5	1	6	1.0	multi-copy
GF00000534	4	2	6	1.0	multi-copy
GF00000535	4	2	6	1.0	multi-copy
GF00000536	4	2	6	1.0	multi-copy
GF00000537	4	2	6	1.0	multi-copy
GF00000538	4	2	6	1.0	multi-copy
GF00000539	4	2	6	1.0	multi-copy
GF00000540	4	2	6	1.0	multi-copy
GF00000541	4	2	6	1.0	multi-copy
GF00000542	4	2	6	1.0	multi-copy
GF00000543	4	2	6	1.0	multi-copy
GF00000544	4	2	6	1.0	multi-copy
GF00000545	4	2	6	1.0	multi-copy
GF00000546	4	2	6	1.0	multi-copy
GF00000547	4	2	6	1.0	multi-copy
GF00000548	4	2	6	1.0	multi-copy
GF00000549	4	2	6	1.0	multi-copy
GF00000550	4	2	6	1.0	multi-copy
GF00000551	4	2	6	1.0	multi-copy
GF00000552	5	1	6	1.0	multi-copy
GF00000553	4	2	6	1.0	multi-copy
GF00000554	4	2	6	1.0	multi-copy
GF00000555	4	2	6	1.0	multi-copy
GF00000556	4	2	6	1.0	multi-copy
GF00000557	4	2	6	1.0	multi-copy
GF00000558	4	2	6	1.0	multi-copy
GF00000559	3	3	6	1.0	multi-copy
GF00000560	4	2	6	1.0	multi-copy
GF00000561	4	2	6	1.0	multi-copy
GF00000562	4	2	6	1.0	multi-copy
GF00000563	4	2	6	1.0	multi-copy
GF00000564	4	2	6	1.0	multi-copy
GF00000565	4	2	6	1.0	multi-copy
GF00000566	4	2	6	1.0	multi-copy
GF00000567	4	2	6	1.0	multi-copy
GF00000568	4	2	6	1.0	multi-copy
GF00000569	4	2	6	1.0	multi-copy
GF00000570	4	2	6	1.0	multi-copy
GF00000571	4	2	6	1.0	multi-copy
GF00000572	4	2	6	1.0	multi-copy
GF00000573	4	2	6	1.0	multi-copy
GF00000574	4	2	6	1.0	multi-copy
GF00000575	4	2	6	1.0	multi-copy
GF00000576	3	3	6	1.0	multi-copy
GF00000577	4	2	6	1.0	multi-copy
GF00000578	4	2	6	1.0	multi-copy
GF00000579	4	2	6	1.0	multi-copy
GF00000580	4	2	6	1.0	multi-copy
GF00000581	4	2	6	1.0	multi-copy
GF00000582	4	2	6	1.0	multi-copy
GF00000583	4	2	6	1.0	multi-copy
GF00000584	4	2	6	1.0	multi-copy
GF00000585	4	2	6	1.0	multi-copy
GF00000586	3	3	6	1.0	multi-copy
GF00000587	4	2	6	1.0	multi-copy
GF00000588	4	2	6	1.0	multi-copy
GF00000589	4	2	6	1.0	multi-copy
GF00000590	4	2	6	1.0	multi-copy
GF00000591	4	2	6	1.0	multi-copy
GF00000592	4	2	6	1.0	multi-copy
GF00000593	4	2	6	1.0	multi-copy
GF00000594	4	2	6	1.0	multi-copy
GF00000595	4	2	6	1.0	multi-copy
GF00000596	4	2	6	1.0	multi-copy
GF00000597	5	1	6	1.0	multi-copy
GF00000598	4	2	6	1.0	multi-copy
GF00000599	4	2	6	1.0	multi-copy
GF00000600	4	2	6	1.0	multi-copy
GF00000601	4	2	6	1.0	multi-copy
GF00000602	4	2	6	1.0	multi-copy
GF00000603	4	2	6	1.0	multi-copy
GF00000604	4	2	6	1.0	multi-copy
GF00000605	5	1	6	1.0	multi-copy
GF00000606	4	2	6	1.0	multi-copy
GF00000607	4	2	6	1.0	multi-copy
GF00000608	5	1	6	1.0	multi-copy
GF00000609	3	3	6	1.0	multi-copy
GF00000610	4	2	6	1.0	multi-copy
GF00000611	4	2	6	1.0	multi-copy
GF00000612	2	4	6	1.0	multi-copy
GF00000613	5	1	6	1.0	multi-copy
GF00000614	4	1	5	1.0	multi-copy
GF00000615	3	2	5	1.0	multi-copy
GF00000616	3	2	5	1.0	multi-copy
GF00000617	4	1	5	1.0	multi-copy
GF00000618	4	1	5	1.0	multi-copy
GF00000619	4	1	5	1.0	multi-copy
GF00000620	3	2	5	1.0	multi-copy
GF00000621	4	1	5	1.0	multi-copy
GF00000622	3	2	5	1.0	multi-copy
GF00000623	4	1	5	1.0	multi-copy
GF00000624	3	2	5	1.0	multi-copy
GF00000625	3	2	5	1.0	multi-copy
GF00000626	4	1	5	1.0	multi-copy
GF00000627	3	2	5	1.0	multi-copy
GF00000628	3	2	5	1.0	multi-copy
