	Rhodotorula_mucilaginosa_CHIFNET_14NJ214.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000026	CHIFNET14NJ214_006969-T1	DBVPG3775_002869-T1
GF00000027	CHIFNET14NJ214_007166-T1	DBVPG3775_000946-T1
GF00000028	CHIFNET14NJ214_012714-T1	DBVPG3775_004622-T1
GF00000029	CHIFNET14NJ214_010559-T1	DBVPG3775_005693-T1
GF00000030	CHIFNET14NJ214_009491-T1	DBVPG3775_000357-T1
GF00000031	CHIFNET14NJ214_001407-T1	DBVPG3775_001426-T1
GF00000032	CHIFNET14NJ214_001245-T1	DBVPG3775_005960-T1
GF00000033	CHIFNET14NJ214_009085-T1	DBVPG3775_005578-T1
GF00000034	CHIFNET14NJ214_008852-T1	DBVPG3775_002749-T1
GF00000035	CHIFNET14NJ214_008603-T1	DBVPG3775_001370-T1
GF00000036	CHIFNET14NJ214_010192-T1	DBVPG3775_003326-T1
GF00000037	CHIFNET14NJ214_004090-T1	DBVPG3775_005417-T1
GF00000038	CHIFNET14NJ214_006780-T1	DBVPG3775_000026-T1
GF00000039	CHIFNET14NJ214_011689-T1	DBVPG3775_004061-T1
GF00000040	CHIFNET14NJ214_011712-T1	DBVPG3775_000924-T1
GF00000041	CHIFNET14NJ214_010979-T1	DBVPG3775_002328-T1
GF00000042	CHIFNET14NJ214_000026-T1	DBVPG3775_001667-T1
GF00000043	CHIFNET14NJ214_000496-T1	DBVPG3775_002218-T1
GF00000044	CHIFNET14NJ214_006993-T1	DBVPG3775_007022-T1
GF00000045	CHIFNET14NJ214_010903-T1	DBVPG3775_000916-T1
GF00000046	CHIFNET14NJ214_009807-T1	DBVPG3775_004293-T1
GF00000047	CHIFNET14NJ214_010359-T1	DBVPG3775_001234-T1
GF00000048	CHIFNET14NJ214_008130-T1	DBVPG3775_001834-T1
GF00000049	CHIFNET14NJ214_001917-T1	DBVPG3775_007226-T1
GF00000050	CHIFNET14NJ214_012785-T1	DBVPG3775_005166-T1
GF00000051	CHIFNET14NJ214_011042-T1	DBVPG3775_000387-T1
GF00000052	CHIFNET14NJ214_002735-T1	DBVPG3775_002046-T1
GF00000053	CHIFNET14NJ214_000484-T1	DBVPG3775_002206-T1
GF00000054	CHIFNET14NJ214_006734-T1	DBVPG3775_004141-T1
GF00000055	CHIFNET14NJ214_007001-T1	DBVPG3775_002043-T1
GF00000056	CHIFNET14NJ214_013553-T1	DBVPG3775_000993-T1
GF00000057	CHIFNET14NJ214_005643-T1	DBVPG3775_006911-T1
GF00000058	CHIFNET14NJ214_003112-T1	DBVPG3775_000191-T1
GF00000059	CHIFNET14NJ214_001057-T1	DBVPG3775_002941-T1
GF00000060	CHIFNET14NJ214_009679-T1	DBVPG3775_006345-T1
GF00000061	CHIFNET14NJ214_001137-T1	DBVPG3775_000466-T1
GF00000062	CHIFNET14NJ214_010925-T1	DBVPG3775_007132-T1
GF00000063	CHIFNET14NJ214_000210-T1	DBVPG3775_005736-T1
GF00000064	CHIFNET14NJ214_005543-T1	DBVPG3775_000562-T1
GF00000065	CHIFNET14NJ214_005313-T1	DBVPG3775_002083-T1
GF00000066	CHIFNET14NJ214_002903-T1	DBVPG3775_005295-T1
GF00000067	CHIFNET14NJ214_005494-T1	DBVPG3775_002577-T1
GF00000068	CHIFNET14NJ214_009451-T1	DBVPG3775_002336-T1
GF00000069	CHIFNET14NJ214_003614-T1	DBVPG3775_001088-T1
GF00000070	CHIFNET14NJ214_004938-T1	DBVPG3775_003686-T1
GF00000071	CHIFNET14NJ214_004506-T1	DBVPG3775_001549-T1
GF00000072	CHIFNET14NJ214_000465-T1	DBVPG3775_003794-T1
GF00000073	CHIFNET14NJ214_000348-T1	DBVPG3775_000082-T1
GF00000074	CHIFNET14NJ214_004598-T1	DBVPG3775_001213-T1
GF00000075	CHIFNET14NJ214_004615-T1	DBVPG3775_006584-T1
GF00000076	CHIFNET14NJ214_007756-T1	DBVPG3775_003785-T1
GF00000077	CHIFNET14NJ214_009668-T1	DBVPG3775_006959-T1
GF00000078	CHIFNET14NJ214_006602-T1	DBVPG3775_004080-T1
GF00000079	CHIFNET14NJ214_007048-T1	DBVPG3775_004521-T1
GF00000080	CHIFNET14NJ214_011876-T1	DBVPG3775_001451-T1
GF00000081	CHIFNET14NJ214_011562-T1	DBVPG3775_001251-T1
GF00000082	CHIFNET14NJ214_005802-T1	DBVPG3775_003273-T1
GF00000083	CHIFNET14NJ214_008449-T1	DBVPG3775_003251-T1
GF00000084	CHIFNET14NJ214_009010-T1	DBVPG3775_003742-T1
GF00000085	CHIFNET14NJ214_000533-T1	DBVPG3775_002257-T1
GF00000086	CHIFNET14NJ214_002243-T1	DBVPG3775_006818-T1
GF00000087	CHIFNET14NJ214_002113-T1	DBVPG3775_005603-T1
GF00000088	CHIFNET14NJ214_008011-T1	DBVPG3775_003581-T1
GF00000089	CHIFNET14NJ214_003207-T1	DBVPG3775_004308-T1
GF00000090	CHIFNET14NJ214_002485-T1	DBVPG3775_003328-T1
GF00000091	CHIFNET14NJ214_005390-T1	DBVPG3775_000527-T1
GF00000092	CHIFNET14NJ214_006540-T1	DBVPG3775_006961-T1
GF00000093	CHIFNET14NJ214_004947-T1	DBVPG3775_002326-T1
GF00000094	CHIFNET14NJ214_002696-T1	DBVPG3775_006031-T1
GF00000095	CHIFNET14NJ214_008384-T1	DBVPG3775_005753-T1
GF00000096	CHIFNET14NJ214_003331-T1	DBVPG3775_000376-T1
GF00000097	CHIFNET14NJ214_012914-T1	DBVPG3775_002226-T1
GF00000098	CHIFNET14NJ214_001711-T1	DBVPG3775_002579-T1
GF00000099	CHIFNET14NJ214_000671-T1	DBVPG3775_001065-T1
GF00000100	CHIFNET14NJ214_006452-T1	DBVPG3775_000794-T1
GF00000101	CHIFNET14NJ214_006453-T1	DBVPG3775_000792-T1
GF00000102	CHIFNET14NJ214_000784-T1	DBVPG3775_006418-T1
GF00000103	CHIFNET14NJ214_011582-T1	DBVPG3775_006643-T1
GF00000104	CHIFNET14NJ214_007148-T1	DBVPG3775_000842-T1
GF00000105	CHIFNET14NJ214_007276-T1	DBVPG3775_003172-T1
GF00000106	CHIFNET14NJ214_009345-T1	DBVPG3775_004339-T1
GF00000107	CHIFNET14NJ214_007474-T1	DBVPG3775_004982-T1
GF00000108	CHIFNET14NJ214_001758-T1	DBVPG3775_003422-T1
GF00000109	CHIFNET14NJ214_002447-T1	DBVPG3775_007105-T1
GF00000110	CHIFNET14NJ214_002583-T1	DBVPG3775_005795-T1
GF00000111	CHIFNET14NJ214_012938-T1	DBVPG3775_006388-T1
GF00000112	CHIFNET14NJ214_005625-T1	DBVPG3775_007423-T1
GF00000113	CHIFNET14NJ214_009158-T1	DBVPG3775_002526-T1
GF00000114	CHIFNET14NJ214_013426-T1	DBVPG3775_002338-T1
GF00000115	CHIFNET14NJ214_000799-T1	DBVPG3775_006416-T1
GF00000116	CHIFNET14NJ214_001866-T1	DBVPG3775_001677-T1
GF00000117	CHIFNET14NJ214_000663-T1	DBVPG3775_007424-T1
GF00000118	CHIFNET14NJ214_005775-T1	DBVPG3775_003302-T1
GF00000119	CHIFNET14NJ214_013723-T1	DBVPG3775_000368-T1
GF00000120	CHIFNET14NJ214_002296-T1	DBVPG3775_001993-T1
GF00000121	CHIFNET14NJ214_006926-T1	DBVPG3775_007162-T1
GF00000122	CHIFNET14NJ214_000463-T1	DBVPG3775_003792-T1
GF00000123	CHIFNET14NJ214_007071-T1	DBVPG3775_004544-T1
GF00000124	CHIFNET14NJ214_005658-T1	DBVPG3775_004642-T1
GF00000125	CHIFNET14NJ214_007904-T1	DBVPG3775_005157-T1
GF00000126	CHIFNET14NJ214_006231-T1	DBVPG3775_001266-T1
GF00000127	CHIFNET14NJ214_003984-T1	DBVPG3775_006420-T1
GF00000128	CHIFNET14NJ214_000795-T1	DBVPG3775_003520-T1
GF00000129	CHIFNET14NJ214_009610-T1	DBVPG3775_006948-T1
GF00000130	CHIFNET14NJ214_001480-T1	DBVPG3775_007270-T1
GF00000131	CHIFNET14NJ214_003613-T1	DBVPG3775_001962-T1
GF00000132	CHIFNET14NJ214_004347-T1	DBVPG3775_004387-T1
GF00000133	CHIFNET14NJ214_008914-T1	DBVPG3775_003229-T1
GF00000134	CHIFNET14NJ214_011307-T1	DBVPG3775_003496-T1
GF00000135	CHIFNET14NJ214_006522-T1	DBVPG3775_004717-T1
GF00000136	CHIFNET14NJ214_002877-T1	DBVPG3775_007250-T1
GF00000137	CHIFNET14NJ214_011916-T1	DBVPG3775_003865-T1
GF00000138	CHIFNET14NJ214_003093-T1	DBVPG3775_006210-T1
GF00000139	CHIFNET14NJ214_004034-T1	DBVPG3775_007241-T1
GF00000140	CHIFNET14NJ214_005285-T1	DBVPG3775_004181-T1
GF00000141	CHIFNET14NJ214_010454-T1	DBVPG3775_004754-T1
GF00000142	CHIFNET14NJ214_010321-T1	DBVPG3775_004545-T1
GF00000143	CHIFNET14NJ214_003310-T1	DBVPG3775_000399-T1
GF00000144	CHIFNET14NJ214_009637-T1	DBVPG3775_003362-T1
GF00000145	CHIFNET14NJ214_014107-T1	DBVPG3775_000346-T1
GF00000146	CHIFNET14NJ214_008312-T1	DBVPG3775_004097-T1
GF00000147	CHIFNET14NJ214_007317-T1	DBVPG3775_007575-T1
GF00000148	CHIFNET14NJ214_001114-T1	DBVPG3775_002610-T1
GF00000149	CHIFNET14NJ214_006083-T1	DBVPG3775_004876-T1
GF00000150	CHIFNET14NJ214_005650-T1	DBVPG3775_003255-T1
GF00000151	CHIFNET14NJ214_005263-T1	DBVPG3775_006133-T1
GF00000152	CHIFNET14NJ214_012134-T1	DBVPG3775_006856-T1
GF00000153	CHIFNET14NJ214_004333-T1	DBVPG3775_004376-T1
GF00000154	CHIFNET14NJ214_007049-T1	DBVPG3775_004520-T1
GF00000155	CHIFNET14NJ214_011835-T1	DBVPG3775_003607-T1
GF00000156	CHIFNET14NJ214_006590-T1	DBVPG3775_001902-T1
GF00000157	CHIFNET14NJ214_008996-T1	DBVPG3775_000814-T1
GF00000158	CHIFNET14NJ214_011518-T1	DBVPG3775_006357-T1
GF00000159	CHIFNET14NJ214_007395-T1	DBVPG3775_002435-T1
GF00000160	CHIFNET14NJ214_009318-T1	DBVPG3775_003877-T1
GF00000161	CHIFNET14NJ214_007958-T1	DBVPG3775_004556-T1
GF00000162	CHIFNET14NJ214_003244-T1	DBVPG3775_000775-T1
GF00000163	CHIFNET14NJ214_005488-T1	DBVPG3775_004155-T1
GF00000164	CHIFNET14NJ214_005137-T1	DBVPG3775_004515-T1
GF00000165	CHIFNET14NJ214_005822-T1	DBVPG3775_004760-T1
GF00000166	CHIFNET14NJ214_005661-T1	DBVPG3775_000966-T1
GF00000167	CHIFNET14NJ214_008132-T1	DBVPG3775_001832-T1
GF00000168	CHIFNET14NJ214_009316-T1	DBVPG3775_000695-T1
GF00000169	CHIFNET14NJ214_008510-T1	DBVPG3775_002751-T1
GF00000170	CHIFNET14NJ214_009723-T1	DBVPG3775_002596-T1
GF00000171	CHIFNET14NJ214_009788-T1	DBVPG3775_001517-T1
GF00000172	CHIFNET14NJ214_008516-T1	DBVPG3775_002756-T1
GF00000173	CHIFNET14NJ214_013063-T1	DBVPG3775_000475-T1
GF00000174	CHIFNET14NJ214_000846-T1	DBVPG3775_000312-T1
GF00000175	CHIFNET14NJ214_013722-T1	DBVPG3775_001751-T1
GF00000176	CHIFNET14NJ214_010139-T1	DBVPG3775_001718-T1
GF00000177	CHIFNET14NJ214_006203-T1	DBVPG3775_006015-T1
GF00000178	CHIFNET14NJ214_009953-T1	DBVPG3775_005938-T1
GF00000179	CHIFNET14NJ214_012258-T1	DBVPG3775_001961-T1
GF00000180	CHIFNET14NJ214_013094-T1	DBVPG3775_003411-T1
GF00000181	CHIFNET14NJ214_000958-T1	DBVPG3775_000179-T1
GF00000182	CHIFNET14NJ214_010768-T1	DBVPG3775_001329-T1
GF00000183	CHIFNET14NJ214_011237-T1	DBVPG3775_005546-T1
GF00000184	CHIFNET14NJ214_001425-T1	DBVPG3775_002917-T1
GF00000185	CHIFNET14NJ214_009067-T1	DBVPG3775_004034-T1
GF00000186	CHIFNET14NJ214_004718-T1	DBVPG3775_005038-T1
GF00000187	CHIFNET14NJ214_011592-T1	DBVPG3775_002965-T1
GF00000188	CHIFNET14NJ214_001151-T1	DBVPG3775_000449-T1
GF00000189	CHIFNET14NJ214_012490-T1	DBVPG3775_000702-T1
GF00000190	CHIFNET14NJ214_008625-T1	DBVPG3775_000439-T1
GF00000191	CHIFNET14NJ214_010370-T1	DBVPG3775_005109-T1
GF00000192	CHIFNET14NJ214_007504-T1	DBVPG3775_004880-T1
GF00000193	CHIFNET14NJ214_001342-T1	DBVPG3775_000249-T1
GF00000194	CHIFNET14NJ214_006914-T1	DBVPG3775_006014-T1
GF00000195	CHIFNET14NJ214_011624-T1	DBVPG3775_002180-T1
GF00000196	CHIFNET14NJ214_001715-T1	DBVPG3775_002575-T1
GF00000197	CHIFNET14NJ214_008773-T1	DBVPG3775_003643-T1
GF00000198	CHIFNET14NJ214_013911-T1	DBVPG3775_003881-T1
GF00000199	CHIFNET14NJ214_005498-T1	DBVPG3775_004731-T1
GF00000200	CHIFNET14NJ214_013048-T1	DBVPG3775_005324-T1
GF00000201	CHIFNET14NJ214_002086-T1	DBVPG3775_006806-T1
GF00000202	CHIFNET14NJ214_011646-T1	DBVPG3775_007442-T1
GF00000203	CHIFNET14NJ214_012491-T1	DBVPG3775_000701-T1
GF00000204	CHIFNET14NJ214_013378-T1	DBVPG3775_004711-T1
GF00000205	CHIFNET14NJ214_013087-T1	DBVPG3775_001020-T1
GF00000206	CHIFNET14NJ214_010087-T1	DBVPG3775_001529-T1
GF00000207	CHIFNET14NJ214_002560-T1	DBVPG3775_007063-T1
GF00000208	CHIFNET14NJ214_004057-T1	DBVPG3775_002291-T1
GF00000209	CHIFNET14NJ214_011410-T1	DBVPG3775_000730-T1
GF00000210	CHIFNET14NJ214_003903-T1	DBVPG3775_002488-T1
GF00000211	CHIFNET14NJ214_004986-T1	DBVPG3775_004275-T1
GF00000212	CHIFNET14NJ214_010842-T1	DBVPG3775_001025-T1
GF00000213	CHIFNET14NJ214_012358-T1	DBVPG3775_007483-T1
GF00000214	CHIFNET14NJ214_008406-T1	DBVPG3775_003224-T1
GF00000215	CHIFNET14NJ214_012171-T1	DBVPG3775_004821-T1
GF00000216	CHIFNET14NJ214_007757-T1	DBVPG3775_005541-T1
GF00000217	CHIFNET14NJ214_013134-T1	DBVPG3775_005842-T1
GF00000218	CHIFNET14NJ214_007312-T1	DBVPG3775_002706-T1
GF00000219	CHIFNET14NJ214_014267-T1	
GF00000220	CHIFNET14NJ214_010796-T1	DBVPG3775_004009-T1
GF00000221	CHIFNET14NJ214_013853-T1	DBVPG3775_005668-T1
GF00000222	CHIFNET14NJ214_007261-T1	DBVPG3775_001255-T1
GF00000223	CHIFNET14NJ214_007286-T1	DBVPG3775_003187-T1
GF00000224	CHIFNET14NJ214_007542-T1	DBVPG3775_004741-T1
GF00000225	CHIFNET14NJ214_008127-T1	DBVPG3775_005082-T1
GF00000226	CHIFNET14NJ214_013233-T1	DBVPG3775_004335-T1
GF00000227	CHIFNET14NJ214_011850-T1	DBVPG3775_003306-T1
GF00000228	CHIFNET14NJ214_005201-T1	DBVPG3775_005555-T1
GF00000229	CHIFNET14NJ214_010150-T1	DBVPG3775_005383-T1
GF00000230	CHIFNET14NJ214_005798-T1	DBVPG3775_003282-T1
GF00000231	CHIFNET14NJ214_003313-T1	DBVPG3775_000395-T1
GF00000232	CHIFNET14NJ214_005056-T1	DBVPG3775_004603-T1
GF00000233	CHIFNET14NJ214_005028-T1	DBVPG3775_006972-T1
GF00000234	CHIFNET14NJ214_000558-T1	DBVPG3775_003953-T1
GF00000235	CHIFNET14NJ214_002022-T1	DBVPG3775_005341-T1
GF00000236	CHIFNET14NJ214_000614-T1	DBVPG3775_003895-T1
GF00000237	CHIFNET14NJ214_000659-T1	DBVPG3775_001049-T1
GF00000238	CHIFNET14NJ214_009196-T1	DBVPG3775_004634-T1
GF00000239	CHIFNET14NJ214_008084-T1	DBVPG3775_003466-T1
GF00000240	CHIFNET14NJ214_010657-T1	DBVPG3775_002907-T1
GF00000241	CHIFNET14NJ214_012944-T1	DBVPG3775_002271-T1
GF00000242	CHIFNET14NJ214_007808-T1	DBVPG3775_005645-T1
GF00000243	CHIFNET14NJ214_008567-T1	DBVPG3775_000155-T1
GF00000244	CHIFNET14NJ214_010268-T1	DBVPG3775_003612-T1
GF00000245	CHIFNET14NJ214_001221-T1	DBVPG3775_004253-T1
GF00000246	CHIFNET14NJ214_002334-T1	DBVPG3775_000258-T1
GF00000247	CHIFNET14NJ214_011157-T1	DBVPG3775_007208-T1
GF00000248	CHIFNET14NJ214_001568-T1	DBVPG3775_003677-T1
GF00000249	CHIFNET14NJ214_001791-T1	DBVPG3775_003671-T1
GF00000250	CHIFNET14NJ214_001672-T1	DBVPG3775_002145-T1
GF00000251	CHIFNET14NJ214_008682-T1	DBVPG3775_003544-T1
GF00000252	CHIFNET14NJ214_001939-T1	DBVPG3775_000831-T1
GF00000253	CHIFNET14NJ214_013599-T1	DBVPG3775_005791-T1
GF00000254	CHIFNET14NJ214_009093-T1	DBVPG3775_005626-T1
GF00000255	CHIFNET14NJ214_002262-T1	DBVPG3775_006842-T1
GF00000256	CHIFNET14NJ214_002294-T1	DBVPG3775_001995-T1
GF00000257	CHIFNET14NJ214_009081-T1	DBVPG3775_004019-T1
GF00000258	CHIFNET14NJ214_003153-T1	DBVPG3775_004502-T1
GF00000259	CHIFNET14NJ214_006546-T1	DBVPG3775_001897-T1
GF00000260	CHIFNET14NJ214_002672-T1	DBVPG3775_006331-T1
GF00000261	CHIFNET14NJ214_012905-T1	DBVPG3775_002585-T1
GF00000262	CHIFNET14NJ214_003167-T1	DBVPG3775_006501-T1
GF00000263	CHIFNET14NJ214_012930-T1	DBVPG3775_007346-T1
GF00000264	CHIFNET14NJ214_011972-T1	DBVPG3775_002882-T1
GF00000265	CHIFNET14NJ214_004943-T1	DBVPG3775_002301-T1
GF00000266	CHIFNET14NJ214_004107-T1	DBVPG3775_002840-T1
GF00000267	CHIFNET14NJ214_014377-T1	DBVPG3775_001380-T1
GF00000268	CHIFNET14NJ214_004804-T1	DBVPG3775_004672-T1
GF00000269	CHIFNET14NJ214_004882-T1	DBVPG3775_006220-T1
GF00000270	CHIFNET14NJ214_009132-T1	DBVPG3775_005534-T1
GF00000271	CHIFNET14NJ214_005417-T1	DBVPG3775_003503-T1
GF00000272	CHIFNET14NJ214_005817-T1	DBVPG3775_004721-T1
GF00000273	CHIFNET14NJ214_012176-T1	DBVPG3775_004828-T1
GF00000274	CHIFNET14NJ214_010885-T1	DBVPG3775_003072-T1
GF00000275	CHIFNET14NJ214_013934-T1	DBVPG3775_002858-T1
GF00000276	CHIFNET14NJ214_009155-T1	DBVPG3775_002523-T1
GF00000277	CHIFNET14NJ214_007441-T1	DBVPG3775_000514-T1
GF00000278	CHIFNET14NJ214_009263-T1	DBVPG3775_006673-T1
GF00000279	CHIFNET14NJ214_009006-T1	DBVPG3775_003375-T1
GF00000280	CHIFNET14NJ214_009247-T1	DBVPG3775_001743-T1
GF00000281	CHIFNET14NJ214_010516-T1	DBVPG3775_003312-T1
GF00000282	CHIFNET14NJ214_012909-T1	DBVPG3775_003080-T1
GF00000283	CHIFNET14NJ214_000011-T1	DBVPG3775_001830-T1
GF00000284	CHIFNET14NJ214_003425-T1	DBVPG3775_004402-T1
GF00000285	CHIFNET14NJ214_001864-T1	DBVPG3775_001675-T1
GF00000286	CHIFNET14NJ214_000084-T1	DBVPG3775_006924-T1
GF00000287	CHIFNET14NJ214_010513-T1	DBVPG3775_005215-T1
GF00000288	CHIFNET14NJ214_010417-T1	DBVPG3775_005206-T1
GF00000289	CHIFNET14NJ214_002408-T1	DBVPG3775_003965-T1
GF00000290	CHIFNET14NJ214_004914-T1	DBVPG3775_006047-T1
GF00000291	CHIFNET14NJ214_001336-T1	DBVPG3775_000257-T1
GF00000292	CHIFNET14NJ214_003005-T1	DBVPG3775_004462-T1
GF00000293	CHIFNET14NJ214_007506-T1	DBVPG3775_004878-T1
GF00000294	CHIFNET14NJ214_003662-T1	DBVPG3775_001970-T1
GF00000295	CHIFNET14NJ214_003030-T1	DBVPG3775_002256-T1
GF00000296	CHIFNET14NJ214_002407-T1	DBVPG3775_003964-T1
GF00000297	CHIFNET14NJ214_010442-T1	DBVPG3775_004207-T1
GF00000298	CHIFNET14NJ214_009536-T1	DBVPG3775_003893-T1
GF00000299	CHIFNET14NJ214_003857-T1	DBVPG3775_006576-T1
GF00000300	CHIFNET14NJ214_002714-T1	DBVPG3775_007517-T1
GF00000301	CHIFNET14NJ214_002703-T1	DBVPG3775_006652-T1
GF00000302	CHIFNET14NJ214_010363-T1	DBVPG3775_001230-T1
GF00000303	CHIFNET14NJ214_009197-T1	DBVPG3775_004633-T1
GF00000304	CHIFNET14NJ214_000932-T1	DBVPG3775_000153-T1
GF00000305	CHIFNET14NJ214_009090-T1	DBVPG3775_005572-T1
GF00000306	CHIFNET14NJ214_001047-T1	DBVPG3775_002930-T1
GF00000307	CHIFNET14NJ214_001167-T1	DBVPG3775_000433-T1
GF00000308	CHIFNET14NJ214_005255-T1	DBVPG3775_006142-T1
GF00000309	CHIFNET14NJ214_001310-T1	DBVPG3775_003051-T1
GF00000310	CHIFNET14NJ214_002494-T1	DBVPG3775_003339-T1
GF00000311	CHIFNET14NJ214_001359-T1	DBVPG3775_000234-T1
GF00000312	CHIFNET14NJ214_011995-T1	DBVPG3775_005884-T1
GF00000313	CHIFNET14NJ214_009484-T1	DBVPG3775_003601-T1
GF00000314	CHIFNET14NJ214_007800-T1	DBVPG3775_005638-T1
GF00000315	CHIFNET14NJ214_011353-T1	DBVPG3775_001278-T1
GF00000316	CHIFNET14NJ214_011103-T1	DBVPG3775_001452-T1
GF00000317	CHIFNET14NJ214_006849-T1	DBVPG3775_004029-T1
GF00000318	CHIFNET14NJ214_010590-T1	DBVPG3775_005876-T1
GF00000319	CHIFNET14NJ214_007550-T1	DBVPG3775_003407-T1
GF00000320	CHIFNET14NJ214_003922-T1	DBVPG3775_006573-T1
GF00000321	CHIFNET14NJ214_002237-T1	DBVPG3775_006896-T1
GF00000322	CHIFNET14NJ214_009773-T1	DBVPG3775_002069-T1
GF00000323	CHIFNET14NJ214_004566-T1	DBVPG3775_002006-T1
GF00000324	CHIFNET14NJ214_006908-T1	DBVPG3775_006009-T1
GF00000325	CHIFNET14NJ214_002325-T1	DBVPG3775_005702-T1
GF00000326	CHIFNET14NJ214_012459-T1	DBVPG3775_004566-T1
GF00000327	CHIFNET14NJ214_006153-T1	DBVPG3775_005533-T1
GF00000328	CHIFNET14NJ214_008909-T1	DBVPG3775_003236-T1
GF00000329	CHIFNET14NJ214_003520-T1	DBVPG3775_001140-T1
GF00000330	CHIFNET14NJ214_002556-T1	DBVPG3775_007059-T1
GF00000331	CHIFNET14NJ214_002585-T1	DBVPG3775_007088-T1
GF00000332	CHIFNET14NJ214_002724-T1	DBVPG3775_007010-T1
GF00000333	CHIFNET14NJ214_009553-T1	DBVPG3775_002458-T1
GF00000334	CHIFNET14NJ214_003799-T1	DBVPG3775_007454-T1
GF00000335	CHIFNET14NJ214_005438-T1	DBVPG3775_005145-T1
GF00000336	CHIFNET14NJ214_003176-T1	DBVPG3775_006493-T1
GF00000337	CHIFNET14NJ214_003208-T1	DBVPG3775_004311-T1
GF00000338	CHIFNET14NJ214_003238-T1	DBVPG3775_002405-T1
GF00000339	CHIFNET14NJ214_005832-T1	DBVPG3775_002410-T1
GF00000340	CHIFNET14NJ214_003281-T1	DBVPG3775_005924-T1
GF00000341	CHIFNET14NJ214_009937-T1	DBVPG3775_001367-T1
GF00000342	CHIFNET14NJ214_004406-T1	DBVPG3775_000543-T1
GF00000343	CHIFNET14NJ214_010699-T1	DBVPG3775_000508-T1
GF00000344	CHIFNET14NJ214_005325-T1	DBVPG3775_001296-T1
GF00000345	CHIFNET14NJ214_010845-T1	DBVPG3775_000767-T1
GF00000346	CHIFNET14NJ214_011206-T1	DBVPG3775_000649-T1
GF00000347	CHIFNET14NJ214_006536-T1	DBVPG3775_006968-T1
GF00000348	CHIFNET14NJ214_005042-T1	DBVPG3775_001728-T1
GF00000349	CHIFNET14NJ214_008804-T1	DBVPG3775_003104-T1
GF00000350	CHIFNET14NJ214_005623-T1	DBVPG3775_007425-T1
GF00000351	CHIFNET14NJ214_013470-T1	DBVPG3775_005084-T1
GF00000352	CHIFNET14NJ214_008056-T1	DBVPG3775_004118-T1
GF00000353	CHIFNET14NJ214_006353-T1	DBVPG3775_003156-T1
GF00000354	CHIFNET14NJ214_006555-T1	DBVPG3775_006741-T1
GF00000355	CHIFNET14NJ214_006558-T1	DBVPG3775_006738-T1
GF00000356	CHIFNET14NJ214_006729-T1	DBVPG3775_006248-T1
GF00000357	CHIFNET14NJ214_012279-T1	DBVPG3775_005857-T1
GF00000358	CHIFNET14NJ214_007227-T1	DBVPG3775_001923-T1
GF00000359	CHIFNET14NJ214_010284-T1	DBVPG3775_005873-T1
GF00000360	CHIFNET14NJ214_008371-T1	DBVPG3775_002768-T1
GF00000361	CHIFNET14NJ214_009482-T1	DBVPG3775_003599-T1
GF00000362	CHIFNET14NJ214_008883-T1	DBVPG3775_003386-T1
GF00000363	CHIFNET14NJ214_011959-T1	DBVPG3775_004469-T1
GF00000364	CHIFNET14NJ214_009248-T1	DBVPG3775_001742-T1
GF00000365	CHIFNET14NJ214_012800-T1	DBVPG3775_005087-T1
