	Rhodotorula_mucilaginosa_TFCN_17-0-2E334-4.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000039	TFCN1702E3344_002603-T1	DBVPG3775_004622-T1
GF00000040	TFCN1702E3344_010464-T1	DBVPG3775_002328-T1
GF00000041	TFCN1702E3344_002235-T1	DBVPG3775_004293-T1
GF00000042	TFCN1702E3344_001396-T1	DBVPG3775_000026-T1
GF00000043	TFCN1702E3344_012916-T1	DBVPG3775_002869-T1
GF00000044	TFCN1702E3344_008219-T1	DBVPG3775_003520-T1
GF00000045	TFCN1702E3344_007973-T1	DBVPG3775_000387-T1
GF00000046	TFCN1702E3344_005662-T1	DBVPG3775_002218-T1
GF00000047	TFCN1702E3344_009758-T1	DBVPG3775_003313-T1
GF00000048	TFCN1702E3344_004658-T1	DBVPG3775_003746-T1
GF00000049	TFCN1702E3344_004303-T1	DBVPG3775_001451-T1
GF00000050	TFCN1702E3344_005676-T1	DBVPG3775_002206-T1
GF00000051	TFCN1702E3344_011055-T1	DBVPG3775_006563-T1
GF00000052	TFCN1702E3344_005014-T1	DBVPG3775_005080-T1
GF00000053	TFCN1702E3344_001807-T1	DBVPG3775_002043-T1
GF00000054	TFCN1702E3344_002126-T1	DBVPG3775_000191-T1
GF00000055	TFCN1702E3344_005594-T1	DBVPG3775_001018-T1
GF00000056	TFCN1702E3344_005619-T1	DBVPG3775_000993-T1
GF00000057	TFCN1702E3344_012624-T1	DBVPG3775_007158-T1
GF00000058	TFCN1702E3344_004921-T1	DBVPG3775_002941-T1
GF00000059	TFCN1702E3344_012778-T1	DBVPG3775_004141-T1
GF00000060	TFCN1702E3344_008829-T1	DBVPG3775_004521-T1
GF00000061	TFCN1702E3344_004018-T1	DBVPG3775_005166-T1
GF00000062	TFCN1702E3344_001589-T1	DBVPG3775_004308-T1
GF00000063	TFCN1702E3344_007682-T1	DBVPG3775_000467-T1
GF00000064	TFCN1702E3344_000213-T1	DBVPG3775_001088-T1
GF00000065	TFCN1702E3344_013643-T1	DBVPG3775_007132-T1
GF00000066	TFCN1702E3344_007211-T1	DBVPG3775_006977-T1
GF00000067	TFCN1702E3344_005164-T1	DBVPG3775_002257-T1
GF00000068	TFCN1702E3344_003336-T1	DBVPG3775_003792-T1
GF00000069	TFCN1702E3344_000606-T1	DBVPG3775_002226-T1
GF00000070	TFCN1702E3344_005951-T1	DBVPG3775_000842-T1
GF00000071	TFCN1702E3344_005931-T1	DBVPG3775_006818-T1
GF00000072	TFCN1702E3344_004028-T1	DBVPG3775_005157-T1
GF00000073	TFCN1702E3344_006194-T1	DBVPG3775_003881-T1
GF00000074	TFCN1702E3344_013704-T1	DBVPG3775_007424-T1
GF00000075	TFCN1702E3344_004500-T1	DBVPG3775_007241-T1
GF00000076	TFCN1702E3344_007585-T1	DBVPG3775_006345-T1
GF00000077	TFCN1702E3344_011920-T1	DBVPG3775_002338-T1
GF00000078	TFCN1702E3344_009779-T1	DBVPG3775_003273-T1
GF00000079	TFCN1702E3344_009334-T1	DBVPG3775_003251-T1
GF00000080	TFCN1702E3344_009685-T1	DBVPG3775_005599-T1
GF00000081	TFCN1702E3344_004620-T1	DBVPG3775_003785-T1
GF00000082	TFCN1702E3344_001245-T1	DBVPG3775_001962-T1
GF00000083	TFCN1702E3344_005548-T1	DBVPG3775_000368-T1
GF00000084	TFCN1702E3344_003284-T1	DBVPG3775_003742-T1
GF00000085	TFCN1702E3344_014230-T1	DBVPG3775_001065-T1
GF00000086	TFCN1702E3344_011256-T1	DBVPG3775_007226-T1
GF00000087	TFCN1702E3344_000924-T1	DBVPG3775_004080-T1
GF00000088	TFCN1702E3344_001616-T1	DBVPG3775_004339-T1
GF00000089	TFCN1702E3344_001027-T1	DBVPG3775_004181-T1
GF00000090	TFCN1702E3344_004182-T1	DBVPG3775_005324-T1
GF00000091	TFCN1702E3344_003338-T1	DBVPG3775_003794-T1
GF00000092	TFCN1702E3344_012142-T1	DBVPG3775_000562-T1
GF00000093	TFCN1702E3344_001476-T1	DBVPG3775_005163-T1
GF00000094	TFCN1702E3344_007227-T1	DBVPG3775_005033-T1
GF00000095	TFCN1702E3344_001914-T1	DBVPG3775_001853-T1
GF00000096	TFCN1702E3344_010333-T1	DBVPG3775_005736-T1
GF00000097	TFCN1702E3344_004357-T1	DBVPG3775_000082-T1
GF00000098	TFCN1702E3344_012607-T1	DBVPG3775_006948-T1
GF00000099	TFCN1702E3344_012102-T1	DBVPG3775_002677-T1
GF00000100	TFCN1702E3344_006953-T1	DBVPG3775_001677-T1
GF00000101	TFCN1702E3344_002997-T1	DBVPG3775_007105-T1
GF00000102	TFCN1702E3344_012643-T1	DBVPG3775_002526-T1
GF00000103	TFCN1702E3344_004066-T1	DBVPG3775_000399-T1
GF00000104	TFCN1702E3344_007689-T1	DBVPG3775_000475-T1
GF00000105	TFCN1702E3344_014425-T1	DBVPG3775_003686-T1
GF00000106	TFCN1702E3344_005484-T1	DBVPG3775_006959-T1
GF00000107	TFCN1702E3344_012601-T1	DBVPG3775_006954-T1
GF00000108	TFCN1702E3344_011515-T1	DBVPG3775_001529-T1
GF00000109	TFCN1702E3344_010467-T1	DBVPG3775_002326-T1
GF00000110	TFCN1702E3344_011576-T1	DBVPG3775_004502-T1
GF00000111	TFCN1702E3344_002088-T1	DBVPG3775_000153-T1
GF00000112	TFCN1702E3344_013743-T1	DBVPG3775_007423-T1
GF00000113	TFCN1702E3344_012228-T1	DBVPG3775_004717-T1
GF00000114	TFCN1702E3344_004428-T1	DBVPG3775_003172-T1
GF00000115	TFCN1702E3344_013499-T1	DBVPG3775_006643-T1
GF00000116	TFCN1702E3344_009338-T1	DBVPG3775_003255-T1
GF00000117	TFCN1702E3344_000341-T1	DBVPG3775_001230-T1
GF00000118	TFCN1702E3344_000327-T1	DBVPG3775_003741-T1
GF00000119	TFCN1702E3344_000249-T1	DBVPG3775_001140-T1
GF00000120	TFCN1702E3344_003437-T1	DBVPG3775_006076-T1
GF00000121	TFCN1702E3344_013028-T1	DBVPG3775_006015-T1
GF00000122	TFCN1702E3344_013234-T1	DBVPG3775_005082-T1
GF00000123	TFCN1702E3344_004575-T1	DBVPG3775_004545-T1
GF00000124	TFCN1702E3344_010907-T1	DBVPG3775_006673-T1
GF00000125	TFCN1702E3344_011847-T1	DBVPG3775_006241-T1
GF00000126	TFCN1702E3344_007005-T1	DBVPG3775_001902-T1
GF00000127	TFCN1702E3344_014196-T1	DBVPG3775_003841-T1
GF00000128	TFCN1702E3344_001331-T1	DBVPG3775_004880-T1
GF00000129	TFCN1702E3344_012785-T1	DBVPG3775_003411-T1
GF00000130	TFCN1702E3344_002678-T1	DBVPG3775_003134-T1
GF00000131	TFCN1702E3344_002606-T1	DBVPG3775_004520-T1
GF00000132	TFCN1702E3344_002855-T1	DBVPG3775_007575-T1
GF00000133	TFCN1702E3344_010432-T1	DBVPG3775_002435-T1
GF00000134	TFCN1702E3344_012256-T1	DBVPG3775_006133-T1
GF00000135	TFCN1702E3344_009398-T1	DBVPG3775_006662-T1
GF00000136	TFCN1702E3344_008713-T1	DBVPG3775_002838-T1
GF00000137	TFCN1702E3344_005288-T1	DBVPG3775_004754-T1
GF00000138	TFCN1702E3344_011681-T1	DBVPG3775_001020-T1
GF00000139	TFCN1702E3344_013168-T1	DBVPG3775_005603-T1
GF00000140	TFCN1702E3344_007544-T1	DBVPG3775_006388-T1
GF00000141	TFCN1702E3344_012939-T1	DBVPG3775_000695-T1
GF00000142	TFCN1702E3344_000044-T1	DBVPG3775_001266-T1
GF00000143	TFCN1702E3344_000198-T1	DBVPG3775_001104-T1
GF00000144	TFCN1702E3344_002302-T1	DBVPG3775_002965-T1
GF00000145	TFCN1702E3344_006027-T1	DBVPG3775_005884-T1
GF00000146	TFCN1702E3344_000435-T1	DBVPG3775_001329-T1
GF00000147	TFCN1702E3344_006960-T1	DBVPG3775_001671-T1
GF00000148	TFCN1702E3344_003484-T1	DBVPG3775_006031-T1
GF00000149	TFCN1702E3344_007984-T1	DBVPG3775_000449-T1
GF00000150	TFCN1702E3344_009912-T1	DBVPG3775_005109-T1
GF00000151	TFCN1702E3344_000575-T1	DBVPG3775_003066-T1
GF00000152	TFCN1702E3344_001135-T1	DBVPG3775_007088-T1
GF00000153	TFCN1702E3344_007434-T1	DBVPG3775_003280-T1
GF00000154	TFCN1702E3344_007082-T1	DBVPG3775_007483-T1
GF00000155	TFCN1702E3344_009551-T1	DBVPG3775_003677-T1
GF00000156	TFCN1702E3344_000942-T1	DBVPG3775_004097-T1
GF00000157	TFCN1702E3344_001828-T1	DBVPG3775_007442-T1
GF00000158	TFCN1702E3344_012243-T1	DBVPG3775_004731-T1
GF00000159	TFCN1702E3344_001109-T1	DBVPG3775_007063-T1
GF00000160	TFCN1702E3344_006537-T1	DBVPG3775_001795-T1
GF00000161	TFCN1702E3344_012491-T1	DBVPG3775_004544-T1
GF00000162	TFCN1702E3344_005197-T1	DBVPG3775_002291-T1
GF00000163	TFCN1702E3344_001219-T1	DBVPG3775_000814-T1
GF00000164	TFCN1702E3344_013950-T1	DBVPG3775_007454-T1
GF00000165	TFCN1702E3344_001725-T1	DBVPG3775_001961-T1
GF00000166	TFCN1702E3344_001757-T1	DBVPG3775_001993-T1
GF00000167	TFCN1702E3344_011881-T1	DBVPG3775_004809-T1
GF00000168	TFCN1702E3344_010415-T1	DBVPG3775_000632-T1
GF00000169	TFCN1702E3344_005177-T1	DBVPG3775_002271-T1
GF00000170	TFCN1702E3344_005294-T1	DBVPG3775_004760-T1
GF00000171	TFCN1702E3344_001546-T1	DBVPG3775_006439-T1
GF00000172	TFCN1702E3344_010942-T1	DBVPG3775_006357-T1
GF00000173	TFCN1702E3344_001610-T1	DBVPG3775_004335-T1
GF00000174	TFCN1702E3344_007656-T1	DBVPG3775_000439-T1
GF00000175	TFCN1702E3344_001894-T1	DBVPG3775_001834-T1
GF00000176	TFCN1702E3344_013240-T1	DBVPG3775_001832-T1
GF00000177	TFCN1702E3344_014266-T1	DBVPG3775_003643-T1
GF00000178	TFCN1702E3344_002196-T1	DBVPG3775_000258-T1
GF00000179	TFCN1702E3344_013322-T1	DBVPG3775_000271-T1
GF00000180	TFCN1702E3344_011326-T1	DBVPG3775_006806-T1
GF00000181	TFCN1702E3344_008197-T1	DBVPG3775_003496-T1
GF00000182	TFCN1702E3344_010786-T1	DBVPG3775_005626-T1
GF00000183	TFCN1702E3344_009882-T1	DBVPG3775_004387-T1
GF00000184	TFCN1702E3344_007232-T1	DBVPG3775_005038-T1
GF00000185	TFCN1702E3344_010102-T1	DBVPG3775_007022-T1
GF00000186	TFCN1702E3344_006411-T1	DBVPG3775_004711-T1
GF00000187	TFCN1702E3344_006944-T1	DBVPG3775_001667-T1
GF00000188	TFCN1702E3344_005844-T1	DBVPG3775_006416-T1
GF00000189	TFCN1702E3344_004689-T1	DBVPG3775_005546-T1
GF00000190	TFCN1702E3344_002967-T1	DBVPG3775_004722-T1
GF00000191	TFCN1702E3344_004304-T1	DBVPG3775_001452-T1
GF00000192	TFCN1702E3344_012773-T1	DBVPG3775_003422-T1
GF00000193	TFCN1702E3344_003568-T1	DBVPG3775_002488-T1
GF00000194	TFCN1702E3344_010832-T1	DBVPG3775_003877-T1
GF00000195	TFCN1702E3344_003760-T1	DBVPG3775_003544-T1
GF00000196	TFCN1702E3344_003820-T1	DBVPG3775_003607-T1
GF00000197	TFCN1702E3344_006308-T1	DBVPG3775_001517-T1
GF00000198	TFCN1702E3344_005909-T1	DBVPG3775_003229-T1
GF00000199	TFCN1702E3344_006723-T1	DBVPG3775_003358-T1
GF00000200	TFCN1702E3344_004853-T1	DBVPG3775_006850-T1
GF00000201	TFCN1702E3344_005298-T1	DBVPG3775_004721-T1
GF00000202	TFCN1702E3344_005696-T1	DBVPG3775_002180-T1
GF00000203	TFCN1702E3344_005787-T1	DBVPG3775_000591-T1
GF00000204	TFCN1702E3344_011496-T1	DBVPG3775_001549-T1
GF00000205	TFCN1702E3344_009453-T1	DBVPG3775_005942-T1
GF00000206	TFCN1702E3344_010846-T1	DBVPG3775_003861-T1
GF00000207	TFCN1702E3344_011536-T1	DBVPG3775_002755-T1
GF00000208	TFCN1702E3344_013029-T1	DBVPG3775_006014-T1
GF00000209	TFCN1702E3344_010457-T1	DBVPG3775_002336-T1
GF00000210	TFCN1702E3344_011543-T1	DBVPG3775_002745-T1
GF00000211	TFCN1702E3344_013125-T1	DBVPG3775_002006-T1
GF00000212	TFCN1702E3344_000115-T1	DBVPG3775_001192-T1
GF00000213	TFCN1702E3344_005204-T1	DBVPG3775_002298-T1
GF00000214	TFCN1702E3344_009288-T1	DBVPG3775_000908-T1
GF00000215	TFCN1702E3344_000980-T1	DBVPG3775_004230-T1
GF00000216	TFCN1702E3344_005420-T1	DBVPG3775_007101-T1
GF00000217	TFCN1702E3344_013995-T1	DBVPG3775_000593-T1
GF00000218	TFCN1702E3344_010396-T1	DBVPG3775_003362-T1
GF00000219	TFCN1702E3344_013383-T1	DBVPG3775_002596-T1
GF00000220	TFCN1702E3344_008157-T1	DBVPG3775_005742-T1
GF00000221	TFCN1702E3344_002552-T1	DBVPG3775_004376-T1
GF00000222	TFCN1702E3344_008615-T1	DBVPG3775_006611-T1
GF00000223	TFCN1702E3344_006961-T1	DBVPG3775_001670-T1
GF00000224	TFCN1702E3344_005466-T1	DBVPG3775_006248-T1
GF00000225	TFCN1702E3344_007461-T1	DBVPG3775_003306-T1
GF00000226	TFCN1702E3344_005853-T1	DBVPG3775_006968-T1
GF00000227	TFCN1702E3344_011225-T1	DBVPG3775_005638-T1
GF00000228	TFCN1702E3344_004115-T1	DBVPG3775_000312-T1
GF00000229	TFCN1702E3344_004193-T1	DBVPG3775_005314-T1
GF00000230	TFCN1702E3344_005282-T1	DBVPG3775_002858-T1
GF00000231	TFCN1702E3344_004433-T1	DBVPG3775_003143-T1
GF00000232	TFCN1702E3344_009162-T1	DBVPG3775_006859-T1
GF00000233	TFCN1702E3344_005587-T1	DBVPG3775_001025-T1
GF00000234	TFCN1702E3344_014581-T1	DBVPG3775_001338-T1
GF00000235	TFCN1702E3344_011133-T1	DBVPG3775_005383-T1
GF00000236	TFCN1702E3344_010476-T1	DBVPG3775_000514-T1
GF00000237	TFCN1702E3344_009264-T1	DBVPG3775_001049-T1
GF00000238	TFCN1702E3344_013745-T1	DBVPG3775_007561-T1
GF00000239	TFCN1702E3344_013609-T1	DBVPG3775_000730-T1
GF00000240	TFCN1702E3344_011901-T1	DBVPG3775_007270-T1
GF00000241	TFCN1702E3344_014659-T1	DBVPG3775_006082-T1
GF00000242	TFCN1702E3344_000407-T1	DBVPG3775_001297-T1
GF00000243	TFCN1702E3344_000046-T1	DBVPG3775_001264-T1
GF00000244	TFCN1702E3344_006177-T1	DBVPG3775_003865-T1
GF00000245	TFCN1702E3344_013075-T1	DBVPG3775_005145-T1
GF00000246	TFCN1702E3344_000476-T1	DBVPG3775_002196-T1
GF00000247	TFCN1702E3344_009418-T1	DBVPG3775_002301-T1
GF00000248	TFCN1702E3344_005962-T1	DBVPG3775_000831-T1
GF00000249	TFCN1702E3344_000680-T1	DBVPG3775_000876-T1
GF00000250	TFCN1702E3344_003097-T1	DBVPG3775_007395-T1
GF00000251	TFCN1702E3344_007457-T1	DBVPG3775_003302-T1
GF00000252	TFCN1702E3344_000873-T1	DBVPG3775_004029-T1
GF00000253	TFCN1702E3344_001105-T1	DBVPG3775_007059-T1
GF00000254	TFCN1702E3344_004110-T1	DBVPG3775_001936-T1
GF00000255	TFCN1702E3344_010290-T1	DBVPG3775_004831-T1
GF00000256	TFCN1702E3344_010059-T1	DBVPG3775_004253-T1
GF00000257	TFCN1702E3344_001315-T1	DBVPG3775_004865-T1
GF00000258	TFCN1702E3344_002904-T1	DBVPG3775_004876-T1
GF00000259	TFCN1702E3344_003485-T1	DBVPG3775_005215-T1
GF00000260	TFCN1702E3344_012297-T1	DBVPG3775_003466-T1
GF00000261	TFCN1702E3344_001801-T1	DBVPG3775_002037-T1
GF00000262	TFCN1702E3344_013854-T1	DBVPG3775_006264-T1
GF00000263	TFCN1702E3344_012085-T1	DBVPG3775_006814-T1
GF00000264	TFCN1702E3344_004704-T1	DBVPG3775_005531-T1
GF00000265	TFCN1702E3344_005114-T1	DBVPG3775_000234-T1
GF00000266	TFCN1702E3344_002186-T1	DBVPG3775_000249-T1
GF00000267	TFCN1702E3344_007706-T1	DBVPG3775_002917-T1
GF00000268	TFCN1702E3344_002323-T1	DBVPG3775_006573-T1
GF00000269	TFCN1702E3344_014065-T1	DBVPG3775_002621-T1
GF00000270	TFCN1702E3344_002516-T1	DBVPG3775_004409-T1
GF00000271	TFCN1702E3344_003205-T1	DBVPG3775_003646-T1
GF00000272	TFCN1702E3344_010312-T1	DBVPG3775_005791-T1
GF00000273	TFCN1702E3344_006491-T1	DBVPG3775_004533-T1
GF00000274	TFCN1702E3344_003474-T1	DBVPG3775_006039-T1
GF00000275	TFCN1702E3344_010007-T1	DBVPG3775_005857-T1
GF00000276	TFCN1702E3344_003607-T1	DBVPG3775_002522-T1
GF00000277	TFCN1702E3344_008976-T1	DBVPG3775_000775-T1
GF00000278	TFCN1702E3344_008532-T1	DBVPG3775_002405-T1
GF00000279	TFCN1702E3344_009230-T1	DBVPG3775_000345-T1
GF00000280	TFCN1702E3344_010349-T1	DBVPG3775_005645-T1
GF00000281	TFCN1702E3344_004183-T1	DBVPG3775_005323-T1
GF00000282	TFCN1702E3344_005902-T1	DBVPG3775_003223-T1
GF00000283	TFCN1702E3344_004701-T1	DBVPG3775_005534-T1
GF00000284	TFCN1702E3344_012416-T1	DBVPG3775_004633-T1
GF00000285	TFCN1702E3344_004815-T1	DBVPG3775_006896-T1
GF00000286	TFCN1702E3344_005163-T1	DBVPG3775_002256-T1
GF00000287	TFCN1702E3344_005264-T1	DBVPG3775_002840-T1
GF00000288	TFCN1702E3344_005732-T1	DBVPG3775_000649-T1
GF00000289	TFCN1702E3344_007164-T1	DBVPG3775_007517-T1
GF00000290	TFCN1702E3344_007333-T1	DBVPG3775_006418-T1
GF00000291	TFCN1702E3344_013568-T1	DBVPG3775_002585-T1
GF00000292	TFCN1702E3344_009479-T1	DBVPG3775_005915-T1
GF00000293	TFCN1702E3344_011371-T1	DBVPG3775_007522-T1
GF00000294	TFCN1702E3344_007304-T1	DBVPG3775_002575-T1
GF00000295	TFCN1702E3344_009049-T1	DBVPG3775_005355-T1
GF00000296	TFCN1702E3344_011670-T1	DBVPG3775_006397-T1
GF00000297	TFCN1702E3344_012459-T1	DBVPG3775_004275-T1
GF00000298	TFCN1702E3344_007853-T1	DBVPG3775_006220-T1
GF00000299	TFCN1702E3344_008385-T1	DBVPG3775_003027-T1
GF00000300	TFCN1702E3344_010190-T1	DBVPG3775_001377-T1
GF00000301	TFCN1702E3344_013606-T1	DBVPG3775_000733-T1
GF00000302	TFCN1702E3344_010960-T1	DBVPG3775_004737-T1
GF00000303	TFCN1702E3344_011530-T1	DBVPG3775_002756-T1
GF00000304	TFCN1702E3344_011539-T1	DBVPG3775_002749-T1
GF00000305	TFCN1702E3344_014663-T1	DBVPG3775_000693-T1
GF00000306	TFCN1702E3344_008168-T1	DBVPG3775_005753-T1
GF00000307	TFCN1702E3344_000406-T1	DBVPG3775_001296-T1
GF00000308	TFCN1702E3344_011113-T1	DBVPG3775_000120-T1
GF00000309	TFCN1702E3344_003407-T1	DBVPG3775_006931-T1
GF00000310	TFCN1702E3344_000052-T1	DBVPG3775_001256-T1
GF00000311	TFCN1702E3344_000365-T1	DBVPG3775_001255-T1
GF00000312	TFCN1702E3344_002006-T1	DBVPG3775_004116-T1
GF00000313	TFCN1702E3344_008848-T1	DBVPG3775_001728-T1
GF00000314	TFCN1702E3344_007471-T1	DBVPG3775_003315-T1
GF00000315	TFCN1702E3344_011986-T1	DBVPG3775_002165-T1
GF00000316	TFCN1702E3344_011579-T1	DBVPG3775_007359-T1
GF00000317	TFCN1702E3344_001339-T1	DBVPG3775_004888-T1
GF00000318	TFCN1702E3344_009308-T1	DBVPG3775_000953-T1
GF00000319	TFCN1702E3344_001086-T1	DBVPG3775_004122-T1
GF00000320	TFCN1702E3344_005829-T1	DBVPG3775_006421-T1
GF00000321	TFCN1702E3344_006813-T1	DBVPG3775_005426-T1
GF00000322	TFCN1702E3344_009998-T1	DBVPG3775_005847-T1
GF00000323	TFCN1702E3344_000225-T1	DBVPG3775_001117-T1
GF00000324	TFCN1702E3344_006264-T1	DBVPG3775_005491-T1
GF00000325	TFCN1702E3344_002143-T1	DBVPG3775_000208-T1
GF00000326	TFCN1702E3344_014161-T1	DBVPG3775_005932-T1
GF00000327	TFCN1702E3344_009674-T1	DBVPG3775_005572-T1
GF00000328	TFCN1702E3344_009132-T1	DBVPG3775_004294-T1
GF00000329	TFCN1702E3344_006216-T1	DBVPG3775_003902-T1
GF00000330	TFCN1702E3344_000493-T1	DBVPG3775_005129-T1
GF00000331	TFCN1702E3344_009899-T1	DBVPG3775_005122-T1
GF00000332	TFCN1702E3344_000506-T1	DBVPG3775_000263-T1
GF00000333	TFCN1702E3344_008668-T1	DBVPG3775_003071-T1
GF00000334	TFCN1702E3344_000525-T1	DBVPG3775_005097-T1
GF00000335	TFCN1702E3344_000537-T1	DBVPG3775_005084-T1
GF00000336	TFCN1702E3344_013831-T1	DBVPG3775_000703-T1
GF00000337	TFCN1702E3344_012030-T1	DBVPG3775_005065-T1
GF00000338	TFCN1702E3344_001551-T1	DBVPG3775_005238-T1
GF00000339	TFCN1702E3344_013108-T1	DBVPG3775_005054-T1
GF00000340	TFCN1702E3344_013111-T1	DBVPG3775_005051-T1
GF00000341	TFCN1702E3344_008648-T1	DBVPG3775_003051-T1
GF00000342	TFCN1702E3344_000595-T1	DBVPG3775_003065-T1
GF00000343	TFCN1702E3344_012252-T1	DBVPG3775_001535-T1
GF00000344	TFCN1702E3344_003159-T1	DBVPG3775_006696-T1
GF00000345	TFCN1702E3344_001713-T1	DBVPG3775_001949-T1
GF00000346	TFCN1702E3344_007062-T1	DBVPG3775_006582-T1
GF00000347	TFCN1702E3344_005961-T1	DBVPG3775_000832-T1
GF00000348	TFCN1702E3344_012647-T1	DBVPG3775_002530-T1
GF00000349	TFCN1702E3344_009977-T1	DBVPG3775_007207-T1
GF00000350	TFCN1702E3344_008762-T1	DBVPG3775_000878-T1
GF00000351	TFCN1702E3344_014017-T1	DBVPG3775_000675-T1
GF00000352	TFCN1702E3344_000703-T1	DBVPG3775_000900-T1
GF00000353	TFCN1702E3344_002329-T1	DBVPG3775_002992-T1
GF00000354	TFCN1702E3344_005124-T1	DBVPG3775_002216-T1
GF00000355	TFCN1702E3344_007240-T1	DBVPG3775_003688-T1
GF00000356	TFCN1702E3344_012720-T1	DBVPG3775_003407-T1
GF00000357	TFCN1702E3344_002846-T1	DBVPG3775_000105-T1
GF00000358	TFCN1702E3344_003917-T1	DBVPG3775_006972-T1
GF00000359	TFCN1702E3344_010661-T1	DBVPG3775_004741-T1
GF00000360	TFCN1702E3344_005644-T1	DBVPG3775_000966-T1
GF00000361	TFCN1702E3344_005636-T1	DBVPG3775_002379-T1
GF00000362	TFCN1702E3344_000780-T1	DBVPG3775_003224-T1
GF00000363	TFCN1702E3344_001968-T1	DBVPG3775_004155-T1
GF00000364	TFCN1702E3344_012403-T1	DBVPG3775_004646-T1
GF00000365	TFCN1702E3344_005618-T1	DBVPG3775_004672-T1
GF00000366	TFCN1702E3344_002343-T1	DBVPG3775_002610-T1
GF00000367	TFCN1702E3344_008143-T1	DBVPG3775_003968-T1
GF00000368	TFCN1702E3344_000826-T1	DBVPG3775_000653-T1
GF00000369	TFCN1702E3344_000863-T1	DBVPG3775_004019-T1
GF00000370	TFCN1702E3344_014167-T1	DBVPG3775_007010-T1
GF00000371	TFCN1702E3344_008975-T1	DBVPG3775_002410-T1
GF00000372	TFCN1702E3344_002400-T1	DBVPG3775_002667-T1
GF00000373	TFCN1702E3344_006127-T1	DBVPG3775_005842-T1
GF00000374	TFCN1702E3344_010374-T1	DBVPG3775_003386-T1
GF00000375	TFCN1702E3344_001619-T1	DBVPG3775_004342-T1
GF00000376	TFCN1702E3344_011420-T1	DBVPG3775_007189-T1
GF00000377	TFCN1702E3344_011330-T1	DBVPG3775_006802-T1
GF00000378	TFCN1702E3344_013936-T1	DBVPG3775_004702-T1
GF00000379	TFCN1702E3344_001041-T1	DBVPG3775_004167-T1
GF00000380	TFCN1702E3344_006917-T1	DBVPG3775_000577-T1
GF00000381	TFCN1702E3344_001867-T1	DBVPG3775_001806-T1
GF00000382	TFCN1702E3344_013512-T1	DBVPG3775_003267-T1
GF00000383	TFCN1702E3344_001095-T1	DBVPG3775_004114-T1
GF00000384	TFCN1702E3344_001102-T1	DBVPG3775_007056-T1
GF00000385	TFCN1702E3344_002428-T1	DBVPG3775_002694-T1
