	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-1.cds.fa
GF00000011	TFCN2502E3331_010694-T1, TFCN2502E3331_014445-T1, TFCN2502E3331_001121-T1, TFCN2502E3331_004502-T1, TFCN2502E3331_008812-T1, TFCN2502E3331_001214-T1, TFCN2502E3331_000286-T1, TFCN2502E3331_009508-T1, TFCN2502E3331_008813-T1, TFCN2502E3331_009457-T1, TFCN2502E3331_000285-T1, TFCN2502E3331_003296-T1, TFCN2502E3331_009507-T1, TFCN2502E3331_008395-T1, TFCN2502E3331_000249-T1, TFCN2502E3331_013335-T1, TFCN2502E3331_012486-T1
GF00000012	TFCN2502E3331_010382-T1, TFCN2502E3331_012410-T1, TFCN2502E3331_011384-T1, TFCN2502E3331_003195-T1, TFCN2502E3331_001862-T1, TFCN2502E3331_013627-T1, TFCN2502E3331_010218-T1, TFCN2502E3331_005657-T1, TFCN2502E3331_002108-T1, TFCN2502E3331_012776-T1, TFCN2502E3331_001636-T1, TFCN2502E3331_011825-T1, TFCN2502E3331_005833-T1, TFCN2502E3331_009292-T1, TFCN2502E3331_010827-T1, TFCN2502E3331_001376-T1, TFCN2502E3331_001377-T1
GF00000013	TFCN2502E3331_000436-T1, TFCN2502E3331_011260-T1, TFCN2502E3331_010298-T1, TFCN2502E3331_006688-T1, TFCN2502E3331_010979-T1, TFCN2502E3331_009765-T1, TFCN2502E3331_007694-T1, TFCN2502E3331_007606-T1, TFCN2502E3331_008002-T1, TFCN2502E3331_012849-T1, TFCN2502E3331_011112-T1, TFCN2502E3331_008324-T1, TFCN2502E3331_014534-T1, TFCN2502E3331_013786-T1, TFCN2502E3331_001745-T1, TFCN2502E3331_007043-T1
GF00000014	TFCN2502E3331_014140-T1, TFCN2502E3331_013607-T1, TFCN2502E3331_007344-T1, TFCN2502E3331_008351-T1, TFCN2502E3331_006144-T1, TFCN2502E3331_007510-T1, TFCN2502E3331_008184-T1, TFCN2502E3331_008892-T1, TFCN2502E3331_003710-T1, TFCN2502E3331_010316-T1, TFCN2502E3331_000418-T1, TFCN2502E3331_003921-T1, TFCN2502E3331_003627-T1, TFCN2502E3331_003999-T1
GF00000015	TFCN2502E3331_012965-T1, TFCN2502E3331_006059-T1, TFCN2502E3331_008704-T1, TFCN2502E3331_000876-T1, TFCN2502E3331_010367-T1, TFCN2502E3331_014386-T1, TFCN2502E3331_014031-T1, TFCN2502E3331_001495-T1, TFCN2502E3331_001515-T1, TFCN2502E3331_008581-T1, TFCN2502E3331_006726-T1, TFCN2502E3331_013382-T1, TFCN2502E3331_011909-T1, TFCN2502E3331_014628-T1
GF00000016	TFCN2502E3331_005308-T1, TFCN2502E3331_002848-T1, TFCN2502E3331_007313-T1, TFCN2502E3331_008373-T1, TFCN2502E3331_008068-T1, TFCN2502E3331_012406-T1, TFCN2502E3331_010385-T1, TFCN2502E3331_013365-T1, TFCN2502E3331_009953-T1, TFCN2502E3331_008374-T1, TFCN2502E3331_013535-T1, TFCN2502E3331_012679-T1, TFCN2502E3331_007798-T1, TFCN2502E3331_007797-T1
GF00000017	TFCN2502E3331_008074-T1, TFCN2502E3331_011511-T1, TFCN2502E3331_011664-T1, TFCN2502E3331_010503-T1, TFCN2502E3331_010730-T1, TFCN2502E3331_007812-T1, TFCN2502E3331_007658-T1, TFCN2502E3331_004895-T1, TFCN2502E3331_002172-T1, TFCN2502E3331_007744-T1, TFCN2502E3331_008055-T1, TFCN2502E3331_012291-T1, TFCN2502E3331_014078-T1
GF00000018	TFCN2502E3331_010644-T1, TFCN2502E3331_004654-T1, TFCN2502E3331_002151-T1, TFCN2502E3331_004876-T1, TFCN2502E3331_001551-T1, TFCN2502E3331_001457-T1, TFCN2502E3331_001755-T1, TFCN2502E3331_002152-T1, TFCN2502E3331_004877-T1, TFCN2502E3331_013779-T1, TFCN2502E3331_001753-T1, TFCN2502E3331_013777-T1, TFCN2502E3331_013776-T1
GF00000019	TFCN2502E3331_010559-T1, TFCN2502E3331_012146-T1, TFCN2502E3331_007113-T1, TFCN2502E3331_000962-T1, TFCN2502E3331_000716-T1, TFCN2502E3331_011768-T1, TFCN2502E3331_010800-T1, TFCN2502E3331_012563-T1, TFCN2502E3331_008672-T1, TFCN2502E3331_012148-T1, TFCN2502E3331_000717-T1, TFCN2502E3331_007114-T1
GF00000020	TFCN2502E3331_008811-T1, TFCN2502E3331_000287-T1, TFCN2502E3331_001710-T1, TFCN2502E3331_005720-T1, TFCN2502E3331_008671-T1, TFCN2502E3331_012791-T1, TFCN2502E3331_004636-T1, TFCN2502E3331_006301-T1, TFCN2502E3331_003820-T1, TFCN2502E3331_000593-T1, TFCN2502E3331_007491-T1, TFCN2502E3331_006130-T1
GF00000021	TFCN2502E3331_013785-T1, TFCN2502E3331_005722-T1, TFCN2502E3331_001712-T1, TFCN2502E3331_001746-T1, TFCN2502E3331_001747-T1, TFCN2502E3331_013784-T1, TFCN2502E3331_005743-T1, TFCN2502E3331_013526-T1, TFCN2502E3331_013475-T1, TFCN2502E3331_001713-T1, TFCN2502E3331_004742-T1, TFCN2502E3331_005723-T1
GF00000022	TFCN2502E3331_014577-T1, TFCN2502E3331_003405-T1, TFCN2502E3331_008495-T1, TFCN2502E3331_010089-T1, TFCN2502E3331_010088-T1, TFCN2502E3331_010087-T1, TFCN2502E3331_012548-T1, TFCN2502E3331_009701-T1, TFCN2502E3331_012550-T1, TFCN2502E3331_005872-T1, TFCN2502E3331_009537-T1, TFCN2502E3331_012549-T1
GF00000023	TFCN2502E3331_013161-T1, TFCN2502E3331_000369-T1, TFCN2502E3331_005671-T1, TFCN2502E3331_003139-T1, TFCN2502E3331_003134-T1, TFCN2502E3331_006223-T1, TFCN2502E3331_012460-T1, TFCN2502E3331_010154-T1, TFCN2502E3331_006218-T1, TFCN2502E3331_004647-T1, TFCN2502E3331_010235-T1, TFCN2502E3331_006290-T1
GF00000024	TFCN2502E3331_005065-T1, TFCN2502E3331_012725-T1, TFCN2502E3331_002589-T1, TFCN2502E3331_000129-T1, TFCN2502E3331_011287-T1, TFCN2502E3331_003026-T1, TFCN2502E3331_013138-T1, TFCN2502E3331_009176-T1, TFCN2502E3331_013695-T1, TFCN2502E3331_002981-T1, TFCN2502E3331_006341-T1, TFCN2502E3331_004597-T1
GF00000025	TFCN2502E3331_000396-T1, TFCN2502E3331_011438-T1, TFCN2502E3331_003863-T1, TFCN2502E3331_003601-T1, TFCN2502E3331_001402-T1, TFCN2502E3331_001611-T1, TFCN2502E3331_005386-T1, TFCN2502E3331_008265-T1, TFCN2502E3331_014243-T1, TFCN2502E3331_004024-T1, TFCN2502E3331_003353-T1, TFCN2502E3331_008610-T1
GF00000026	TFCN2502E3331_011676-T1, TFCN2502E3331_008768-T1, TFCN2502E3331_004406-T1, TFCN2502E3331_012124-T1, TFCN2502E3331_007727-T1, TFCN2502E3331_010488-T1, TFCN2502E3331_003338-T1, TFCN2502E3331_010489-T1, TFCN2502E3331_005367-T1, TFCN2502E3331_004405-T1, TFCN2502E3331_010487-T1
GF00000027	TFCN2502E3331_002452-T1, TFCN2502E3331_002437-T1, TFCN2502E3331_002435-T1, TFCN2502E3331_002436-T1, TFCN2502E3331_002451-T1, TFCN2502E3331_004112-T1, TFCN2502E3331_004123-T1, TFCN2502E3331_004121-T1, TFCN2502E3331_002450-T1, TFCN2502E3331_004122-T1, TFCN2502E3331_004113-T1
GF00000028	TFCN2502E3331_013386-T1, TFCN2502E3331_003416-T1, TFCN2502E3331_005163-T1, TFCN2502E3331_014271-T1, TFCN2502E3331_009865-T1, TFCN2502E3331_009863-T1, TFCN2502E3331_009864-T1, TFCN2502E3331_014269-T1, TFCN2502E3331_012632-T1, TFCN2502E3331_014270-T1
GF00000029	TFCN2502E3331_002768-T1, TFCN2502E3331_005221-T1, TFCN2502E3331_009976-T1, TFCN2502E3331_005749-T1, TFCN2502E3331_001738-T1, TFCN2502E3331_003736-T1, TFCN2502E3331_003896-T1, TFCN2502E3331_007422-T1, TFCN2502E3331_000866-T1, TFCN2502E3331_010376-T1
GF00000030	TFCN2502E3331_009960-T1, TFCN2502E3331_007437-T1, TFCN2502E3331_007590-T1, TFCN2502E3331_003189-T1, TFCN2502E3331_011819-T1, TFCN2502E3331_007678-T1, TFCN2502E3331_006790-T1, TFCN2502E3331_007875-T1, TFCN2502E3331_008314-T1, TFCN2502E3331_011917-T1
GF00000031	TFCN2502E3331_009653-T1, TFCN2502E3331_002591-T1, TFCN2502E3331_007995-T1, TFCN2502E3331_012852-T1, TFCN2502E3331_012851-T1, TFCN2502E3331_009652-T1, TFCN2502E3331_009651-T1, TFCN2502E3331_000127-T1, TFCN2502E3331_014542-T1, TFCN2502E3331_000126-T1
GF00000032	TFCN2502E3331_006018-T1, TFCN2502E3331_007321-T1, TFCN2502E3331_004681-T1, TFCN2502E3331_013710-T1, TFCN2502E3331_004680-T1, TFCN2502E3331_002994-T1, TFCN2502E3331_007322-T1, TFCN2502E3331_006281-T1, TFCN2502E3331_006017-T1, TFCN2502E3331_006282-T1
GF00000033	TFCN2502E3331_000417-T1, TFCN2502E3331_008799-T1, TFCN2502E3331_005688-T1, TFCN2502E3331_010254-T1, TFCN2502E3331_009193-T1, TFCN2502E3331_005977-T1, TFCN2502E3331_000299-T1, TFCN2502E3331_014671-T1, TFCN2502E3331_011412-T1, TFCN2502E3331_000298-T1
GF00000034	TFCN2502E3331_010535-T1, TFCN2502E3331_007088-T1, TFCN2502E3331_013220-T1, TFCN2502E3331_007982-T1, TFCN2502E3331_007881-T1, TFCN2502E3331_006784-T1, TFCN2502E3331_012105-T1, TFCN2502E3331_011600-T1, TFCN2502E3331_013881-T1, TFCN2502E3331_001773-T1
GF00000035	TFCN2502E3331_009418-T1, TFCN2502E3331_003208-T1, TFCN2502E3331_001895-T1, TFCN2502E3331_002218-T1, TFCN2502E3331_013177-T1, TFCN2502E3331_005778-T1, TFCN2502E3331_014690-T1, TFCN2502E3331_011725-T1, TFCN2502E3331_012387-T1, TFCN2502E3331_014687-T1
GF00000036	TFCN2502E3331_006639-T1, TFCN2502E3331_006011-T1, TFCN2502E3331_003169-T1, TFCN2502E3331_011764-T1, TFCN2502E3331_010796-T1, TFCN2502E3331_012230-T1, TFCN2502E3331_010106-T1, TFCN2502E3331_003171-T1, TFCN2502E3331_012258-T1, TFCN2502E3331_010794-T1
GF00000037	TFCN2502E3331_006004-T1, TFCN2502E3331_006632-T1, TFCN2502E3331_001190-T1, TFCN2502E3331_001192-T1, TFCN2502E3331_001189-T1, TFCN2502E3331_001191-T1, TFCN2502E3331_000058-T1, TFCN2502E3331_014567-T1, TFCN2502E3331_000060-T1
GF00000038	TFCN2502E3331_013932-T1, TFCN2502E3331_002350-T1, TFCN2502E3331_004000-T1, TFCN2502E3331_003626-T1, TFCN2502E3331_003170-T1, TFCN2502E3331_012257-T1, TFCN2502E3331_007905-T1, TFCN2502E3331_009243-T1, TFCN2502E3331_013046-T1
GF00000039	TFCN2502E3331_012415-T1, TFCN2502E3331_009628-T1, TFCN2502E3331_010928-T1, TFCN2502E3331_012356-T1, TFCN2502E3331_014571-T1, TFCN2502E3331_014608-T1, TFCN2502E3331_009623-T1, TFCN2502E3331_014714-T1, TFCN2502E3331_014573-T1
GF00000040	TFCN2502E3331_013859-T1, TFCN2502E3331_013247-T1, TFCN2502E3331_011113-T1, TFCN2502E3331_014618-T1, TFCN2502E3331_007044-T1, TFCN2502E3331_014147-T1, TFCN2502E3331_005921-T1, TFCN2502E3331_014337-T1, TFCN2502E3331_014336-T1
GF00000041	TFCN2502E3331_002599-T1, TFCN2502E3331_012221-T1, TFCN2502E3331_009894-T1, TFCN2502E3331_000119-T1, TFCN2502E3331_004834-T1, TFCN2502E3331_006906-T1, TFCN2502E3331_006644-T1, TFCN2502E3331_006016-T1, TFCN2502E3331_006019-T1
GF00000042	TFCN2502E3331_004017-T1, TFCN2502E3331_003645-T1, TFCN2502E3331_003984-T1, TFCN2502E3331_004016-T1, TFCN2502E3331_003608-T1, TFCN2502E3331_003610-T1, TFCN2502E3331_003644-T1, TFCN2502E3331_003985-T1, TFCN2502E3331_003609-T1
GF00000043	TFCN2502E3331_012371-T1, TFCN2502E3331_014357-T1, TFCN2502E3331_005041-T1, TFCN2502E3331_003465-T1, TFCN2502E3331_000133-T1, TFCN2502E3331_002583-T1, TFCN2502E3331_005350-T1, TFCN2502E3331_008531-T1, TFCN2502E3331_003464-T1
GF00000044	TFCN2502E3331_011238-T1, TFCN2502E3331_008603-T1, TFCN2502E3331_008602-T1, TFCN2502E3331_006700-T1, TFCN2502E3331_011250-T1, TFCN2502E3331_011239-T1, TFCN2502E3331_011251-T1, TFCN2502E3331_006709-T1, TFCN2502E3331_008553-T1
GF00000045	TFCN2502E3331_011391-T1, TFCN2502E3331_007369-T1, TFCN2502E3331_010438-T1, TFCN2502E3331_010441-T1, TFCN2502E3331_013619-T1, TFCN2502E3331_010440-T1, TFCN2502E3331_014297-T1, TFCN2502E3331_010439-T1
GF00000046	TFCN2502E3331_013204-T1, TFCN2502E3331_007966-T1, TFCN2502E3331_008196-T1, TFCN2502E3331_007957-T1, TFCN2502E3331_007959-T1, TFCN2502E3331_008194-T1, TFCN2502E3331_008195-T1, TFCN2502E3331_007958-T1
GF00000047	TFCN2502E3331_013434-T1, TFCN2502E3331_001312-T1, TFCN2502E3331_013432-T1, TFCN2502E3331_001314-T1, TFCN2502E3331_012345-T1, TFCN2502E3331_005637-T1, TFCN2502E3331_001686-T1, TFCN2502E3331_001324-T1
GF00000048	TFCN2502E3331_006034-T1, TFCN2502E3331_006660-T1, TFCN2502E3331_008589-T1, TFCN2502E3331_006719-T1, TFCN2502E3331_012195-T1, TFCN2502E3331_005086-T1, TFCN2502E3331_012477-T1, TFCN2502E3331_014696-T1
GF00000049	TFCN2502E3331_007688-T1, TFCN2502E3331_007600-T1, TFCN2502E3331_005619-T1, TFCN2502E3331_007206-T1, TFCN2502E3331_007766-T1, TFCN2502E3331_012512-T1, TFCN2502E3331_001353-T1, TFCN2502E3331_001659-T1
GF00000050	TFCN2502E3331_002446-T1, TFCN2502E3331_003348-T1, TFCN2502E3331_005379-T1, TFCN2502E3331_005178-T1, TFCN2502E3331_003347-T1, TFCN2502E3331_012647-T1, TFCN2502E3331_005380-T1, TFCN2502E3331_005381-T1
GF00000051	TFCN2502E3331_002041-T1, TFCN2502E3331_001793-T1, TFCN2502E3331_010369-T1, TFCN2502E3331_008515-T1, TFCN2502E3331_009682-T1, TFCN2502E3331_000873-T1, TFCN2502E3331_013084-T1, TFCN2502E3331_000874-T1
GF00000052	TFCN2502E3331_007387-T1, TFCN2502E3331_007388-T1, TFCN2502E3331_010015-T1, TFCN2502E3331_007386-T1, TFCN2502E3331_010010-T1, TFCN2502E3331_010014-T1, TFCN2502E3331_010011-T1, TFCN2502E3331_010013-T1
GF00000053	TFCN2502E3331_007372-T1, TFCN2502E3331_011387-T1, TFCN2502E3331_011396-T1, TFCN2502E3331_011395-T1, TFCN2502E3331_011401-T1, TFCN2502E3331_007373-T1, TFCN2502E3331_013624-T1, TFCN2502E3331_013623-T1
GF00000054	TFCN2502E3331_007026-T1, TFCN2502E3331_004269-T1, TFCN2502E3331_006958-T1, TFCN2502E3331_006049-T1, TFCN2502E3331_009308-T1, TFCN2502E3331_004202-T1, TFCN2502E3331_014194-T1, TFCN2502E3331_012975-T1
GF00000055	TFCN2502E3331_011302-T1, TFCN2502E3331_003043-T1, TFCN2502E3331_011294-T1, TFCN2502E3331_010247-T1, TFCN2502E3331_005682-T1, TFCN2502E3331_003035-T1, TFCN2502E3331_011301-T1, TFCN2502E3331_003036-T1
GF00000056	TFCN2502E3331_012473-T1, TFCN2502E3331_010141-T1, TFCN2502E3331_007470-T1, TFCN2502E3331_006105-T1, TFCN2502E3331_003157-T1, TFCN2502E3331_006200-T1, TFCN2502E3331_001859-T1, TFCN2502E3331_002104-T1
GF00000057	TFCN2502E3331_005561-T1, TFCN2502E3331_007150-T1, TFCN2502E3331_004485-T1, TFCN2502E3331_001104-T1, TFCN2502E3331_000902-T1, TFCN2502E3331_000664-T1, TFCN2502E3331_008971-T1, TFCN2502E3331_002966-T1
GF00000058	TFCN2502E3331_006823-T1, TFCN2502E3331_007842-T1, TFCN2502E3331_007161-T1, TFCN2502E3331_005572-T1, TFCN2502E3331_008837-T1, TFCN2502E3331_000187-T1, TFCN2502E3331_004106-T1, TFCN2502E3331_002430-T1
GF00000059	TFCN2502E3331_003977-T1, TFCN2502E3331_011388-T1, TFCN2502E3331_013622-T1, TFCN2502E3331_003652-T1, TFCN2502E3331_001875-T1, TFCN2502E3331_002200-T1, TFCN2502E3331_004784-T1, TFCN2502E3331_006857-T1
GF00000060	TFCN2502E3331_013685-T1, TFCN2502E3331_013510-T1, TFCN2502E3331_013509-T1, TFCN2502E3331_013654-T1, TFCN2502E3331_000860-T1, TFCN2502E3331_011927-T1, TFCN2502E3331_008304-T1
GF00000061	TFCN2502E3331_001762-T1, TFCN2502E3331_013871-T1, TFCN2502E3331_004035-T1, TFCN2502E3331_004037-T1, TFCN2502E3331_002362-T1, TFCN2502E3331_003505-T1, TFCN2502E3331_002361-T1
GF00000062	TFCN2502E3331_002305-T1, TFCN2502E3331_001982-T1, TFCN2502E3331_013195-T1, TFCN2502E3331_005760-T1, TFCN2502E3331_007028-T1, TFCN2502E3331_004271-T1, TFCN2502E3331_001983-T1
GF00000063	TFCN2502E3331_009057-T1, TFCN2502E3331_012754-T1, TFCN2502E3331_009056-T1, TFCN2502E3331_009051-T1, TFCN2502E3331_009055-T1, TFCN2502E3331_009053-T1, TFCN2502E3331_009052-T1
GF00000064	TFCN2502E3331_013410-T1, TFCN2502E3331_010674-T1, TFCN2502E3331_013805-T1, TFCN2502E3331_013411-T1, TFCN2502E3331_013804-T1, TFCN2502E3331_011549-T1, TFCN2502E3331_011550-T1
GF00000065	TFCN2502E3331_003233-T1, TFCN2502E3331_011040-T1, TFCN2502E3331_003605-T1, TFCN2502E3331_003232-T1, TFCN2502E3331_011039-T1, TFCN2502E3331_004020-T1, TFCN2502E3331_004019-T1
GF00000066	TFCN2502E3331_014131-T1, TFCN2502E3331_014582-T1, TFCN2502E3331_014580-T1, TFCN2502E3331_014692-T1, TFCN2502E3331_014669-T1, TFCN2502E3331_010436-T1, TFCN2502E3331_014702-T1
GF00000067	TFCN2502E3331_008594-T1, TFCN2502E3331_008595-T1, TFCN2502E3331_006714-T1, TFCN2502E3331_008475-T1, TFCN2502E3331_009725-T1, TFCN2502E3331_006713-T1, TFCN2502E3331_009724-T1
GF00000068	TFCN2502E3331_008283-T1, TFCN2502E3331_011945-T1, TFCN2502E3331_009369-T1, TFCN2502E3331_008049-T1, TFCN2502E3331_007476-T1, TFCN2502E3331_009109-T1, TFCN2502E3331_006113-T1
GF00000069	TFCN2502E3331_013939-T1, TFCN2502E3331_011993-T1, TFCN2502E3331_013888-T1, TFCN2502E3331_013887-T1, TFCN2502E3331_002345-T1, TFCN2502E3331_013938-T1, TFCN2502E3331_013937-T1
GF00000070	TFCN2502E3331_007361-T1, TFCN2502E3331_004339-T1, TFCN2502E3331_008680-T1, TFCN2502E3331_008336-T1, TFCN2502E3331_007330-T1, TFCN2502E3331_007331-T1, TFCN2502E3331_008360-T1
GF00000071	TFCN2502E3331_000556-T1, TFCN2502E3331_000560-T1, TFCN2502E3331_000555-T1, TFCN2502E3331_000557-T1, TFCN2502E3331_000559-T1, TFCN2502E3331_009834-T1, TFCN2502E3331_009833-T1
GF00000072	TFCN2502E3331_010636-T1, TFCN2502E3331_004659-T1, TFCN2502E3331_004692-T1, TFCN2502E3331_004691-T1, TFCN2502E3331_010648-T1, TFCN2502E3331_004658-T1, TFCN2502E3331_010649-T1
GF00000073	TFCN2502E3331_004351-T1, TFCN2502E3331_004357-T1, TFCN2502E3331_004377-T1, TFCN2502E3331_004368-T1, TFCN2502E3331_008796-T1, TFCN2502E3331_011984-T1, TFCN2502E3331_004369-T1
