	Rhodotorula_mucilaginosa_DBVPG_4380.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000049	DBVPG4380_000303-T1	DBVPG3775_007132-T1
GF00000050	DBVPG4380_001382-T1	DBVPG3775_003544-T1
GF00000051	DBVPG4380_000524-T1	
GF00000052	DBVPG4380_000569-T1	DBVPG3775_006241-T1
GF00000053	DBVPG4380_007485-T1	DBVPG3775_001230-T1
GF00000054	DBVPG4380_005926-T1	DBVPG3775_005270-T1
GF00000055	DBVPG4380_012085-T1	DBVPG3775_006345-T1
GF00000056	DBVPG4380_007999-T1	DBVPG3775_001018-T1
GF00000057	DBVPG4380_002019-T1	DBVPG3775_001537-T1
GF00000058	DBVPG4380_002645-T1	DBVPG3775_006911-T1
GF00000059	DBVPG4380_001981-T1	DBVPG3775_002577-T1
GF00000060	DBVPG4380_011755-T1	DBVPG3775_004673-T1
GF00000061	DBVPG4380_005801-T1	DBVPG3775_000842-T1
GF00000062	DBVPG4380_001318-T1	DBVPG3775_004521-T1
GF00000063	DBVPG4380_010181-T1	DBVPG3775_000475-T1
GF00000064	DBVPG4380_002256-T1	DBVPG3775_002526-T1
GF00000065	DBVPG4380_005396-T1	DBVPG3775_006016-T1
GF00000066	DBVPG4380_007427-T1	DBVPG3775_000466-T1
GF00000067	DBVPG4380_000198-T1	DBVPG3775_004903-T1
GF00000068	DBVPG4380_001119-T1	DBVPG3775_002916-T1
GF00000069	DBVPG4380_004047-T1	DBVPG3775_002328-T1
GF00000070	DBVPG4380_010399-T1	DBVPG3775_001451-T1
GF00000071	DBVPG4380_001832-T1	DBVPG3775_003742-T1
GF00000072	DBVPG4380_000951-T1	DBVPG3775_002338-T1
GF00000073	DBVPG4380_006432-T1	DBVPG3775_004694-T1
GF00000074	DBVPG4380_001627-T1	DBVPG3775_002435-T1
GF00000075	DBVPG4380_002505-T1	DBVPG3775_007105-T1
GF00000076	DBVPG4380_003210-T1	DBVPG3775_003328-T1
GF00000077	DBVPG4380_011205-T1	DBVPG3775_002451-T1
GF00000078	DBVPG4380_004878-T1	DBVPG3775_005324-T1
GF00000079	DBVPG4380_001810-T1	DBVPG3775_005306-T1
GF00000080	DBVPG4380_002718-T1	DBVPG3775_002308-T1
GF00000081	DBVPG4380_001194-T1	DBVPG3775_001986-T1
GF00000082	DBVPG4380_009239-T1	DBVPG3775_006341-T1
GF00000083	DBVPG4380_005627-T1	DBVPG3775_002257-T1
GF00000084	DBVPG4380_006220-T1	DBVPG3775_001065-T1
GF00000085	DBVPG4380_007328-T1	DBVPG3775_002218-T1
GF00000086	DBVPG4380_007779-T1	DBVPG3775_007423-T1
GF00000087	DBVPG4380_010266-T1	DBVPG3775_003792-T1
GF00000088	DBVPG4380_005343-T1	DBVPG3775_005603-T1
GF00000089	DBVPG4380_003759-T1	DBVPG3775_002749-T1
GF00000090	DBVPG4380_011000-T1	DBVPG3775_007162-T1
GF00000091	DBVPG4380_003356-T1	DBVPG3775_002941-T1
GF00000092	DBVPG4380_006013-T1	DBVPG3775_004544-T1
GF00000093	DBVPG4380_008094-T1	DBVPG3775_007270-T1
GF00000094	DBVPG4380_001595-T1	DBVPG3775_002206-T1
GF00000095	DBVPG4380_000472-T1	DBVPG3775_004377-T1
GF00000096	DBVPG4380_001113-T1	DBVPG3775_001832-T1
GF00000097	DBVPG4380_001211-T1	DBVPG3775_003172-T1
GF00000098	DBVPG4380_008500-T1	DBVPG3775_006519-T1
GF00000099	DBVPG4380_001165-T1	DBVPG3775_006948-T1
GF00000100	DBVPG4380_010029-T1	DBVPG3775_007186-T1
GF00000101	DBVPG4380_001303-T1	DBVPG3775_006576-T1
GF00000102	DBVPG4380_008327-T1	DBVPG3775_006416-T1
GF00000103	DBVPG4380_001820-T1	DBVPG3775_004717-T1
GF00000104	DBVPG4380_004118-T1	DBVPG3775_002226-T1
GF00000105	DBVPG4380_003359-T1	DBVPG3775_007022-T1
GF00000106	DBVPG4380_007259-T1	DBVPG3775_003785-T1
GF00000107	DBVPG4380_002215-T1	DBVPG3775_003251-T1
GF00000108	DBVPG4380_006200-T1	DBVPG3775_001902-T1
GF00000109	DBVPG4380_007438-T1	DBVPG3775_003411-T1
GF00000110	DBVPG4380_008629-T1	DBVPG3775_006076-T1
GF00000111	DBVPG4380_002988-T1	DBVPG3775_000444-T1
GF00000112	DBVPG4380_004814-T1	DBVPG3775_003612-T1
GF00000113	DBVPG4380_011059-T1	DBVPG3775_006388-T1
GF00000114	DBVPG4380_005594-T1	DBVPG3775_000191-T1
GF00000115	DBVPG4380_006050-T1	DBVPG3775_001677-T1
GF00000116	DBVPG4380_011912-T1	DBVPG3775_001128-T1
GF00000117	DBVPG4380_007562-T1	DBVPG3775_004455-T1
GF00000118	DBVPG4380_005572-T1	DBVPG3775_003229-T1
GF00000119	DBVPG4380_004207-T1	DBVPG3775_002271-T1
GF00000120	DBVPG4380_010860-T1	DBVPG3775_004760-T1
GF00000121	DBVPG4380_010505-T1	DBVPG3775_000702-T1
GF00000122	DBVPG4380_011734-T1	DBVPG3775_004556-T1
GF00000123	DBVPG4380_003097-T1	DBVPG3775_007250-T1
GF00000124	DBVPG4380_007065-T1	DBVPG3775_006954-T1
GF00000125	DBVPG4380_001471-T1	DBVPG3775_001549-T1
GF00000126	DBVPG4380_009492-T1	DBVPG3775_004116-T1
GF00000127	DBVPG4380_004801-T1	DBVPG3775_004136-T1
GF00000128	DBVPG4380_002753-T1	DBVPG3775_001962-T1
GF00000129	DBVPG4380_002207-T1	DBVPG3775_001667-T1
GF00000130	DBVPG4380_002420-T1	DBVPG3775_003306-T1
GF00000131	DBVPG4380_006868-T1	DBVPG3775_004061-T1
GF00000132	DBVPG4380_004159-T1	DBVPG3775_004772-T1
GF00000133	DBVPG4380_003874-T1	DBVPG3775_007226-T1
GF00000134	DBVPG4380_010999-T1	DBVPG3775_000695-T1
GF00000135	DBVPG4380_008338-T1	DBVPG3775_006556-T1
GF00000136	DBVPG4380_004202-T1	DBVPG3775_002610-T1
GF00000137	DBVPG4380_005161-T1	DBVPG3775_005753-T1
GF00000138	DBVPG4380_005385-T1	DBVPG3775_005157-T1
GF00000139	DBVPG4380_006193-T1	DBVPG3775_002402-T1
GF00000140	DBVPG4380_009141-T1	DBVPG3775_000262-T1
GF00000141	DBVPG4380_012203-T1	DBVPG3775_007442-T1
GF00000142	DBVPG4380_001788-T1	DBVPG3775_000105-T1
GF00000143	DBVPG4380_000458-T1	DBVPG3775_004502-T1
GF00000144	DBVPG4380_001761-T1	DBVPG3775_004957-T1
GF00000145	DBVPG4380_006032-T1	DBVPG3775_005328-T1
GF00000146	DBVPG4380_005306-T1	DBVPG3775_000170-T1
GF00000147	DBVPG4380_000752-T1	DBVPG3775_006809-T1
GF00000148	DBVPG4380_006952-T1	DBVPG3775_006031-T1
GF00000149	DBVPG4380_000684-T1	DBVPG3775_003746-T1
GF00000150	DBVPG4380_001951-T1	DBVPG3775_006133-T1
GF00000151	DBVPG4380_001551-T1	DBVPG3775_000153-T1
GF00000152	DBVPG4380_000529-T1	DBVPG3775_007392-T1
GF00000153	DBVPG4380_000541-T1	DBVPG3775_002291-T1
GF00000154	DBVPG4380_006969-T1	DBVPG3775_000814-T1
GF00000155	DBVPG4380_014487-T1	DBVPG3775_002965-T1
GF00000156	DBVPG4380_000912-T1	DBVPG3775_007241-T1
GF00000157	DBVPG4380_009014-T1	DBVPG3775_006413-T1
GF00000158	DBVPG4380_012762-T1	DBVPG3775_005082-T1
GF00000159	DBVPG4380_005922-T1	DBVPG3775_003439-T1
GF00000160	DBVPG4380_004970-T1	DBVPG3775_006959-T1
GF00000161	DBVPG4380_001274-T1	
GF00000162	DBVPG4380_006773-T1	DBVPG3775_001191-T1
GF00000163	DBVPG4380_012978-T1	DBVPG3775_007517-T1
GF00000164	DBVPG4380_001763-T1	DBVPG3775_004960-T1
GF00000165	DBVPG4380_007398-T1	DBVPG3775_004721-T1
GF00000166	DBVPG4380_002218-T1	DBVPG3775_003255-T1
GF00000167	DBVPG4380_008468-T1	DBVPG3775_005736-T1
GF00000168	DBVPG4380_004836-T1	DBVPG3775_002895-T1
GF00000169	DBVPG4380_002406-T1	DBVPG3775_003774-T1
GF00000170	DBVPG4380_004722-T1	DBVPG3775_001266-T1
GF00000171	DBVPG4380_002982-T1	DBVPG3775_004545-T1
GF00000172	DBVPG4380_010584-T1	DBVPG3775_004339-T1
GF00000173	DBVPG4380_010544-T1	DBVPG3775_006842-T1
GF00000174	DBVPG4380_003286-T1	DBVPG3775_003599-T1
GF00000175	DBVPG4380_004948-T1	DBVPG3775_003607-T1
GF00000176	DBVPG4380_008413-T1	DBVPG3775_003677-T1
GF00000177	DBVPG4380_009746-T1	DBVPG3775_003362-T1
GF00000178	DBVPG4380_005219-T1	DBVPG3775_002326-T1
GF00000179	DBVPG4380_004486-T1	DBVPG3775_000368-T1
GF00000180	DBVPG4380_010118-T1	DBVPG3775_005541-T1
GF00000181	DBVPG4380_005044-T1	DBVPG3775_001517-T1
GF00000182	DBVPG4380_011005-T1	DBVPG3775_003045-T1
GF00000183	DBVPG4380_007399-T1	DBVPG3775_004768-T1
GF00000184	DBVPG4380_001716-T1	DBVPG3775_005621-T1
GF00000185	DBVPG4380_000057-T1	DBVPG3775_003881-T1
GF00000186	DBVPG4380_000061-T1	DBVPG3775_003877-T1
GF00000187	DBVPG4380_000073-T1	DBVPG3775_000400-T1
GF00000188	DBVPG4380_003857-T1	DBVPG3775_002664-T1
GF00000189	DBVPG4380_009761-T1	DBVPG3775_001650-T1
GF00000190	DBVPG4380_003358-T1	DBVPG3775_003134-T1
GF00000191	DBVPG4380_005257-T1	DBVPG3775_000052-T1
GF00000192	DBVPG4380_009215-T1	DBVPG3775_005054-T1
GF00000193	DBVPG4380_006457-T1	DBVPG3775_006924-T1
GF00000194	DBVPG4380_003542-T1	DBVPG3775_001329-T1
GF00000195	DBVPG4380_000506-T1	DBVPG3775_005023-T1
GF00000196	DBVPG4380_003322-T1	DBVPG3775_007223-T1
GF00000197	DBVPG4380_006068-T1	DBVPG3775_006850-T1
GF00000198	DBVPG4380_011578-T1	DBVPG3775_001505-T1
GF00000199	DBVPG4380_004236-T1	DBVPG3775_004575-T1
GF00000200	DBVPG4380_005198-T1	DBVPG3775_000946-T1
GF00000201	DBVPG4380_004056-T1	DBVPG3775_003741-T1
GF00000202	DBVPG4380_000988-T1	DBVPG3775_006806-T1
GF00000203	DBVPG4380_009181-T1	DBVPG3775_000268-T1
GF00000204	DBVPG4380_005968-T1	DBVPG3775_002037-T1
GF00000205	DBVPG4380_001888-T1	DBVPG3775_005546-T1
GF00000206	DBVPG4380_001037-T1	DBVPG3775_003596-T1
GF00000207	DBVPG4380_003237-T1	DBVPG3775_002392-T1
GF00000208	DBVPG4380_005524-T1	DBVPG3775_004711-T1
GF00000209	DBVPG4380_003127-T1	DBVPG3775_001991-T1
GF00000210	DBVPG4380_001338-T1	DBVPG3775_007378-T1
GF00000211	DBVPG4380_001790-T1	DBVPG3775_006253-T1
GF00000212	DBVPG4380_002208-T1	DBVPG3775_001671-T1
GF00000213	DBVPG4380_007275-T1	DBVPG3775_004172-T1
GF00000214	DBVPG4380_001839-T1	DBVPG3775_003386-T1
GF00000215	DBVPG4380_001903-T1	DBVPG3775_007059-T1
GF00000216	DBVPG4380_007549-T1	DBVPG3775_006662-T1
GF00000217	DBVPG4380_004843-T1	DBVPG3775_006147-T1
GF00000218	DBVPG4380_002004-T1	DBVPG3775_006439-T1
GF00000219	DBVPG4380_004821-T1	DBVPG3775_000346-T1
GF00000220	DBVPG4380_004678-T1	DBVPG3775_001025-T1
GF00000221	DBVPG4380_004766-T1	DBVPG3775_001264-T1
GF00000222	DBVPG4380_008373-T1	DBVPG3775_000439-T1
GF00000223	DBVPG4380_002695-T1	DBVPG3775_005084-T1
GF00000224	DBVPG4380_003360-T1	DBVPG3775_003094-T1
GF00000225	DBVPG4380_004237-T1	DBVPG3775_002736-T1
GF00000226	DBVPG4380_007304-T1	DBVPG3775_005362-T1
GF00000227	DBVPG4380_010816-T1	DBVPG3775_005721-T1
GF00000228	DBVPG4380_003840-T1	DBVPG3775_006220-T1
GF00000229	DBVPG4380_010785-T1	DBVPG3775_003643-T1
GF00000230	DBVPG4380_006074-T1	DBVPG3775_000312-T1
GF00000231	DBVPG4380_004339-T1	DBVPG3775_003224-T1
GF00000232	DBVPG4380_004557-T1	DBVPG3775_003357-T1
GF00000233	DBVPG4380_008236-T1	DBVPG3775_001795-T1
GF00000234	DBVPG4380_010971-T1	DBVPG3775_000399-T1
GF00000235	DBVPG4380_009635-T1	DBVPG3775_003051-T1
GF00000236	DBVPG4380_007180-T1	DBVPG3775_001367-T1
GF00000237	DBVPG4380_008747-T1	DBVPG3775_002822-T1
GF00000238	DBVPG4380_009827-T1	DBVPG3775_007079-T1
GF00000239	DBVPG4380_009077-T1	DBVPG3775_004181-T1
GF00000240	DBVPG4380_013317-T1	DBVPG3775_001380-T1
GF00000241	DBVPG4380_007580-T1	DBVPG3775_005784-T1
GF00000242	DBVPG4380_010379-T1	DBVPG3775_002963-T1
GF00000243	DBVPG4380_000075-T1	DBVPG3775_003861-T1
GF00000244	DBVPG4380_002752-T1	DBVPG3775_001961-T1
GF00000245	DBVPG4380_009258-T1	DBVPG3775_002003-T1
GF00000246	DBVPG4380_007061-T1	DBVPG3775_001800-T1
GF00000247	DBVPG4380_001674-T1	DBVPG3775_000632-T1
GF00000248	DBVPG4380_001653-T1	DBVPG3775_006594-T1
GF00000249	DBVPG4380_012687-T1	DBVPG3775_004642-T1
GF00000250	DBVPG4380_000249-T1	DBVPG3775_007483-T1
GF00000251	DBVPG4380_006233-T1	DBVPG3775_004819-T1
GF00000252	DBVPG4380_001033-T1	DBVPG3775_000139-T1
GF00000253	DBVPG4380_004063-T1	DBVPG3775_005295-T1
GF00000254	DBVPG4380_005857-T1	DBVPG3775_007167-T1
GF00000255	DBVPG4380_002689-T1	DBVPG3775_004410-T1
GF00000256	DBVPG4380_006192-T1	DBVPG3775_004809-T1
GF00000257	DBVPG4380_000774-T1	DBVPG3775_002596-T1
GF00000258	DBVPG4380_000828-T1	DBVPG3775_004702-T1
GF00000259	DBVPG4380_002860-T1	DBVPG3775_005745-T1
GF00000260	DBVPG4380_004942-T1	DBVPG3775_003646-T1
GF00000261	DBVPG4380_001015-T1	DBVPG3775_006573-T1
GF00000262	DBVPG4380_013592-T1	DBVPG3775_000125-T1
GF00000263	DBVPG4380_008103-T1	DBVPG3775_004119-T1
GF00000264	DBVPG4380_005361-T1	DBVPG3775_006643-T1
GF00000265	DBVPG4380_005021-T1	DBVPG3775_004387-T1
GF00000266	DBVPG4380_001172-T1	DBVPG3775_005696-T1
GF00000267	DBVPG4380_003768-T1	DBVPG3775_005701-T1
GF00000268	DBVPG4380_014128-T1	DBVPG3775_001088-T1
GF00000269	DBVPG4380_007629-T1	DBVPG3775_007326-T1
GF00000270	DBVPG4380_001240-T1	DBVPG3775_005426-T1
GF00000271	DBVPG4380_002899-T1	DBVPG3775_000179-T1
GF00000272	DBVPG4380_005195-T1	DBVPG3775_004335-T1
GF00000273	DBVPG4380_005326-T1	DBVPG3775_004118-T1
GF00000274	DBVPG4380_006938-T1	DBVPG3775_003537-T1
GF00000275	DBVPG4380_005985-T1	DBVPG3775_000620-T1
GF00000276	DBVPG4380_001733-T1	DBVPG3775_002996-T1
GF00000277	DBVPG4380_001778-T1	DBVPG3775_000094-T1
GF00000278	DBVPG4380_004111-T1	DBVPG3775_005310-T1
GF00000279	DBVPG4380_010009-T1	DBVPG3775_005830-T1
GF00000280	DBVPG4380_001932-T1	DBVPG3775_005534-T1
GF00000281	DBVPG4380_001948-T1	DBVPG3775_001109-T1
GF00000282	DBVPG4380_002055-T1	DBVPG3775_000208-T1
GF00000283	DBVPG4380_004852-T1	DBVPG3775_005531-T1
GF00000284	DBVPG4380_006701-T1	DBVPG3775_002086-T1
GF00000285	DBVPG4380_002297-T1	DBVPG3775_003236-T1
GF00000286	DBVPG4380_002385-T1	DBVPG3775_004276-T1
GF00000287	DBVPG4380_004143-T1	DBVPG3775_003471-T1
GF00000288	DBVPG4380_002571-T1	DBVPG3775_003187-T1
GF00000289	DBVPG4380_005653-T1	DBVPG3775_006275-T1
GF00000290	DBVPG4380_002744-T1	DBVPG3775_002882-T1
GF00000291	DBVPG4380_003988-T1	DBVPG3775_001182-T1
GF00000292	DBVPG4380_009377-T1	DBVPG3775_001256-T1
GF00000293	DBVPG4380_002928-T1	DBVPG3775_000693-T1
GF00000294	DBVPG4380_003023-T1	DBVPG3775_006673-T1
GF00000295	DBVPG4380_007248-T1	DBVPG3775_000500-T1
GF00000296	DBVPG4380_013318-T1	DBVPG3775_000258-T1
GF00000297	DBVPG4380_003066-T1	DBVPG3775_000832-T1
GF00000298	DBVPG4380_013004-T1	DBVPG3775_001644-T1
GF00000299	DBVPG4380_004822-T1	DBVPG3775_000345-T1
GF00000300	DBVPG4380_008478-T1	DBVPG3775_007010-T1
GF00000301	DBVPG4380_003787-T1	DBVPG3775_004731-T1
GF00000302	DBVPG4380_003750-T1	DBVPG3775_005411-T1
GF00000303	DBVPG4380_003912-T1	DBVPG3775_006488-T1
GF00000304	DBVPG4380_006704-T1	DBVPG3775_003422-T1
GF00000305	DBVPG4380_004051-T1	DBVPG3775_001221-T1
GF00000306	DBVPG4380_009200-T1	DBVPG3775_000449-T1
GF00000307	DBVPG4380_009430-T1	DBVPG3775_005945-T1
GF00000308	DBVPG4380_005586-T1	DBVPG3775_003201-T1
GF00000309	DBVPG4380_004428-T1	DBVPG3775_006453-T1
GF00000310	DBVPG4380_005521-T1	DBVPG3775_005952-T1
GF00000311	DBVPG4380_012992-T1	DBVPG3775_001632-T1
GF00000312	DBVPG4380_005223-T1	DBVPG3775_006738-T1
GF00000313	DBVPG4380_009975-T1	DBVPG3775_006965-T1
GF00000314	DBVPG4380_005322-T1	DBVPG3775_000836-T1
GF00000315	DBVPG4380_006588-T1	DBVPG3775_002079-T1
GF00000316	DBVPG4380_009672-T1	DBVPG3775_002159-T1
GF00000317	DBVPG4380_009986-T1	DBVPG3775_004738-T1
GF00000318	DBVPG4380_005647-T1	DBVPG3775_002838-T1
GF00000319	DBVPG4380_014618-T1	DBVPG3775_000543-T1
GF00000320	DBVPG4380_006528-T1	DBVPG3775_005231-T1
GF00000321	DBVPG4380_013090-T1	DBVPG3775_000514-T1
GF00000322	DBVPG4380_013212-T1	DBVPG3775_005215-T1
GF00000323	DBVPG4380_009922-T1	DBVPG3775_001227-T1
GF00000324	DBVPG4380_007406-T1	DBVPG3775_004469-T1
GF00000325	DBVPG4380_013695-T1	DBVPG3775_006947-T1
GF00000326	DBVPG4380_007453-T1	DBVPG3775_002543-T1
GF00000327	DBVPG4380_011203-T1	DBVPG3775_004549-T1
GF00000328	DBVPG4380_007798-T1	DBVPG3775_002690-T1
GF00000329	DBVPG4380_009594-T1	DBVPG3775_000546-T1
GF00000330	DBVPG4380_008635-T1	DBVPG3775_003466-T1
GF00000331	DBVPG4380_009085-T1	DBVPG3775_004009-T1
GF00000332	DBVPG4380_009146-T1	DBVPG3775_000534-T1
GF00000333	DBVPG4380_014233-T1	DBVPG3775_007145-T1
GF00000334	DBVPG4380_013970-T1	DBVPG3775_000737-T1
GF00000335	DBVPG4380_012150-T1	DBVPG3775_005371-T1
GF00000336	DBVPG4380_014156-T1	DBVPG3775_000746-T1
GF00000337	DBVPG4380_008701-T1	DBVPG3775_001813-T1
GF00000338	DBVPG4380_004138-T1	DBVPG3775_004253-T1
GF00000339	DBVPG4380_007600-T1	DBVPG3775_003779-T1
GF00000340	DBVPG4380_002148-T1	DBVPG3775_005206-T1
GF00000341	DBVPG4380_004034-T1	DBVPG3775_002798-T1
GF00000342	DBVPG4380_003206-T1	DBVPG3775_005645-T1
GF00000343	DBVPG4380_004417-T1	DBVPG3775_006753-T1
GF00000344	DBVPG4380_000432-T1	DBVPG3775_007400-T1
GF00000345	DBVPG4380_003675-T1	DBVPG3775_005485-T1
GF00000346	DBVPG4380_003272-T1	DBVPG3775_000680-T1
GF00000347	DBVPG4380_002920-T1	DBVPG3775_005145-T1
GF00000348	DBVPG4380_006974-T1	DBVPG3775_003390-T1
GF00000349	DBVPG4380_000770-T1	DBVPG3775_003286-T1
GF00000350	DBVPG4380_001173-T1	DBVPG3775_003302-T1
GF00000351	DBVPG4380_003404-T1	DBVPG3775_007387-T1
GF00000352	DBVPG4380_000537-T1	DBVPG3775_002294-T1
GF00000353	DBVPG4380_007717-T1	DBVPG3775_007179-T1
GF00000354	DBVPG4380_006919-T1	DBVPG3775_005166-T1
GF00000355	DBVPG4380_000925-T1	DBVPG3775_005742-T1
GF00000356	DBVPG4380_000642-T1	DBVPG3775_003273-T1
GF00000357	DBVPG4380_000661-T1	DBVPG3775_005109-T1
GF00000358	DBVPG4380_007301-T1	DBVPG3775_002840-T1
GF00000359	DBVPG4380_014642-T1	DBVPG3775_005376-T1
GF00000360	DBVPG4380_006850-T1	DBVPG3775_000257-T1
GF00000361	DBVPG4380_004116-T1	DBVPG3775_005826-T1
GF00000362	DBVPG4380_000918-T1	DBVPG3775_007231-T1
GF00000363	DBVPG4380_000955-T1	DBVPG3775_002335-T1
GF00000364	DBVPG4380_000960-T1	DBVPG3775_004475-T1
GF00000365	DBVPG4380_000961-T1	DBVPG3775_005702-T1
GF00000366	DBVPG4380_007766-T1	DBVPG3775_005129-T1
GF00000367	DBVPG4380_012307-T1	DBVPG3775_005884-T1
GF00000368	DBVPG4380_001078-T1	DBVPG3775_005938-T1
GF00000369	DBVPG4380_009219-T1	DBVPG3775_006421-T1
GF00000370	DBVPG4380_003712-T1	DBVPG3775_006418-T1
GF00000371	DBVPG4380_001090-T1	DBVPG3775_000012-T1
GF00000372	DBVPG4380_001097-T1	DBVPG3775_000019-T1
GF00000373	DBVPG4380_004393-T1	DBVPG3775_002751-T1
GF00000374	DBVPG4380_003152-T1	DBVPG3775_001700-T1
GF00000375	DBVPG4380_001185-T1	DBVPG3775_001995-T1
GF00000376	DBVPG4380_006622-T1	DBVPG3775_006542-T1
GF00000377	DBVPG4380_001229-T1	DBVPG3775_002256-T1
GF00000378	DBVPG4380_001327-T1	DBVPG3775_006582-T1
GF00000379	DBVPG4380_001336-T1	DBVPG3775_005809-T1
GF00000380	DBVPG4380_002436-T1	DBVPG3775_000934-T1
GF00000381	DBVPG4380_001387-T1	DBVPG3775_003709-T1
GF00000382	DBVPG4380_001798-T1	DBVPG3775_006263-T1
GF00000383	DBVPG4380_007360-T1	DBVPG3775_006485-T1
GF00000384	DBVPG4380_001543-T1	DBVPG3775_002716-T1
GF00000385	DBVPG4380_010366-T1	DBVPG3775_002663-T1
GF00000386	DBVPG4380_005551-T1	DBVPG3775_002071-T1
GF00000387	DBVPG4380_001705-T1	DBVPG3775_006976-T1
GF00000388	DBVPG4380_001750-T1	DBVPG3775_007425-T1
GF00000389	DBVPG4380_012288-T1	DBVPG3775_004539-T1
GF00000390	DBVPG4380_001836-T1	DBVPG3775_003375-T1
GF00000391	DBVPG4380_001842-T1	DBVPG3775_004459-T1
GF00000392	DBVPG4380_002411-T1	DBVPG3775_003315-T1
GF00000393	DBVPG4380_005881-T1	DBVPG3775_003066-T1
GF00000394	DBVPG4380_001968-T1	DBVPG3775_003396-T1
GF00000395	DBVPG4380_010157-T1	DBVPG3775_000577-T1
GF00000396	DBVPG4380_008147-T1	DBVPG3775_004167-T1
GF00000397	DBVPG4380_011581-T1	DBVPG3775_006814-T1
GF00000398	DBVPG4380_009545-T1	DBVPG3775_004294-T1
GF00000399	DBVPG4380_005752-T1	DBVPG3775_002484-T1
GF00000400	DBVPG4380_007791-T1	DBVPG3775_002103-T1
GF00000401	DBVPG4380_002173-T1	DBVPG3775_006371-T1
GF00000402	DBVPG4380_008731-T1	DBVPG3775_001675-T1
GF00000403	DBVPG4380_003638-T1	DBVPG3775_002579-T1
GF00000404	DBVPG4380_010487-T1	DBVPG3775_001939-T1
GF00000405	DBVPG4380_002263-T1	DBVPG3775_002522-T1
GF00000406	DBVPG4380_008469-T1	DBVPG3775_005734-T1
GF00000407	DBVPG4380_002374-T1	DBVPG3775_004086-T1
GF00000408	DBVPG4380_002413-T1	DBVPG3775_003312-T1
