	Rhodotorula_mucilaginosa_DBVPG_4380.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000011	DBVPG4380_000012-T1, DBVPG4380_005062-T1, DBVPG4380_001721-T1, DBVPG4380_001711-T1, DBVPG4380_002330-T1, DBVPG4380_001715-T1, DBVPG4380_004926-T1, DBVPG4380_001712-T1, DBVPG4380_001720-T1, DBVPG4380_003004-T1, DBVPG4380_002329-T1, DBVPG4380_002331-T1, DBVPG4380_001717-T1, DBVPG4380_004924-T1, DBVPG4380_004927-T1	DBVPG3775_001378-T1, DBVPG3775_003924-T1, DBVPG3775_005565-T1, DBVPG3775_005573-T1, DBVPG3775_005574-T1, DBVPG3775_005575-T1, DBVPG3775_005579-T1, DBVPG3775_005582-T1, DBVPG3775_005584-T1, DBVPG3775_005585-T1, DBVPG3775_005586-T1, DBVPG3775_005596-T1, DBVPG3775_005597-T1, DBVPG3775_005629-T1, DBVPG3775_007341-T1, DBVPG3775_007342-T1
GF00000012	DBVPG4380_001016-T1, DBVPG4380_000267-T1, DBVPG4380_001893-T1, DBVPG4380_008002-T1, DBVPG4380_009646-T1, DBVPG4380_010894-T1, DBVPG4380_002873-T1, DBVPG4380_006264-T1, DBVPG4380_013259-T1, DBVPG4380_012706-T1, DBVPG4380_000547-T1, DBVPG4380_002877-T1, DBVPG4380_009603-T1, DBVPG4380_007634-T1, DBVPG4380_013707-T1, DBVPG4380_002428-T1, DBVPG4380_011848-T1, DBVPG4380_006260-T1, DBVPG4380_015223-T1, DBVPG4380_014188-T1, DBVPG4380_014289-T1	DBVPG3775_000011-T1, DBVPG3775_002242-T1, DBVPG3775_002284-T1, DBVPG3775_002987-T1, DBVPG3775_003133-T1, DBVPG3775_004425-T1, DBVPG3775_006042-T1, DBVPG3775_006046-T1, DBVPG3775_006709-T1, DBVPG3775_007551-T1
GF00000013	DBVPG4380_000438-T1, DBVPG4380_006526-T1, DBVPG4380_012460-T1, DBVPG4380_011847-T1, DBVPG4380_006061-T1, DBVPG4380_007018-T1, DBVPG4380_014434-T1, DBVPG4380_008744-T1, DBVPG4380_008050-T1, DBVPG4380_013107-T1, DBVPG4380_014664-T1, DBVPG4380_014303-T1, DBVPG4380_013993-T1, DBVPG4380_008344-T1, DBVPG4380_012236-T1, DBVPG4380_010383-T1, DBVPG4380_011970-T1, DBVPG4380_016222-T1, DBVPG4380_014808-T1, DBVPG4380_014475-T1, DBVPG4380_011971-T1, DBVPG4380_008049-T1, DBVPG4380_008743-T1, DBVPG4380_013108-T1	DBVPG3775_000902-T1, DBVPG3775_001968-T1, DBVPG3775_002547-T1, DBVPG3775_002548-T1, DBVPG3775_002549-T1, DBVPG3775_003491-T1, DBVPG3775_007393-T1
GF00000014	DBVPG4380_001633-T1, DBVPG4380_009558-T1, DBVPG4380_004250-T1, DBVPG4380_008330-T1, DBVPG4380_005216-T1, DBVPG4380_008797-T1, DBVPG4380_006153-T1, DBVPG4380_015808-T1, DBVPG4380_008303-T1, DBVPG4380_009204-T1, DBVPG4380_013011-T1, DBVPG4380_013185-T1, DBVPG4380_011293-T1, DBVPG4380_011887-T1, DBVPG4380_012890-T1, DBVPG4380_015505-T1, DBVPG4380_015253-T1, DBVPG4380_015087-T1, DBVPG4380_015059-T1, DBVPG4380_013933-T1, DBVPG4380_005164-T1, DBVPG4380_015928-T1, DBVPG4380_014485-T1	DBVPG3775_000054-T1, DBVPG3775_002869-T1, DBVPG3775_005020-T1, DBVPG3775_005220-T1, DBVPG3775_005649-T1, DBVPG3775_005752-T1, DBVPG3775_007131-T1
GF00000015	DBVPG4380_000049-T1, DBVPG4380_003116-T1, DBVPG4380_011858-T1, DBVPG4380_009630-T1, DBVPG4380_003824-T1, DBVPG4380_003461-T1, DBVPG4380_008206-T1, DBVPG4380_006080-T1, DBVPG4380_008443-T1, DBVPG4380_004748-T1, DBVPG4380_006404-T1, DBVPG4380_013518-T1, DBVPG4380_001646-T1, DBVPG4380_002357-T1, DBVPG4380_003644-T1, DBVPG4380_005461-T1, DBVPG4380_011120-T1, DBVPG4380_006608-T1, DBVPG4380_006790-T1, DBVPG4380_011594-T1, DBVPG4380_013581-T1	DBVPG3775_000068-T1, DBVPG3775_003889-T1, DBVPG3775_004041-T1, DBVPG3775_004212-T1, DBVPG3775_005248-T1, DBVPG3775_006550-T1, DBVPG3775_007311-T1, DBVPG3775_007478-T1
GF00000016	DBVPG4380_000136-T1, DBVPG4380_011426-T1, DBVPG4380_003579-T1, DBVPG4380_000297-T1, DBVPG4380_003233-T1, DBVPG4380_007755-T1, DBVPG4380_004640-T1, DBVPG4380_014247-T1, DBVPG4380_007254-T1, DBVPG4380_008898-T1, DBVPG4380_014777-T1, DBVPG4380_012151-T1, DBVPG4380_013469-T1, DBVPG4380_014447-T1, DBVPG4380_015263-T1, DBVPG4380_005452-T1, DBVPG4380_014963-T1, DBVPG4380_016229-T1, DBVPG4380_013904-T1, DBVPG4380_008854-T1	DBVPG3775_000354-T1, DBVPG3775_001448-T1, DBVPG3775_001799-T1, DBVPG3775_002128-T1, DBVPG3775_004678-T1, DBVPG3775_005370-T1, DBVPG3775_006267-T1, DBVPG3775_006624-T1
GF00000017	DBVPG4380_001618-T1, DBVPG4380_003598-T1, DBVPG4380_003794-T1, DBVPG4380_002495-T1, DBVPG4380_004733-T1, DBVPG4380_002067-T1, DBVPG4380_009167-T1, DBVPG4380_002360-T1, DBVPG4380_007480-T1, DBVPG4380_012244-T1, DBVPG4380_005423-T1, DBVPG4380_005422-T1, DBVPG4380_013816-T1, DBVPG4380_012368-T1, DBVPG4380_003882-T1, DBVPG4380_009917-T1, DBVPG4380_013307-T1, DBVPG4380_002967-T1, DBVPG4380_014933-T1, DBVPG4380_008184-T1	DBVPG3775_000073-T1, DBVPG3775_000646-T1, DBVPG3775_002010-T1, DBVPG3775_003512-T1, DBVPG3775_004564-T1, DBVPG3775_005564-T1, DBVPG3775_006246-T1, DBVPG3775_007111-T1
GF00000018	DBVPG4380_000461-T1, DBVPG4380_004222-T1, DBVPG4380_008596-T1, DBVPG4380_004462-T1, DBVPG4380_002849-T1, DBVPG4380_011917-T1, DBVPG4380_001141-T1, DBVPG4380_003317-T1, DBVPG4380_009138-T1, DBVPG4380_004463-T1, DBVPG4380_001686-T1, DBVPG4380_000475-T1, DBVPG4380_013060-T1, DBVPG4380_001526-T1, DBVPG4380_008597-T1, DBVPG4380_006374-T1, DBVPG4380_002515-T1	DBVPG3775_004369-T1, DBVPG3775_005788-T1, DBVPG3775_006461-T1, DBVPG3775_006604-T1, DBVPG3775_006605-T1, DBVPG3775_006798-T1, DBVPG3775_007217-T1, DBVPG3775_007366-T1, DBVPG3775_007367-T1, DBVPG3775_007368-T1
GF00000019	DBVPG4380_011781-T1, DBVPG4380_009304-T1, DBVPG4380_008671-T1, DBVPG4380_000585-T1, DBVPG4380_000590-T1, DBVPG4380_000589-T1, DBVPG4380_010671-T1, DBVPG4380_000958-T1, DBVPG4380_014930-T1, DBVPG4380_001524-T1, DBVPG4380_001242-T1, DBVPG4380_011709-T1, DBVPG4380_003361-T1, DBVPG4380_009758-T1, DBVPG4380_009123-T1, DBVPG4380_001279-T1, DBVPG4380_001280-T1, DBVPG4380_001523-T1, DBVPG4380_011425-T1, DBVPG4380_013953-T1, DBVPG4380_015279-T1, DBVPG4380_016065-T1	DBVPG3775_002812-T1, DBVPG3775_003096-T1, DBVPG3775_004329-T1, DBVPG3775_004630-T1, DBVPG3775_007584-T1
GF00000020	DBVPG4380_007832-T1, DBVPG4380_008496-T1, DBVPG4380_011096-T1, DBVPG4380_001122-T1, DBVPG4380_004002-T1, DBVPG4380_014180-T1, DBVPG4380_001982-T1, DBVPG4380_002819-T1, DBVPG4380_008943-T1, DBVPG4380_008811-T1, DBVPG4380_002137-T1, DBVPG4380_002776-T1, DBVPG4380_004854-T1, DBVPG4380_004909-T1, DBVPG4380_001878-T1, DBVPG4380_005548-T1, DBVPG4380_007354-T1	DBVPG3775_000780-T1, DBVPG3775_001312-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_003365-T1, DBVPG3775_004148-T1, DBVPG3775_004951-T1, DBVPG3775_005480-T1, DBVPG3775_005529-T1, DBVPG3775_006815-T1
GF00000021	DBVPG4380_001677-T1, DBVPG4380_002707-T1, DBVPG4380_002895-T1, DBVPG4380_013880-T1, DBVPG4380_010652-T1, DBVPG4380_015426-T1, DBVPG4380_009817-T1, DBVPG4380_011860-T1, DBVPG4380_014867-T1, DBVPG4380_011280-T1, DBVPG4380_014794-T1, DBVPG4380_008589-T1, DBVPG4380_007566-T1, DBVPG4380_008572-T1, DBVPG4380_011721-T1, DBVPG4380_008262-T1, DBVPG4380_008859-T1, DBVPG4380_015767-T1, DBVPG4380_009902-T1, DBVPG4380_015145-T1, DBVPG4380_015507-T1	DBVPG3775_000636-T1, DBVPG3775_001471-T1, DBVPG3775_003107-T1, DBVPG3775_003326-T1, DBVPG3775_005872-T1, DBVPG3775_007096-T1
GF00000022	DBVPG4380_000186-T1, DBVPG4380_004639-T1, DBVPG4380_003198-T1, DBVPG4380_004769-T1, DBVPG4380_000318-T1, DBVPG4380_012656-T1, DBVPG4380_015728-T1, DBVPG4380_008066-T1, DBVPG4380_008054-T1, DBVPG4380_006835-T1, DBVPG4380_003199-T1, DBVPG4380_005289-T1, DBVPG4380_012411-T1, DBVPG4380_001130-T1, DBVPG4380_010944-T1, DBVPG4380_008067-T1	DBVPG3775_000990-T1, DBVPG3775_000991-T1, DBVPG3775_001797-T1, DBVPG3775_001798-T1, DBVPG3775_005455-T1, DBVPG3775_005693-T1, DBVPG3775_005995-T1, DBVPG3775_005996-T1, DBVPG3775_006335-T1
GF00000023	DBVPG4380_000374-T1, DBVPG4380_009231-T1, DBVPG4380_005375-T1, DBVPG4380_005374-T1, DBVPG4380_003126-T1, DBVPG4380_012701-T1, DBVPG4380_009232-T1, DBVPG4380_016320-T1, DBVPG4380_002270-T1, DBVPG4380_006452-T1, DBVPG4380_002271-T1, DBVPG4380_006038-T1, DBVPG4380_009939-T1, DBVPG4380_009940-T1, DBVPG4380_009230-T1, DBVPG4380_011292-T1	DBVPG3775_000975-T1, DBVPG3775_000976-T1, DBVPG3775_000977-T1, DBVPG3775_000978-T1, DBVPG3775_001426-T1, DBVPG3775_001427-T1, DBVPG3775_002210-T1, DBVPG3775_002618-T1, DBVPG3775_007152-T1
GF00000024	DBVPG4380_000465-T1, DBVPG4380_003987-T1, DBVPG4380_003594-T1, DBVPG4380_006765-T1, DBVPG4380_012512-T1, DBVPG4380_008061-T1, DBVPG4380_012402-T1, DBVPG4380_015420-T1, DBVPG4380_013708-T1, DBVPG4380_016328-T1, DBVPG4380_012385-T1, DBVPG4380_006414-T1, DBVPG4380_013709-T1, DBVPG4380_008256-T1, DBVPG4380_011587-T1, DBVPG4380_014910-T1, DBVPG4380_014510-T1	DBVPG3775_002446-T1, DBVPG3775_004107-T1, DBVPG3775_004108-T1, DBVPG3775_004163-T1, DBVPG3775_005417-T1, DBVPG3775_007352-T1
GF00000025	DBVPG4380_010434-T1, DBVPG4380_001160-T1, DBVPG4380_010285-T1, DBVPG4380_007064-T1, DBVPG4380_013994-T1, DBVPG4380_010375-T1, DBVPG4380_010177-T1, DBVPG4380_009660-T1, DBVPG4380_011018-T1, DBVPG4380_011870-T1, DBVPG4380_007899-T1, DBVPG4380_012589-T1, DBVPG4380_011049-T1, DBVPG4380_014431-T1, DBVPG4380_015052-T1, DBVPG4380_014142-T1, DBVPG4380_007961-T1	DBVPG3775_000993-T1, DBVPG3775_001502-T1, DBVPG3775_001586-T1, DBVPG3775_001616-T1, DBVPG3775_006953-T1
GF00000026	DBVPG4380_000749-T1, DBVPG4380_000987-T1, DBVPG4380_010679-T1, DBVPG4380_002980-T1, DBVPG4380_002816-T1, DBVPG4380_007802-T1, DBVPG4380_006439-T1, DBVPG4380_003320-T1, DBVPG4380_004199-T1, DBVPG4380_014031-T1, DBVPG4380_007498-T1, DBVPG4380_004520-T1, DBVPG4380_011853-T1, DBVPG4380_014985-T1	DBVPG3775_001464-T1, DBVPG3775_001893-T1, DBVPG3775_002118-T1, DBVPG3775_002468-T1, DBVPG3775_003247-T1, DBVPG3775_004801-T1, DBVPG3775_006805-T1, DBVPG3775_007221-T1
GF00000027	DBVPG4380_000527-T1, DBVPG4380_002085-T1, DBVPG4380_013360-T1, DBVPG4380_002084-T1, DBVPG4380_013705-T1, DBVPG4380_001254-T1, DBVPG4380_001591-T1, DBVPG4380_009439-T1, DBVPG4380_001292-T1, DBVPG4380_009438-T1, DBVPG4380_009889-T1, DBVPG4380_011176-T1, DBVPG4380_003497-T1, DBVPG4380_003003-T1	DBVPG3775_001234-T1, DBVPG3775_005321-T1, DBVPG3775_005595-T1, DBVPG3775_006563-T1, DBVPG3775_007033-T1, DBVPG3775_007034-T1, DBVPG3775_007200-T1
GF00000028	DBVPG4380_001710-T1, DBVPG4380_002328-T1, DBVPG4380_003006-T1, DBVPG4380_003005-T1, DBVPG4380_002332-T1, DBVPG4380_001713-T1, DBVPG4380_001714-T1, DBVPG4380_009890-T1, DBVPG4380_004925-T1, DBVPG4380_001719-T1, DBVPG4380_001718-T1, DBVPG4380_003428-T1, DBVPG4380_004175-T1	DBVPG3775_005490-T1, DBVPG3775_005576-T1, DBVPG3775_005577-T1, DBVPG3775_005578-T1, DBVPG3775_005583-T1, DBVPG3775_005587-T1, DBVPG3775_005598-T1, DBVPG3775_005599-T1
GF00000029	DBVPG4380_002140-T1, DBVPG4380_011732-T1, DBVPG4380_007683-T1, DBVPG4380_003630-T1, DBVPG4380_009708-T1, DBVPG4380_012988-T1, DBVPG4380_004529-T1, DBVPG4380_011494-T1, DBVPG4380_012325-T1, DBVPG4380_007620-T1, DBVPG4380_004366-T1, DBVPG4380_015796-T1, DBVPG4380_015269-T1, DBVPG4380_012055-T1, DBVPG4380_015011-T1	DBVPG3775_000716-T1, DBVPG3775_000776-T1, DBVPG3775_000777-T1, DBVPG3775_002859-T1, DBVPG3775_003489-T1, DBVPG3775_004002-T1
GF00000030	DBVPG4380_003653-T1, DBVPG4380_007936-T1, DBVPG4380_008464-T1, DBVPG4380_006329-T1, DBVPG4380_008466-T1, DBVPG4380_010898-T1, DBVPG4380_007935-T1, DBVPG4380_003654-T1, DBVPG4380_009849-T1, DBVPG4380_007236-T1, DBVPG4380_006355-T1, DBVPG4380_011915-T1, DBVPG4380_011617-T1	DBVPG3775_000357-T1, DBVPG3775_002000-T1, DBVPG3775_002002-T1, DBVPG3775_002382-T1, DBVPG3775_006698-T1, DBVPG3775_006699-T1, DBVPG3775_006700-T1, DBVPG3775_006701-T1
GF00000031	DBVPG4380_010004-T1, DBVPG4380_004839-T1, DBVPG4380_002039-T1, DBVPG4380_010205-T1, DBVPG4380_015233-T1, DBVPG4380_013098-T1, DBVPG4380_007217-T1, DBVPG4380_009670-T1, DBVPG4380_008772-T1, DBVPG4380_013578-T1, DBVPG4380_003782-T1, DBVPG4380_014103-T1, DBVPG4380_015208-T1	DBVPG3775_000298-T1, DBVPG3775_000564-T1, DBVPG3775_002898-T1, DBVPG3775_002899-T1, DBVPG3775_004139-T1, DBVPG3775_004293-T1, DBVPG3775_005085-T1
GF00000032	DBVPG4380_001420-T1, DBVPG4380_005319-T1, DBVPG4380_006288-T1, DBVPG4380_015415-T1, DBVPG4380_006427-T1, DBVPG4380_010649-T1, DBVPG4380_010942-T1, DBVPG4380_003961-T1, DBVPG4380_010705-T1, DBVPG4380_010360-T1, DBVPG4380_006907-T1, DBVPG4380_006700-T1, DBVPG4380_011158-T1, DBVPG4380_007847-T1	DBVPG3775_000049-T1, DBVPG3775_000502-T1, DBVPG3775_001000-T1, DBVPG3775_002083-T1, DBVPG3775_006221-T1, DBVPG3775_006836-T1
