	Rhodotorula_mucilaginosa_TFCN_54D-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000205	TFCN54D1_003717-T1	DBVPG3775_000650-T1
GF00000206	TFCN54D1_009334-T1	DBVPG3775_006454-T1
GF00000207	TFCN54D1_004229-T1	DBVPG3775_001830-T1
GF00000208	TFCN54D1_004580-T1	DBVPG3775_001452-T1
GF00000209	TFCN54D1_008355-T1	DBVPG3775_004722-T1
GF00000210	TFCN54D1_009192-T1	DBVPG3775_001991-T1
GF00000211	TFCN54D1_011131-T1	DBVPG3775_007241-T1
GF00000212	TFCN54D1_012469-T1	DBVPG3775_002840-T1
GF00000213	TFCN54D1_007241-T1	DBVPG3775_001549-T1
GF00000214	TFCN54D1_009389-T1	DBVPG3775_001607-T1
GF00000215	TFCN54D1_007064-T1	DBVPG3775_006611-T1
GF00000216	TFCN54D1_007290-T1	DBVPG3775_004754-T1
GF00000217	TFCN54D1_011367-T1	DBVPG3775_004721-T1
GF00000218	TFCN54D1_012804-T1	DBVPG3775_007561-T1
GF00000219	TFCN54D1_000192-T1	DBVPG3775_003072-T1
GF00000220	TFCN54D1_000215-T1	DBVPG3775_003066-T1
GF00000221	TFCN54D1_008414-T1	DBVPG3775_004299-T1
GF00000222	TFCN54D1_002887-T1	DBVPG3775_003902-T1
GF00000223	TFCN54D1_007398-T1	DBVPG3775_007354-T1
GF00000224	TFCN54D1_005755-T1	DBVPG3775_000085-T1
GF00000225	TFCN54D1_007207-T1	DBVPG3775_003596-T1
GF00000226	TFCN54D1_005101-T1	DBVPG3775_005531-T1
GF00000227	TFCN54D1_000524-T1	DBVPG3775_000249-T1
GF00000228	TFCN54D1_003534-T1	DBVPG3775_000258-T1
GF00000229	TFCN54D1_009586-T1	DBVPG3775_004306-T1
GF00000230	TFCN54D1_004291-T1	DBVPG3775_001728-T1
GF00000231	TFCN54D1_001668-T1	DBVPG3775_001191-T1
GF00000232	TFCN54D1_005302-T1	DBVPG3775_006039-T1
GF00000233	TFCN54D1_004719-T1	DBVPG3775_004424-T1
GF00000234	TFCN54D1_009557-T1	DBVPG3775_006121-T1
GF00000235	TFCN54D1_010370-T1	DBVPG3775_002337-T1
GF00000236	TFCN54D1_005435-T1	DBVPG3775_004515-T1
GF00000237	TFCN54D1_011795-T1	DBVPG3775_004632-T1
GF00000238	TFCN54D1_006077-T1	DBVPG3775_002822-T1
GF00000239	TFCN54D1_001346-T1	DBVPG3775_000775-T1
GF00000240	TFCN54D1_002132-T1	DBVPG3775_000757-T1
GF00000241	TFCN54D1_004931-T1	DBVPG3775_004968-T1
GF00000242	TFCN54D1_004053-T1	DBVPG3775_003677-T1
GF00000243	TFCN54D1_008807-T1	DBVPG3775_006501-T1
GF00000244	TFCN54D1_004690-T1	DBVPG3775_007063-T1
GF00000245	TFCN54D1_008763-T1	DBVPG3775_005970-T1
GF00000246	TFCN54D1_001538-T1	DBVPG3775_003726-T1
GF00000247	TFCN54D1_005970-T1	DBVPG3775_001993-T1
GF00000248	TFCN54D1_009513-T1	DBVPG3775_007135-T1
GF00000249	TFCN54D1_001852-T1	DBVPG3775_001047-T1
GF00000250	TFCN54D1_001854-T1	DBVPG3775_001045-T1
GF00000251	TFCN54D1_007312-T1	DBVPG3775_004787-T1
GF00000252	TFCN54D1_002590-T1	DBVPG3775_002280-T1
GF00000253	TFCN54D1_002603-T1	DBVPG3775_002266-T1
GF00000254	TFCN54D1_010264-T1	DBVPG3775_006673-T1
GF00000255	TFCN54D1_009708-T1	DBVPG3775_003537-T1
GF00000256	TFCN54D1_011985-T1	DBVPG3775_003504-T1
GF00000257	TFCN54D1_010287-T1	DBVPG3775_005310-T1
GF00000258	TFCN54D1_002413-T1	DBVPG3775_005322-T1
GF00000259	TFCN54D1_009387-T1	DBVPG3775_006924-T1
GF00000260	TFCN54D1_012718-T1	DBVPG3775_001760-T1
GF00000261	TFCN54D1_008523-T1	DBVPG3775_003865-T1
GF00000262	TFCN54D1_002880-T1	DBVPG3775_003895-T1
GF00000263	TFCN54D1_003950-T1	DBVPG3775_001800-T1
GF00000264	TFCN54D1_011359-T1	DBVPG3775_004828-T1
GF00000265	TFCN54D1_008626-T1	DBVPG3775_004659-T1
GF00000266	TFCN54D1_011305-T1	DBVPG3775_000966-T1
GF00000267	TFCN54D1_003259-T1	DBVPG3775_003407-T1
GF00000268	TFCN54D1_005547-T1	DBVPG3775_006176-T1
GF00000269	TFCN54D1_005246-T1	DBVPG3775_001743-T1
GF00000270	TFCN54D1_003350-T1	DBVPG3775_005668-T1
GF00000271	TFCN54D1_008770-T1	DBVPG3775_006459-T1
GF00000272	TFCN54D1_008642-T1	DBVPG3775_004681-T1
GF00000273	TFCN54D1_009186-T1	DBVPG3775_002610-T1
GF00000274	TFCN54D1_011577-T1	DBVPG3775_007547-T1
GF00000275	TFCN54D1_004030-T1	DBVPG3775_006338-T1
GF00000276	TFCN54D1_007642-T1	DBVPG3775_002736-T1
GF00000277	TFCN54D1_010846-T1	DBVPG3775_007208-T1
GF00000278	TFCN54D1_010712-T1	DBVPG3775_006363-T1
GF00000279	TFCN54D1_010251-T1	DBVPG3775_003236-T1
GF00000280	TFCN54D1_009639-T1	DBVPG3775_003358-T1
GF00000281	TFCN54D1_004849-T1	DBVPG3775_003203-T1
GF00000282	TFCN54D1_011760-T1	DBVPG3775_003218-T1
GF00000283	TFCN54D1_011709-T1	DBVPG3775_005534-T1
GF00000284	TFCN54D1_007425-T1	DBVPG3775_005533-T1
GF00000285	TFCN54D1_005156-T1	DBVPG3775_005472-T1
GF00000286	TFCN54D1_006993-T1	DBVPG3775_007378-T1
GF00000287	TFCN54D1_007635-T1	DBVPG3775_002745-T1
GF00000288	TFCN54D1_009605-T1	DBVPG3775_007225-T1
GF00000289	TFCN54D1_011005-T1	DBVPG3775_002523-T1
GF00000290	TFCN54D1_008345-T1	DBVPG3775_004735-T1
GF00000291	TFCN54D1_010602-T1	DBVPG3775_004738-T1
GF00000292	TFCN54D1_010706-T1	DBVPG3775_006371-T1
GF00000293	TFCN54D1_012580-T1	DBVPG3775_006278-T1
GF00000294	TFCN54D1_000013-T1	DBVPG3775_006263-T1
GF00000295	TFCN54D1_005857-T1	DBVPG3775_006939-T1
GF00000296	TFCN54D1_003782-T1	DBVPG3775_006418-T1
GF00000297	TFCN54D1_007104-T1	DBVPG3775_005938-T1
GF00000298	TFCN54D1_000095-T1	DBVPG3775_003179-T1
GF00000299	TFCN54D1_001103-T1	DBVPG3775_003134-T1
GF00000300	TFCN54D1_003374-T1	DBVPG3775_005572-T1
GF00000301	TFCN54D1_000187-T1	DBVPG3775_003077-T1
GF00000302	TFCN54D1_010125-T1	DBVPG3775_002585-T1
GF00000303	TFCN54D1_004752-T1	DBVPG3775_004461-T1
GF00000304	TFCN54D1_000441-T1	DBVPG3775_000144-T1
GF00000305	TFCN54D1_007007-T1	DBVPG3775_000179-T1
GF00000306	TFCN54D1_000541-T1	DBVPG3775_000268-T1
GF00000307	TFCN54D1_000601-T1	DBVPG3775_004344-T1
GF00000308	TFCN54D1_000649-T1	DBVPG3775_004067-T1
GF00000309	TFCN54D1_000733-T1	DBVPG3775_005145-T1
GF00000310	TFCN54D1_000732-T1	DBVPG3775_002196-T1
GF00000311	TFCN54D1_001987-T1	DBVPG3775_002301-T1
GF00000312	TFCN54D1_000855-T1	DBVPG3775_001105-T1
GF00000313	TFCN54D1_001603-T1	DBVPG3775_001117-T1
GF00000314	TFCN54D1_005989-T1	DBVPG3775_002882-T1
GF00000315	TFCN54D1_004459-T1	DBVPG3775_002006-T1
GF00000316	TFCN54D1_011374-T1	DBVPG3775_004808-T1
GF00000317	TFCN54D1_006382-T1	DBVPG3775_000759-T1
GF00000318	TFCN54D1_008915-T1	DBVPG3775_002917-T1
GF00000319	TFCN54D1_001087-T1	DBVPG3775_002925-T1
GF00000320	TFCN54D1_001144-T1	DBVPG3775_002996-T1
GF00000321	TFCN54D1_010101-T1	DBVPG3775_003965-T1
GF00000322	TFCN54D1_002957-T1	DBVPG3775_007162-T1
GF00000323	TFCN54D1_004142-T1	DBVPG3775_000818-T1
GF00000324	TFCN54D1_001340-T1	DBVPG3775_002405-T1
GF00000325	TFCN54D1_001402-T1	DBVPG3775_002479-T1
GF00000326	TFCN54D1_001438-T1	DBVPG3775_004973-T1
GF00000327	TFCN54D1_005719-T1	DBVPG3775_005638-T1
GF00000328	TFCN54D1_006375-T1	DBVPG3775_003789-T1
GF00000329	TFCN54D1_002097-T1	DBVPG3775_002180-T1
GF00000330	TFCN54D1_002691-T1	DBVPG3775_002159-T1
GF00000331	TFCN54D1_009694-T1	DBVPG3775_006548-T1
GF00000332	TFCN54D1_011635-T1	DBVPG3775_007059-T1
GF00000333	TFCN54D1_008704-T1	DBVPG3775_004402-T1
GF00000334	TFCN54D1_008683-T1	DBVPG3775_004376-T1
GF00000335	TFCN54D1_006177-T1	DBVPG3775_005202-T1
GF00000336	TFCN54D1_007511-T1	DBVPG3775_004672-T1
GF00000337	TFCN54D1_003359-T1	DBVPG3775_005555-T1
GF00000338	TFCN54D1_008498-T1	DBVPG3775_000345-T1
GF00000339	TFCN54D1_003760-T1	DBVPG3775_000695-T1
GF00000340	TFCN54D1_007630-T1	DBVPG3775_002751-T1
GF00000341	TFCN54D1_005407-T1	DBVPG3775_003646-T1
GF00000342	TFCN54D1_005335-T1	DBVPG3775_006737-T1
GF00000343	TFCN54D1_009136-T1	DBVPG3775_003282-T1
GF00000344	TFCN54D1_004856-T1	DBVPG3775_003215-T1
GF00000345	TFCN54D1_004878-T1	DBVPG3775_003187-T1
GF00000346	TFCN54D1_010821-T1	DBVPG3775_005383-T1
GF00000347	TFCN54D1_006033-T1	DBVPG3775_001923-T1
GF00000348	TFCN54D1_007089-T1	DBVPG3775_007522-T1
GF00000349	TFCN54D1_007628-T1	DBVPG3775_002756-T1
GF00000350	TFCN54D1_006617-T1	DBVPG3775_002683-T1
GF00000351	TFCN54D1_012195-T1	DBVPG3775_006621-T1
GF00000352	TFCN54D1_012103-T1	DBVPG3775_005900-T1
GF00000353	TFCN54D1_009199-T1	DBVPG3775_002624-T1
GF00000354	TFCN54D1_007158-T1	DBVPG3775_005876-T1
GF00000355	TFCN54D1_007632-T1	DBVPG3775_002749-T1
GF00000356	TFCN54D1_008519-T1	DBVPG3775_006896-T1
GF00000357	TFCN54D1_009056-T1	DBVPG3775_000733-T1
GF00000358	TFCN54D1_012563-T1	DBVPG3775_003436-T1
GF00000359	TFCN54D1_005815-T1	DBVPG3775_006269-T1
GF00000360	TFCN54D1_005828-T1	DBVPG3775_006253-T1
GF00000361	TFCN54D1_005825-T1	DBVPG3775_006257-T1
GF00000362	TFCN54D1_000223-T1	DBVPG3775_005054-T1
GF00000363	TFCN54D1_000047-T1	DBVPG3775_006947-T1
GF00000364	TFCN54D1_009437-T1	DBVPG3775_002621-T1
GF00000365	TFCN54D1_011583-T1	DBVPG3775_006965-T1
GF00000366	TFCN54D1_000062-T1	DBVPG3775_006968-T1
GF00000367	TFCN54D1_012893-T1	DBVPG3775_006643-T1
GF00000368	TFCN54D1_010012-T1	DBVPG3775_005969-T1
GF00000369	TFCN54D1_002527-T1	DBVPG3775_004409-T1
GF00000370	TFCN54D1_008131-T1	DBVPG3775_001413-T1
GF00000371	TFCN54D1_000116-T1	DBVPG3775_003156-T1
GF00000372	TFCN54D1_002299-T1	DBVPG3775_000527-T1
GF00000373	TFCN54D1_000162-T1	DBVPG3775_003104-T1
GF00000374	TFCN54D1_001154-T1	DBVPG3775_003007-T1
GF00000375	TFCN54D1_001219-T1	DBVPG3775_006582-T1
GF00000376	TFCN54D1_006010-T1	DBVPG3775_001949-T1
GF00000377	TFCN54D1_006333-T1	DBVPG3775_003081-T1
GF00000378	TFCN54D1_000198-T1	DBVPG3775_003065-T1
GF00000379	TFCN54D1_006079-T1	DBVPG3775_005544-T1
GF00000380	TFCN54D1_003072-T1	DBVPG3775_005238-T1
GF00000381	TFCN54D1_000803-T1	DBVPG3775_005065-T1
GF00000382	TFCN54D1_003768-T1	DBVPG3775_000703-T1
GF00000383	TFCN54D1_000247-T1	DBVPG3775_005084-T1
GF00000384	TFCN54D1_000758-T1	DBVPG3775_000263-T1
GF00000385	TFCN54D1_000280-T1	DBVPG3775_005122-T1
GF00000386	TFCN54D1_000287-T1	DBVPG3775_005129-T1
GF00000387	TFCN54D1_000319-T1	DBVPG3775_000003-T1
GF00000388	TFCN54D1_000324-T1	DBVPG3775_000155-T1
GF00000389	TFCN54D1_009821-T1	DBVPG3775_002031-T1
GF00000390	TFCN54D1_005803-T1	DBVPG3775_000028-T1
GF00000391	TFCN54D1_003371-T1	DBVPG3775_005626-T1
GF00000392	TFCN54D1_000385-T1	DBVPG3775_002024-T1
GF00000393	TFCN54D1_003997-T1	DBVPG3775_003612-T1
GF00000394	TFCN54D1_000397-T1	DBVPG3775_000094-T1
GF00000395	TFCN54D1_000405-T1	DBVPG3775_000105-T1
GF00000396	TFCN54D1_009247-T1	DBVPG3775_000109-T1
GF00000397	TFCN54D1_004005-T1	DBVPG3775_003621-T1
GF00000398	TFCN54D1_005636-T1	DBVPG3775_000120-T1
GF00000399	TFCN54D1_007809-T1	DBVPG3775_004254-T1
GF00000400	TFCN54D1_010485-T1	DBVPG3775_000395-T1
GF00000401	TFCN54D1_005187-T1	DBVPG3775_006809-T1
GF00000402	TFCN54D1_001716-T1	DBVPG3775_001241-T1
GF00000403	TFCN54D1_003535-T1	DBVPG3775_000257-T1
GF00000404	TFCN54D1_000553-T1	DBVPG3775_000282-T1
GF00000405	TFCN54D1_003508-T1	DBVPG3775_000288-T1
GF00000406	TFCN54D1_000564-T1	DBVPG3775_000296-T1
GF00000407	TFCN54D1_000573-T1	DBVPG3775_004311-T1
GF00000408	TFCN54D1_009411-T1	DBVPG3775_001584-T1
