	Rhodotorula_mucilaginosa_TFCN_152A-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000205	TFCN152A1_007349-T1	DBVPG3775_004681-T1
GF00000206	TFCN152A1_007686-T1	DBVPG3775_002291-T1
GF00000207	TFCN152A1_009816-T1	DBVPG3775_000632-T1
GF00000208	TFCN152A1_010876-T1	DBVPG3775_007241-T1
GF00000209	TFCN152A1_011650-T1	DBVPG3775_003229-T1
GF00000210	TFCN152A1_011993-T1	DBVPG3775_001832-T1
GF00000211	TFCN152A1_010979-T1	DBVPG3775_006133-T1
GF00000212	TFCN152A1_005779-T1	DBVPG3775_006611-T1
GF00000213	TFCN152A1_009482-T1	DBVPG3775_001529-T1
GF00000214	TFCN152A1_009932-T1	DBVPG3775_003255-T1
GF00000215	TFCN152A1_010018-T1	DBVPG3775_004253-T1
GF00000216	TFCN152A1_008028-T1	DBVPG3775_003051-T1
GF00000217	TFCN152A1_001499-T1	DBVPG3775_003066-T1
GF00000218	TFCN152A1_001475-T1	DBVPG3775_003072-T1
GF00000219	TFCN152A1_000097-T1	DBVPG3775_002196-T1
GF00000220	TFCN152A1_007498-T1	DBVPG3775_005987-T1
GF00000221	TFCN152A1_000292-T1	DBVPG3775_004275-T1
GF00000222	TFCN152A1_000301-T1	DBVPG3775_001081-T1
GF00000223	TFCN152A1_004653-T1	DBVPG3775_002532-T1
GF00000224	TFCN152A1_000332-T1	DBVPG3775_005847-T1
GF00000225	TFCN152A1_000340-T1	DBVPG3775_006076-T1
GF00000226	TFCN152A1_000341-T1	DBVPG3775_000953-T1
GF00000227	TFCN152A1_003701-T1	DBVPG3775_005023-T1
GF00000228	TFCN152A1_007483-T1	DBVPG3775_005970-T1
GF00000229	TFCN152A1_000595-T1	DBVPG3775_003726-T1
GF00000230	TFCN152A1_009543-T1	DBVPG3775_006686-T1
GF00000231	TFCN152A1_008700-T1	DBVPG3775_004118-T1
GF00000232	TFCN152A1_007788-T1	DBVPG3775_000475-T1
GF00000233	TFCN152A1_004043-T1	DBVPG3775_001045-T1
GF00000234	TFCN152A1_007019-T1	DBVPG3775_001056-T1
GF00000235	TFCN152A1_007841-T1	DBVPG3775_003537-T1
GF00000236	TFCN152A1_007827-T1	DBVPG3775_006548-T1
GF00000237	TFCN152A1_012440-T1	DBVPG3775_007427-T1
GF00000238	TFCN152A1_009946-T1	DBVPG3775_003466-T1
GF00000239	TFCN152A1_008636-T1	DBVPG3775_003841-T1
GF00000240	TFCN152A1_003213-T1	DBVPG3775_003677-T1
GF00000241	TFCN152A1_001280-T1	DBVPG3775_000757-T1
GF00000242	TFCN152A1_005103-T1	DBVPG3775_002822-T1
GF00000243	TFCN152A1_002185-T1	DBVPG3775_003007-T1
GF00000244	TFCN152A1_008881-T1	DBVPG3775_005938-T1
GF00000245	TFCN152A1_002749-T1	DBVPG3775_006965-T1
GF00000246	TFCN152A1_011296-T1	DBVPG3775_000562-T1
GF00000247	TFCN152A1_003439-T1	DBVPG3775_004461-T1
GF00000248	TFCN152A1_003389-T1	DBVPG3775_003302-T1
GF00000249	TFCN152A1_007625-T1	DBVPG3775_006501-T1
GF00000250	TFCN152A1_009255-T1	DBVPG3775_004376-T1
GF00000251	TFCN152A1_007978-T1	DBVPG3775_001380-T1
GF00000252	TFCN152A1_011910-T1	DBVPG3775_001743-T1
GF00000253	TFCN152A1_006232-T1	DBVPG3775_007547-T1
GF00000254	TFCN152A1_002918-T1	DBVPG3775_001718-T1
GF00000255	TFCN152A1_006584-T1	DBVPG3775_001719-T1
GF00000256	TFCN152A1_003027-T1	DBVPG3775_000268-T1
GF00000257	TFCN152A1_006296-T1	DBVPG3775_002736-T1
GF00000258	TFCN152A1_008996-T1	DBVPG3775_003422-T1
GF00000259	TFCN152A1_011059-T1	DBVPG3775_000966-T1
GF00000260	TFCN152A1_008572-T1	DBVPG3775_003407-T1
GF00000261	TFCN152A1_003984-T1	DBVPG3775_006176-T1
GF00000262	TFCN152A1_011662-T1	DBVPG3775_007208-T1
GF00000263	TFCN152A1_007366-T1	DBVPG3775_004659-T1
GF00000264	TFCN152A1_011529-T1	DBVPG3775_007167-T1
GF00000265	TFCN152A1_009316-T1	DBVPG3775_003865-T1
GF00000266	TFCN152A1_007709-T1	DBVPG3775_002266-T1
GF00000267	TFCN152A1_006462-T1	DBVPG3775_002838-T1
GF00000268	TFCN152A1_004361-T1	DBVPG3775_002690-T1
GF00000269	TFCN152A1_004954-T1	DBVPG3775_000591-T1
GF00000270	TFCN152A1_011595-T1	DBVPG3775_005534-T1
GF00000271	TFCN152A1_006402-T1	DBVPG3775_005533-T1
GF00000272	TFCN152A1_008134-T1	DBVPG3775_001991-T1
GF00000273	TFCN152A1_007696-T1	DBVPG3775_002280-T1
GF00000274	TFCN152A1_012693-T1	DBVPG3775_000695-T1
GF00000275	TFCN152A1_006881-T1	DBVPG3775_004735-T1
GF00000276	TFCN152A1_005708-T1	DBVPG3775_004738-T1
GF00000277	TFCN152A1_005904-T1	DBVPG3775_000571-T1
GF00000278	TFCN152A1_013100-T1	DBVPG3775_005876-T1
GF00000279	TFCN152A1_008128-T1	DBVPG3775_002624-T1
GF00000280	TFCN152A1_006304-T1	DBVPG3775_002745-T1
GF00000281	TFCN152A1_006512-T1	DBVPG3775_002523-T1
GF00000282	TFCN152A1_010683-T1	DBVPG3775_001549-T1
GF00000283	TFCN152A1_008066-T1	DBVPG3775_003282-T1
GF00000284	TFCN152A1_008139-T1	DBVPG3775_002610-T1
GF00000285	TFCN152A1_008792-T1	DBVPG3775_000730-T1
GF00000286	TFCN152A1_011968-T1	DBVPG3775_006749-T1
GF00000287	TFCN152A1_012649-T1	DBVPG3775_000703-T1
GF00000288	TFCN152A1_000095-T1	DBVPG3775_005145-T1
GF00000289	TFCN152A1_006777-T1	DBVPG3775_007318-T1
GF00000290	TFCN152A1_000273-T1	
GF00000291	TFCN152A1_000321-T1	DBVPG3775_001105-T1
GF00000292	TFCN152A1_009476-T1	DBVPG3775_003315-T1
GF00000293	TFCN152A1_000394-T1	DBVPG3775_001191-T1
GF00000294	TFCN152A1_005257-T1	DBVPG3775_002006-T1
GF00000295	TFCN152A1_003754-T1	DBVPG3775_004960-T1
GF00000296	TFCN152A1_012516-T1	DBVPG3775_002869-T1
GF00000297	TFCN152A1_000577-T1	DBVPG3775_005791-T1
GF00000298	TFCN152A1_010449-T1	DBVPG3775_003709-T1
GF00000299	TFCN152A1_000614-T1	DBVPG3775_003746-T1
GF00000300	TFCN152A1_004734-T1	DBVPG3775_000759-T1
GF00000301	TFCN152A1_004741-T1	DBVPG3775_003789-T1
GF00000302	TFCN152A1_006346-T1	DBVPG3775_001795-T1
GF00000303	TFCN152A1_000887-T1	DBVPG3775_007059-T1
GF00000304	TFCN152A1_007025-T1	DBVPG3775_001049-T1
GF00000305	TFCN152A1_007860-T1	DBVPG3775_005857-T1
GF00000306	TFCN152A1_001123-T1	DBVPG3775_003223-T1
GF00000307	TFCN152A1_006396-T1	DBVPG3775_003362-T1
GF00000308	TFCN152A1_012063-T1	DBVPG3775_000775-T1
GF00000309	TFCN152A1_002684-T1	DBVPG3775_002402-T1
GF00000310	TFCN152A1_001402-T1	DBVPG3775_003179-T1
GF00000311	TFCN152A1_012712-T1	DBVPG3775_006278-T1
GF00000312	TFCN152A1_001428-T1	DBVPG3775_006418-T1
GF00000313	TFCN152A1_006608-T1	DBVPG3775_006263-T1
GF00000314	TFCN152A1_011337-T1	DBVPG3775_000433-T1
GF00000315	TFCN152A1_012108-T1	DBVPG3775_002488-T1
GF00000316	TFCN152A1_004962-T1	DBVPG3775_007574-T1
GF00000317	TFCN152A1_008623-T1	DBVPG3775_004558-T1
GF00000318	TFCN152A1_001803-T1	DBVPG3775_000144-T1
GF00000319	TFCN152A1_001859-T1	DBVPG3775_005472-T1
GF00000320	TFCN152A1_001907-T1	DBVPG3775_005278-T1
GF00000321	TFCN152A1_009294-T1	DBVPG3775_003965-T1
GF00000322	TFCN152A1_009469-T1	DBVPG3775_003306-T1
GF00000323	TFCN152A1_006110-T1	DBVPG3775_001760-T1
GF00000324	TFCN152A1_011109-T1	DBVPG3775_004828-T1
GF00000325	TFCN152A1_007631-T1	DBVPG3775_002925-T1
GF00000326	TFCN152A1_011454-T1	DBVPG3775_002917-T1
GF00000327	TFCN152A1_011476-T1	DBVPG3775_000027-T1
GF00000328	TFCN152A1_002333-T1	DBVPG3775_005555-T1
GF00000329	TFCN152A1_010411-T1	DBVPG3775_000831-T1
GF00000330	TFCN152A1_003067-T1	DBVPG3775_003820-T1
GF00000331	TFCN152A1_010033-T1	DBVPG3775_004878-T1
GF00000332	TFCN152A1_007408-T1	DBVPG3775_003589-T1
GF00000333	TFCN152A1_010657-T1	DBVPG3775_003646-T1
GF00000334	TFCN152A1_006829-T1	DBVPG3775_004672-T1
GF00000335	TFCN152A1_005286-T1	DBVPG3775_004421-T1
GF00000336	TFCN152A1_003613-T1	DBVPG3775_000376-T1
GF00000337	TFCN152A1_005636-T1	DBVPG3775_002180-T1
GF00000338	TFCN152A1_008439-T1	DBVPG3775_002585-T1
GF00000339	TFCN152A1_005088-T1	DBVPG3775_002840-T1
GF00000340	TFCN152A1_010281-T1	DBVPG3775_005383-T1
GF00000341	TFCN152A1_005804-T1	DBVPG3775_007522-T1
GF00000342	TFCN152A1_006306-T1	DBVPG3775_002751-T1
GF00000343	TFCN152A1_006309-T1	DBVPG3775_002756-T1
GF00000344	TFCN152A1_004569-T1	DBVPG3775_003215-T1
GF00000345	TFCN152A1_004592-T1	DBVPG3775_003187-T1
GF00000346	TFCN152A1_004646-T1	DBVPG3775_003045-T1
GF00000347	TFCN152A1_004905-T1	DBVPG3775_000649-T1
GF00000348	TFCN152A1_011111-T1	DBVPG3775_002256-T1
GF00000349	TFCN152A1_006137-T1	DBVPG3775_005643-T1
GF00000350	TFCN152A1_007519-T1	DBVPG3775_006014-T1
GF00000351	TFCN152A1_006413-T1	DBVPG3775_003343-T1
GF00000352	TFCN152A1_006543-T1	DBVPG3775_006519-T1
GF00000353	TFCN152A1_006574-T1	DBVPG3775_006942-T1
GF00000354	TFCN152A1_007454-T1	DBVPG3775_004384-T1
GF00000355	TFCN152A1_008141-T1	DBVPG3775_002606-T1
GF00000356	TFCN152A1_012914-T1	DBVPG3775_006856-T1
GF00000357	TFCN152A1_010318-T1	DBVPG3775_000733-T1
GF00000358	TFCN152A1_012490-T1	DBVPG3775_006896-T1
GF00000359	TFCN152A1_010617-T1	DBVPG3775_004813-T1
GF00000360	TFCN152A1_013056-T1	DBVPG3775_007561-T1
GF00000361	TFCN152A1_000015-T1	DBVPG3775_005051-T1
GF00000362	TFCN152A1_001508-T1	DBVPG3775_005054-T1
GF00000363	TFCN152A1_000029-T1	DBVPG3775_005065-T1
GF00000364	TFCN152A1_000055-T1	DBVPG3775_005098-T1
GF00000365	TFCN152A1_000071-T1	DBVPG3775_000263-T1
GF00000366	TFCN152A1_001568-T1	DBVPG3775_005122-T1
GF00000367	TFCN152A1_001575-T1	DBVPG3775_005129-T1
GF00000368	TFCN152A1_007224-T1	DBVPG3775_003902-T1
GF00000369	TFCN152A1_008834-T1	DBVPG3775_003992-T1
GF00000370	TFCN152A1_000119-T1	DBVPG3775_003996-T1
GF00000371	TFCN152A1_000127-T1	DBVPG3775_004294-T1
GF00000372	TFCN152A1_000142-T1	DBVPG3775_004019-T1
GF00000373	TFCN152A1_009183-T1	DBVPG3775_005696-T1
GF00000374	TFCN152A1_000150-T1	DBVPG3775_004029-T1
GF00000375	TFCN152A1_006244-T1	DBVPG3775_007010-T1
GF00000376	TFCN152A1_005183-T1	DBVPG3775_002667-T1
GF00000377	TFCN152A1_000214-T1	DBVPG3775_005842-T1
GF00000378	TFCN152A1_008111-T1	DBVPG3775_003327-T1
GF00000379	TFCN152A1_012413-T1	DBVPG3775_001584-T1
GF00000380	TFCN152A1_000260-T1	DBVPG3775_004311-T1
GF00000381	TFCN152A1_001306-T1	DBVPG3775_000790-T1
GF00000382	TFCN152A1_006946-T1	DBVPG3775_004306-T1
GF00000383	TFCN152A1_010990-T1	DBVPG3775_006147-T1
GF00000384	TFCN152A1_008049-T1	DBVPG3775_000208-T1
GF00000385	TFCN152A1_008349-T1	DBVPG3775_005491-T1
GF00000386	TFCN152A1_002903-T1	DBVPG3775_001117-T1
GF00000387	TFCN152A1_007936-T1	DBVPG3775_005426-T1
GF00000388	TFCN152A1_000832-T1	DBVPG3775_001140-T1
GF00000389	TFCN152A1_005227-T1	DBVPG3775_001972-T1
GF00000390	TFCN152A1_012944-T1	DBVPG3775_004888-T1
GF00000391	TFCN152A1_011736-T1	DBVPG3775_007359-T1
GF00000392	TFCN152A1_005626-T1	DBVPG3775_002165-T1
GF00000393	TFCN152A1_000804-T1	DBVPG3775_001172-T1
GF00000394	TFCN152A1_008701-T1	DBVPG3775_004116-T1
GF00000395	TFCN152A1_000737-T1	DBVPG3775_001241-T1
GF00000396	TFCN152A1_000454-T1	DBVPG3775_001264-T1
GF00000397	TFCN152A1_002479-T1	DBVPG3775_006039-T1
GF00000398	TFCN152A1_000692-T1	DBVPG3775_001296-T1
GF00000399	TFCN152A1_001780-T1	DBVPG3775_000120-T1
GF00000400	TFCN152A1_000691-T1	DBVPG3775_001297-T1
GF00000401	TFCN152A1_003749-T1	DBVPG3775_004968-T1
GF00000402	TFCN152A1_000515-T1	DBVPG3775_005638-T1
GF00000403	TFCN152A1_002504-T1	DBVPG3775_007162-T1
GF00000404	TFCN152A1_003724-T1	DBVPG3775_004998-T1
GF00000405	TFCN152A1_010291-T1	DBVPG3775_005648-T1
GF00000406	TFCN152A1_003683-T1	DBVPG3775_002930-T1
GF00000407	TFCN152A1_000564-T1	DBVPG3775_003688-T1
GF00000408	TFCN152A1_012903-T1	DBVPG3775_002595-T1
