	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000283	TFCN404D1_001296-T1	DBVPG3775_007517-T1
GF00000284	TFCN404D1_014260-T1	DBVPG3775_001377-T1
GF00000285	TFCN404D1_002144-T1	DBVPG3775_001830-T1
GF00000286	TFCN404D1_009367-T1	DBVPG3775_006842-T1
GF00000287	TFCN404D1_002181-T1	DBVPG3775_000966-T1
GF00000288	TFCN404D1_001804-T1	DBVPG3775_001297-T1
GF00000289	TFCN404D1_010837-T1	DBVPG3775_005645-T1
GF00000290	TFCN404D1_001890-T1	DBVPG3775_001535-T1
GF00000291	TFCN404D1_010116-T1	DBVPG3775_005915-T1
GF00000292	TFCN404D1_002055-T1	DBVPG3775_002575-T1
GF00000293	TFCN404D1_010310-T1	DBVPG3775_003224-T1
GF00000294	TFCN404D1_004358-T1	DBVPG3775_004741-T1
GF00000295	TFCN404D1_003794-T1	DBVPG3775_006924-T1
GF00000296	TFCN404D1_014440-T1	DBVPG3775_002410-T1
GF00000297	TFCN404D1_013941-T1	DBVPG3775_003671-T1
GF00000298	TFCN404D1_002517-T1	DBVPG3775_003646-T1
GF00000299	TFCN404D1_007237-T1	DBVPG3775_002256-T1
GF00000300	TFCN404D1_002954-T1	DBVPG3775_004335-T1
GF00000301	TFCN404D1_003007-T1	DBVPG3775_000019-T1
GF00000302	TFCN404D1_005741-T1	DBVPG3775_002858-T1
GF00000303	TFCN404D1_003065-T1	DBVPG3775_003187-T1
GF00000304	TFCN404D1_003088-T1	DBVPG3775_003215-T1
GF00000305	TFCN404D1_005159-T1	DBVPG3775_005638-T1
GF00000306	TFCN404D1_008941-T1	DBVPG3775_006913-T1
GF00000307	TFCN404D1_006236-T1	DBVPG3775_005215-T1
GF00000308	TFCN404D1_012470-T1	DBVPG3775_005952-T1
GF00000309	TFCN404D1_006400-T1	DBVPG3775_006968-T1
GF00000310	TFCN404D1_007935-T1	DBVPG3775_005702-T1
GF00000311	TFCN404D1_014439-T1	DBVPG3775_000775-T1
GF00000312	TFCN404D1_007037-T1	DBVPG3775_002405-T1
GF00000313	TFCN404D1_004395-T1	DBVPG3775_001059-T1
GF00000314	TFCN404D1_004705-T1	DBVPG3775_005145-T1
GF00000315	TFCN404D1_014363-T1	DBVPG3775_005238-T1
GF00000316	TFCN404D1_008122-T1	DBVPG3775_004633-T1
GF00000317	TFCN404D1_012949-T1	DBVPG3775_007522-T1
GF00000318	TFCN404D1_007373-T1	DBVPG3775_000577-T1
GF00000319	TFCN404D1_014277-T1	DBVPG3775_002301-T1
GF00000320	TFCN404D1_014411-T1	DBVPG3775_000268-T1
GF00000321	TFCN404D1_006062-T1	DBVPG3775_000249-T1
GF00000322	TFCN404D1_013826-T1	DBVPG3775_000234-T1
GF00000323	TFCN404D1_006182-T1	DBVPG3775_002458-T1
GF00000324	TFCN404D1_011928-T1	DBVPG3775_000733-T1
GF00000325	TFCN404D1_006458-T1	DBVPG3775_007250-T1
GF00000326	TFCN404D1_006798-T1	DBVPG3775_005355-T1
GF00000327	TFCN404D1_006804-T1	DBVPG3775_006499-T1
GF00000328	TFCN404D1_011782-T1	DBVPG3775_002157-T1
GF00000329	TFCN404D1_007344-T1	DBVPG3775_000605-T1
GF00000330	TFCN404D1_007494-T1	DBVPG3775_002522-T1
GF00000331	TFCN404D1_008171-T1	DBVPG3775_002749-T1
GF00000332	TFCN404D1_008624-T1	DBVPG3775_007277-T1
GF00000333	TFCN404D1_008700-T1	DBVPG3775_000649-T1
GF00000334	TFCN404D1_013966-T1	DBVPG3775_006519-T1
GF00000335	TFCN404D1_009702-T1	DBVPG3775_001049-T1
GF00000336	TFCN404D1_013191-T1	DBVPG3775_006947-T1
GF00000337	TFCN404D1_014813-T1	DBVPG3775_000272-T1
GF00000338	TFCN404D1_001845-T1	DBVPG3775_007410-T1
GF00000339	TFCN404D1_010912-T1	DBVPG3775_003865-T1
GF00000340	TFCN404D1_001833-T1	DBVPG3775_007398-T1
GF00000341	TFCN404D1_001829-T1	DBVPG3775_007395-T1
GF00000342	TFCN404D1_005398-T1	DBVPG3775_002266-T1
GF00000343	TFCN404D1_001865-T1	DBVPG3775_004931-T1
GF00000344	TFCN404D1_011627-T1	DBVPG3775_000282-T1
GF00000345	TFCN404D1_011296-T1	DBVPG3775_005065-T1
GF00000346	TFCN404D1_002890-T1	DBVPG3775_004888-T1
GF00000347	TFCN404D1_000074-T1	DBVPG3775_004887-T1
GF00000348	TFCN404D1_012596-T1	DBVPG3775_007371-T1
GF00000349	TFCN404D1_001206-T1	DBVPG3775_003755-T1
GF00000350	TFCN404D1_001054-T1	DBVPG3775_001936-T1
GF00000351	TFCN404D1_003728-T1	DBVPG3775_003599-T1
GF00000352	TFCN404D1_005081-T1	DBVPG3775_001949-T1
GF00000353	TFCN404D1_012657-T1	DBVPG3775_002111-T1
GF00000354	TFCN404D1_007961-T1	DBVPG3775_002882-T1
GF00000355	TFCN404D1_013633-T1	DBVPG3775_001995-T1
GF00000356	TFCN404D1_013311-T1	DBVPG3775_006696-T1
GF00000357	TFCN404D1_005966-T1	DBVPG3775_001806-T1
GF00000358	TFCN404D1_000207-T1	DBVPG3775_002024-T1
GF00000359	TFCN404D1_004545-T1	DBVPG3775_001414-T1
GF00000360	TFCN404D1_000772-T1	DBVPG3775_000790-T1
GF00000361	TFCN404D1_004635-T1	DBVPG3775_005491-T1
GF00000362	TFCN404D1_001419-T1	DBVPG3775_005578-T1
GF00000363	TFCN404D1_014786-T1	DBVPG3775_006976-T1
GF00000364	TFCN404D1_003121-T1	DBVPG3775_006362-T1
GF00000365	TFCN404D1_012240-T1	DBVPG3775_005945-T1
GF00000366	TFCN404D1_001188-T1	DBVPG3775_000543-T1
GF00000367	TFCN404D1_012310-T1	DBVPG3775_000876-T1
GF00000368	TFCN404D1_008155-T1	DBVPG3775_003027-T1
GF00000369	TFCN404D1_011105-T1	DBVPG3775_004575-T1
GF00000370	TFCN404D1_008145-T1	DBVPG3775_003018-T1
GF00000371	TFCN404D1_014931-T1	DBVPG3775_007577-T1
GF00000372	TFCN404D1_000365-T1	DBVPG3775_003007-T1
GF00000373	TFCN404D1_000878-T1	DBVPG3775_004377-T1
GF00000374	TFCN404D1_000688-T1	DBVPG3775_002992-T1
GF00000375	TFCN404D1_000393-T1	DBVPG3775_002978-T1
GF00000376	TFCN404D1_000443-T1	DBVPG3775_002071-T1
GF00000377	TFCN404D1_000795-T1	DBVPG3775_004459-T1
GF00000378	TFCN404D1_000455-T1	DBVPG3775_002056-T1
GF00000379	TFCN404D1_003207-T1	DBVPG3775_006972-T1
GF00000380	TFCN404D1_005906-T1	DBVPG3775_006399-T1
GF00000381	TFCN404D1_013856-T1	DBVPG3775_002031-T1
GF00000382	TFCN404D1_011910-T1	DBVPG3775_000027-T1
GF00000383	TFCN404D1_013081-T1	DBVPG3775_000692-T1
GF00000384	TFCN404D1_006499-T1	DBVPG3775_001887-T1
GF00000385	TFCN404D1_006492-T1	DBVPG3775_005310-T1
GF00000386	TFCN404D1_014281-T1	DBVPG3775_002296-T1
GF00000387	TFCN404D1_009794-T1	DBVPG3775_006786-T1
GF00000388	TFCN404D1_010636-T1	DBVPG3775_005621-T1
GF00000389	TFCN404D1_001944-T1	DBVPG3775_000084-T1
GF00000390	TFCN404D1_012628-T1	DBVPG3775_002165-T1
GF00000391	TFCN404D1_009209-T1	DBVPG3775_003315-T1
GF00000392	TFCN404D1_012435-T1	DBVPG3775_002530-T1
GF00000393	TFCN404D1_010238-T1	DBVPG3775_002947-T1
GF00000394	TFCN404D1_013790-T1	DBVPG3775_006931-T1
GF00000395	TFCN404D1_000831-T1	DBVPG3775_004424-T1
GF00000396	TFCN404D1_000731-T1	DBVPG3775_000832-T1
GF00000397	TFCN404D1_000732-T1	DBVPG3775_000831-T1
GF00000398	TFCN404D1_000752-T1	DBVPG3775_000811-T1
GF00000399	TFCN404D1_008894-T1	DBVPG3775_002822-T1
GF00000400	TFCN404D1_013592-T1	DBVPG3775_000778-T1
GF00000401	TFCN404D1_003412-T1	DBVPG3775_004462-T1
GF00000402	TFCN404D1_000805-T1	DBVPG3775_004449-T1
GF00000403	TFCN404D1_000832-T1	DBVPG3775_004423-T1
GF00000404	TFCN404D1_000873-T1	DBVPG3775_004381-T1
GF00000405	TFCN404D1_004275-T1	DBVPG3775_001728-T1
GF00000406	TFCN404D1_001965-T1	DBVPG3775_005932-T1
GF00000407	TFCN404D1_002193-T1	DBVPG3775_000953-T1
GF00000408	TFCN404D1_013013-T1	DBVPG3775_005426-T1
