	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000011	DBVPG3775_004369-T1, DBVPG3775_005206-T1, DBVPG3775_001546-T1, DBVPG3775_005788-T1, DBVPG3775_007217-T1, DBVPG3775_006798-T1, DBVPG3775_006461-T1, DBVPG3775_006605-T1, DBVPG3775_007366-T1, DBVPG3775_006604-T1, DBVPG3775_006106-T1, DBVPG3775_007368-T1, DBVPG3775_007367-T1
GF00000012	DBVPG3775_005602-T1, DBVPG3775_007162-T1, DBVPG3775_003371-T1, DBVPG3775_000606-T1, DBVPG3775_002321-T1, DBVPG3775_000792-T1, DBVPG3775_003524-T1, DBVPG3775_003779-T1, DBVPG3775_001963-T1, DBVPG3775_006758-T1, DBVPG3775_006626-T1, DBVPG3775_004989-T1, DBVPG3775_006822-T1
GF00000013	DBVPG3775_004031-T1, DBVPG3775_000780-T1, DBVPG3775_004148-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_005529-T1, DBVPG3775_002751-T1, DBVPG3775_001312-T1, DBVPG3775_002394-T1, DBVPG3775_004951-T1, DBVPG3775_005480-T1, DBVPG3775_003365-T1, DBVPG3775_006815-T1
GF00000014	DBVPG3775_002987-T1, DBVPG3775_006042-T1, DBVPG3775_000011-T1, DBVPG3775_007179-T1, DBVPG3775_004425-T1, DBVPG3775_002242-T1, DBVPG3775_006046-T1, DBVPG3775_006709-T1, DBVPG3775_002284-T1, DBVPG3775_003133-T1, DBVPG3775_007551-T1, DBVPG3775_005021-T1
GF00000015	DBVPG3775_000926-T1, DBVPG3775_000979-T1, DBVPG3775_002438-T1, DBVPG3775_000959-T1, DBVPG3775_002364-T1, DBVPG3775_000922-T1, DBVPG3775_002935-T1, DBVPG3775_002936-T1, DBVPG3775_003039-T1, DBVPG3775_000876-T1, DBVPG3775_000698-T1
GF00000016	DBVPG3775_007221-T1, DBVPG3775_003247-T1, DBVPG3775_001893-T1, DBVPG3775_002118-T1, DBVPG3775_004801-T1, DBVPG3775_000575-T1, DBVPG3775_001464-T1, DBVPG3775_006277-T1, DBVPG3775_002468-T1, DBVPG3775_006805-T1, DBVPG3775_003153-T1
GF00000017	DBVPG3775_000220-T1, DBVPG3775_003600-T1, DBVPG3775_006795-T1, DBVPG3775_003743-T1, DBVPG3775_004518-T1, DBVPG3775_006854-T1, DBVPG3775_006844-T1, DBVPG3775_002880-T1, DBVPG3775_006430-T1, DBVPG3775_003138-T1
GF00000018	DBVPG3775_006444-T1, DBVPG3775_007132-T1, DBVPG3775_004553-T1, DBVPG3775_002307-T1, DBVPG3775_007331-T1, DBVPG3775_001489-T1, DBVPG3775_001828-T1, DBVPG3775_004685-T1, DBVPG3775_006336-T1, DBVPG3775_001306-T1
GF00000019	DBVPG3775_004856-T1, DBVPG3775_004957-T1, DBVPG3775_004659-T1, DBVPG3775_006208-T1, DBVPG3775_002045-T1, DBVPG3775_000227-T1, DBVPG3775_000339-T1, DBVPG3775_000659-T1, DBVPG3775_004903-T1, DBVPG3775_005006-T1
GF00000020	DBVPG3775_001283-T1, DBVPG3775_004424-T1, DBVPG3775_002908-T1, DBVPG3775_006931-T1, DBVPG3775_003520-T1, DBVPG3775_000849-T1, DBVPG3775_006411-T1, DBVPG3775_003120-T1, DBVPG3775_004673-T1, DBVPG3775_003126-T1
GF00000021	DBVPG3775_000902-T1, DBVPG3775_002633-T1, DBVPG3775_002549-T1, DBVPG3775_002547-T1, DBVPG3775_002548-T1, DBVPG3775_003491-T1, DBVPG3775_003530-T1, DBVPG3775_001968-T1, DBVPG3775_007393-T1
GF00000022	DBVPG3775_005852-T1, DBVPG3775_005050-T1, DBVPG3775_005544-T1, DBVPG3775_005318-T1, DBVPG3775_001065-T1, DBVPG3775_005407-T1, DBVPG3775_002155-T1, DBVPG3775_001924-T1, DBVPG3775_005545-T1
GF00000023	DBVPG3775_005564-T1, DBVPG3775_006246-T1, DBVPG3775_000073-T1, DBVPG3775_003512-T1, DBVPG3775_007111-T1, DBVPG3775_002010-T1, DBVPG3775_004564-T1, DBVPG3775_000646-T1, DBVPG3775_000070-T1
GF00000024	DBVPG3775_006335-T1, DBVPG3775_005693-T1, DBVPG3775_001797-T1, DBVPG3775_005455-T1, DBVPG3775_005996-T1, DBVPG3775_000991-T1, DBVPG3775_005995-T1, DBVPG3775_000990-T1, DBVPG3775_001798-T1
GF00000025	DBVPG3775_004041-T1, DBVPG3775_007311-T1, DBVPG3775_000068-T1, DBVPG3775_007478-T1, DBVPG3775_005248-T1, DBVPG3775_004212-T1, DBVPG3775_003889-T1, DBVPG3775_006550-T1
GF00000026	DBVPG3775_005571-T1, DBVPG3775_002916-T1, DBVPG3775_001288-T1, DBVPG3775_001825-T1, DBVPG3775_003668-T1, DBVPG3775_005306-T1, DBVPG3775_001167-T1, DBVPG3775_003081-T1
GF00000027	DBVPG3775_000170-T1, DBVPG3775_000333-T1, DBVPG3775_000215-T1, DBVPG3775_000872-T1, DBVPG3775_007143-T1, DBVPG3775_006809-T1, DBVPG3775_004136-T1, DBVPG3775_001504-T1
GF00000028	DBVPG3775_006341-T1, DBVPG3775_000527-T1, DBVPG3775_005887-T1, DBVPG3775_004277-T1, DBVPG3775_005902-T1, DBVPG3775_003328-T1, DBVPG3775_003117-T1, DBVPG3775_003330-T1
GF00000029	DBVPG3775_006128-T1, DBVPG3775_005960-T1, DBVPG3775_005431-T1, DBVPG3775_004563-T1, DBVPG3775_006647-T1, DBVPG3775_002674-T1, DBVPG3775_002666-T1, DBVPG3775_002018-T1
GF00000030	DBVPG3775_000706-T1, DBVPG3775_007326-T1, DBVPG3775_002101-T1, DBVPG3775_004060-T1, DBVPG3775_005885-T1, DBVPG3775_006531-T1, DBVPG3775_000350-T1, DBVPG3775_004055-T1
GF00000031	DBVPG3775_003404-T1, DBVPG3775_006021-T1, DBVPG3775_001671-T1, DBVPG3775_003621-T1, DBVPG3775_006667-T1, DBVPG3775_001676-T1, DBVPG3775_000500-T1, DBVPG3775_000111-T1
GF00000032	DBVPG3775_006701-T1, DBVPG3775_000357-T1, DBVPG3775_002382-T1, DBVPG3775_002002-T1, DBVPG3775_002000-T1, DBVPG3775_006699-T1, DBVPG3775_006698-T1, DBVPG3775_006700-T1
GF00000033	DBVPG3775_005752-T1, DBVPG3775_002869-T1, DBVPG3775_005020-T1, DBVPG3775_005649-T1, DBVPG3775_005220-T1, DBVPG3775_000054-T1, DBVPG3775_007131-T1
GF00000034	DBVPG3775_002558-T1, DBVPG3775_002941-T1, DBVPG3775_007524-T1, DBVPG3775_004051-T1, DBVPG3775_001989-T1, DBVPG3775_005817-T1, DBVPG3775_000578-T1
GF00000035	DBVPG3775_001502-T1, DBVPG3775_000993-T1, DBVPG3775_001586-T1, DBVPG3775_006953-T1, DBVPG3775_001700-T1, DBVPG3775_001616-T1, DBVPG3775_004896-T1
GF00000036	DBVPG3775_006228-T1, DBVPG3775_001719-T1, DBVPG3775_004497-T1, DBVPG3775_000677-T1, DBVPG3775_001509-T1, DBVPG3775_001251-T1, DBVPG3775_005432-T1
GF00000037	DBVPG3775_006563-T1, DBVPG3775_001234-T1, DBVPG3775_007033-T1, DBVPG3775_007034-T1, DBVPG3775_005321-T1, DBVPG3775_007200-T1, DBVPG3775_005595-T1
GF00000038	DBVPG3775_006911-T1, DBVPG3775_004622-T1, DBVPG3775_005981-T1, DBVPG3775_001589-T1, DBVPG3775_006619-T1, DBVPG3775_006317-T1, DBVPG3775_003674-T1
GF00000039	DBVPG3775_005070-T1, DBVPG3775_000387-T1, DBVPG3775_005780-T1, DBVPG3775_000460-T1, DBVPG3775_000388-T1, DBVPG3775_005779-T1, DBVPG3775_000461-T1
GF00000040	DBVPG3775_000924-T1, DBVPG3775_001537-T1, DBVPG3775_001536-T1, DBVPG3775_000805-T1, DBVPG3775_006982-T1, DBVPG3775_007083-T1, DBVPG3775_001539-T1
GF00000041	DBVPG3775_000192-T1, DBVPG3775_000191-T1, DBVPG3775_000194-T1, DBVPG3775_000190-T1, DBVPG3775_000196-T1, DBVPG3775_000195-T1, DBVPG3775_000193-T1
GF00000042	DBVPG3775_000298-T1, DBVPG3775_002885-T1, DBVPG3775_002898-T1, DBVPG3775_004293-T1, DBVPG3775_005085-T1, DBVPG3775_004139-T1, DBVPG3775_000564-T1
GF00000043	DBVPG3775_000680-T1, DBVPG3775_007362-T1, DBVPG3775_003044-T1, DBVPG3775_001904-T1, DBVPG3775_004502-T1, DBVPG3775_001903-T1, DBVPG3775_001329-T1
GF00000044	DBVPG3775_007088-T1, DBVPG3775_000946-T1, DBVPG3775_004260-T1, DBVPG3775_003280-T1, DBVPG3775_002127-T1, DBVPG3775_001534-T1
GF00000045	DBVPG3775_001370-T1, DBVPG3775_004002-T1, DBVPG3775_002859-T1, DBVPG3775_003489-T1, DBVPG3775_000716-T1, DBVPG3775_000776-T1
GF00000046	DBVPG3775_003326-T1, DBVPG3775_007096-T1, DBVPG3775_001471-T1, DBVPG3775_005872-T1, DBVPG3775_003107-T1, DBVPG3775_000636-T1
GF00000047	DBVPG3775_002811-T1, DBVPG3775_007093-T1, DBVPG3775_000344-T1, DBVPG3775_004339-T1, DBVPG3775_007319-T1, DBVPG3775_003724-T1
GF00000048	DBVPG3775_001088-T1, DBVPG3775_001986-T1, DBVPG3775_007566-T1, DBVPG3775_004540-T1, DBVPG3775_007455-T1, DBVPG3775_003576-T1
GF00000049	DBVPG3775_003732-T1, DBVPG3775_001993-T1, DBVPG3775_002298-T1, DBVPG3775_002299-T1, DBVPG3775_002297-T1, DBVPG3775_000838-T1
GF00000050	DBVPG3775_007243-T1, DBVPG3775_007241-T1, DBVPG3775_007239-T1, DBVPG3775_007242-T1, DBVPG3775_007240-T1, DBVPG3775_007238-T1
GF00000051	DBVPG3775_000441-T1, DBVPG3775_000702-T1, DBVPG3775_005038-T1, DBVPG3775_000440-T1, DBVPG3775_002934-T1, DBVPG3775_002165-T1
GF00000052	DBVPG3775_005736-T1, DBVPG3775_005770-T1, DBVPG3775_000685-T1, DBVPG3775_001866-T1, DBVPG3775_005735-T1, DBVPG3775_005769-T1
GF00000053	DBVPG3775_005753-T1, DBVPG3775_005758-T1, DBVPG3775_005754-T1, DBVPG3775_005757-T1, DBVPG3775_005755-T1, DBVPG3775_005756-T1
GF00000054	DBVPG3775_001713-T1, DBVPG3775_005278-T1, DBVPG3775_000027-T1, DBVPG3775_000025-T1, DBVPG3775_002031-T1, DBVPG3775_006655-T1
GF00000055	DBVPG3775_003418-T1, DBVPG3775_004141-T1, DBVPG3775_006243-T1, DBVPG3775_006249-T1, DBVPG3775_006244-T1, DBVPG3775_003417-T1
GF00000056	DBVPG3775_002577-T1, DBVPG3775_003313-T1, DBVPG3775_004149-T1, DBVPG3775_003851-T1, DBVPG3775_000462-T1, DBVPG3775_000459-T1
GF00000057	DBVPG3775_005583-T1, DBVPG3775_005599-T1, DBVPG3775_005577-T1, DBVPG3775_005587-T1, DBVPG3775_005576-T1, DBVPG3775_005598-T1
GF00000058	DBVPG3775_000049-T1, DBVPG3775_006836-T1, DBVPG3775_006221-T1, DBVPG3775_000502-T1, DBVPG3775_001000-T1, DBVPG3775_002083-T1
GF00000059	DBVPG3775_002043-T1, DBVPG3775_002009-T1, DBVPG3775_002008-T1, DBVPG3775_007023-T1, DBVPG3775_002042-T1, DBVPG3775_003942-T1
GF00000060	DBVPG3775_003244-T1, DBVPG3775_001018-T1, DBVPG3775_005171-T1, DBVPG3775_000915-T1, DBVPG3775_000287-T1, DBVPG3775_000124-T1
GF00000061	DBVPG3775_006937-T1, DBVPG3775_004521-T1, DBVPG3775_001599-T1, DBVPG3775_003113-T1, DBVPG3775_003819-T1, DBVPG3775_001982-T1
GF00000062	DBVPG3775_002206-T1, DBVPG3775_002219-T1, DBVPG3775_003704-T1, DBVPG3775_002220-T1, DBVPG3775_002205-T1, DBVPG3775_002207-T1
GF00000063	DBVPG3775_000026-T1, DBVPG3775_007415-T1, DBVPG3775_007156-T1, DBVPG3775_002444-T1, DBVPG3775_000971-T1, DBVPG3775_000589-T1
GF00000064	DBVPG3775_003162-T1, DBVPG3775_006413-T1, DBVPG3775_006419-T1, DBVPG3775_002392-T1, DBVPG3775_000374-T1
GF00000065	DBVPG3775_002951-T1, DBVPG3775_004329-T1, DBVPG3775_003096-T1, DBVPG3775_006174-T1, DBVPG3775_004772-T1
GF00000066	DBVPG3775_000562-T1, DBVPG3775_006501-T1, DBVPG3775_000436-T1, DBVPG3775_002489-T1, DBVPG3775_002663-T1
GF00000067	DBVPG3775_003439-T1, DBVPG3775_006345-T1, DBVPG3775_006580-T1, DBVPG3775_006958-T1, DBVPG3775_006581-T1
GF00000068	DBVPG3775_006818-T1, DBVPG3775_000964-T1, DBVPG3775_007247-T1, DBVPG3775_005008-T1, DBVPG3775_002807-T1
GF00000069	DBVPG3775_003344-T1, DBVPG3775_004061-T1, DBVPG3775_004089-T1, DBVPG3775_003115-T1, DBVPG3775_003152-T1
GF00000070	DBVPG3775_002218-T1, DBVPG3775_000613-T1, DBVPG3775_000293-T1, DBVPG3775_004210-T1, DBVPG3775_002020-T1
GF00000071	DBVPG3775_004142-T1, DBVPG3775_006977-T1, DBVPG3775_003246-T1, DBVPG3775_003497-T1, DBVPG3775_004642-T1
GF00000072	DBVPG3775_005324-T1, DBVPG3775_006216-T1, DBVPG3775_007089-T1, DBVPG3775_003891-T1, DBVPG3775_000576-T1
GF00000073	DBVPG3775_006954-T1, DBVPG3775_006964-T1, DBVPG3775_006406-T1, DBVPG3775_006962-T1, DBVPG3775_006963-T1
GF00000074	DBVPG3775_005080-T1, DBVPG3775_007004-T1, DBVPG3775_001081-T1, DBVPG3775_003095-T1, DBVPG3775_003114-T1
GF00000075	DBVPG3775_006377-T1, DBVPG3775_003135-T1, DBVPG3775_003170-T1, DBVPG3775_004717-T1, DBVPG3775_006376-T1
GF00000076	DBVPG3775_000855-T1, DBVPG3775_007226-T1, DBVPG3775_006027-T1, DBVPG3775_000624-T1, DBVPG3775_007562-T1
GF00000077	DBVPG3775_004880-T1, DBVPG3775_007539-T1, DBVPG3775_003479-T1, DBVPG3775_003490-T1, DBVPG3775_007588-T1
GF00000078	DBVPG3775_003980-T1, DBVPG3775_006031-T1, DBVPG3775_003015-T1, DBVPG3775_003965-T1, DBVPG3775_006105-T1
GF00000079	DBVPG3775_002046-T1, DBVPG3775_003767-T1, DBVPG3775_006972-T1, DBVPG3775_005034-T1, DBVPG3775_000962-T1
GF00000080	DBVPG3775_003881-T1, DBVPG3775_005026-T1, DBVPG3775_002997-T1, DBVPG3775_002988-T1, DBVPG3775_006562-T1
GF00000081	DBVPG3775_007271-T1, DBVPG3775_007270-T1, DBVPG3775_007276-T1, DBVPG3775_007273-T1, DBVPG3775_007272-T1
GF00000082	DBVPG3775_000444-T1, DBVPG3775_005609-T1, DBVPG3775_007165-T1, DBVPG3775_002710-T1, DBVPG3775_007598-T1
GF00000083	DBVPG3775_000818-T1, DBVPG3775_006584-T1, DBVPG3775_007027-T1, DBVPG3775_000807-T1, DBVPG3775_005001-T1
GF00000084	DBVPG3775_007152-T1, DBVPG3775_001426-T1, DBVPG3775_001427-T1, DBVPG3775_002210-T1, DBVPG3775_002618-T1
GF00000085	DBVPG3775_000601-T1, DBVPG3775_004636-T1, DBVPG3775_004623-T1, DBVPG3775_004631-T1, DBVPG3775_002196-T1
GF00000086	DBVPG3775_006948-T1, DBVPG3775_000753-T1, DBVPG3775_006654-T1, DBVPG3775_005284-T1, DBVPG3775_005914-T1
GF00000087	DBVPG3775_001853-T1, DBVPG3775_001847-T1, DBVPG3775_001836-T1, DBVPG3775_001826-T1, DBVPG3775_001835-T1
GF00000088	DBVPG3775_004982-T1, DBVPG3775_007158-T1, DBVPG3775_004037-T1, DBVPG3775_001896-T1, DBVPG3775_006518-T1
GF00000089	DBVPG3775_001902-T1, DBVPG3775_005827-T1, DBVPG3775_002036-T1, DBVPG3775_007101-T1, DBVPG3775_007103-T1
GF00000090	DBVPG3775_002328-T1, DBVPG3775_002327-T1, DBVPG3775_007573-T1, DBVPG3775_007125-T1, DBVPG3775_007571-T1
GF00000091	DBVPG3775_005054-T1, DBVPG3775_004686-T1, DBVPG3775_005055-T1, DBVPG3775_003245-T1, DBVPG3775_006235-T1
GF00000092	DBVPG3775_004181-T1, DBVPG3775_004182-T1, DBVPG3775_004185-T1, DBVPG3775_004184-T1, DBVPG3775_004183-T1
GF00000093	DBVPG3775_000989-T1, DBVPG3775_007488-T1, DBVPG3775_000065-T1, DBVPG3775_004646-T1, DBVPG3775_006782-T1
GF00000094	DBVPG3775_001686-T1, DBVPG3775_001667-T1, DBVPG3775_001685-T1, DBVPG3775_001668-T1, DBVPG3775_001666-T1
GF00000095	DBVPG3775_006928-T1, DBVPG3775_001451-T1, DBVPG3775_004734-T1, DBVPG3775_007594-T1, DBVPG3775_007199-T1
GF00000096	DBVPG3775_000467-T1, DBVPG3775_001490-T1, DBVPG3775_005436-T1, DBVPG3775_001518-T1, DBVPG3775_001488-T1
GF00000097	DBVPG3775_005969-T1, DBVPG3775_000216-T1, DBVPG3775_005621-T1, DBVPG3775_005580-T1
GF00000098	DBVPG3775_001907-T1, DBVPG3775_003794-T1, DBVPG3775_002039-T1, DBVPG3775_002738-T1
GF00000099	DBVPG3775_003544-T1, DBVPG3775_007142-T1, DBVPG3775_002177-T1, DBVPG3775_003182-T1
GF00000100	DBVPG3775_005815-T1, DBVPG3775_004080-T1, DBVPG3775_002655-T1, DBVPG3775_001814-T1
GF00000101	DBVPG3775_001296-T1, DBVPG3775_005362-T1, DBVPG3775_001298-T1, DBVPG3775_000120-T1
GF00000102	DBVPG3775_003322-T1, DBVPG3775_001529-T1, DBVPG3775_000017-T1, DBVPG3775_000620-T1
GF00000103	DBVPG3775_000619-T1, DBVPG3775_002435-T1, DBVPG3775_000614-T1, DBVPG3775_000615-T1
GF00000104	DBVPG3775_006241-T1, DBVPG3775_007346-T1, DBVPG3775_004057-T1, DBVPG3775_002410-T1
GF00000105	DBVPG3775_004034-T1, DBVPG3775_002919-T1, DBVPG3775_005655-T1, DBVPG3775_004035-T1
GF00000106	DBVPG3775_007278-T1, DBVPG3775_006014-T1, DBVPG3775_006013-T1, DBVPG3775_006648-T1
GF00000107	DBVPG3775_003463-T1, DBVPG3775_006388-T1, DBVPG3775_003461-T1, DBVPG3775_003460-T1
GF00000108	DBVPG3775_002706-T1, DBVPG3775_005809-T1, DBVPG3775_004582-T1, DBVPG3775_007461-T1
GF00000109	DBVPG3775_002257-T1, DBVPG3775_001136-T1, DBVPG3775_001112-T1, DBVPG3775_001113-T1
GF00000110	DBVPG3775_004436-T1, DBVPG3775_007059-T1, DBVPG3775_003616-T1, DBVPG3775_003615-T1
GF00000111	DBVPG3775_000269-T1, DBVPG3775_000082-T1, DBVPG3775_003790-T1, DBVPG3775_000411-T1
GF00000112	DBVPG3775_005392-T1, DBVPG3775_002338-T1, DBVPG3775_005391-T1, DBVPG3775_004729-T1
GF00000113	DBVPG3775_004702-T1, DBVPG3775_005652-T1, DBVPG3775_006802-T1, DBVPG3775_004211-T1
GF00000114	DBVPG3775_007354-T1, DBVPG3775_003390-T1, DBVPG3775_002024-T1, DBVPG3775_000081-T1
GF00000115	DBVPG3775_004520-T1, DBVPG3775_003684-T1, DBVPG3775_006601-T1, DBVPG3775_006600-T1
GF00000116	DBVPG3775_000271-T1, DBVPG3775_004662-T1, DBVPG3775_004822-T1, DBVPG3775_001390-T1
GF00000117	DBVPG3775_005033-T1, DBVPG3775_004556-T1, DBVPG3775_004319-T1, DBVPG3775_004318-T1
GF00000118	DBVPG3775_003729-T1, DBVPG3775_007105-T1, DBVPG3775_004242-T1, DBVPG3775_002490-T1
GF00000119	DBVPG3775_007483-T1, DBVPG3775_004510-T1, DBVPG3775_000956-T1, DBVPG3775_007519-T1
GF00000120	DBVPG3775_000368-T1, DBVPG3775_002067-T1, DBVPG3775_005115-T1, DBVPG3775_002044-T1
GF00000121	DBVPG3775_003841-T1, DBVPG3775_002425-T1, DBVPG3775_002085-T1, DBVPG3775_004842-T1
GF00000122	DBVPG3775_003792-T1, DBVPG3775_002483-T1, DBVPG3775_005112-T1, DBVPG3775_000782-T1
GF00000123	DBVPG3775_004472-T1, DBVPG3775_000257-T1, DBVPG3775_001459-T1, DBVPG3775_003297-T1
GF00000124	DBVPG3775_001723-T1, DBVPG3775_001677-T1, DBVPG3775_001722-T1, DBVPG3775_006452-T1
GF00000125	DBVPG3775_000961-T1, DBVPG3775_003403-T1, DBVPG3775_006673-T1, DBVPG3775_005867-T1
GF00000126	DBVPG3775_002526-T1, DBVPG3775_002524-T1, DBVPG3775_003711-T1, DBVPG3775_002517-T1
GF00000127	DBVPG3775_003259-T1, DBVPG3775_003251-T1, DBVPG3775_003258-T1, DBVPG3775_003263-T1
GF00000128	DBVPG3775_002750-T1, DBVPG3775_002749-T1, DBVPG3775_002748-T1, DBVPG3775_002747-T1
GF00000129	DBVPG3775_002745-T1, DBVPG3775_002746-T1, DBVPG3775_002742-T1, DBVPG3775_002743-T1
GF00000130	DBVPG3775_003172-T1, DBVPG3775_000429-T1, DBVPG3775_007233-T1, DBVPG3775_006788-T1
GF00000131	DBVPG3775_007360-T1, DBVPG3775_000153-T1, DBVPG3775_007451-T1, DBVPG3775_007452-T1
GF00000132	DBVPG3775_004375-T1, DBVPG3775_004376-T1, DBVPG3775_004374-T1, DBVPG3775_004373-T1
GF00000133	DBVPG3775_001104-T1, DBVPG3775_005039-T1, DBVPG3775_007518-T1, DBVPG3775_007554-T1
GF00000134	DBVPG3775_003075-T1, DBVPG3775_002226-T1, DBVPG3775_003776-T1, DBVPG3775_006182-T1
GF00000135	DBVPG3775_001172-T1, DBVPG3775_007402-T1, DBVPG3775_003865-T1, DBVPG3775_006892-T1
GF00000136	DBVPG3775_004300-T1, DBVPG3775_004308-T1, DBVPG3775_002090-T1, DBVPG3775_000789-T1
GF00000137	DBVPG3775_005540-T1, DBVPG3775_003785-T1, DBVPG3775_001311-T1, DBVPG3775_005101-T1
